,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,SACRAMENTO_ACTION,WASHINGTON_SCORE,SACRAMENTO_SCORE
0,1,11:41.0,N. Hilário misses 2-pt jump shot from 16 ft,,0,0
1,1,11:41.0,Offensive rebound by M. Gortat,,0,0
2,1,11:38.0,M. Gortat makes 2-pt jump shot from 9 ft,,2,0
3,1,11:17.0,,O. Casspi misses 2-pt jump shot from 5 ft,2,0
4,1,11:16.0,Defensive rebound by N. Hilário,,2,0
5,1,10:59.0,B. Beal makes 3-pt jump shot from 24 ft (assist by M. Gortat),,5,0
6,1,10:42.0,,D. Cousins misses 2-pt jump shot from 21 ft,5,0
7,1,10:41.0,Defensive rebound by M. Gortat,,5,0
8,1,10:32.0,N. Hilário misses 2-pt jump shot from 16 ft,,5,0
9,1,10:31.0,,Defensive rebound by D. Cousins,5,0
10,1,10:22.0,,R. Gay makes 2-pt jump shot from 19 ft,5,2
11,1,10:22.0,,Shooting foul by M. Gortat (drawn by R. Gay),5,2
12,1,10:22.0,,R. Gay makes free throw 1 of 1,5,3
13,1,10:08.0,B. Beal misses 3-pt jump shot from 24 ft,,5,3
14,1,10:08.0,,Defensive rebound by R. Gay,5,3
15,1,9:56.0,,D. Cousins makes 2-pt jump shot from 18 ft (assist by O. Casspi),5,5
16,1,9:47.0,Personal foul by D. Cousins (drawn by N. Hilário),,5,5
17,1,9:47.0,N. Hilário makes free throw 1 of 2,,6,5
18,1,9:47.0,N. Hilário makes free throw 2 of 2,,7,5
19,1,9:33.0,,D. Cousins misses 2-pt jump shot from 8 ft,7,5
20,1,9:32.0,Defensive rebound by J. Wall,,7,5
21,1,9:28.0,Turnover by J. Wall (bad pass; steal by O. Casspi),,7,5
22,1,9:23.0,,Turnover by D. Cousins (bad pass; steal by B. Beal),7,5
23,1,9:19.0,J. Wall makes 2-pt dunk at rim (assist by M. Gortat),,9,5
24,1,9:12.0,,O. Casspi makes 3-pt jump shot from 24 ft (assist by R. McCallum),9,8
25,1,8:58.0,Turnover by N. Hilário (lost ball),,9,8
26,1,8:37.0,,O. Casspi makes 3-pt jump shot from 25 ft (assist by B. McLemore),9,11
27,1,8:15.0,B. Beal makes 2-pt layup from 3 ft (assist by J. Wall),,11,11
