,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,PHILADELPHIA_ACTION,MINNESOTA_SCORE,PHILADELPHIA_SCORE
0,1,11:50.0,,Turnover by R. Covington (bad pass),0,0
1,1,11:39.0,Shooting foul by J. Sampson (drawn by N. Peković),,0,0
2,1,11:39.0,N. Peković makes free throw 1 of 2,,1,0
3,1,11:39.0,N. Peković makes free throw 2 of 2,,2,0
4,1,11:23.0,,M. Carter-Williams misses 2-pt jump shot from 4 ft,2,0
5,1,11:21.0,Defensive rebound by N. Peković,,2,0
6,1,11:09.0,Turnover by G. Dieng (bad pass),,2,0
7,1,10:50.0,,L. Mbah a Moute makes 2-pt jump shot from 17 ft (assist by R. Covington),2,2
8,1,10:24.0,T. Young misses 2-pt layup from 2 ft,,2,2
9,1,10:22.0,,Defensive rebound by M. Carter-Williams,2,2
10,1,10:15.0,,N. Noel makes 2-pt layup from 1 ft (assist by M. Carter-Williams),2,4
11,1,9:54.0,Z. LaVine misses 2-pt jump shot from 20 ft,,2,4
12,1,9:51.0,,Defensive rebound by R. Covington,2,4
13,1,9:41.0,,M. Carter-Williams makes 2-pt layup from 1 ft (assist by N. Noel),2,6
14,1,9:24.0,T. Young misses 2-pt layup from 1 ft (block by J. Sampson),,2,6
15,1,9:23.0,Offensive rebound by N. Peković,,2,6
16,1,9:23.0,N. Peković makes 2-pt layup from 1 ft,,4,6
17,1,9:23.0,Shooting foul by L. Mbah a Moute (drawn by N. Peković),,4,6
18,1,9:23.0,N. Peković makes free throw 1 of 1,,5,6
19,1,9:12.0,,R. Covington misses 2-pt layup from 2 ft,5,6
20,1,9:10.0,Defensive rebound by G. Dieng,,5,6
21,1,9:02.0,A. Wiggins makes 2-pt jump shot from 13 ft (assist by T. Young),,7,6
22,1,8:43.0,,Turnover by M. Carter-Williams (bad pass; steal by N. Peković),7,6
23,1,8:40.0,T. Young makes 2-pt layup at rim,,9,6
24,1,8:26.0,,Turnover by M. Carter-Williams (lost ball),9,6
25,1,8:10.0,A. Wiggins misses 2-pt jump shot from 13 ft,,9,6
26,1,8:08.0,,Defensive rebound by M. Carter-Williams,9,6
27,1,8:00.0,,R. Covington misses 3-pt jump shot from 22 ft,9,6
28,1,7:59.0,Defensive rebound by T. Young,,9,6
29,1,7:49.0,N. Peković makes 2-pt layup at rim (assist by Z. LaVine),,11,6
30,1,7:43.0,,Philadelphia full timeout,11,6
