,QUARTER,TIME_REMAINING,HOUSTON_ACTION,CHARLOTTE_ACTION,HOUSTON_SCORE,CHARLOTTE_SCORE
0,1,11:43.0,Shooting foul by J. Taylor (drawn by J. Harden),,0,0
1,1,11:43.0,J. Harden makes free throw 1 of 2,,1,0
2,1,11:43.0,J. Harden makes free throw 2 of 2,,2,0
3,1,11:22.0,,Shooting foul by J. Dorsey (drawn by J. Taylor),2,0
4,1,11:22.0,,J. Taylor misses free throw 1 of 3,2,0
5,1,11:22.0,,Offensive rebound by Team,2,0
6,1,11:22.0,,J. Taylor misses free throw 2 of 3,2,0
7,1,11:22.0,,Offensive rebound by Team,2,0
8,1,11:22.0,,J. Taylor misses free throw 3 of 3,2,0
9,1,11:20.0,Defensive rebound by T. Jones,,2,0
10,1,11:06.0,J. Harden misses 3-pt jump shot from 23 ft,,2,0
11,1,11:05.0,,Defensive rebound by B. Biyombo,2,0
12,1,10:53.0,,G. Henderson misses 2-pt jump shot from 21 ft (block by T. Jones),2,0
13,1,10:52.0,Defensive rebound by J. Harden,,2,0
14,1,10:47.0,J. Terry misses 3-pt jump shot from 25 ft,,2,0
15,1,10:45.0,,Defensive rebound by B. Biyombo,2,0
16,1,10:22.0,,J. Taylor makes 2-pt jump shot from 11 ft (assist by G. Henderson),2,2
17,1,10:05.0,Turnover by T. Ariza (bad pass; steal by J. Taylor),,2,2
18,1,10:00.0,,J. Taylor makes 2-pt dunk at rim (assist by K. Walker),2,4
19,1,9:46.0,T. Ariza makes 3-pt jump shot from 25 ft (assist by J. Terry),,5,4
20,1,9:27.0,,Personal foul by J. Terry (drawn by K. Walker),5,4
21,1,9:19.0,,M. Williams makes 3-pt jump shot from 24 ft (assist by K. Walker),5,7
22,1,8:59.0,T. Jones makes 2-pt hook shot from 5 ft,,7,7
23,1,8:47.0,,Turnover by M. Williams (bad pass),7,7
24,1,8:37.0,J. Harden misses 2-pt jump shot from 4 ft (block by K. Walker),,7,7
25,1,8:34.0,,Defensive rebound by B. Biyombo,7,7
26,1,8:32.0,,J. Taylor makes 2-pt dunk at rim (assist by B. Biyombo),7,9
27,1,8:24.0,T. Jones misses 3-pt jump shot from 25 ft,,7,9
28,1,8:22.0,,Defensive rebound by G. Henderson,7,9
29,1,8:18.0,,M. Williams makes 2-pt dunk at rim (assist by J. Taylor),7,11
30,1,7:55.0,Turnover by T. Ariza (lost ball; steal by G. Henderson),,7,11
31,1,7:51.0,,K. Walker misses 2-pt layup from 2 ft,7,11
32,1,7:51.0,Defensive rebound by Team,,7,11
33,1,7:51.0,,Loose ball foul by J. Taylor (drawn by J. Terry),7,11
34,1,7:49.0,,T. Daniels enters the game for J. Taylor,7,11
35,1,7:27.0,T. Ariza misses 2-pt jump shot from 15 ft,,7,11
36,1,7:26.0,,Defensive rebound by B. Biyombo,7,11
37,1,7:11.0,,G. Henderson misses 2-pt jump shot from 14 ft,7,11
38,1,7:11.0,,Offensive rebound by Team,7,11
39,1,7:11.0,Loose ball foul by J. Harden (drawn by B. Biyombo),,7,11
40,1,7:11.0,J. Smith enters the game for J. Dorsey,,7,11
41,1,7:04.0,,M. Williams makes 2-pt jump shot from 18 ft (assist by G. Henderson),7,13
42,1,6:49.0,,Violation by G. Henderson (kicked ball),7,13
43,1,6:38.0,T. Jones misses 2-pt layup from 1 ft (block by B. Biyombo),,7,13
44,1,6:37.0,Offensive rebound by J. Smith,,7,13
45,1,6:37.0,J. Smith misses 2-pt layup from 1 ft (block by T. Daniels),,7,13
46,1,6:34.0,Offensive rebound by Team,,7,13
47,1,6:29.0,J. Terry misses 3-pt jump shot from 25 ft,,7,13
48,1,6:28.0,,Defensive rebound by B. Biyombo,7,13
49,1,6:12.0,,T. Daniels misses 3-pt jump shot from 24 ft,7,13
50,1,6:10.0,Defensive rebound by T. Jones,,7,13
51,1,6:05.0,J. Terry makes 2-pt jump shot from 6 ft (assist by J. Harden),,9,13
52,1,5:52.0,,K. Walker misses 2-pt jump shot from 20 ft,9,13
53,1,5:51.0,Defensive rebound by J. Smith,,9,13
54,1,5:33.0,,Charlotte full timeout,9,13
55,1,5:24.0,J. Harden misses 3-pt jump shot from 25 ft,,9,13
56,1,5:23.0,,Defensive rebound by M. Williams,9,13
57,1,5:07.0,,G. Henderson misses 2-pt jump shot from 11 ft,9,13
58,1,5:04.0,Defensive rebound by J. Harden,,9,13
59,1,5:00.0,J. Harden makes 2-pt layup from 1 ft (assist by J. Terry),,11,13
60,1,5:00.0,Shooting foul by T. Daniels (drawn by J. Harden),,11,13
61,1,5:00.0,J. Harden makes free throw 1 of 1,,12,13
62,1,4:43.0,,K. Walker makes 2-pt jump shot from 18 ft (assist by T. Daniels),12,15
63,1,4:30.0,,Violation by M. Williams (kicked ball),12,15
64,1,4:22.0,P. Prigioni enters the game for J. Terry,,12,15
65,1,4:13.0,J. Harden makes 2-pt jump shot from 19 ft,,14,15
66,1,3:55.0,,G. Henderson misses 3-pt jump shot from 23 ft,14,15
67,1,3:54.0,Defensive rebound by T. Jones,,14,15
68,1,3:44.0,P. Prigioni misses 3-pt jump shot from 24 ft,,14,15
69,1,3:43.0,,Defensive rebound by B. Biyombo,14,15
70,1,3:31.0,,T. Daniels makes 2-pt jump shot from 20 ft (assist by K. Walker),14,17
71,1,3:13.0,T. Ariza misses 3-pt jump shot from 23 ft,,14,17
72,1,3:12.0,,Defensive rebound by M. Williams,14,17
73,1,3:05.0,,G. Henderson misses 2-pt layup at rim,14,17
74,1,3:04.0,Defensive rebound by J. Smith,,14,17
75,1,2:58.0,P. Prigioni misses 3-pt jump shot from 25 ft,,14,17
76,1,2:55.0,Offensive rebound by J. Harden,,14,17
77,1,2:55.0,J. Harden makes 2-pt layup at rim,,16,17
78,1,2:55.0,Shooting foul by M. Williams (drawn by J. Harden),,16,17
79,1,2:55.0,Houston full timeout,,16,17
80,1,2:55.0,C. Brewer enters the game for T. Ariza,,16,17
81,1,2:55.0,C. Capela enters the game for T. Jones,,16,17
82,1,2:55.0,,N. Vonleh enters the game for M. Williams,16,17
83,1,2:55.0,J. Harden makes free throw 1 of 1,,17,17
84,1,2:39.0,,K. Walker misses 3-pt jump shot from 25 ft,17,17
85,1,2:38.0,Defensive rebound by C. Brewer,,17,17
86,1,2:33.0,Turnover by J. Harden (bad pass; steal by B. Biyombo),,17,17
87,1,2:27.0,,T. Daniels misses 3-pt jump shot from 25 ft,17,17
88,1,2:25.0,Defensive rebound by C. Capela,,17,17
89,1,2:16.0,J. Smith misses 2-pt jump shot from 15 ft,,17,17
90,1,2:15.0,,Defensive rebound by T. Daniels,17,17
91,1,2:00.0,,B. Biyombo makes 2-pt jump shot from 6 ft (assist by G. Henderson),17,19
92,1,1:55.0,C. Brewer misses 2-pt layup at rim (block by B. Biyombo),,17,19
93,1,1:55.0,Offensive rebound by Team,,17,19
94,1,1:55.0,,J. Maxiell enters the game for B. Biyombo,17,19
95,1,1:54.0,Shooting foul by J. Maxiell (drawn by C. Capela),,17,19
96,1,1:54.0,C. Capela makes free throw 1 of 2,,18,19
97,1,1:54.0,C. Capela makes free throw 2 of 2,,19,19
98,1,1:47.0,,Personal foul by C. Brewer (drawn by T. Daniels),19,19
99,1,1:42.0,,Turnover by G. Henderson (bad pass; steal by J. Smith),19,19
100,1,1:36.0,C. Brewer makes 2-pt layup from 1 ft (assist by J. Smith),,21,19
101,1,1:26.0,,Turnover by N. Vonleh (traveling),21,19
102,1,1:07.0,J. Harden makes 2-pt jump shot from 10 ft,,23,19
103,1,0:55.0,,T. Daniels makes 3-pt jump shot from 25 ft,23,22
104,1,0:42.0,J. Harden misses 3-pt jump shot from 25 ft,,23,22
105,1,0:41.0,,Defensive rebound by K. Walker,23,22
106,1,0:35.0,,Turnover by K. Walker (bad pass; steal by J. Harden),23,22
107,1,0:34.0,Personal foul by T. Daniels (drawn by J. Harden),,23,22
108,1,0:34.0,J. Harden makes free throw 1 of 2,,24,22
109,1,0:34.0,J. Harden misses free throw 2 of 2,,24,22
110,1,0:33.0,,Defensive rebound by N. Vonleh,24,22
111,1,0:22.0,,Personal foul by J. Smith (drawn by J. Maxiell),24,22
112,1,0:22.0,,J. Maxiell makes free throw 1 of 2,24,23
113,1,0:22.0,,J. Maxiell misses free throw 2 of 2,24,23
114,1,0:20.0,,Offensive rebound by J. Maxiell,24,23
115,1,0:02.0,,K. Walker misses 2-pt jump shot from 9 ft (block by J. Smith),24,23
116,1,0:00.0,,Offensive rebound by J. Maxiell,24,23
117,1,0:00.0,,Turnover by J. Maxiell (step out of bounds),24,23
118,2,11:43.0,,J. Maxiell misses 2-pt jump shot from 7 ft,24,23
119,2,11:41.0,Defensive rebound by C. Capela,,24,23
