,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MEMPHIS_ACTION,BROOKLYN_SCORE,MEMPHIS_SCORE
0,1,11:37.0,,M. Conley misses 2-pt layup from 1 ft (block by K. Garnett),0,0
1,1,11:35.0,Defensive rebound by M. Plumlee,,0,0
2,1,11:19.0,Turnover by J. Johnson (bad pass; steal by M. Conley),,0,0
3,1,11:17.0,,M. Conley makes 2-pt layup at rim,0,2
4,1,10:55.0,J. Jack makes 2-pt jump shot from 15 ft (assist by M. Plumlee),,2,2
5,1,10:40.0,,M. Gasol makes 2-pt jump shot from 12 ft (assist by C. Lee),2,4
6,1,10:15.0,A. Anderson makes 3-pt jump shot from 26 ft,,5,4
7,1,10:00.0,,Z. Randolph makes 2-pt jump shot from 15 ft (assist by M. Conley),5,6
8,1,9:45.0,J. Jack misses 2-pt jump shot from 16 ft,,5,6
9,1,9:44.0,,Defensive rebound by M. Gasol,5,6
10,1,9:30.0,,C. Lee makes 2-pt jump shot from 14 ft,5,8
11,1,9:14.0,K. Garnett misses 2-pt jump shot from 21 ft,,5,8
12,1,9:14.0,Offensive rebound by Team,,5,8
13,1,9:14.0,,Loose ball foul by J. Green (drawn by J. Johnson),5,8
14,1,9:07.0,Turnover by J. Jack (bad pass; steal by Z. Randolph),,5,8
15,1,9:03.0,,J. Green makes 2-pt dunk at rim (assist by M. Conley),5,10
16,1,8:47.0,Turnover by J. Johnson (bad pass; steal by M. Gasol),,5,10
17,1,8:41.0,,C. Lee misses 3-pt jump shot from 26 ft,5,10
18,1,8:39.0,Defensive rebound by M. Plumlee,,5,10
19,1,8:35.0,J. Jack misses 2-pt jump shot from 12 ft,,5,10
20,1,8:32.0,,Defensive rebound by M. Gasol,5,10
21,1,8:22.0,,Z. Randolph misses 2-pt jump shot from 20 ft,5,10
22,1,8:22.0,,Offensive rebound by M. Gasol,5,10
23,1,8:22.0,Loose ball foul by M. Plumlee (drawn by M. Gasol),,5,10
24,1,8:15.0,,Z. Randolph makes 2-pt layup at rim (assist by J. Green),5,12
25,1,8:02.0,J. Johnson misses 2-pt jump shot from 21 ft,,5,12
26,1,8:01.0,Offensive rebound by M. Plumlee,,5,12
27,1,8:01.0,,Loose ball foul by J. Green (drawn by M. Plumlee),5,12
28,1,7:54.0,J. Jack misses 2-pt jump shot from 8 ft,,5,12
29,1,7:53.0,Offensive rebound by M. Plumlee,,5,12
30,1,7:42.0,M. Plumlee makes 2-pt dunk at rim,,7,12
31,1,7:14.0,,J. Green misses 2-pt jump shot from 5 ft (block by K. Garnett),7,12
32,1,7:12.0,Defensive rebound by J. Johnson,,7,12
33,1,7:07.0,J. Johnson misses 2-pt jump shot from 6 ft (block by J. Green),,7,12
34,1,7:03.0,,Defensive rebound by M. Gasol,7,12
35,1,6:59.0,,Z. Randolph makes 2-pt layup at rim,7,14
36,1,6:58.0,Brooklyn full timeout,,7,14
37,1,6:58.0,B. Lopez enters the game for M. Plumlee,,7,14
38,1,6:46.0,Personal foul by M. Gasol (drawn by B. Lopez),,7,14
39,1,6:31.0,K. Garnett misses 2-pt jump shot from 12 ft,,7,14
40,1,6:29.0,,Defensive rebound by C. Lee,7,14
41,1,6:15.0,D. Williams enters the game for A. Anderson,,7,14
42,1,6:12.0,,C. Lee makes 2-pt jump shot from 13 ft (assist by J. Green),7,16
43,1,5:47.0,Turnover by J. Johnson (bad pass; steal by M. Conley),,7,16
44,1,5:43.0,,Z. Randolph misses 2-pt dunk at rim,7,16
45,1,5:41.0,Defensive rebound by Team,,7,16
46,1,5:28.0,D. Williams misses 2-pt jump shot from 6 ft,,7,16
47,1,5:26.0,Offensive rebound by B. Lopez,,7,16
48,1,5:26.0,B. Lopez makes 2-pt tip-in from 1 ft,,9,16
49,1,5:02.0,,M. Gasol makes 2-pt jump shot from 21 ft (assist by C. Lee),9,18
50,1,4:44.0,B. Lopez misses 2-pt jump shot from 7 ft,,9,18
51,1,4:43.0,,Defensive rebound by Z. Randolph,9,18
52,1,4:32.0,,Personal foul by D. Williams (drawn by M. Gasol),9,18
53,1,4:32.0,M. Plumlee enters the game for K. Garnett,,9,18
54,1,4:32.0,,B. Udrih enters the game for M. Conley,9,18
55,1,4:32.0,,T. Allen enters the game for C. Lee,9,18
56,1,4:24.0,,J. Green misses 3-pt jump shot from 24 ft,9,18
57,1,4:23.0,Defensive rebound by D. Williams,,9,18
58,1,4:17.0,D. Williams misses 2-pt layup at rim,,9,18
59,1,4:14.0,,Defensive rebound by T. Allen,9,18
60,1,4:10.0,,B. Udrih makes 2-pt jump shot from 11 ft (assist by T. Allen),9,20
61,1,3:55.0,Offensive foul by J. Johnson (drawn by J. Green),,9,20
62,1,3:55.0,Turnover by J. Johnson (offensive foul),,9,20
63,1,3:44.0,,T. Allen makes 2-pt layup at rim (assist by J. Green),9,22
64,1,3:29.0,B. Lopez misses 2-pt jump shot from 9 ft,,9,22
65,1,3:28.0,,Defensive rebound by M. Gasol,9,22
66,1,3:17.0,,Z. Randolph misses 2-pt jump shot from 15 ft,9,22
67,1,3:16.0,Defensive rebound by J. Jack,,9,22
68,1,3:08.0,J. Jack makes 2-pt jump shot from 17 ft,,11,22
69,1,2:43.0,,B. Udrih makes 2-pt jump shot from 12 ft,11,24
70,1,2:26.0,J. Jack misses 2-pt jump shot from 7 ft (block by B. Udrih),,11,24
71,1,2:23.0,,Defensive rebound by M. Gasol,11,24
72,1,2:20.0,,T. Allen makes 2-pt layup at rim (assist by M. Gasol),11,26
73,1,2:20.0,Brooklyn full timeout,,11,26
74,1,2:20.0,,Memphis full timeout,11,26
75,1,2:20.0,,N. Calathes enters the game for J. Green,11,26
76,1,2:20.0,,K. Koufos enters the game for Z. Randolph,11,26
77,1,2:20.0,A. Anderson enters the game for J. Johnson,,11,26
78,1,2:01.0,B. Lopez misses 2-pt jump shot from 9 ft,,11,26
79,1,2:00.0,,Defensive rebound by M. Gasol,11,26
80,1,1:40.0,,M. Gasol misses 2-pt jump shot from 14 ft,11,26
81,1,1:39.0,,Offensive rebound by K. Koufos,11,26
82,1,1:38.0,,Personal foul by D. Williams (drawn by K. Koufos),11,26
83,1,1:26.0,,M. Gasol makes 2-pt jump shot from 18 ft (assist by B. Udrih),11,28
84,1,1:10.0,D. Williams misses 3-pt jump shot from 24 ft,,11,28
85,1,1:09.0,,Defensive rebound by T. Allen,11,28
