,QUARTER,TIME_REMAINING,PHOENIX_ACTION,OKLAHOMA CITY_ACTION,PHOENIX_SCORE,OKLAHOMA CITY_SCORE
0,1,12:00.0,,Violation by Team (jump ball),0,0
1,1,11:39.0,G. Green misses 3-pt jump shot from 24 ft,,0,0
2,1,11:37.0,,Defensive rebound by S. Ibaka,0,0
3,1,11:23.0,,K. Durant misses 2-pt jump shot from 19 ft,0,0
4,1,11:22.0,,Offensive rebound by S. Ibaka,0,0
5,1,11:19.0,,S. Ibaka makes 2-pt hook shot from 6 ft,0,2
6,1,11:05.0,M. Plumlee makes 2-pt hook shot from 6 ft (assist by G. Green),,2,2
7,1,10:46.0,,K. Durant makes 2-pt jump shot from 17 ft (assist by R. Westbrook),2,4
8,1,10:26.0,M. Morris makes 2-pt jump shot from 14 ft,,4,4
9,1,10:12.0,,Personal foul by P. Tucker (drawn by K. Durant),4,4
10,1,10:06.0,,Personal foul by E. Bledsoe (drawn by S. Adams),4,4
11,1,9:54.0,,S. Ibaka makes 2-pt hook shot from 4 ft (assist by R. Westbrook),4,6
12,1,9:27.0,P. Tucker misses 2-pt jump shot from 16 ft,,4,6
13,1,9:26.0,,Defensive rebound by K. Durant,4,6
14,1,9:16.0,,Shooting foul by M. Morris (drawn by R. Westbrook),4,6
15,1,9:16.0,,R. Westbrook makes free throw 1 of 2,4,7
16,1,9:16.0,,R. Westbrook makes free throw 2 of 2,4,8
17,1,9:01.0,Shooting foul by S. Ibaka (drawn by M. Morris),,4,8
18,1,9:01.0,M. Morris makes free throw 1 of 2,,5,8
19,1,9:01.0,M. Morris makes free throw 2 of 2,,6,8
20,1,8:53.0,,Shooting foul by M. Morris (drawn by K. Durant),6,8
21,1,8:53.0,,K. Durant makes free throw 1 of 2,6,9
22,1,8:53.0,A. Tolliver enters the game for M. Morris,,6,9
23,1,8:53.0,,K. Durant makes free throw 2 of 2,6,10
24,1,8:39.0,Turnover by P. Tucker (traveling),,6,10
25,1,8:31.0,,S. Ibaka makes 2-pt jump shot from 15 ft (assist by R. Westbrook),6,12
26,1,8:12.0,G. Green misses 2-pt jump shot from 15 ft,,6,12
27,1,8:11.0,Offensive rebound by M. Plumlee,,6,12
28,1,8:01.0,G. Green makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),,9,12
29,1,7:47.0,,S. Ibaka makes 2-pt jump shot from 16 ft (assist by R. Westbrook),9,14
30,1,7:36.0,Turnover by E. Bledsoe (bad pass; steal by K. Durant),,9,14
31,1,7:28.0,,K. Durant makes 2-pt jump shot from 15 ft,9,16
32,1,7:22.0,Phoenix full timeout,,9,16
33,1,7:12.0,E. Bledsoe makes 2-pt layup from 2 ft (assist by A. Tolliver),,11,16
34,1,7:12.0,Shooting foul by S. Adams (drawn by E. Bledsoe),,11,16
35,1,7:12.0,E. Bledsoe makes free throw 1 of 1,,12,16
36,1,6:56.0,,Shooting foul by M. Plumlee (drawn by R. Westbrook),12,16
37,1,6:56.0,,R. Westbrook makes free throw 1 of 2,12,17
38,1,6:56.0,,R. Westbrook makes free throw 2 of 2,12,18
39,1,6:36.0,E. Bledsoe misses 2-pt jump shot from 23 ft,,12,18
40,1,6:35.0,Offensive rebound by G. Green,,12,18
41,1,6:33.0,G. Green misses 2-pt jump shot from 16 ft,,12,18
42,1,6:32.0,Offensive rebound by M. Plumlee,,12,18
43,1,6:14.0,A. Tolliver misses 3-pt jump shot from 24 ft,,12,18
44,1,6:13.0,,Defensive rebound by S. Adams,12,18
45,1,6:08.0,,R. Westbrook makes 2-pt jump shot from 8 ft,12,20
46,1,6:08.0,,Shooting foul by E. Bledsoe (drawn by R. Westbrook),12,20
47,1,6:08.0,I. Thomas enters the game for E. Bledsoe,,12,20
48,1,6:08.0,,R. Jackson enters the game for K. Durant,12,20
49,1,6:08.0,,R. Westbrook makes free throw 1 of 1,12,21
50,1,6:01.0,G. Green makes 3-pt jump shot from 23 ft (assist by I. Thomas),,15,21
51,1,5:48.0,,Shooting foul by G. Green (drawn by R. Westbrook),15,21
52,1,5:48.0,Technical foul by G. Green,,15,21
53,1,5:48.0,,R. Westbrook makes technical free throw,15,22
54,1,5:48.0,,R. Westbrook makes free throw 1 of 2,15,23
55,1,5:48.0,M. Morris enters the game for P. Tucker,,15,23
56,1,5:48.0,A. Goodwin enters the game for G. Green,,15,23
57,1,5:48.0,,R. Westbrook makes free throw 2 of 2,15,24
58,1,5:38.0,Personal foul by S. Ibaka (drawn by I. Thomas),,15,24
59,1,5:38.0,,A. Morrow enters the game for S. Ibaka,15,24
60,1,5:32.0,A. Tolliver misses 3-pt jump shot from 24 ft,,15,24
61,1,5:29.0,,Defensive rebound by R. Jackson,15,24
62,1,5:19.0,,A. Morrow misses 2-pt jump shot from 5 ft,15,24
63,1,5:18.0,Defensive rebound by M. Plumlee,,15,24
64,1,4:58.0,M. Plumlee makes 2-pt dunk at rim (assist by I. Thomas),,17,24
65,1,4:43.0,,R. Westbrook makes 2-pt jump shot from 16 ft,17,26
66,1,4:25.0,A. Goodwin misses 2-pt layup from 1 ft (block by S. Adams),,17,26
67,1,4:25.0,Offensive rebound by Team,,17,26
68,1,4:25.0,A. Len enters the game for M. Plumlee,,17,26
69,1,4:25.0,,K. Perkins enters the game for S. Adams,17,26
70,1,4:23.0,Turnover by A. Tolliver (lost ball; steal by A. Morrow),,17,26
71,1,4:18.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by A. Morrow),17,28
72,1,4:01.0,A. Len makes 2-pt jump shot from 16 ft,,19,28
