,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,LA CLIPPERS_ACTION,LA LAKERS_SCORE,LA CLIPPERS_SCORE
0,1,11:48.0,Turnover by K. Bryant (bad pass),,0,0
1,1,11:25.0,,M. Barnes makes 3-pt jump shot from 26 ft (assist by B. Griffin),0,3
2,1,11:10.0,K. Bryant misses 3-pt jump shot from 26 ft,,0,3
3,1,11:09.0,,Defensive rebound by Team,0,3
4,1,10:58.0,,B. Griffin makes 2-pt layup from 1 ft (assist by C. Paul),0,5
5,1,10:46.0,Shooting foul by D. Jordan (drawn by E. Davis),,0,5
6,1,10:46.0,E. Davis misses free throw 1 of 2,,0,5
7,1,10:46.0,Offensive rebound by Team,,0,5
8,1,10:46.0,E. Davis misses free throw 2 of 2,,0,5
9,1,10:44.0,Offensive rebound by J. Hill,,0,5
10,1,10:37.0,Turnover by J. Lin (lost ball; steal by D. Jordan),,0,5
11,1,10:30.0,,C. Paul misses 2-pt layup from 2 ft,0,5
12,1,10:28.0,Defensive rebound by J. Hill,,0,5
13,1,10:20.0,E. Davis misses 2-pt hook shot from 1 ft,,0,5
14,1,10:17.0,,Defensive rebound by C. Paul,0,5
15,1,10:10.0,,B. Griffin misses 2-pt jump shot from 17 ft,0,5
16,1,10:08.0,,Offensive rebound by D. Jordan,0,5
17,1,10:02.0,,M. Barnes misses 3-pt jump shot from 24 ft,0,5
18,1,10:00.0,Defensive rebound by J. Lin,,0,5
19,1,9:47.0,W. Ellington makes 3-pt jump shot from 24 ft,,3,5
20,1,9:33.0,,J. Redick misses 3-pt jump shot from 23 ft,3,5
21,1,9:32.0,Defensive rebound by J. Lin,,3,5
22,1,9:14.0,J. Lin misses 2-pt jump shot from 21 ft,,3,5
23,1,9:13.0,,Defensive rebound by B. Griffin,3,5
24,1,9:03.0,,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),3,7
25,1,8:38.0,J. Lin misses 3-pt jump shot from 25 ft,,3,7
26,1,8:36.0,,Defensive rebound by B. Griffin,3,7
27,1,8:27.0,,C. Paul makes 2-pt jump shot from 15 ft,3,9
28,1,8:13.0,W. Ellington misses 2-pt jump shot from 21 ft,,3,9
29,1,8:11.0,,Defensive rebound by D. Jordan,3,9
30,1,7:59.0,,B. Griffin misses 2-pt jump shot from 18 ft,3,9
31,1,7:58.0,,Offensive rebound by D. Jordan,3,9
32,1,7:49.0,,Shooting foul by J. Lin (drawn by M. Barnes),3,9
33,1,7:49.0,,M. Barnes makes free throw 1 of 2,3,10
34,1,7:49.0,,M. Barnes makes free throw 2 of 2,3,11
35,1,7:34.0,J. Hill makes 2-pt jump shot from 18 ft (assist by W. Ellington),,5,11
36,1,7:20.0,,B. Griffin makes 2-pt layup from 2 ft (assist by C. Paul),5,13
37,1,7:20.0,,Shooting foul by J. Hill (drawn by B. Griffin),5,13
38,1,7:20.0,,B. Griffin misses free throw 1 of 1,5,13
39,1,7:17.0,,Offensive rebound by J. Redick,5,13
40,1,7:03.0,,J. Redick makes 2-pt jump shot from 22 ft (assist by B. Griffin),5,15
41,1,6:46.0,J. Hill makes 2-pt layup from 1 ft (assist by K. Bryant),,7,15
42,1,6:35.0,,C. Paul makes 2-pt jump shot from 14 ft,7,17
43,1,6:16.0,E. Davis misses 2-pt hook shot from 2 ft,,7,17
44,1,6:14.0,,Defensive rebound by D. Jordan,7,17
45,1,6:04.0,,C. Paul makes 2-pt jump shot from 13 ft (assist by B. Griffin),7,19
46,1,5:55.0,LA Lakers full timeout,,7,19
47,1,5:41.0,J. Lin misses 2-pt jump shot from 7 ft,,7,19
48,1,5:40.0,Offensive rebound by E. Davis,,7,19
49,1,5:35.0,E. Davis misses 2-pt jump shot from 5 ft,,7,19
50,1,5:35.0,,Defensive rebound by Team,7,19
51,1,5:21.0,,B. Griffin makes 2-pt dunk at rim (assist by C. Paul),7,21
