,QUARTER,TIME_REMAINING,DALLAS_ACTION,PHOENIX_ACTION,DALLAS_SCORE,PHOENIX_SCORE
0,1,11:37.0,D. Nowitzki makes 2-pt jump shot from 10 ft (assist by R. Rondo),,2,0
1,1,11:11.0,,M. Morris misses 3-pt jump shot from 26 ft,2,0
2,1,11:10.0,Defensive rebound by T. Chandler,,2,0
3,1,11:07.0,Turnover by R. Rondo (bad pass; steal by M. Morris),,2,0
4,1,11:02.0,,M. Morris makes 2-pt layup from 1 ft (assist by G. Dragić),2,2
5,1,10:48.0,R. Rondo makes 2-pt jump shot from 17 ft (assist by M. Ellis),,4,2
6,1,10:36.0,,G. Dragić makes 2-pt jump shot from 19 ft (assist by E. Bledsoe),4,4
7,1,10:27.0,C. Parsons misses 3-pt jump shot from 25 ft,,4,4
8,1,10:26.0,,Defensive rebound by M. Morris,4,4
9,1,10:15.0,,M. Morris misses 2-pt jump shot from 7 ft,4,4
10,1,10:14.0,,Offensive rebound by E. Bledsoe,4,4
11,1,10:14.0,,E. Bledsoe misses 2-pt tip-in from 1 ft,4,4
12,1,10:13.0,Defensive rebound by C. Parsons,,4,4
13,1,10:10.0,R. Rondo makes 2-pt layup from 1 ft,,6,4
14,1,9:58.0,,A. Len makes 2-pt layup at rim (assist by E. Bledsoe),6,6
15,1,9:52.0,C. Parsons makes 3-pt jump shot from 24 ft (assist by R. Rondo),,9,6
16,1,9:42.0,,A. Len misses 2-pt jump shot from 21 ft,9,6
17,1,9:41.0,Defensive rebound by T. Chandler,,9,6
18,1,9:28.0,R. Rondo misses 2-pt jump shot from 6 ft,,9,6
19,1,9:28.0,,Defensive rebound by G. Dragić,9,6
20,1,9:22.0,,G. Dragić makes 2-pt layup from 1 ft,9,8
21,1,9:09.0,D. Nowitzki makes 2-pt jump shot from 17 ft,,11,8
22,1,9:00.0,,Phoenix full timeout,11,8
23,1,8:47.0,,P. Tucker misses 3-pt jump shot from 24 ft,11,8
24,1,8:46.0,Defensive rebound by Team,,11,8
25,1,8:34.0,M. Ellis misses 2-pt layup from 1 ft (block by A. Len),,11,8
26,1,8:32.0,,Defensive rebound by A. Len,11,8
27,1,8:26.0,,Offensive foul by M. Morris (drawn by D. Nowitzki),11,8
28,1,8:26.0,,Turnover by M. Morris (offensive foul),11,8
29,1,8:12.0,Personal foul by M. Morris (drawn by D. Nowitzki),,11,8
