,QUARTER,TIME_REMAINING,HOUSTON_ACTION,PHOENIX_ACTION,HOUSTON_SCORE,PHOENIX_SCORE
0,1,11:42.0,D. Motiejūnas misses 2-pt layup from 2 ft,,0,0
1,1,11:39.0,,Defensive rebound by M. Morris,0,0
2,1,11:32.0,,E. Bledsoe misses 3-pt jump shot from 25 ft,0,0
3,1,11:30.0,Defensive rebound by D. Howard,,0,0
4,1,11:21.0,Personal foul by M. Morris (drawn by D. Motiejūnas),,0,0
5,1,11:05.0,P. Beverley misses 2-pt layup from 1 ft,,0,0
6,1,11:02.0,,Defensive rebound by A. Len,0,0
7,1,11:01.0,,Turnover by M. Morris (bad pass; steal by J. Harden),0,0
8,1,10:58.0,J. Harden misses 2-pt layup from 2 ft (block by A. Len),,0,0
9,1,10:55.0,,Defensive rebound by M. Morris,0,0
10,1,10:51.0,,P. Tucker misses 3-pt jump shot from 23 ft,0,0
11,1,10:48.0,Defensive rebound by T. Ariza,,0,0
12,1,10:45.0,T. Ariza makes 2-pt layup from 1 ft,,2,0
13,1,10:38.0,,P. Tucker misses 2-pt jump shot from 8 ft,2,0
14,1,10:35.0,Defensive rebound by D. Motiejūnas,,2,0
15,1,10:29.0,P. Beverley misses 2-pt layup from 1 ft,,2,0
16,1,10:27.0,,Defensive rebound by A. Len,2,0
17,1,10:15.0,,A. Len makes 2-pt jump shot from 14 ft (assist by E. Bledsoe),2,2
18,1,9:53.0,D. Motiejūnas misses 2-pt jump shot from 10 ft,,2,2
19,1,9:49.0,,Defensive rebound by A. Len,2,2
20,1,9:46.0,,G. Dragić makes 2-pt jump shot from 17 ft,2,4
21,1,9:29.0,J. Harden misses 2-pt jump shot from 16 ft,,2,4
22,1,9:27.0,,Defensive rebound by E. Bledsoe,2,4
23,1,9:26.0,,Turnover by E. Bledsoe (bad pass),2,4
24,1,8:58.0,D. Howard makes 3-pt jump shot from 25 ft (assist by P. Beverley),,5,4
25,1,8:45.0,,G. Dragić misses 3-pt jump shot from 24 ft,5,4
