,QUARTER,TIME_REMAINING,TORONTO_ACTION,LA LAKERS_ACTION,TORONTO_SCORE,LA LAKERS_SCORE
0,1,11:43.0,G. Vásquez makes 2-pt jump shot from 4 ft,,2,0
1,1,11:20.0,,J. Hill makes 2-pt hook shot from 4 ft,2,2
2,1,11:01.0,K. Lowry makes 2-pt jump shot from 20 ft (assist by J. Valančiūnas),,4,2
3,1,10:46.0,,C. Boozer misses 2-pt layup from 2 ft,4,2
4,1,10:44.0,Defensive rebound by K. Lowry,,4,2
5,1,10:36.0,A. Johnson makes 2-pt hook shot from 3 ft (assist by K. Lowry),,6,2
6,1,10:15.0,,J. Lin misses 2-pt jump shot from 13 ft,6,2
7,1,10:13.0,,Offensive rebound by J. Hill,6,2
8,1,10:09.0,,J. Hill makes 2-pt hook shot from 5 ft,6,4
9,1,9:53.0,K. Lowry misses 3-pt jump shot from 23 ft,,6,4
10,1,9:51.0,,Defensive rebound by J. Hill,6,4
11,1,9:42.0,,C. Boozer makes 2-pt jump shot from 14 ft (assist by K. Bryant),6,6
12,1,9:19.0,J. Valančiūnas makes 2-pt hook shot from 3 ft (assist by G. Vásquez),,8,6
13,1,9:03.0,,J. Lin misses 3-pt jump shot from 24 ft,8,6
14,1,9:02.0,Defensive rebound by K. Lowry,,8,6
15,1,8:44.0,Offensive foul by A. Johnson (drawn by K. Bryant),,8,6
16,1,8:44.0,Turnover by A. Johnson (offensive foul),,8,6
17,1,8:30.0,,W. Johnson makes 2-pt jump shot from 20 ft (assist by C. Boozer),8,8
18,1,8:13.0,G. Vásquez misses 3-pt jump shot from 23 ft,,8,8
19,1,8:10.0,,Defensive rebound by K. Bryant,8,8
20,1,8:02.0,,Turnover by K. Bryant (bad pass; steal by K. Lowry),8,8
21,1,7:56.0,K. Lowry misses 2-pt jump shot from 3 ft (block by J. Hill),,8,8
22,1,7:55.0,Offensive rebound by Team,,8,8
23,1,7:47.0,T. Ross misses 2-pt jump shot from 20 ft,,8,8
24,1,7:44.0,,Defensive rebound by C. Boozer,8,8
25,1,7:38.0,,W. Johnson misses 3-pt jump shot from 24 ft,8,8
26,1,7:36.0,,Offensive rebound by C. Boozer,8,8
27,1,7:32.0,,C. Boozer makes 2-pt jump shot from 13 ft,8,10
28,1,7:21.0,A. Johnson misses 2-pt jump shot from 18 ft,,8,10
29,1,7:16.0,,Defensive rebound by J. Lin,8,10
30,1,7:11.0,,J. Lin misses 2-pt layup from 3 ft,8,10
31,1,7:08.0,Defensive rebound by A. Johnson,,8,10
32,1,7:00.0,G. Vásquez makes 2-pt jump shot from 16 ft,,10,10
33,1,6:46.0,,C. Boozer makes 2-pt jump shot from 17 ft (assist by K. Bryant),10,12
34,1,6:22.0,A. Johnson misses 2-pt layup from 3 ft,,10,12
35,1,6:21.0,Offensive rebound by A. Johnson,,10,12
36,1,6:17.0,A. Johnson makes 2-pt jump shot from 3 ft,,12,12
37,1,6:01.0,,J. Lin makes 3-pt jump shot from 23 ft (assist by K. Bryant),12,15
38,1,5:43.0,J. Valančiūnas misses 2-pt jump shot from 4 ft,,12,15
39,1,5:42.0,,Defensive rebound by Team,12,15
40,1,5:42.0,,LA Lakers full timeout,12,15
41,1,5:21.0,,J. Hill misses 2-pt hook shot from 2 ft,12,15
42,1,5:19.0,Defensive rebound by K. Lowry,,12,15
43,1,5:10.0,J. Valančiūnas misses 2-pt jump shot from 5 ft,,12,15
44,1,5:07.0,,Defensive rebound by K. Bryant,12,15
45,1,4:48.0,,C. Boozer misses 2-pt jump shot from 3 ft,12,15
46,1,4:47.0,Defensive rebound by J. Valančiūnas,,12,15
47,1,4:42.0,,N. Young enters the game for W. Johnson,12,15
48,1,4:42.0,,E. Davis enters the game for C. Boozer,12,15
49,1,4:31.0,G. Vásquez makes 2-pt layup from 1 ft,,14,15
50,1,4:13.0,,N. Young makes 3-pt jump shot from 22 ft (assist by K. Bryant),14,18
51,1,3:55.0,A. Johnson makes 2-pt hook shot from 3 ft (assist by K. Lowry),,16,18
