,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MIAMI_ACTION,SACRAMENTO_SCORE,MIAMI_SCORE
0,1,11:56.0,Personal foul by S. Napier (drawn by B. McLemore),,0,0
1,1,11:41.0,D. Cousins misses 2-pt jump shot from 13 ft,,0,0
2,1,11:40.0,,Defensive rebound by S. Napier,0,0
3,1,11:18.0,,U. Haslem misses 2-pt jump shot from 16 ft,0,0
4,1,11:17.0,,Offensive rebound by C. Andersen,0,0
5,1,11:13.0,,C. Andersen misses 2-pt layup from 2 ft,0,0
6,1,11:12.0,Defensive rebound by D. Cousins,,0,0
7,1,10:57.0,D. Cousins misses 2-pt jump shot from 19 ft,,0,0
8,1,10:56.0,,Defensive rebound by D. Wade,0,0
9,1,10:37.0,,S. Napier misses 3-pt jump shot from 25 ft,0,0
10,1,10:36.0,Defensive rebound by D. Cousins,,0,0
11,1,10:13.0,R. Gay misses 3-pt jump shot from 23 ft,,0,0
12,1,10:12.0,,Defensive rebound by D. Wade,0,0
13,1,9:57.0,,H. Walker misses 3-pt jump shot from 24 ft,0,0
14,1,9:56.0,Defensive rebound by J. Thompson,,0,0
15,1,9:39.0,D. Cousins makes 2-pt dunk at rim (assist by J. Thompson),,2,0
16,1,9:24.0,,Turnover by S. Napier (lost ball),2,0
17,1,9:11.0,R. Gay makes 2-pt jump shot from 11 ft (assist by D. Cousins),,4,0
18,1,8:56.0,,D. Wade makes 2-pt jump shot from 6 ft,4,2
19,1,8:40.0,B. McLemore makes 3-pt jump shot from 23 ft (assist by R. McCallum),,7,2
20,1,8:24.0,,Turnover by D. Wade (lost ball; steal by D. Cousins),7,2
21,1,8:16.0,Shooting foul by H. Walker (drawn by D. Cousins),,7,2
22,1,8:16.0,D. Cousins makes free throw 1 of 2,,8,2
23,1,8:16.0,D. Cousins makes free throw 2 of 2,,9,2
24,1,8:03.0,,C. Andersen makes 2-pt jump shot from 3 ft (assist by U. Haslem),9,4
25,1,7:46.0,B. McLemore misses 2-pt layup at rim,,9,4
