,QUARTER,TIME_REMAINING,PORTLAND_ACTION,LA CLIPPERS_ACTION,PORTLAND_SCORE,LA CLIPPERS_SCORE
0,1,11:40.0,,D. Jordan misses 2-pt hook shot from 6 ft,0,0
1,1,11:37.0,Defensive rebound by N. Batum,,0,0
2,1,11:26.0,W. Matthews misses 2-pt jump shot from 10 ft,,0,0
3,1,11:25.0,Offensive rebound by R. Lopez,,0,0
4,1,11:20.0,L. Aldridge makes 3-pt jump shot from 26 ft (assist by R. Lopez),,3,0
5,1,11:08.0,,B. Griffin makes 2-pt hook shot from 5 ft,3,2
6,1,10:42.0,L. Aldridge misses 2-pt jump shot from 19 ft,,3,2
7,1,10:41.0,Offensive rebound by R. Lopez,,3,2
8,1,10:41.0,R. Lopez makes 2-pt tip-in from 1 ft,,5,2
9,1,10:28.0,,C. Paul misses 2-pt jump shot from 16 ft,5,2
10,1,10:24.0,Defensive rebound by N. Batum,,5,2
11,1,10:13.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by N. Batum),,8,2
12,1,10:00.0,,J. Redick makes 2-pt jump shot from 15 ft (assist by C. Paul),8,4
13,1,10:00.0,,Shooting foul by W. Matthews (drawn by J. Redick),8,4
14,1,10:00.0,,J. Redick makes free throw 1 of 1,8,5
15,1,9:39.0,Shooting foul by J. Redick (drawn by R. Lopez),,8,5
16,1,9:39.0,R. Lopez makes free throw 1 of 2,,9,5
17,1,9:39.0,R. Lopez makes free throw 2 of 2,,10,5
18,1,9:30.0,,J. Crawford misses 3-pt jump shot from 25 ft,10,5
19,1,9:29.0,Defensive rebound by W. Matthews,,10,5
20,1,9:17.0,L. Aldridge misses 2-pt jump shot from 6 ft,,10,5
21,1,9:15.0,,Defensive rebound by D. Jordan,10,5
22,1,9:10.0,,J. Redick makes 2-pt layup at rim (assist by C. Paul),10,7
23,1,8:55.0,R. Lopez makes 2-pt jump shot from 11 ft (assist by W. Matthews),,12,7
24,1,8:39.0,,B. Griffin makes 2-pt jump shot from 18 ft (assist by C. Paul),12,9
25,1,8:23.0,L. Aldridge makes 2-pt jump shot from 16 ft (assist by D. Lillard),,14,9
26,1,8:03.0,,J. Crawford misses 2-pt jump shot from 10 ft,14,9
27,1,8:02.0,Defensive rebound by Team,,14,9
28,1,7:38.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by N. Batum),,17,9
29,1,7:24.0,,Shooting foul by W. Matthews (drawn by J. Redick),17,9
30,1,7:24.0,,J. Redick makes free throw 1 of 3,17,10
31,1,7:24.0,C. McCollum enters the game for W. Matthews,,17,10
32,1,7:24.0,,J. Redick makes free throw 2 of 3,17,11
33,1,7:24.0,,J. Redick makes free throw 3 of 3,17,12
34,1,7:08.0,Personal foul by C. Paul (drawn by D. Lillard),,17,12
35,1,6:58.0,R. Lopez makes 2-pt layup from 1 ft (assist by D. Lillard),,19,12
36,1,6:58.0,Shooting foul by B. Griffin (drawn by R. Lopez),,19,12
