,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,BOSTON_ACTION,PHILADELPHIA_SCORE,BOSTON_SCORE
0,1,11:44.0,,A. Bradley makes 2-pt jump shot from 18 ft (assist by M. Smart),0,2
1,1,11:21.0,N. Noel misses 2-pt jump shot from 4 ft,,0,2
2,1,11:20.0,,Defensive rebound by M. Smart,0,2
3,1,11:03.0,,A. Bradley makes 2-pt jump shot from 21 ft (assist by E. Turner),0,4
4,1,10:43.0,N. Noel misses 2-pt layup at rim,,0,4
5,1,10:42.0,,Defensive rebound by J. Sullinger,0,4
6,1,10:31.0,,A. Bradley makes 3-pt jump shot from 22 ft (assist by J. Sullinger),0,7
7,1,10:12.0,K. McDaniels misses 3-pt jump shot from 25 ft,,0,7
8,1,10:11.0,,Defensive rebound by A. Bradley,0,7
9,1,10:02.0,,B. Bass makes 2-pt layup from 2 ft,0,9
10,1,10:00.0,Philadelphia full timeout,,0,9
11,1,9:38.0,R. Covington makes 3-pt jump shot from 26 ft (assist by J. Sampson),,3,9
12,1,9:23.0,,Personal foul by K. McDaniels (drawn by A. Bradley),3,9
13,1,9:14.0,,J. Sullinger makes 2-pt jump shot from 11 ft (assist by A. Bradley),3,11
14,1,8:53.0,K. McDaniels makes 2-pt jump shot from 14 ft,,5,11
15,1,8:30.0,,E. Turner misses 3-pt jump shot from 25 ft,5,11
16,1,8:28.0,Defensive rebound by R. Covington,,5,11
17,1,8:13.0,R. Covington misses 3-pt jump shot from 25 ft,,5,11
18,1,8:12.0,,Defensive rebound by A. Bradley,5,11
19,1,8:04.0,,J. Sullinger misses 2-pt hook shot from 13 ft,5,11
20,1,8:03.0,Defensive rebound by K. McDaniels,,5,11
21,1,7:56.0,Turnover by K. McDaniels (lost ball),,5,11
22,1,7:45.0,,A. Bradley misses 2-pt jump shot from 19 ft,5,11
23,1,7:44.0,Defensive rebound by N. Noel,,5,11
24,1,7:36.0,Turnover by N. Noel (lost ball; steal by J. Sullinger),,5,11
25,1,7:31.0,,E. Turner makes 2-pt dunk at rim (assist by J. Sullinger),5,13
26,1,7:19.0,Personal foul by M. Smart (drawn by J. Sampson),,5,13
27,1,7:19.0,J. Sampson makes free throw 1 of 2,,6,13
28,1,7:19.0,J. Sampson misses free throw 2 of 2,,6,13
29,1,7:17.0,,Defensive rebound by E. Turner,6,13
30,1,7:04.0,,Turnover by E. Turner (bad pass),6,13
