,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,BOSTON_ACTION,CLEVELAND_SCORE,BOSTON_SCORE
0,1,11:43.0,J. Smith misses 2-pt jump shot from 19 ft,,0,0
1,1,11:42.0,,Defensive rebound by A. Bradley,0,0
2,1,11:19.0,,A. Bradley misses 3-pt jump shot from 25 ft,0,0
3,1,11:18.0,Defensive rebound by L. James,,0,0
4,1,11:11.0,L. James makes 2-pt layup from 2 ft,,2,0
5,1,10:51.0,,A. Bradley misses 2-pt jump shot from 18 ft,2,0
6,1,10:50.0,Defensive rebound by L. James,,2,0
7,1,10:42.0,L. James makes 2-pt layup from 1 ft,,4,0
8,1,10:21.0,,E. Turner misses 2-pt jump shot from 20 ft,4,0
9,1,10:20.0,Defensive rebound by T. Mozgov,,4,0
10,1,10:05.0,J. Smith misses 3-pt jump shot from 26 ft,,4,0
11,1,10:04.0,,Defensive rebound by E. Turner,4,0
12,1,9:58.0,,B. Bass makes 2-pt dunk at rim (assist by E. Turner),4,2
13,1,9:37.0,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),,7,2
14,1,9:25.0,,E. Turner misses 2-pt jump shot from 17 ft,7,2
15,1,9:24.0,Defensive rebound by K. Love,,7,2
16,1,9:18.0,L. James misses 3-pt jump shot from 27 ft,,7,2
17,1,9:17.0,,Defensive rebound by T. Zeller,7,2
18,1,9:10.0,,M. Smart makes 3-pt jump shot from 26 ft (assist by E. Turner),7,5
19,1,8:49.0,T. Mozgov makes 2-pt dunk at rim (assist by K. Irving),,9,5
20,1,8:26.0,,B. Bass makes 2-pt jump shot from 5 ft,9,7
21,1,8:14.0,T. Mozgov makes 2-pt layup from 1 ft (assist by K. Irving),,11,7
22,1,8:14.0,Shooting foul by T. Zeller (drawn by T. Mozgov),,11,7
23,1,8:14.0,T. Mozgov makes free throw 1 of 1,,12,7
24,1,7:56.0,,M. Smart makes 2-pt layup from 2 ft,12,9
25,1,7:56.0,,Shooting foul by K. Irving (drawn by M. Smart),12,9
26,1,7:56.0,,M. Smart makes free throw 1 of 1,12,10
27,1,7:42.0,Shooting foul by E. Turner (drawn by K. Love),,12,10
28,1,7:42.0,K. Love misses free throw 1 of 2,,12,10
29,1,7:42.0,Offensive rebound by Team,,12,10
30,1,7:42.0,K. Love makes free throw 2 of 2,,13,10
31,1,7:27.0,,A. Bradley misses 2-pt jump shot from 9 ft,13,10
32,1,7:26.0,Defensive rebound by T. Mozgov,,13,10
33,1,7:16.0,K. Love misses 3-pt jump shot from 23 ft,,13,10
34,1,7:14.0,,Defensive rebound by B. Bass,13,10
35,1,7:08.0,,Turnover by E. Turner (offensive goaltending),13,10
36,1,7:08.0,Violation by Team (delay of game),,13,10
37,1,7:04.0,L. James makes 2-pt jump shot from 7 ft (assist by K. Love),,15,10
38,1,7:04.0,,Boston full timeout,15,10
39,1,6:45.0,,A. Bradley makes 3-pt jump shot from 24 ft (assist by E. Turner),15,13
40,1,6:27.0,K. Love misses 2-pt hook shot from 5 ft,,15,13
41,1,6:26.0,,Defensive rebound by E. Turner,15,13
42,1,6:17.0,,J. Sullinger enters the game for T. Zeller,15,13
43,1,6:17.0,,I. Thomas enters the game for M. Smart,15,13
44,1,6:08.0,,J. Sullinger makes 2-pt layup from 2 ft (assist by E. Turner),15,15
45,1,5:44.0,K. Love makes 2-pt jump shot from 7 ft,,17,15
46,1,5:25.0,,I. Thomas misses 2-pt jump shot from 18 ft,17,15
47,1,5:24.0,Defensive rebound by Team,,17,15
48,1,5:19.0,Shooting foul by I. Thomas (drawn by K. Irving),,17,15
49,1,5:19.0,K. Irving makes free throw 1 of 2,,18,15
50,1,5:19.0,K. Irving makes free throw 2 of 2,,19,15
51,1,5:05.0,,A. Bradley makes 2-pt jump shot from 20 ft (assist by B. Bass),19,17
52,1,4:50.0,L. James misses 2-pt layup from 1 ft,,19,17
53,1,4:49.0,Offensive rebound by J. Smith,,19,17
54,1,4:44.0,L. James misses 2-pt layup from 2 ft (block by J. Sullinger),,19,17
55,1,4:43.0,,Defensive rebound by J. Sullinger,19,17
56,1,4:41.0,,A. Bradley misses 2-pt layup at rim,19,17
57,1,4:40.0,Defensive rebound by T. Mozgov,,19,17
58,1,4:40.0,Personal foul by A. Bradley (drawn by T. Mozgov),,19,17
59,1,4:40.0,,J. Crowder enters the game for E. Turner,19,17
60,1,4:17.0,L. James misses 2-pt layup from 1 ft,,19,17
61,1,4:16.0,,Defensive rebound by J. Sullinger,19,17
62,1,4:09.0,,A. Bradley misses 2-pt jump shot from 20 ft,19,17
63,1,4:07.0,Defensive rebound by K. Irving,,19,17
64,1,4:04.0,T. Thompson enters the game for T. Mozgov,,19,17
65,1,3:53.0,K. Irving misses 3-pt jump shot from 26 ft,,19,17
