,QUARTER,TIME_REMAINING,TORONTO_ACTION,MIAMI_ACTION,TORONTO_SCORE,MIAMI_SCORE
0,1,11:38.0,,Shooting foul by J. Valančiūnas (drawn by C. Bosh),0,0
1,1,11:38.0,,C. Bosh makes free throw 1 of 2,0,1
2,1,11:38.0,,C. Bosh makes free throw 2 of 2,0,2
3,1,11:20.0,P. Patterson misses 2-pt jump shot from 20 ft,,0,2
4,1,11:19.0,,Defensive rebound by D. Wade,0,2
5,1,11:00.0,,N. Cole misses 3-pt jump shot from 24 ft,0,2
6,1,10:59.0,Defensive rebound by Team,,0,2
7,1,10:49.0,J. Valančiūnas makes 2-pt layup from 1 ft,,2,2
8,1,10:38.0,,C. Bosh makes 2-pt layup from 1 ft (assist by D. Wade),2,4
9,1,10:23.0,D. DeRozan makes 2-pt jump shot from 9 ft,,4,4
10,1,10:07.0,,L. Deng misses 3-pt jump shot from 25 ft,4,4
11,1,10:06.0,Defensive rebound by K. Lowry,,4,4
12,1,9:57.0,Shooting foul by S. Williams (drawn by D. DeRozan),,4,4
13,1,9:57.0,D. DeRozan makes free throw 1 of 2,,5,4
14,1,9:57.0,D. DeRozan makes free throw 2 of 2,,6,4
15,1,9:48.0,,S. Williams misses 3-pt jump shot from 24 ft,6,4
16,1,9:47.0,,Offensive rebound by L. Deng,6,4
17,1,9:45.0,,L. Deng misses 2-pt tip-in from 1 ft,6,4
18,1,9:44.0,,Offensive rebound by L. Deng,6,4
19,1,9:43.0,,L. Deng makes 2-pt layup from 1 ft,6,6
20,1,9:26.0,T. Ross misses 2-pt layup from 2 ft,,6,6
21,1,9:25.0,Offensive rebound by J. Valančiūnas,,6,6
22,1,9:24.0,J. Valančiūnas makes 2-pt dunk at rim,,8,6
23,1,9:07.0,,Personal block foul by P. Patterson (drawn by N. Cole),8,6
24,1,8:56.0,,S. Williams makes 2-pt jump shot from 20 ft (assist by D. Wade),8,8
25,1,8:29.0,D. DeRozan makes 2-pt jump shot from 16 ft,,10,8
26,1,8:15.0,,N. Cole makes 2-pt layup from 2 ft,10,10
27,1,8:01.0,D. DeRozan misses 2-pt jump shot from 18 ft,,10,10
28,1,8:00.0,,Defensive rebound by D. Wade,10,10
29,1,7:49.0,,Def 3 sec tech foul by K. Lowry,10,10
30,1,7:49.0,,C. Bosh makes technical free throw,10,11
31,1,7:42.0,,D. Wade makes 2-pt jump shot from 4 ft,10,13
32,1,7:26.0,J. Valančiūnas misses 2-pt layup from 2 ft (block by D. Wade),,10,13
33,1,7:25.0,,Defensive rebound by D. Wade,10,13
34,1,7:19.0,,C. Bosh misses 3-pt jump shot from 25 ft,10,13
35,1,7:18.0,,Offensive rebound by D. Wade,10,13
36,1,7:14.0,,S. Williams makes 3-pt jump shot from 25 ft (assist by D. Wade),10,16
37,1,7:05.0,Toronto full timeout,,10,16
38,1,7:05.0,,J. Hamilton enters the game for C. Bosh,10,16
39,1,6:51.0,K. Lowry makes 2-pt jump shot from 4 ft,,12,16
40,1,6:30.0,,D. Wade makes 2-pt jump shot from 12 ft,12,18
41,1,6:01.0,D. DeRozan misses 2-pt layup from 2 ft,,12,18
42,1,6:00.0,Offensive rebound by Team,,12,18
43,1,5:52.0,K. Lowry misses 3-pt jump shot from 25 ft,,12,18
44,1,5:51.0,,Defensive rebound by J. Hamilton,12,18
45,1,5:41.0,,D. Wade makes 2-pt hook shot from 8 ft,12,20
46,1,5:32.0,Shooting foul by N. Cole (drawn by K. Lowry),,12,20
47,1,5:32.0,K. Lowry misses free throw 1 of 2,,12,20
48,1,5:32.0,Offensive rebound by Team,,12,20
49,1,5:32.0,K. Lowry misses free throw 2 of 2,,12,20
50,1,5:31.0,,Defensive rebound by L. Deng,12,20
51,1,5:18.0,,J. Hamilton makes 2-pt hook shot from 7 ft (assist by N. Cole),12,22
52,1,5:01.0,Shooting foul by L. Deng (drawn by D. DeRozan),,12,22
53,1,5:01.0,D. DeRozan makes free throw 1 of 2,,13,22
54,1,5:01.0,T. Hansbrough enters the game for J. Valančiūnas,,13,22
55,1,5:01.0,D. DeRozan makes free throw 2 of 2,,14,22
56,1,4:48.0,,Turnover by D. Wade (bad pass; steal by T. Ross),14,22
57,1,4:43.0,T. Ross makes 2-pt dunk at rim (assist by K. Lowry),,16,22
58,1,4:30.0,,D. Wade makes 2-pt jump shot from 4 ft (assist by L. Deng),16,24
59,1,4:24.0,Def 3 sec tech foul by S. Williams,,16,24
60,1,4:24.0,D. DeRozan misses technical free throw,,16,24
61,1,4:24.0,Offensive rebound by Team,,16,24
62,1,4:24.0,,M. Chalmers enters the game for L. Deng,16,24
63,1,4:13.0,D. DeRozan misses 2-pt layup from 1 ft (block by J. Hamilton),,16,24
64,1,4:12.0,Offensive rebound by D. DeRozan,,16,24
65,1,4:06.0,D. DeRozan misses 2-pt jump shot from 17 ft,,16,24
66,1,4:04.0,,Defensive rebound by J. Hamilton,16,24
