,QUARTER,TIME_REMAINING,PHOENIX_ACTION,CLEVELAND_ACTION,PHOENIX_SCORE,CLEVELAND_SCORE
0,1,11:41.0,M. Morris makes 2-pt jump shot from 18 ft (assist by E. Bledsoe),,2,0
1,1,11:25.0,,Shooting foul by E. Barron (drawn by K. Irving),2,0
2,1,11:25.0,,K. Irving makes free throw 1 of 2,2,1
3,1,11:25.0,,K. Irving makes free throw 2 of 2,2,2
4,1,11:11.0,B. Knight makes 3-pt jump shot from 24 ft (assist by M. Morris),,5,2
5,1,10:51.0,,J. Smith misses 3-pt jump shot from 22 ft,5,2
6,1,10:50.0,Defensive rebound by P. Tucker,,5,2
7,1,10:41.0,B. Knight makes 3-pt jump shot from 23 ft (assist by M. Morris),,8,2
8,1,10:24.0,,T. Mozgov makes 2-pt layup at rim (assist by L. James),8,4
9,1,10:06.0,M. Morris makes 2-pt jump shot from 11 ft (assist by B. Knight),,10,4
10,1,9:52.0,,K. Irving makes 2-pt layup at rim (assist by L. James),10,6
11,1,9:41.0,E. Bledsoe misses 2-pt layup from 1 ft,,10,6
12,1,9:40.0,,Defensive rebound by T. Mozgov,10,6
13,1,9:33.0,,K. Irving makes 2-pt layup from 1 ft,10,8
14,1,9:19.0,,Violation by J. Smith (kicked ball),10,8
15,1,9:12.0,E. Bledsoe makes 2-pt jump shot from 15 ft,,12,8
16,1,9:00.0,,T. Mozgov makes 2-pt dunk at rim (assist by K. Irving),12,10
17,1,8:40.0,M. Morris misses 2-pt jump shot from 16 ft,,12,10
18,1,8:39.0,,Defensive rebound by J. Smith,12,10
19,1,8:37.0,,Turnover by J. Smith (bad pass; steal by E. Barron),12,10
20,1,8:34.0,Shooting foul by T. Mozgov (drawn by E. Barron),,12,10
21,1,8:34.0,E. Barron misses free throw 1 of 2,,12,10
22,1,8:34.0,Offensive rebound by Team,,12,10
23,1,8:34.0,E. Barron makes free throw 2 of 2,,13,10
24,1,8:23.0,,Turnover by K. Love (bad pass; steal by P. Tucker),13,10
25,1,8:21.0,Personal foul by K. Irving (drawn by M. Morris),,13,10
26,1,8:13.0,Turnover by E. Bledsoe (bad pass; steal by J. Smith),,13,10
27,1,8:13.0,,Personal foul by E. Bledsoe (drawn by T. Mozgov),13,10
28,1,7:52.0,,K. Love makes 3-pt jump shot from 25 ft (assist by J. Smith),13,13
29,1,7:39.0,B. Knight misses 2-pt jump shot from 20 ft,,13,13
30,1,7:37.0,,Defensive rebound by L. James,13,13
31,1,7:24.0,,J. Smith misses 2-pt jump shot from 11 ft,13,13
32,1,7:23.0,Defensive rebound by E. Bledsoe,,13,13
33,1,7:13.0,P. Tucker makes 3-pt jump shot from 24 ft,,16,13
34,1,6:55.0,,K. Irving misses 2-pt layup at rim,16,13
35,1,6:53.0,Defensive rebound by E. Barron,,16,13
36,1,6:42.0,E. Bledsoe makes 2-pt jump shot from 20 ft,,18,13
37,1,6:23.0,,T. Mozgov makes 2-pt dunk at rim (assist by L. James),18,15
38,1,5:56.0,M. Morris misses 2-pt dunk at rim,,18,15
39,1,5:54.0,,Defensive rebound by L. James,18,15
40,1,5:48.0,,K. Love makes 3-pt jump shot from 23 ft (assist by L. James),18,18
41,1,5:28.0,E. Bledsoe misses 2-pt layup at rim,,18,18
42,1,5:24.0,,Defensive rebound by K. Love,18,18
43,1,5:21.0,,Turnover by L. James (lost ball),18,18
44,1,5:21.0,,Cleveland full timeout,18,18
45,1,5:21.0,,T. Thompson enters the game for L. James,18,18
46,1,5:21.0,,I. Shumpert enters the game for T. Mozgov,18,18
47,1,5:01.0,E. Barron misses 2-pt jump shot from 16 ft,,18,18
48,1,5:00.0,,Defensive rebound by J. Smith,18,18
49,1,4:42.0,,K. Irving misses 2-pt jump shot from 18 ft,18,18
50,1,4:41.0,Defensive rebound by M. Morris,,18,18
51,1,4:31.0,Shooting foul by K. Irving (drawn by P. Tucker),,18,18
52,1,4:31.0,P. Tucker misses free throw 1 of 2,,18,18
53,1,4:31.0,Offensive rebound by Team,,18,18
54,1,4:31.0,B. Wright enters the game for E. Barron,,18,18
55,1,4:31.0,A. Goodwin enters the game for E. Bledsoe,,18,18
56,1,4:31.0,,M. Dellavedova enters the game for K. Irving,18,18
57,1,4:31.0,P. Tucker makes free throw 2 of 2,,19,18
58,1,4:18.0,,K. Love makes 3-pt jump shot from 27 ft (assist by I. Shumpert),19,21
59,1,3:51.0,M. Morris misses 3-pt jump shot from 25 ft,,19,21
60,1,3:50.0,Offensive rebound by P. Tucker,,19,21
61,1,3:48.0,Shooting foul by J. Smith (drawn by P. Tucker),,19,21
62,1,3:48.0,P. Tucker makes free throw 1 of 2,,20,21
63,1,3:48.0,P. Tucker makes free throw 2 of 2,,21,21
64,1,3:33.0,,T. Thompson makes 2-pt dunk at rim (assist by M. Dellavedova),21,23
65,1,3:19.0,B. Knight misses 2-pt jump shot from 21 ft,,21,23
66,1,3:18.0,,Defensive rebound by J. Smith,21,23
67,1,3:10.0,,J. Smith misses 2-pt layup from 1 ft,21,23
68,1,3:09.0,,Offensive rebound by T. Thompson,21,23
69,1,3:02.0,,Personal foul by P. Tucker (drawn by J. Smith),21,23
70,1,3:02.0,M. Morris enters the game for P. Tucker,,21,23
71,1,2:52.0,Phoenix full timeout,,21,23
72,1,2:52.0,,L. James enters the game for J. Smith,21,23
73,1,2:51.0,,Turnover by L. James (bad pass),21,23
74,1,2:32.0,M. Morris misses 2-pt jump shot from 12 ft,,21,23
75,1,2:31.0,,Defensive rebound by L. James,21,23
76,1,2:18.0,,L. James misses 2-pt layup from 2 ft,21,23
77,1,2:16.0,Defensive rebound by M. Morris,,21,23
78,1,2:05.0,A. Goodwin makes 3-pt jump shot from 24 ft (assist by M. Morris),,24,23
79,1,1:42.0,,M. Dellavedova makes 2-pt layup from 1 ft,24,25
80,1,1:17.0,A. Goodwin misses 3-pt jump shot from 25 ft,,24,25
81,1,1:16.0,,Defensive rebound by Team,24,25
82,1,0:56.0,,I. Shumpert makes 3-pt jump shot from 23 ft (assist by K. Love),24,28
83,1,0:35.0,B. Knight misses 3-pt jump shot from 25 ft,,24,28
84,1,0:34.0,,Defensive rebound by K. Love,24,28
85,1,0:20.0,,Personal foul by M. Morris (drawn by L. James),24,28
86,1,0:20.0,,T. Mozgov enters the game for T. Thompson,24,28
87,1,0:13.0,,M. Dellavedova makes 2-pt jump shot from 12 ft,24,30
88,2,11:44.0,,M. Dellavedova misses 3-pt jump shot from 27 ft,24,30
89,2,11:43.0,Defensive rebound by P. Tucker,,24,30
90,2,11:21.0,M. Morris makes 2-pt jump shot from 19 ft,,26,30
91,2,11:06.0,,L. James misses 2-pt jump shot from 21 ft,26,30
92,2,11:05.0,Defensive rebound by M. Morris,,26,30
93,2,10:51.0,E. Bledsoe misses 2-pt jump shot from 13 ft,,26,30
94,2,10:49.0,,Defensive rebound by M. Dellavedova,26,30
95,2,10:44.0,,T. Mozgov makes 2-pt dunk at rim (assist by M. Dellavedova),26,32
96,2,10:27.0,M. Morris misses 2-pt jump shot from 5 ft,,26,32
97,2,10:27.0,Offensive rebound by A. Goodwin,,26,32
98,2,10:27.0,Turnover by A. Goodwin (lost ball),,26,32
99,2,10:15.0,,T. Mozgov misses 2-pt jump shot from 18 ft,26,32
100,2,10:14.0,Defensive rebound by E. Bledsoe,,26,32
101,2,9:56.0,P. Tucker misses 2-pt layup from 1 ft,,26,32
102,2,9:54.0,,Defensive rebound by T. Thompson,26,32
103,2,9:51.0,,Shooting foul by B. Wright (drawn by T. Thompson),26,32
104,2,9:51.0,,T. Thompson makes 2-pt layup at rim (assist by L. James),26,34
105,2,9:51.0,,T. Thompson makes free throw 1 of 1,26,35
106,2,9:26.0,A. Goodwin misses 2-pt layup from 1 ft,,26,35
107,2,9:25.0,,Defensive rebound by T. Mozgov,26,35
108,2,9:15.0,,L. James makes 2-pt layup from 1 ft,26,37
109,2,9:07.0,Phoenix full timeout,,26,37
110,2,8:47.0,P. Tucker misses 2-pt jump shot from 19 ft,,26,37
111,2,8:47.0,Offensive rebound by Team,,26,37
112,2,8:47.0,Turnover by Team (shot clock),,26,37
113,2,8:33.0,,I. Shumpert misses 3-pt jump shot from 23 ft,26,37
114,2,8:32.0,,Offensive rebound by T. Thompson,26,37
115,2,8:30.0,,Turnover by T. Mozgov (offensive goaltending),26,37
116,2,8:30.0,B. Knight enters the game for A. Goodwin,,26,37
117,2,8:30.0,E. Barron enters the game for B. Wright,,26,37
118,2,8:14.0,M. Morris misses 3-pt jump shot from 24 ft,,26,37
119,2,8:13.0,,Defensive rebound by L. James,26,37
120,2,8:08.0,,Turnover by T. Thompson (3 sec),26,37
121,2,7:54.0,P. Tucker misses 2-pt jump shot from 11 ft,,26,37
122,2,7:53.0,,Defensive rebound by L. James,26,37
123,2,7:47.0,,T. Mozgov misses 2-pt layup from 1 ft,26,37
124,2,7:46.0,,Offensive rebound by T. Thompson,26,37
125,2,7:46.0,,T. Thompson makes 2-pt tip-in at rim,26,39
126,2,7:25.0,E. Barron misses 2-pt jump shot from 14 ft,,26,39
127,2,7:24.0,,Defensive rebound by T. Thompson,26,39
128,2,6:59.0,,L. James misses 3-pt jump shot from 24 ft,26,39
129,2,6:59.0,Defensive rebound by Team,,26,39
130,2,6:59.0,M. Morris enters the game for M. Morris,,26,39
131,2,6:44.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,26,39
132,2,6:44.0,,Defensive rebound by Team,26,39
133,2,6:20.0,,L. James misses 2-pt jump shot from 8 ft,26,39
134,2,6:18.0,Defensive rebound by P. Tucker,,26,39
135,2,6:06.0,M. Morris misses 2-pt jump shot from 13 ft,,26,39
136,2,6:05.0,,Defensive rebound by I. Shumpert,26,39
137,2,6:02.0,,Offensive foul by I. Shumpert (drawn by E. Bledsoe),26,39
138,2,6:02.0,,Turnover by I. Shumpert (offensive foul),26,39
139,2,6:02.0,,J. Smith enters the game for L. James,26,39
140,2,5:48.0,Official timeout,,26,39
141,2,5:37.0,B. Knight misses 3-pt jump shot from 25 ft,,26,39
142,2,5:36.0,,Defensive rebound by I. Shumpert,26,39
143,2,5:21.0,,J. Smith misses 3-pt jump shot from 25 ft,26,39
144,2,5:20.0,Defensive rebound by M. Morris,,26,39
145,2,5:15.0,E. Bledsoe misses 2-pt layup from 1 ft,,26,39
146,2,5:14.0,,Defensive rebound by Team,26,39
147,2,5:14.0,,K. Love enters the game for T. Thompson,26,39
148,2,5:01.0,,Personal foul by E. Barron (drawn by T. Mozgov),26,39
149,2,5:01.0,G. Green enters the game for E. Barron,,26,39
150,2,4:53.0,,K. Love misses 2-pt jump shot from 17 ft,26,39
151,2,4:51.0,Defensive rebound by B. Knight,,26,39
152,2,4:45.0,E. Bledsoe misses 2-pt jump shot from 18 ft,,26,39
153,2,4:45.0,,Defensive rebound by K. Love,26,39
154,2,4:32.0,,Shooting foul by B. Knight (drawn by K. Love),26,39
155,2,4:32.0,,K. Love makes free throw 1 of 2,26,40
156,2,4:32.0,,K. Love makes free throw 2 of 2,26,41
157,2,4:09.0,M. Morris makes 2-pt jump shot from 4 ft (assist by B. Knight),,28,41
158,2,4:00.0,,Shooting foul by M. Morris (drawn by T. Mozgov),28,41
159,2,4:00.0,,T. Mozgov makes free throw 1 of 2,28,42
160,2,4:00.0,,T. Mozgov makes free throw 2 of 2,28,43
161,2,3:48.0,Shooting foul by K. Love (drawn by M. Morris),,28,43
162,2,3:48.0,M. Morris makes free throw 1 of 2,,29,43
163,2,3:48.0,M. Morris makes free throw 2 of 2,,30,43
164,2,3:31.0,,J. Smith makes 3-pt jump shot from 24 ft (assist by T. Mozgov),30,46
165,2,3:16.0,B. Knight misses 3-pt jump shot from 24 ft,,30,46
166,2,3:15.0,,Defensive rebound by T. Mozgov,30,46
167,2,2:52.0,,M. Dellavedova misses 3-pt jump shot from 26 ft,30,46
168,2,2:51.0,Defensive rebound by B. Knight,,30,46
169,2,2:46.0,Shooting foul by T. Mozgov (drawn by M. Morris),,30,46
170,2,2:46.0,,Cleveland full timeout,30,46
171,2,2:46.0,,T. Thompson enters the game for T. Mozgov,30,46
172,2,2:46.0,,L. James enters the game for I. Shumpert,30,46
173,2,2:46.0,M. Morris makes free throw 1 of 2,,31,46
174,2,2:46.0,M. Morris misses free throw 2 of 2,,31,46
175,2,2:44.0,,Defensive rebound by K. Love,31,46
176,2,2:24.0,,J. Smith misses 2-pt jump shot from 22 ft,31,46
177,2,2:23.0,Defensive rebound by B. Knight,,31,46
178,2,2:12.0,Shooting foul by L. James (drawn by G. Green),,31,46
179,2,2:12.0,G. Green makes free throw 1 of 2,,32,46
180,2,2:12.0,G. Green makes free throw 2 of 2,,33,46
181,2,1:51.0,,Shooting foul by M. Morris (drawn by L. James),33,46
182,2,1:51.0,,L. James makes free throw 1 of 2,33,47
183,2,1:51.0,,L. James misses free throw 2 of 2,33,47
184,2,1:50.0,Defensive rebound by M. Morris,,33,47
185,2,1:38.0,G. Green misses 3-pt jump shot from 25 ft,,33,47
186,2,1:38.0,Offensive rebound by Team,,33,47
187,2,1:27.0,G. Green misses 2-pt jump shot from 9 ft,,33,47
188,2,1:26.0,,Defensive rebound by K. Love,33,47
189,2,1:22.0,,J. Smith makes 2-pt dunk at rim (assist by K. Love),33,49
190,2,1:07.0,M. Morris makes 2-pt layup at rim (assist by E. Bledsoe),,35,49
191,2,0:50.0,,T. Thompson makes 2-pt jump shot from 4 ft (assist by L. James),35,51
192,2,0:27.0,E. Bledsoe misses 2-pt layup from 2 ft,,35,51
193,2,0:27.0,Offensive rebound by P. Tucker,,35,51
194,2,0:27.0,P. Tucker makes 2-pt layup at rim,,37,51
195,2,0:04.0,,M. Dellavedova misses 2-pt jump shot from 8 ft,37,51
196,2,0:03.0,,Offensive rebound by T. Thompson,37,51
197,2,0:03.0,,T. Thompson makes 2-pt tip-in at rim,37,53
198,2,0:00.0,G. Green misses 3-pt jump shot from 42 ft,,37,53
199,2,0:00.0,Offensive rebound by Team,,37,53
200,3,11:38.0,,Turnover by T. Mozgov (lost ball; steal by E. Bledsoe),37,53
201,3,11:31.0,P. Tucker misses 2-pt layup from 1 ft,,37,53
202,3,11:27.0,Offensive rebound by P. Tucker,,37,53
203,3,11:25.0,P. Tucker misses 3-pt jump shot from 24 ft,,37,53
204,3,11:24.0,,Defensive rebound by K. Irving,37,53
205,3,11:17.0,,J. Smith makes 2-pt jump shot from 19 ft (assist by L. James),37,55
206,3,11:08.0,Personal foul by J. Smith (drawn by B. Knight),,37,55
207,3,11:00.0,E. Bledsoe misses 2-pt jump shot from 17 ft,,37,55
208,3,11:00.0,,Defensive rebound by Team,37,55
209,3,10:47.0,,K. Irving misses 2-pt jump shot from 23 ft,37,55
210,3,10:46.0,Defensive rebound by E. Barron,,37,55
211,3,10:26.0,Turnover by P. Tucker (bad pass),,37,55
212,3,10:09.0,,Shooting foul by E. Barron (drawn by T. Mozgov),37,55
213,3,10:09.0,,T. Mozgov makes free throw 1 of 2,37,56
214,3,10:09.0,,T. Mozgov makes free throw 2 of 2,37,57
215,3,9:50.0,P. Tucker misses 2-pt jump shot from 5 ft,,37,57
216,3,9:50.0,,Defensive rebound by Team,37,57
217,3,9:38.0,,Shooting foul by E. Barron (drawn by T. Mozgov),37,57
218,3,9:38.0,,T. Mozgov makes free throw 1 of 2,37,58
219,3,9:38.0,B. Wright enters the game for E. Barron,,37,58
220,3,9:38.0,,T. Mozgov makes free throw 2 of 2,37,59
221,3,9:20.0,B. Wright misses 2-pt jump shot from 5 ft,,37,59
222,3,9:19.0,,Defensive rebound by K. Love,37,59
223,3,9:15.0,,T. Mozgov makes 2-pt dunk at rim (assist by J. Smith),37,61
224,3,9:00.0,E. Bledsoe misses 3-pt jump shot from 27 ft,,37,61
225,3,9:00.0,Offensive rebound by P. Tucker,,37,61
226,3,9:00.0,Personal foul by J. Smith (drawn by P. Tucker),,37,61
227,3,9:00.0,,Technical foul by J. Smith,37,61
228,3,9:00.0,Technical foul by P. Tucker,,37,61
229,3,8:55.0,Personal foul by L. James (drawn by M. Morris),,37,61
230,3,8:47.0,M. Morris misses 2-pt jump shot from 9 ft,,37,61
231,3,8:46.0,Offensive rebound by P. Tucker,,37,61
232,3,8:37.0,Turnover by B. Knight (bad pass),,37,61
233,3,8:33.0,,Turnover by L. James (bad pass),37,61
234,3,8:24.0,B. Knight makes 2-pt jump shot from 14 ft,,39,61
235,3,8:03.0,,L. James makes 2-pt jump shot from 20 ft (assist by K. Irving),39,63
236,3,7:50.0,B. Knight misses 2-pt jump shot from 17 ft,,39,63
237,3,7:50.0,,Defensive rebound by K. Love,39,63
238,3,7:44.0,,Personal foul by P. Tucker (drawn by T. Mozgov),39,63
239,3,7:44.0,,L. James makes 2-pt layup from 1 ft (assist by K. Irving),39,65
240,3,7:44.0,Phoenix full timeout,,39,65
241,3,7:29.0,Turnover by P. Tucker (bad pass; steal by K. Love),,39,65
242,3,7:24.0,,J. Smith misses 2-pt dunk at rim,39,65
243,3,7:22.0,Defensive rebound by B. Wright,,39,65
244,3,7:16.0,B. Knight misses 2-pt jump shot from 16 ft,,39,65
245,3,7:14.0,,Defensive rebound by T. Mozgov,39,65
246,3,7:05.0,,L. James makes 3-pt jump shot from 25 ft,39,68
247,3,6:41.0,B. Wright misses 2-pt jump shot from 13 ft,,39,68
248,3,6:40.0,Offensive rebound by M. Morris,,39,68
249,3,6:35.0,M. Morris misses 2-pt layup from 2 ft (block by K. Love),,39,68
250,3,6:34.0,,Defensive rebound by K. Love,39,68
251,3,6:31.0,,L. James misses 3-pt jump shot from 25 ft,39,68
252,3,6:31.0,,Offensive rebound by Team,39,68
253,3,6:31.0,Loose ball foul by B. Wright (drawn by T. Mozgov),,39,68
254,3,6:31.0,G. Green enters the game for P. Tucker,,39,68
255,3,6:31.0,M. Morris enters the game for E. Bledsoe,,39,68
256,3,6:20.0,,Turnover by K. Irving (bad pass; steal by B. Wright),39,68
257,3,6:09.0,G. Green makes 2-pt jump shot from 11 ft (assist by B. Knight),,41,68
258,3,5:55.0,,T. Mozgov makes 2-pt layup from 1 ft (assist by L. James),41,70
