,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,CHICAGO_ACTION,MINNESOTA_SCORE,CHICAGO_SCORE
0,1,11:38.0,A. Wiggins misses 2-pt jump shot from 12 ft,,0,0
1,1,11:37.0,,Defensive rebound by A. Brooks,0,0
2,1,11:17.0,,M. Dunleavy makes 2-pt layup from 2 ft (assist by J. Noah),0,2
3,1,11:09.0,Shooting foul by A. Brooks (drawn by R. Rubio),,0,2
4,1,11:09.0,R. Rubio makes free throw 1 of 2,,1,2
5,1,11:09.0,R. Rubio makes free throw 2 of 2,,2,2
6,1,10:46.0,,J. Butler misses 2-pt jump shot from 18 ft,2,2
7,1,10:46.0,Defensive rebound by Team,,2,2
8,1,10:46.0,,Loose ball foul by T. Gibson (drawn by A. Payne),2,2
9,1,10:32.0,A. Payne misses 2-pt jump shot from 16 ft,,2,2
10,1,10:30.0,,Defensive rebound by J. Butler,2,2
11,1,10:22.0,,T. Gibson makes 2-pt layup from 2 ft (assist by J. Noah),2,4
12,1,10:04.0,N. Peković makes 2-pt jump shot from 10 ft (assist by A. Wiggins),,4,4
13,1,9:51.0,,T. Gibson makes 2-pt dunk at rim (assist by J. Noah),4,6
14,1,9:33.0,R. Rubio misses 2-pt jump shot from 21 ft,,4,6
15,1,9:32.0,,Defensive rebound by M. Dunleavy,4,6
16,1,9:23.0,,J. Noah makes 2-pt dunk at rim (assist by M. Dunleavy),4,8
17,1,9:15.0,Minnesota full timeout,,4,8
18,1,9:02.0,R. Rubio misses 3-pt jump shot from 25 ft,,4,8
19,1,9:01.0,Offensive rebound by A. Payne,,4,8
20,1,9:01.0,A. Payne misses 2-pt tip-in from 1 ft,,4,8
21,1,9:00.0,,Defensive rebound by J. Noah,4,8
22,1,8:57.0,,Personal foul by A. Payne (drawn by T. Gibson),4,8
23,1,8:42.0,,A. Brooks misses 3-pt jump shot from 25 ft,4,8
24,1,8:41.0,,Offensive rebound by M. Dunleavy,4,8
25,1,8:41.0,,M. Dunleavy misses 2-pt tip-in from 2 ft,4,8
26,1,8:40.0,Defensive rebound by A. Wiggins,,4,8
27,1,8:33.0,K. Martin makes 2-pt jump shot from 15 ft (assist by R. Rubio),,6,8
28,1,8:19.0,,M. Dunleavy misses 3-pt jump shot from 26 ft,6,8
29,1,8:18.0,Defensive rebound by A. Payne,,6,8
30,1,8:12.0,K. Martin makes 2-pt jump shot from 11 ft,,8,8
31,1,8:02.0,,T. Gibson misses 2-pt jump shot from 14 ft,8,8
32,1,8:01.0,Defensive rebound by R. Rubio,,8,8
33,1,7:51.0,A. Payne misses 2-pt jump shot from 17 ft,,8,8
34,1,7:50.0,,Defensive rebound by J. Noah,8,8
35,1,7:37.0,,A. Brooks makes 3-pt jump shot from 25 ft (assist by M. Dunleavy),8,11
36,1,7:17.0,A. Wiggins misses 2-pt jump shot from 19 ft,,8,11
37,1,7:16.0,,Defensive rebound by T. Gibson,8,11
38,1,7:03.0,,J. Butler makes 2-pt jump shot from 14 ft (assist by J. Noah),8,13
39,1,6:49.0,G. Dieng enters the game for A. Payne,,8,13
40,1,6:37.0,N. Peković misses 2-pt hook shot from 5 ft,,8,13
41,1,6:36.0,,Defensive rebound by M. Dunleavy,8,13
42,1,6:28.0,,J. Butler makes 2-pt layup from 2 ft (assist by J. Noah),8,15
43,1,6:27.0,Minnesota full timeout,,8,15
44,1,6:05.0,N. Peković makes 2-pt jump shot from 14 ft (assist by R. Rubio),,10,15
45,1,5:45.0,,Turnover by J. Noah (bad pass; steal by A. Wiggins),10,15
46,1,5:40.0,Shooting foul by M. Dunleavy (drawn by K. Martin),,10,15
47,1,5:40.0,K. Martin makes free throw 1 of 2,,11,15
48,1,5:40.0,K. Martin makes free throw 2 of 2,,12,15
49,1,5:31.0,,Personal foul by A. Wiggins (drawn by J. Butler),12,15
50,1,5:19.0,,T. Gibson misses 2-pt jump shot from 12 ft,12,15
51,1,5:18.0,Defensive rebound by R. Rubio,,12,15
52,1,5:10.0,A. Wiggins makes 2-pt jump shot from 8 ft,,14,15
53,1,4:55.0,,A. Brooks misses 3-pt jump shot from 22 ft,14,15
54,1,4:55.0,,Offensive rebound by J. Butler,14,15
55,1,4:55.0,,Shooting foul by R. Rubio (drawn by J. Butler),14,15
56,1,4:55.0,,J. Butler makes free throw 1 of 2,14,16
57,1,4:55.0,,T. Snell enters the game for M. Dunleavy,14,16
58,1,4:55.0,,J. Butler makes free throw 2 of 2,14,17
59,1,4:42.0,A. Wiggins makes 2-pt jump shot from 21 ft,,16,17
60,1,4:19.0,Violation by N. Peković (def goaltending),,16,17
61,1,4:19.0,,T. Snell makes 2-pt jump shot from 6 ft,16,19
62,1,4:07.0,Shooting foul by T. Snell (drawn by A. Wiggins),,16,19
63,1,4:07.0,A. Wiggins misses free throw 1 of 2,,16,19
64,1,4:07.0,Offensive rebound by Team,,16,19
65,1,4:07.0,A. Wiggins makes free throw 2 of 2,,17,19
66,1,3:53.0,,A. Brooks misses 2-pt layup from 2 ft,17,19
67,1,3:52.0,,Offensive rebound by T. Gibson,17,19
68,1,3:49.0,,T. Gibson misses 2-pt hook shot from 7 ft,17,19
69,1,3:47.0,,Offensive rebound by J. Noah,17,19
70,1,3:32.0,,J. Noah makes 2-pt layup from 3 ft (assist by A. Brooks),17,21
71,1,3:11.0,N. Peković misses 2-pt jump shot from 6 ft,,17,21
72,1,3:09.0,,Defensive rebound by J. Noah,17,21
73,1,3:04.0,,J. Butler misses 2-pt layup from 2 ft,17,21
74,1,3:03.0,Defensive rebound by N. Peković,,17,21
75,1,2:57.0,A. Wiggins makes 2-pt jump shot from 11 ft (assist by R. Rubio),,19,21
76,1,2:50.0,,Chicago full timeout,19,21
77,1,2:50.0,,N. Mirotić enters the game for T. Gibson,19,21
