,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MEMPHIS_ACTION,PORTLAND_SCORE,MEMPHIS_SCORE
0,1,11:38.0,,T. Allen misses 2-pt jump shot from 20 ft,0,0
1,1,11:37.0,Defensive rebound by L. Aldridge,,0,0
2,1,11:31.0,Turnover by D. Lillard (bad pass),,0,0
3,1,11:18.0,,Z. Randolph makes 2-pt layup from 1 ft,0,2
4,1,11:04.0,Turnover by A. Afflalo (lost ball; steal by T. Allen),,0,2
5,1,10:54.0,,Z. Randolph makes 2-pt jump shot from 17 ft (assist by N. Calathes),0,4
6,1,10:38.0,D. Lillard misses 2-pt jump shot from 21 ft,,0,4
7,1,10:37.0,,Defensive rebound by Z. Randolph,0,4
8,1,10:28.0,Violation by N. Batum (kicked ball),,0,4
9,1,10:19.0,,Z. Randolph makes 2-pt jump shot from 19 ft (assist by C. Lee),0,6
10,1,10:12.0,Personal foul by Z. Randolph (drawn by L. Aldridge),,0,6
11,1,10:02.0,L. Aldridge misses 2-pt jump shot from 8 ft (block by T. Allen),,0,6
12,1,10:00.0,,Defensive rebound by Z. Randolph,0,6
13,1,9:53.0,,Turnover by Z. Randolph (bad pass),0,6
14,1,9:37.0,A. Afflalo misses 2-pt jump shot from 7 ft,,0,6
15,1,9:35.0,,Defensive rebound by M. Gasol,0,6
16,1,9:26.0,,C. Lee makes 2-pt jump shot from 19 ft,0,8
17,1,9:25.0,Portland full timeout,,0,8
18,1,9:03.0,Turnover by L. Aldridge (bad pass; steal by C. Lee),,0,8
19,1,8:58.0,,C. Lee makes 2-pt jump shot from 13 ft,0,10
20,1,8:43.0,D. Lillard misses 3-pt jump shot from 25 ft,,0,10
21,1,8:42.0,,Defensive rebound by T. Allen,0,10
22,1,8:22.0,,N. Calathes misses 3-pt jump shot from 24 ft (block by D. Lillard),0,10
23,1,8:20.0,Defensive rebound by N. Batum,,0,10
24,1,8:06.0,Shooting foul by C. Lee (drawn by N. Batum),,0,10
25,1,8:06.0,N. Batum misses free throw 1 of 2,,0,10
26,1,8:06.0,Offensive rebound by Team,,0,10
27,1,8:06.0,N. Batum makes free throw 2 of 2,,1,10
28,1,7:52.0,,Personal foul by R. Lopez (drawn by M. Gasol),1,10
29,1,7:42.0,,T. Allen makes 3-pt jump shot from 23 ft (assist by N. Calathes),1,13
30,1,7:30.0,D. Lillard makes 2-pt layup from 1 ft,,3,13
31,1,7:06.0,,Z. Randolph makes 2-pt jump shot from 20 ft (assist by M. Gasol),3,15
32,1,6:54.0,N. Batum makes 3-pt jump shot from 26 ft (assist by L. Aldridge),,6,15
33,1,6:38.0,,Turnover by N. Calathes (lost ball),6,15
34,1,6:38.0,M. Leonard enters the game for A. Afflalo,,6,15
35,1,6:38.0,C. McCollum enters the game for R. Lopez,,6,15
36,1,6:17.0,Turnover by D. Lillard (bad pass; steal by T. Allen),,6,15
37,1,6:03.0,,Shooting foul by M. Leonard (drawn by T. Allen),6,15
38,1,6:03.0,,T. Allen makes free throw 1 of 2,6,16
39,1,6:03.0,,T. Allen misses free throw 2 of 2,6,16
40,1,6:02.0,Defensive rebound by N. Batum,,6,16
41,1,5:45.0,N. Batum misses 3-pt jump shot from 26 ft,,6,16
42,1,5:44.0,,Defensive rebound by M. Gasol,6,16
43,1,5:24.0,,Turnover by M. Gasol (back court),6,16
44,1,5:17.0,D. Lillard makes 2-pt layup from 1 ft,,8,16
45,1,4:53.0,,M. Gasol makes 2-pt jump shot from 10 ft (assist by N. Calathes),8,18
46,1,4:44.0,D. Lillard misses 2-pt layup from 1 ft (block by M. Gasol),,8,18
47,1,4:40.0,,Defensive rebound by M. Gasol,8,18
48,1,4:30.0,,Z. Randolph misses 2-pt jump shot from 6 ft (block by L. Aldridge),8,18
49,1,4:30.0,,Offensive rebound by Team,8,18
50,1,4:30.0,,B. Udrih enters the game for N. Calathes,8,18
51,1,4:21.0,,Z. Randolph misses 2-pt jump shot from 6 ft,8,18
52,1,4:19.0,,Offensive rebound by T. Allen,8,18
53,1,4:17.0,,Z. Randolph misses 2-pt layup from 3 ft,8,18
54,1,4:15.0,Defensive rebound by C. McCollum,,8,18
55,1,4:09.0,C. McCollum makes 2-pt layup from 2 ft,,10,18
56,1,4:02.0,,Memphis full timeout,10,18
57,1,4:02.0,,J. Green enters the game for T. Allen,10,18
58,1,3:45.0,,J. Green misses 2-pt jump shot from 14 ft,10,18
59,1,3:44.0,,Offensive rebound by Team,10,18
60,1,3:44.0,Loose ball foul by M. Leonard (drawn by M. Gasol),,10,18
61,1,3:34.0,,B. Udrih misses 3-pt jump shot from 26 ft,10,18
62,1,3:33.0,Defensive rebound by D. Lillard,,10,18
63,1,3:17.0,L. Aldridge misses 2-pt jump shot from 4 ft,,10,18
64,1,3:15.0,Offensive rebound by M. Leonard,,10,18
65,1,3:15.0,Personal foul by M. Gasol (drawn by M. Leonard),,10,18
66,1,3:12.0,D. Lillard makes 2-pt layup from 1 ft,,12,18
67,1,3:12.0,Shooting foul by B. Udrih (drawn by D. Lillard),,12,18
68,1,3:12.0,R. Lopez enters the game for L. Aldridge,,12,18
69,1,3:12.0,D. Lillard makes free throw 1 of 1,,13,18
70,1,2:57.0,,C. Lee misses 3-pt jump shot from 25 ft,13,18
71,1,2:56.0,Defensive rebound by R. Lopez,,13,18
72,1,2:50.0,Personal foul by J. Green (drawn by D. Lillard),,13,18
73,1,2:50.0,D. Lillard makes free throw 1 of 2,,14,18
74,1,2:50.0,D. Lillard makes free throw 2 of 2,,15,18
75,1,2:30.0,,M. Gasol makes 2-pt hook shot from 6 ft,15,20
76,1,2:14.0,C. McCollum makes 2-pt jump shot from 7 ft,,17,20
77,1,1:55.0,,Z. Randolph misses 2-pt jump shot from 5 ft,17,20
78,1,1:53.0,Defensive rebound by R. Lopez,,17,20
79,1,1:41.0,D. Lillard misses 3-pt jump shot from 23 ft,,17,20
80,1,1:39.0,,Defensive rebound by B. Udrih,17,20
81,1,1:34.0,,J. Green misses 3-pt jump shot from 26 ft,17,20
82,1,1:32.0,Defensive rebound by N. Batum,,17,20
83,1,1:27.0,N. Batum misses 3-pt jump shot from 26 ft,,17,20
84,1,1:25.0,,Defensive rebound by J. Green,17,20
85,1,1:22.0,Offensive charge foul by J. Green (drawn by D. Lillard),,17,20
86,1,1:22.0,,Turnover by J. Green (offensive foul),17,20
87,1,1:22.0,,V. Carter enters the game for Z. Randolph,17,20
88,1,1:09.0,Shooting foul by B. Udrih (drawn by C. McCollum),,17,20
89,1,1:09.0,C. McCollum misses free throw 1 of 2,,17,20
90,1,1:09.0,Offensive rebound by Team,,17,20
91,1,1:09.0,S. Blake enters the game for D. Lillard,,17,20
92,1,1:09.0,C. McCollum makes free throw 2 of 2,,18,20
93,1,0:51.0,,M. Gasol misses 2-pt hook shot from 8 ft (block by R. Lopez),18,20
94,1,0:49.0,Defensive rebound by R. Lopez,,18,20
95,1,0:32.0,C. McCollum makes 2-pt jump shot from 22 ft,,20,20
96,1,0:13.0,,J. Green misses 2-pt jump shot from 17 ft,20,20
97,1,0:12.0,Defensive rebound by C. McCollum,,20,20
98,1,0:01.0,C. McCollum misses 2-pt jump shot from 20 ft,,20,20
