,QUARTER,TIME_REMAINING,NEW YORK_ACTION,BOSTON_ACTION,NEW YORK_SCORE,BOSTON_SCORE
0,1,11:46.0,Shooting foul by B. Bass (drawn by J. Smith),,0,0
1,1,11:46.0,J. Smith misses free throw 1 of 2,,0,0
2,1,11:46.0,Offensive rebound by Team,,0,0
3,1,11:46.0,J. Smith makes free throw 2 of 2,,1,0
4,1,11:34.0,,A. Bradley makes 2-pt layup from 1 ft (assist by E. Turner),1,2
5,1,11:26.0,Offensive foul by J. Calderón (drawn by M. Smart),,1,2
6,1,11:26.0,Turnover by J. Calderón (offensive foul),,1,2
7,1,11:07.0,,E. Turner makes 2-pt jump shot from 13 ft,1,4
8,1,10:47.0,L. Amundson makes 2-pt hook shot from 4 ft (assist by J. Smith),,3,4
9,1,10:31.0,,E. Turner misses 2-pt jump shot from 10 ft,3,4
10,1,10:30.0,Defensive rebound by Team,,3,4
11,1,10:12.0,L. Amundson misses 2-pt jump shot from 5 ft,,3,4
12,1,10:11.0,,Defensive rebound by T. Zeller,3,4
13,1,10:03.0,,T. Zeller makes 2-pt hook shot from 5 ft,3,6
14,1,9:48.0,J. Calderón misses 2-pt jump shot from 20 ft,,3,6
15,1,9:46.0,Offensive rebound by J. Smith,,3,6
16,1,9:43.0,T. Hardaway misses 3-pt jump shot from 25 ft,,3,6
17,1,9:42.0,Offensive rebound by J. Smith,,3,6
18,1,9:41.0,J. Smith makes 2-pt layup from 1 ft,,5,6
19,1,9:16.0,,B. Bass misses 2-pt jump shot from 5 ft,5,6
20,1,9:15.0,Defensive rebound by J. Smith,,5,6
21,1,9:09.0,Turnover by J. Calderón (lost ball; steal by B. Bass),,5,6
22,1,9:05.0,,Turnover by A. Bradley (lost ball),5,6
23,1,8:52.0,T. Hardaway makes 2-pt jump shot from 8 ft (assist by L. Amundson),,7,6
24,1,8:33.0,,A. Bradley makes 3-pt jump shot from 22 ft (assist by M. Smart),7,9
25,1,8:16.0,J. Calderón misses 3-pt jump shot from 24 ft,,7,9
26,1,8:15.0,Offensive rebound by J. Smith,,7,9
27,1,8:14.0,J. Smith makes 2-pt layup from 1 ft,,9,9
28,1,7:57.0,,Personal foul by L. Amundson (drawn by B. Bass),9,9
29,1,7:47.0,,T. Zeller misses 2-pt jump shot from 18 ft,9,9
30,1,7:46.0,Defensive rebound by T. Hardaway,,9,9
31,1,7:33.0,L. Galloway makes 2-pt jump shot from 16 ft (assist by J. Smith),,11,9
32,1,7:16.0,,A. Bradley misses 2-pt jump shot from 19 ft,11,9
33,1,7:15.0,Defensive rebound by J. Smith,,11,9
34,1,7:09.0,Personal foul by M. Smart (drawn by J. Calderón),,11,9
35,1,7:04.0,L. Galloway makes 2-pt jump shot from 19 ft (assist by L. Amundson),,13,9
36,1,6:42.0,,T. Zeller misses 2-pt hook shot from 3 ft,13,9
37,1,6:41.0,,Offensive rebound by B. Bass,13,9
38,1,6:41.0,,B. Bass makes 2-pt tip-in at rim,13,11
39,1,6:19.0,J. Calderón misses 3-pt jump shot from 23 ft,,13,11
40,1,6:18.0,,Defensive rebound by E. Turner,13,11
41,1,6:09.0,,T. Zeller misses 2-pt hook shot from 7 ft,13,11
42,1,6:07.0,Defensive rebound by J. Smith,,13,11
43,1,6:00.0,J. Calderón misses 2-pt jump shot from 17 ft,,13,11
44,1,5:59.0,,Defensive rebound by E. Turner,13,11
45,1,5:51.0,,M. Smart makes 3-pt jump shot from 23 ft (assist by E. Turner),13,14
46,1,5:32.0,J. Smith misses 2-pt layup from 1 ft,,13,14
47,1,5:31.0,,Defensive rebound by B. Bass,13,14
