,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,ATLANTA_ACTION,BROOKLYN_SCORE,ATLANTA_SCORE
0,1,11:38.0,J. Johnson makes 2-pt jump shot from 7 ft,,2,0
1,1,11:21.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by P. Millsap),2,3
2,1,10:54.0,D. Williams misses 2-pt jump shot from 23 ft,,2,3
3,1,10:53.0,,Defensive rebound by P. Millsap,2,3
4,1,10:37.0,,P. Millsap misses 2-pt jump shot from 9 ft,2,3
5,1,10:36.0,,Offensive rebound by Team,2,3
6,1,10:34.0,,A. Horford makes 2-pt layup from 2 ft (assist by K. Korver),2,5
7,1,10:18.0,Turnover by T. Young (lost ball; steal by P. Millsap),,2,5
8,1,10:14.0,,Shooting foul by D. Williams (drawn by D. Carroll),2,5
9,1,10:14.0,,D. Carroll makes free throw 1 of 2,2,6
10,1,10:14.0,,D. Carroll makes free throw 2 of 2,2,7
11,1,9:56.0,M. Brown makes 2-pt jump shot from 4 ft,,4,7
12,1,9:52.0,,Turnover by J. Teague (lost ball),4,7
13,1,9:40.0,J. Johnson misses 3-pt jump shot from 25 ft,,4,7
14,1,9:38.0,,Defensive rebound by A. Horford,4,7
15,1,9:26.0,,J. Teague makes 2-pt jump shot from 5 ft,4,9
16,1,9:10.0,T. Young misses 2-pt jump shot from 6 ft (block by P. Millsap),,4,9
17,1,9:09.0,Offensive rebound by T. Young,,4,9
18,1,9:09.0,Shooting foul by P. Millsap (drawn by T. Young),,4,9
19,1,9:09.0,T. Young makes free throw 1 of 2,,5,9
20,1,9:09.0,T. Young misses free throw 2 of 2,,5,9
21,1,9:07.0,Offensive rebound by B. Lopez,,5,9
22,1,9:07.0,B. Lopez misses 2-pt tip-in from 1 ft,,5,9
23,1,9:06.0,Offensive rebound by B. Lopez,,5,9
24,1,9:04.0,B. Lopez makes 2-pt layup at rim,,7,9
25,1,8:46.0,,P. Millsap misses 2-pt jump shot from 17 ft,7,9
26,1,8:44.0,Defensive rebound by D. Williams,,7,9
27,1,8:38.0,Turnover by M. Brown (traveling),,7,9
28,1,8:17.0,,P. Millsap makes 2-pt layup from 1 ft (assist by J. Teague),7,11
29,1,7:57.0,M. Brown misses 3-pt jump shot from 24 ft,,7,11
30,1,7:55.0,Offensive rebound by T. Young,,7,11
31,1,7:49.0,J. Johnson misses 2-pt jump shot from 16 ft,,7,11
32,1,7:47.0,Offensive rebound by M. Brown,,7,11
33,1,7:47.0,M. Brown makes 2-pt dunk at rim,,9,11
34,1,7:34.0,,J. Teague misses 2-pt layup from 1 ft,9,11
35,1,7:32.0,,Offensive rebound by A. Horford,9,11
36,1,7:32.0,,A. Horford makes 2-pt tip-in at rim,9,13
37,1,7:20.0,Turnover by D. Williams (bad pass; steal by P. Millsap),,9,13
38,1,7:13.0,,D. Carroll misses 2-pt layup from 2 ft,9,13
39,1,7:10.0,,Offensive rebound by D. Carroll,9,13
40,1,7:10.0,,D. Carroll makes 2-pt layup from 2 ft,9,15
41,1,7:10.0,Brooklyn full timeout,,9,15
42,1,6:51.0,J. Johnson misses 3-pt jump shot from 24 ft,,9,15
43,1,6:48.0,,Defensive rebound by K. Korver,9,15
44,1,6:36.0,,J. Teague misses 2-pt jump shot from 5 ft,9,15
