,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,LA LAKERS_ACTION,NEW ORLEANS_SCORE,LA LAKERS_SCORE
0,1,11:39.0,A. Davis misses 2-pt layup from 3 ft,,0,0
1,1,11:38.0,,Defensive rebound by K. Bryant,0,0
2,1,11:30.0,,K. Bryant makes 2-pt jump shot from 18 ft,0,2
3,1,11:12.0,Turnover by T. Evans (bad pass; steal by R. Price),,0,2
4,1,11:03.0,,K. Bryant misses 3-pt jump shot from 24 ft,0,2
5,1,11:02.0,Defensive rebound by Team,,0,2
6,1,10:46.0,A. Davis makes 2-pt jump shot from 20 ft (assist by J. Holiday),,2,2
7,1,10:23.0,,R. Price makes 3-pt jump shot from 24 ft (assist by K. Bryant),2,5
8,1,10:01.0,L. Babbitt misses 3-pt jump shot from 26 ft,,2,5
9,1,10:00.0,,Defensive rebound by E. Davis,2,5
10,1,9:39.0,,K. Bryant misses 3-pt jump shot from 25 ft,2,5
11,1,9:38.0,Defensive rebound by L. Babbitt,,2,5
12,1,9:31.0,Ö. Aşık makes 2-pt dunk at rim (assist by T. Evans),,4,5
13,1,9:16.0,,E. Davis makes 2-pt dunk at rim (assist by W. Johnson),4,7
14,1,8:59.0,Personal foul by W. Johnson (drawn by T. Evans),,4,7
15,1,8:48.0,Ö. Aşık makes 2-pt layup from 2 ft (assist by T. Evans),,6,7
16,1,8:33.0,,J. Hill misses 2-pt jump shot from 18 ft,6,7
17,1,8:32.0,Defensive rebound by A. Davis,,6,7
18,1,8:25.0,Ö. Aşık misses 2-pt layup from 1 ft (block by J. Hill),,6,7
19,1,8:22.0,Offensive rebound by Ö. Aşık,,6,7
20,1,8:11.0,J. Holiday misses 2-pt layup from 3 ft,,6,7
21,1,8:09.0,,Defensive rebound by J. Hill,6,7
22,1,7:53.0,,K. Bryant misses 2-pt jump shot from 9 ft,6,7
23,1,7:52.0,Defensive rebound by Ö. Aşık,,6,7
24,1,7:46.0,L. Babbitt makes 3-pt jump shot from 26 ft (assist by T. Evans),,9,7
25,1,7:26.0,,R. Price misses 3-pt jump shot from 24 ft,9,7
26,1,7:25.0,Defensive rebound by Ö. Aşık,,9,7
27,1,7:24.0,A. Davis makes 2-pt jump shot from 3 ft (assist by T. Evans),,11,7
28,1,7:12.0,,J. Hill misses 2-pt jump shot from 22 ft,11,7
29,1,7:10.0,Defensive rebound by T. Evans,,11,7
30,1,7:04.0,Turnover by T. Evans (bad pass),,11,7
31,1,6:52.0,,R. Price misses 2-pt layup from 2 ft,11,7
32,1,6:51.0,,Offensive rebound by E. Davis,11,7
33,1,6:49.0,,E. Davis misses 2-pt layup from 1 ft (block by A. Davis),11,7
34,1,6:47.0,,Offensive rebound by J. Hill,11,7
35,1,6:46.0,,J. Hill misses 2-pt jump shot from 3 ft,11,7
36,1,6:41.0,Defensive rebound by A. Davis,,11,7
37,1,6:31.0,T. Evans misses 3-pt jump shot from 25 ft,,11,7
38,1,6:29.0,Offensive rebound by Ö. Aşık,,11,7
