,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,UTAH_ACTION,CLEVELAND_SCORE,UTAH_SCORE
0,1,11:43.0,L. James misses 2-pt hook shot from 6 ft,,0,0
1,1,11:42.0,,Defensive rebound by G. Hayward,0,0
2,1,11:19.0,,Turnover by Team (shot clock),0,0
3,1,11:08.0,L. James misses 2-pt layup from 1 ft,,0,0
4,1,11:08.0,,Defensive rebound by Team,0,0
5,1,10:51.0,,E. Freedom makes 3-pt jump shot from 23 ft (assist by G. Hayward),0,3
6,1,10:36.0,Turnover by L. James (bad pass),,0,3
7,1,10:18.0,,D. Favors makes 2-pt layup from 2 ft,0,5
8,1,9:56.0,K. Love makes 2-pt jump shot from 20 ft,,2,5
9,1,9:46.0,,E. Freedom misses 2-pt layup from 1 ft,2,5
10,1,9:45.0,Defensive rebound by K. Love,,2,5
11,1,9:33.0,K. Love makes 3-pt jump shot from 24 ft,,5,5
12,1,9:09.0,,T. Burke misses 3-pt jump shot from 23 ft,5,5
13,1,9:08.0,Defensive rebound by K. Love,,5,5
14,1,8:46.0,S. Marion misses 2-pt jump shot from 14 ft,,5,5
15,1,8:45.0,,Defensive rebound by D. Favors,5,5
16,1,8:27.0,,A. Burks makes 2-pt jump shot from 21 ft,5,7
17,1,8:16.0,Shooting foul by T. Burke (drawn by K. Irving),,5,7
18,1,8:16.0,K. Irving misses free throw 1 of 2,,5,7
19,1,8:16.0,Offensive rebound by Team,,5,7
20,1,8:16.0,K. Irving makes free throw 2 of 2,,6,7
21,1,7:58.0,Violation by A. Varejão (kicked ball),,6,7
22,1,7:51.0,,T. Burke makes 3-pt jump shot from 25 ft (assist by G. Hayward),6,10
23,1,7:41.0,K. Irving makes 2-pt jump shot from 20 ft,,8,10
24,1,7:22.0,,D. Favors makes 2-pt layup from 1 ft (assist by E. Freedom),8,12
25,1,7:09.0,A. Varejão misses 2-pt jump shot from 17 ft,,8,12
26,1,7:08.0,,Defensive rebound by E. Freedom,8,12
27,1,7:05.0,,Personal foul by S. Marion (drawn by A. Burks),8,12
28,1,6:58.0,,G. Hayward makes 2-pt layup from 2 ft,8,14
29,1,6:52.0,A. Varejão makes 2-pt layup from 2 ft (assist by L. James),,10,14
30,1,6:39.0,,Shooting foul by A. Varejão (drawn by G. Hayward),10,14
31,1,6:39.0,,G. Hayward makes free throw 1 of 2,10,15
32,1,6:39.0,,G. Hayward makes free throw 2 of 2,10,16
33,1,6:22.0,L. James makes 2-pt layup from 1 ft (assist by K. Love),,12,16
34,1,6:10.0,,E. Freedom makes 2-pt jump shot from 16 ft (assist by D. Favors),12,18
35,1,5:45.0,Shooting foul by E. Freedom (drawn by K. Love),,12,18
36,1,5:45.0,,Utah full timeout,12,18
37,1,5:45.0,,R. Hood enters the game for G. Hayward,12,18
38,1,5:45.0,K. Love makes free throw 1 of 2,,13,18
39,1,5:45.0,K. Love makes free throw 2 of 2,,14,18
40,1,5:27.0,,E. Freedom makes 2-pt hook shot from 3 ft,14,20
41,1,5:13.0,K. Love misses 3-pt jump shot from 25 ft,,14,20
42,1,5:11.0,,Defensive rebound by R. Hood,14,20
43,1,4:59.0,,E. Freedom makes 2-pt jump shot from 17 ft (assist by A. Burks),14,22
44,1,4:47.0,Turnover by K. Irving (bad pass; steal by R. Hood),,14,22
45,1,4:42.0,,T. Burke misses 2-pt layup from 1 ft,14,22
46,1,4:40.0,,Offensive rebound by R. Hood,14,22
47,1,4:40.0,,R. Hood misses 2-pt tip-in from 2 ft,14,22
48,1,4:38.0,,Offensive rebound by A. Burks,14,22
49,1,4:38.0,,A. Burks misses 2-pt layup from 2 ft (block by S. Marion),14,22
50,1,4:38.0,Defensive rebound by Team,,14,22
51,1,4:38.0,D. Waiters enters the game for S. Marion,,14,22
52,1,4:38.0,T. Thompson enters the game for A. Varejão,,14,22
53,1,4:23.0,K. Irving makes 2-pt layup from 2 ft,,16,22
54,1,4:01.0,,E. Freedom makes 2-pt layup from 1 ft,16,24
55,1,3:51.0,Def 3 sec tech foul by D. Favors,,16,24
56,1,3:51.0,K. Love makes technical free throw,,17,24
57,1,3:51.0,,T. Booker enters the game for E. Freedom,17,24
