,QUARTER,TIME_REMAINING,INDIANA_ACTION,ORLANDO_ACTION,INDIANA_SCORE,ORLANDO_SCORE
0,1,11:38.0,R. Stuckey makes 2-pt jump shot from 18 ft (assist by S. Hill),,2,0
1,1,11:22.0,,N. Vučević makes 2-pt hook shot from 5 ft (assist by E. Payton),2,2
2,1,10:59.0,R. Stuckey misses 2-pt jump shot from 19 ft,,2,2
3,1,10:58.0,,Defensive rebound by N. Vučević,2,2
4,1,10:50.0,,Shooting foul by R. Stuckey (drawn by A. Gordon),2,2
5,1,10:50.0,,A. Gordon makes free throw 1 of 2,2,3
6,1,10:50.0,,A. Gordon makes free throw 2 of 2,2,4
7,1,10:29.0,R. Hibbert misses 2-pt jump shot from 18 ft,,2,4
8,1,10:28.0,,Defensive rebound by A. Gordon,2,4
9,1,10:20.0,,N. Vučević makes 2-pt jump shot from 12 ft (assist by E. Payton),2,6
10,1,9:55.0,D. West misses 2-pt jump shot from 13 ft,,2,6
11,1,9:53.0,Offensive rebound by R. Hibbert,,2,6
12,1,9:43.0,R. Hibbert misses 2-pt hook shot from 11 ft,,2,6
13,1,9:42.0,,Defensive rebound by N. Vučević,2,6
14,1,9:33.0,,N. Vučević makes 2-pt dunk at rim (assist by E. Payton),2,8
15,1,9:12.0,D. West makes 2-pt jump shot from 16 ft (assist by R. Stuckey),,4,8
16,1,8:56.0,,Turnover by E. Payton (bad pass; steal by R. Stuckey),4,8
17,1,8:51.0,R. Stuckey misses 2-pt dunk at rim (block by A. Gordon),,4,8
18,1,8:48.0,,Defensive rebound by E. Payton,4,8
19,1,8:43.0,,C. Frye misses 3-pt jump shot from 25 ft,4,8
20,1,8:40.0,Defensive rebound by R. Hibbert,,4,8
21,1,8:32.0,D. West makes 2-pt jump shot from 17 ft (assist by C. Watson),,6,8
22,1,8:18.0,,Shooting foul by R. Hibbert (drawn by E. Payton),6,8
23,1,8:18.0,,E. Payton misses free throw 1 of 2,6,8
24,1,8:18.0,,Offensive rebound by Team,6,8
25,1,8:18.0,,E. Payton makes free throw 2 of 2,6,9
26,1,8:06.0,Personal foul by V. Oladipo (drawn by R. Stuckey),,6,9
27,1,7:58.0,C. Watson misses 3-pt jump shot from 23 ft,,6,9
28,1,7:57.0,,Defensive rebound by C. Frye,6,9
29,1,7:51.0,,A. Gordon makes 2-pt layup at rim (assist by V. Oladipo),6,11
30,1,7:37.0,R. Stuckey makes 3-pt jump shot from 23 ft (assist by D. West),,9,11
31,1,7:20.0,,N. Vučević makes 2-pt hook shot from 2 ft,9,13
32,1,7:00.0,S. Hill misses 3-pt jump shot from 26 ft,,9,13
33,1,6:59.0,,Defensive rebound by E. Payton,9,13
34,1,6:51.0,,V. Oladipo makes 3-pt jump shot from 26 ft (assist by E. Payton),9,16
35,1,6:50.0,Indiana full timeout,,9,16
36,1,6:37.0,R. Hibbert makes 2-pt hook shot from 10 ft,,11,16
37,1,6:21.0,,E. Payton misses 2-pt jump shot from 5 ft,11,16
38,1,6:19.0,Defensive rebound by D. West,,11,16
39,1,6:14.0,,Violation by N. Vučević (kicked ball),11,16
40,1,6:00.0,Turnover by R. Stuckey (bad pass),,11,16
41,1,5:48.0,,V. Oladipo misses 3-pt jump shot from 23 ft,11,16
42,1,5:45.0,Defensive rebound by R. Hibbert,,11,16
43,1,5:24.0,R. Hibbert misses 2-pt hook shot from 8 ft,,11,16
44,1,5:22.0,Offensive rebound by R. Hibbert,,11,16
45,1,5:15.0,D. West makes 2-pt layup at rim (assist by R. Stuckey),,13,16
46,1,5:04.0,,N. Vučević misses 2-pt jump shot from 10 ft,13,16
47,1,5:03.0,Defensive rebound by S. Hill,,13,16
48,1,4:53.0,D. West makes 2-pt jump shot from 10 ft (assist by S. Hill),,15,16
49,1,4:35.0,,V. Oladipo misses 2-pt jump shot from 8 ft,15,16
50,1,4:35.0,Defensive rebound by Team,,15,16
51,1,4:35.0,Personal foul by N. Vučević (drawn by R. Stuckey),,15,16
52,1,4:35.0,G. Hill enters the game for R. Hibbert,,15,16
53,1,4:35.0,I. Mahinmi enters the game for C. Watson,,15,16
54,1,4:35.0,,D. Marble enters the game for A. Gordon,15,16
55,1,4:21.0,S. Hill makes 2-pt layup at rim,,17,16
56,1,4:10.0,,C. Frye misses 2-pt jump shot from 12 ft,17,16
57,1,4:09.0,Defensive rebound by S. Hill,,17,16
58,1,4:03.0,S. Hill misses 2-pt layup from 2 ft (block by D. Marble),,17,16
59,1,4:03.0,,Defensive rebound by V. Oladipo,17,16
60,1,3:58.0,,V. Oladipo misses 2-pt layup at rim (block by G. Hill),17,16
61,1,3:55.0,Defensive rebound by I. Mahinmi,,17,16
62,1,3:42.0,G. Hill misses 3-pt jump shot from 24 ft,,17,16
63,1,3:41.0,Offensive rebound by I. Mahinmi,,17,16
64,1,3:39.0,G. Hill makes 2-pt layup at rim (assist by I. Mahinmi),,19,16
65,1,3:39.0,,Orlando full timeout,19,16
66,1,3:39.0,,E. Fournier enters the game for C. Frye,19,16
67,1,3:39.0,,T. Harris enters the game for V. Oladipo,19,16
68,1,3:39.0,D. Rudež enters the game for R. Stuckey,,19,16
69,1,3:23.0,,N. Vučević makes 2-pt jump shot from 17 ft,19,18
70,1,3:10.0,Personal foul by E. Fournier (drawn by G. Hill),,19,18
71,1,3:10.0,,K. O'Quinn enters the game for N. Vučević,19,18
72,1,3:10.0,,W. Green enters the game for E. Payton,19,18
73,1,2:58.0,Turnover by S. Hill (traveling),,19,18
74,1,2:40.0,,Personal foul by S. Hill (drawn by T. Harris),19,18
75,1,2:40.0,,T. Harris makes free throw 1 of 2,19,19
76,1,2:40.0,,T. Harris makes free throw 2 of 2,19,20
77,1,2:24.0,D. West misses 2-pt jump shot from 17 ft,,19,20
78,1,2:23.0,,Defensive rebound by T. Harris,19,20
79,1,2:14.0,,Turnover by T. Harris (bad pass; steal by D. Rudež),19,20
80,1,2:02.0,D. West misses 2-pt jump shot from 18 ft,,19,20
81,1,2:01.0,Offensive rebound by I. Mahinmi,,19,20
82,1,2:00.0,I. Mahinmi makes 2-pt layup at rim,,21,20
83,1,1:50.0,,E. Fournier makes 2-pt jump shot from 14 ft (assist by W. Green),21,22
84,1,1:28.0,G. Hill makes 3-pt jump shot from 24 ft (assist by D. West),,24,22
85,1,1:06.0,,K. O'Quinn makes 2-pt jump shot from 10 ft (assist by W. Green),24,24
86,1,0:50.0,Turnover by I. Mahinmi (bad pass; steal by E. Fournier),,24,24
87,1,0:46.0,,Personal foul by G. Hill (drawn by T. Harris),24,24
88,1,0:46.0,L. Scola enters the game for D. West,,24,24
89,1,0:41.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by W. Green),24,27
90,1,0:33.0,G. Hill misses 2-pt jump shot from 8 ft,,24,27
91,1,0:32.0,,Defensive rebound by T. Harris,24,27
92,1,0:27.0,,Turnover by W. Green (bad pass; steal by G. Hill),24,27
93,1,0:09.0,Personal take foul by W. Green (drawn by G. Hill),,24,27
94,1,0:08.0,Personal foul by T. Harris (drawn by L. Scola),,24,27
95,1,0:08.0,L. Scola misses free throw 1 of 2,,24,27
96,1,0:08.0,Offensive rebound by Team,,24,27
97,1,0:08.0,R. Stuckey enters the game for D. Rudež,,24,27
98,1,0:08.0,L. Scola misses free throw 2 of 2,,24,27
99,1,0:07.0,,Defensive rebound by E. Fournier,24,27
100,1,0:02.0,,D. Marble misses 3-pt jump shot from 23 ft,24,27
101,1,0:00.0,Defensive rebound by G. Hill,,24,27
102,1,0:00.0,G. Hill misses 3-pt jump shot from 58 ft,,24,27
103,1,0:00.0,Offensive rebound by Team,,24,27
104,2,11:47.0,,E. Fournier misses 2-pt layup from 1 ft (block by I. Mahinmi),24,27
105,2,11:44.0,Defensive rebound by C. Watson,,24,27
106,2,11:21.0,L. Scola makes 2-pt layup at rim (assist by C. Watson),,26,27
107,2,11:04.0,,Shooting foul by I. Mahinmi (drawn by T. Harris),26,27
108,2,11:04.0,,T. Harris makes free throw 1 of 3,26,28
109,2,11:04.0,,T. Harris makes free throw 2 of 3,26,29
110,2,11:04.0,,A. Gordon enters the game for D. Marble,26,29
111,2,11:04.0,,T. Harris makes free throw 3 of 3,26,30
112,2,10:46.0,R. Stuckey makes 2-pt jump shot from 19 ft,,28,30
113,2,10:37.0,,E. Fournier misses 2-pt layup from 1 ft,28,30
114,2,10:35.0,Defensive rebound by I. Mahinmi,,28,30
115,2,10:30.0,I. Mahinmi makes 2-pt dunk at rim (assist by R. Stuckey),,30,30
116,2,10:09.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by T. Harris),30,33
117,2,9:51.0,Personal foul by T. Harris (drawn by R. Stuckey),,30,33
118,2,9:37.0,L. Scola misses 2-pt hook shot from 5 ft,,30,33
119,2,9:36.0,,Defensive rebound by A. Gordon,30,33
120,2,9:20.0,,T. Harris misses 2-pt jump shot from 16 ft,30,33
121,2,9:18.0,Defensive rebound by R. Stuckey,,30,33
122,2,9:12.0,Turnover by R. Stuckey (bad pass; steal by T. Harris),,30,33
123,2,9:06.0,,A. Gordon makes 2-pt dunk at rim (assist by T. Harris),30,35
124,2,8:44.0,D. Rudež makes 2-pt jump shot from 18 ft (assist by R. Stuckey),,32,35
125,2,8:37.0,,Orlando full timeout,32,35
126,2,8:37.0,,V. Oladipo enters the game for E. Fournier,32,35
127,2,8:24.0,,W. Green misses 2-pt layup from 1 ft,32,35
128,2,8:23.0,Defensive rebound by L. Scola,,32,35
129,2,8:11.0,R. Stuckey makes 2-pt jump shot from 15 ft,,34,35
130,2,7:52.0,,Personal foul by R. Stuckey (drawn by V. Oladipo),34,35
131,2,7:52.0,,N. Vučević enters the game for K. O'Quinn,34,35
132,2,7:52.0,,E. Payton enters the game for W. Green,34,35
133,2,7:52.0,S. Hill enters the game for R. Stuckey,,34,35
134,2,7:38.0,,V. Oladipo makes 2-pt jump shot from 16 ft,34,37
