,QUARTER,TIME_REMAINING,ATLANTA_ACTION,PORTLAND_ACTION,ATLANTA_SCORE,PORTLAND_SCORE
0,1,11:39.0,A. Horford misses 2-pt layup from 2 ft,,0,0
1,1,11:38.0,,Defensive rebound by D. Lillard,0,0
2,1,11:29.0,,N. Batum makes 3-pt jump shot from 24 ft,0,3
3,1,11:14.0,D. Carroll misses 3-pt jump shot from 25 ft,,0,3
4,1,11:13.0,,Defensive rebound by J. Freeland,0,3
5,1,11:06.0,,D. Lillard misses 3-pt jump shot from 26 ft,0,3
6,1,11:05.0,Defensive rebound by K. Korver,,0,3
7,1,10:52.0,Turnover by P. Millsap (lost ball; steal by L. Aldridge),,0,3
8,1,10:40.0,,L. Aldridge misses 2-pt jump shot from 18 ft,0,3
9,1,10:39.0,Defensive rebound by A. Horford,,0,3
10,1,10:17.0,P. Millsap misses 3-pt jump shot from 25 ft,,0,3
11,1,10:16.0,,Defensive rebound by J. Freeland,0,3
12,1,10:04.0,,J. Freeland misses 2-pt hook shot from 4 ft,0,3
13,1,10:03.0,,Offensive rebound by J. Freeland,0,3
14,1,9:56.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by D. Lillard),0,5
15,1,9:42.0,K. Korver misses 3-pt jump shot from 26 ft,,0,5
16,1,9:41.0,,Defensive rebound by L. Aldridge,0,5
17,1,9:35.0,,D. Lillard misses 3-pt jump shot from 24 ft,0,5
18,1,9:33.0,Defensive rebound by A. Horford,,0,5
19,1,9:24.0,J. Teague misses 2-pt layup from 1 ft (block by J. Freeland),,0,5
20,1,9:22.0,,Defensive rebound by D. Lillard,0,5
21,1,9:21.0,,L. Aldridge misses 2-pt layup at rim,0,5
22,1,9:18.0,,Offensive rebound by D. Lillard,0,5
23,1,9:15.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Lillard),0,8
24,1,9:15.0,Atlanta full timeout,,0,8
25,1,8:53.0,K. Korver misses 2-pt jump shot from 16 ft,,0,8
26,1,8:51.0,Offensive rebound by D. Carroll,,0,8
27,1,8:51.0,D. Carroll makes 2-pt tip-in at rim,,2,8
28,1,8:31.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by W. Matthews),2,10
29,1,8:19.0,J. Teague makes 2-pt layup at rim,,4,10
30,1,8:06.0,,J. Freeland misses 2-pt layup at rim (block by P. Millsap),4,10
31,1,8:04.0,,Offensive rebound by J. Freeland,4,10
32,1,8:04.0,,Shooting foul by D. Carroll (drawn by J. Freeland),4,10
33,1,8:04.0,,J. Freeland makes free throw 1 of 2,4,11
34,1,8:04.0,,J. Freeland makes free throw 2 of 2,4,12
35,1,7:53.0,A. Horford makes 2-pt jump shot from 4 ft,,6,12
36,1,7:53.0,Shooting foul by J. Freeland (drawn by A. Horford),,6,12
37,1,7:53.0,A. Horford makes free throw 1 of 1,,7,12
38,1,7:38.0,,L. Aldridge misses 2-pt jump shot from 18 ft,7,12
39,1,7:37.0,Defensive rebound by D. Carroll,,7,12
40,1,7:18.0,D. Carroll makes 2-pt layup from 2 ft,,9,12
41,1,6:53.0,,N. Batum makes 3-pt jump shot from 24 ft,9,15
42,1,6:37.0,A. Horford makes 2-pt layup from 1 ft,,11,15
43,1,6:20.0,,J. Freeland makes 2-pt layup from 1 ft (assist by N. Batum),11,17
44,1,6:04.0,Shooting foul by N. Batum (drawn by P. Millsap),,11,17
45,1,6:04.0,P. Millsap misses free throw 1 of 2,,11,17
46,1,6:04.0,Offensive rebound by Team,,11,17
47,1,6:04.0,,C. Kaman enters the game for J. Freeland,11,17
48,1,6:04.0,,S. Blake enters the game for W. Matthews,11,17
49,1,6:04.0,P. Antić enters the game for A. Horford,,11,17
50,1,6:04.0,P. Millsap makes free throw 2 of 2,,12,17
51,1,5:51.0,,D. Lillard misses 2-pt jump shot from 13 ft,12,17
52,1,5:49.0,Defensive rebound by K. Korver,,12,17
53,1,5:38.0,P. Antić makes 2-pt layup from 1 ft (assist by J. Teague),,14,17
54,1,5:21.0,,Turnover by N. Batum (bad pass),14,17
55,1,5:21.0,T. Sefolosha enters the game for D. Carroll,,14,17
56,1,5:04.0,P. Antić misses 3-pt jump shot from 24 ft,,14,17
57,1,5:03.0,Offensive rebound by P. Millsap,,14,17
58,1,5:03.0,Shooting foul by L. Aldridge (drawn by P. Millsap),,14,17
59,1,5:03.0,P. Millsap makes free throw 1 of 2,,15,17
60,1,5:03.0,P. Millsap makes free throw 2 of 2,,16,17
61,1,4:45.0,,S. Blake misses 3-pt jump shot from 24 ft,16,17
62,1,4:43.0,Defensive rebound by K. Korver,,16,17
63,1,4:36.0,J. Teague makes 2-pt jump shot from 12 ft,,18,17
64,1,4:21.0,,Personal foul by P. Antić (drawn by L. Aldridge),18,17
65,1,4:11.0,,Turnover by L. Aldridge (lost ball),18,17
66,1,3:57.0,P. Millsap makes 2-pt layup from 1 ft,,20,17
67,1,3:57.0,,Portland full timeout,20,17
68,1,3:41.0,,Turnover by C. Kaman (lost ball),20,17
69,1,3:26.0,P. Millsap misses 2-pt jump shot at rim,,20,17
70,1,3:25.0,Offensive rebound by P. Millsap,,20,17
71,1,3:25.0,P. Millsap makes 2-pt tip-in at rim,,22,17
72,1,3:14.0,,Turnover by D. Lillard (bad pass; steal by T. Sefolosha),22,17
73,1,3:02.0,Shooting foul by S. Blake (drawn by J. Teague),,22,17
74,1,3:02.0,J. Teague makes free throw 1 of 2,,23,17
75,1,3:02.0,,A. Crabbe enters the game for N. Batum,23,17
76,1,3:02.0,,W. Matthews enters the game for D. Lillard,23,17
77,1,3:02.0,J. Teague makes free throw 2 of 2,,24,17
78,1,2:45.0,,W. Matthews makes 3-pt jump shot from 26 ft (assist by S. Blake),24,20
79,1,2:18.0,J. Teague misses 3-pt jump shot from 23 ft,,24,20
80,1,2:17.0,,Defensive rebound by L. Aldridge,24,20
81,1,2:17.0,,Turnover by L. Aldridge (step out of bounds),24,20
82,1,2:17.0,D. Schröder enters the game for J. Teague,,24,20
83,1,2:11.0,K. Korver misses 3-pt jump shot from 25 ft,,24,20
84,1,2:10.0,,Defensive rebound by S. Blake,24,20
85,1,1:56.0,,Turnover by S. Blake (bad pass; steal by P. Millsap),24,20
86,1,1:50.0,P. Millsap makes 2-pt layup from 1 ft,,26,20
87,1,1:35.0,A. Horford enters the game for P. Millsap,,26,20
88,1,1:35.0,D. Carroll enters the game for K. Korver,,26,20
89,1,1:31.0,,C. Kaman misses 2-pt jump shot from 19 ft (block by P. Antić),26,20
90,1,1:31.0,Defensive rebound by P. Antić,,26,20
91,1,1:16.0,D. Schröder misses 2-pt layup from 1 ft,,26,20
92,1,1:14.0,,Defensive rebound by C. Kaman,26,20
93,1,1:03.0,,A. Crabbe misses 2-pt jump shot from 16 ft,26,20
94,1,1:02.0,Defensive rebound by T. Sefolosha,,26,20
95,1,0:47.0,P. Antić makes 3-pt jump shot from 26 ft (assist by D. Schröder),,29,20
96,1,0:30.0,,Turnover by C. Kaman (lost ball; steal by D. Schröder),29,20
97,1,0:09.0,D. Schröder misses 2-pt jump shot from 15 ft,,29,20
98,1,0:08.0,,Defensive rebound by L. Aldridge,29,20
99,1,0:00.0,,W. Matthews misses 3-pt jump shot from 25 ft,29,20
100,1,0:00.0,Defensive rebound by A. Horford,,29,20
101,2,11:45.0,,Turnover by S. Blake (bad pass; steal by D. Carroll),29,20
102,2,11:38.0,Turnover by P. Antić (traveling),,29,20
103,2,11:24.0,,C. Kaman misses 2-pt hook shot from 6 ft,29,20
104,2,11:22.0,Defensive rebound by T. Sefolosha,,29,20
105,2,11:09.0,A. Horford makes 2-pt hook shot from 3 ft,,31,20
106,2,10:59.0,,D. Wright misses 3-pt jump shot from 25 ft,31,20
107,2,10:58.0,,Offensive rebound by A. Crabbe,31,20
108,2,10:49.0,,D. Wright makes 3-pt jump shot from 23 ft (assist by C. Kaman),31,23
109,2,10:34.0,D. Schröder makes 2-pt layup from 2 ft,,33,23
110,2,10:34.0,Shooting foul by S. Blake (drawn by D. Schröder),,33,23
111,2,10:34.0,M. Scott enters the game for P. Antić,,33,23
112,2,10:34.0,D. Schröder makes free throw 1 of 1,,34,23
113,2,10:11.0,,C. Kaman makes 2-pt dunk at rim (assist by S. Blake),34,25
114,2,9:43.0,M. Scott misses 2-pt jump shot from 9 ft,,34,25
115,2,9:43.0,,Defensive rebound by C. Kaman,34,25
116,2,9:24.0,,W. Matthews makes 3-pt jump shot from 25 ft,34,28
117,2,9:06.0,A. Horford makes 2-pt jump shot from 21 ft (assist by D. Schröder),,36,28
118,2,8:50.0,,S. Blake makes 3-pt jump shot from 26 ft (assist by C. Kaman),36,31
119,2,8:36.0,M. Scott misses 2-pt jump shot from 11 ft,,36,31
120,2,8:34.0,Offensive rebound by T. Sefolosha,,36,31
121,2,8:34.0,T. Sefolosha misses 2-pt tip-in from 1 ft,,36,31
122,2,8:33.0,,Defensive rebound by C. Kaman,36,31
123,2,8:27.0,,Turnover by S. Blake (bad pass; steal by T. Sefolosha),36,31
124,2,8:24.0,Shooting foul by D. Wright (drawn by T. Sefolosha),,36,31
125,2,8:24.0,Official timeout,,36,31
126,2,8:24.0,,D. Lillard enters the game for W. Matthews,36,31
127,2,8:24.0,,N. Batum enters the game for S. Blake,36,31
128,2,8:24.0,,Violation by C. Kaman (lane),36,31
129,2,8:24.0,T. Sefolosha makes free throw 1 of 2,,37,31
130,2,8:24.0,T. Sefolosha makes free throw 2 of 2,,38,31
131,2,8:00.0,,Turnover by D. Wright (bad pass; steal by D. Carroll),38,31
132,2,7:54.0,T. Sefolosha makes 2-pt layup from 2 ft,,40,31
133,2,7:40.0,,D. Wright makes 3-pt jump shot from 25 ft (assist by C. Kaman),40,34
134,2,7:29.0,M. Scott misses 2-pt jump shot from 4 ft,,40,34
135,2,7:28.0,,Defensive rebound by C. Kaman,40,34
136,2,7:21.0,,C. Kaman misses 2-pt layup at rim,40,34
137,2,7:19.0,Defensive rebound by T. Sefolosha,,40,34
138,2,7:01.0,D. Schröder makes 2-pt layup from 1 ft,,42,34
139,2,6:47.0,,Offensive foul by C. Kaman (drawn by D. Carroll),42,34
140,2,6:47.0,,Turnover by C. Kaman (offensive foul),42,34
141,2,6:47.0,,J. Freeland enters the game for C. Kaman,42,34
142,2,6:47.0,,C. McCollum enters the game for A. Crabbe,42,34
143,2,6:47.0,K. Korver enters the game for D. Carroll,,42,34
144,2,6:47.0,P. Antić enters the game for A. Horford,,42,34
145,2,6:47.0,P. Millsap enters the game for M. Scott,,42,34
146,2,6:36.0,Turnover by D. Schröder (lost ball; steal by D. Wright),,42,34
147,2,6:29.0,,Turnover by N. Batum (traveling),42,34
148,2,6:16.0,T. Sefolosha makes 3-pt jump shot from 23 ft (assist by K. Korver),,45,34
149,2,6:16.0,,Portland full timeout,45,34
150,2,6:16.0,J. Teague enters the game for D. Schröder,,45,34
151,2,6:16.0,,L. Aldridge enters the game for D. Wright,45,34
152,2,6:02.0,,C. McCollum misses 2-pt jump shot from 19 ft,45,34
153,2,6:01.0,Defensive rebound by P. Millsap,,45,34
154,2,5:50.0,P. Antić misses 3-pt jump shot from 25 ft,,45,34
155,2,5:49.0,,Defensive rebound by D. Lillard,45,34
156,2,5:38.0,,L. Aldridge misses 2-pt jump shot from 21 ft,45,34
157,2,5:37.0,Defensive rebound by K. Korver,,45,34
158,2,5:30.0,Turnover by T. Sefolosha (lost ball),,45,34
159,2,5:17.0,,D. Lillard makes 2-pt layup from 1 ft,45,36
160,2,5:03.0,P. Antić misses 2-pt jump shot from 15 ft,,45,36
161,2,5:02.0,,Defensive rebound by D. Lillard,45,36
162,2,4:52.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by D. Lillard),45,39
163,2,4:35.0,P. Millsap misses 2-pt layup from 2 ft (block by L. Aldridge),,45,39
164,2,4:33.0,Offensive rebound by P. Millsap,,45,39
165,2,4:29.0,T. Sefolosha makes 2-pt layup from 2 ft,,47,39
166,2,4:20.0,,Personal foul by P. Antić (drawn by D. Lillard),47,39
167,2,4:20.0,A. Horford enters the game for P. Antić,,47,39
168,2,4:16.0,,L. Aldridge misses 2-pt jump shot from 20 ft,47,39
169,2,4:14.0,Defensive rebound by T. Sefolosha,,47,39
170,2,4:00.0,K. Korver makes 3-pt jump shot from 23 ft (assist by A. Horford),,50,39
171,2,3:40.0,,C. McCollum makes 2-pt jump shot from 17 ft (assist by N. Batum),50,41
172,2,3:31.0,Atlanta full timeout,,50,41
173,2,3:31.0,D. Carroll enters the game for T. Sefolosha,,50,41
174,2,3:31.0,,W. Matthews enters the game for C. McCollum,50,41
175,2,3:23.0,P. Millsap misses 2-pt jump shot from 5 ft,,50,41
176,2,3:22.0,,Defensive rebound by L. Aldridge,50,41
177,2,3:11.0,,Shooting foul by K. Korver (drawn by W. Matthews),50,41
178,2,3:11.0,,W. Matthews makes free throw 1 of 2,50,42
