,QUARTER,TIME_REMAINING,ATLANTA_ACTION,CHARLOTTE_ACTION,ATLANTA_SCORE,CHARLOTTE_SCORE
0,1,11:46.0,,M. Kidd-Gilchrist misses 2-pt layup from 1 ft,0,0
1,1,11:44.0,Defensive rebound by J. Teague,,0,0
2,1,11:26.0,Shooting foul by A. Jefferson (drawn by D. Carroll),,0,0
3,1,11:26.0,D. Carroll makes free throw 1 of 2,,1,0
4,1,11:26.0,D. Carroll misses free throw 2 of 2,,1,0
5,1,11:23.0,,Defensive rebound by M. Kidd-Gilchrist,1,0
6,1,11:11.0,,M. Williams misses 2-pt jump shot from 18 ft,1,0
7,1,11:10.0,Defensive rebound by D. Carroll,,1,0
8,1,11:02.0,P. Millsap makes 2-pt jump shot from 15 ft (assist by D. Carroll),,3,0
9,1,10:36.0,,A. Jefferson misses 2-pt jump shot from 14 ft,3,0
10,1,10:34.0,Defensive rebound by P. Millsap,,3,0
11,1,10:29.0,Turnover by P. Millsap (lost ball; steal by A. Jefferson),,3,0
12,1,10:20.0,,L. Stephenson makes 2-pt layup from 2 ft,3,2
13,1,10:03.0,D. Carroll makes 3-pt jump shot from 23 ft (assist by J. Teague),,6,2
14,1,9:39.0,,K. Walker misses 2-pt jump shot from 5 ft (block by K. Korver),6,2
15,1,9:38.0,Defensive rebound by P. Millsap,,6,2
16,1,9:25.0,J. Teague makes 3-pt jump shot from 27 ft (assist by A. Horford),,9,2
17,1,9:02.0,,M. Williams misses 3-pt jump shot from 26 ft,9,2
18,1,9:01.0,Defensive rebound by A. Horford,,9,2
19,1,8:54.0,J. Teague makes 2-pt layup from 1 ft,,11,2
20,1,8:54.0,,Charlotte full timeout,11,2
21,1,8:39.0,,A. Jefferson makes 2-pt layup from 1 ft (assist by L. Stephenson),11,4
22,1,8:17.0,P. Millsap misses 2-pt jump shot from 18 ft,,11,4
23,1,8:16.0,,Defensive rebound by L. Stephenson,11,4
24,1,8:09.0,,L. Stephenson makes 2-pt layup from 1 ft,11,6
25,1,8:01.0,Personal foul by M. Williams (drawn by P. Millsap),,11,6
26,1,7:51.0,A. Horford makes 2-pt layup from 1 ft (assist by P. Millsap),,13,6
27,1,7:24.0,,L. Stephenson misses 2-pt jump shot from 21 ft,13,6
28,1,7:23.0,Defensive rebound by A. Horford,,13,6
29,1,7:20.0,Offensive foul by D. Carroll (drawn by M. Williams),,13,6
30,1,7:20.0,Turnover by D. Carroll (offensive foul),,13,6
31,1,7:08.0,,Turnover by K. Walker (bad pass; steal by A. Horford),13,6
32,1,7:01.0,D. Carroll makes 3-pt jump shot from 25 ft (assist by J. Teague),,16,6
33,1,6:49.0,,M. Williams misses 2-pt jump shot from 19 ft,16,6
34,1,6:48.0,Defensive rebound by P. Millsap,,16,6
35,1,6:29.0,Turnover by P. Millsap (lost ball; steal by M. Williams),,16,6
36,1,6:15.0,,Shooting foul by A. Horford (drawn by M. Kidd-Gilchrist),16,6
37,1,6:15.0,,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by K. Walker),16,8
38,1,6:15.0,P. Antić enters the game for A. Horford,,16,8
39,1,6:15.0,,M. Kidd-Gilchrist makes free throw 1 of 1,16,9
40,1,5:56.0,J. Teague misses 2-pt jump shot from 18 ft,,16,9
41,1,5:55.0,,Defensive rebound by L. Stephenson,16,9
42,1,5:44.0,,M. Williams misses 3-pt jump shot from 25 ft,16,9
43,1,5:43.0,Defensive rebound by D. Carroll,,16,9
44,1,5:37.0,Shooting foul by M. Williams (drawn by P. Millsap),,16,9
45,1,5:37.0,P. Millsap makes free throw 1 of 2,,17,9
46,1,5:37.0,T. Sefolosha enters the game for K. Korver,,17,9
47,1,5:37.0,,P. Hairston enters the game for M. Kidd-Gilchrist,17,9
48,1,5:37.0,,C. Zeller enters the game for M. Williams,17,9
49,1,5:37.0,P. Millsap makes free throw 2 of 2,,18,9
50,1,5:15.0,,A. Jefferson makes 2-pt layup from 1 ft,18,11
51,1,5:05.0,P. Antić misses 3-pt jump shot from 25 ft,,18,11
