,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,NEW YORK_ACTION,MEMPHIS_SCORE,NEW YORK_SCORE
0,1,11:46.0,M. Conley misses 2-pt layup from 2 ft,,0,0
1,1,11:44.0,,Defensive rebound by L. Amundson,0,0
2,1,11:25.0,,Turnover by L. Thomas (inbound),0,0
3,1,11:12.0,M. Gasol makes 2-pt jump shot from 15 ft (assist by T. Allen),,2,0
4,1,10:54.0,,Shooting foul by Z. Randolph (drawn by L. Amundson),2,0
5,1,10:54.0,,L. Amundson makes free throw 1 of 2,2,1
6,1,10:54.0,,L. Amundson misses free throw 2 of 2,2,1
7,1,10:53.0,Defensive rebound by M. Gasol,,2,1
8,1,10:41.0,T. Allen makes 2-pt layup from 2 ft (assist by Z. Randolph),,4,1
9,1,10:26.0,,Offensive foul by A. Bargnani (drawn by M. Conley),4,1
10,1,10:26.0,,Turnover by A. Bargnani (offensive foul),4,1
11,1,10:08.0,T. Allen makes 2-pt jump shot from 4 ft,,6,1
12,1,9:54.0,,L. Galloway makes 2-pt jump shot from 18 ft (assist by A. Bargnani),6,3
13,1,9:37.0,M. Conley misses 3-pt jump shot from 24 ft,,6,3
14,1,9:35.0,,Defensive rebound by L. Galloway,6,3
15,1,9:27.0,,A. Bargnani makes 2-pt jump shot from 9 ft (assist by L. Galloway),6,5
16,1,9:12.0,M. Gasol misses 2-pt jump shot from 15 ft,,6,5
17,1,9:10.0,,Defensive rebound by L. Amundson,6,5
18,1,8:58.0,,L. Amundson misses 2-pt jump shot from 14 ft,6,5
19,1,8:56.0,Defensive rebound by M. Gasol,,6,5
20,1,8:46.0,Shooting foul by L. Amundson (drawn by Z. Randolph),,6,5
21,1,8:46.0,Z. Randolph makes free throw 1 of 2,,7,5
22,1,8:46.0,Z. Randolph makes free throw 2 of 2,,8,5
23,1,8:22.0,,A. Bargnani misses 2-pt jump shot from 13 ft,8,5
24,1,8:21.0,Defensive rebound by Z. Randolph,,8,5
25,1,8:14.0,M. Gasol makes 2-pt jump shot from 4 ft (assist by M. Conley),,10,5
26,1,7:51.0,,L. Galloway misses 3-pt jump shot from 25 ft (block by T. Allen),10,5
27,1,7:50.0,,Offensive rebound by Team,10,5
28,1,7:46.0,,A. Bargnani misses 2-pt jump shot from 14 ft,10,5
29,1,7:45.0,Defensive rebound by T. Allen,,10,5
30,1,7:41.0,Turnover by T. Allen (bad pass; steal by L. Galloway),,10,5
31,1,7:31.0,,L. Thomas makes 2-pt jump shot from 20 ft (assist by S. Larkin),10,7
32,1,7:09.0,M. Gasol makes 2-pt layup from 1 ft (assist by M. Conley),,12,7
33,1,7:09.0,Shooting foul by A. Bargnani (drawn by M. Gasol),,12,7
34,1,7:09.0,,J. Smith enters the game for A. Bargnani,12,7
35,1,7:09.0,M. Gasol makes free throw 1 of 1,,13,7
36,1,6:52.0,,Turnover by L. Amundson (bad pass),13,7
37,1,6:38.0,J. Green misses 2-pt jump shot from 15 ft,,13,7
38,1,6:36.0,,Defensive rebound by L. Amundson,13,7
39,1,6:17.0,,Turnover by L. Thomas (step out of bounds),13,7
40,1,6:01.0,T. Allen makes 3-pt jump shot from 23 ft (assist by M. Conley),,16,7
41,1,5:55.0,,New York full timeout,16,7
42,1,5:55.0,N. Calathes enters the game for J. Green,,16,7
43,1,5:49.0,,J. Smith makes 2-pt jump shot from 18 ft (assist by S. Larkin),16,9
44,1,5:30.0,Z. Randolph makes 2-pt jump shot from 4 ft (assist by M. Gasol),,18,9
45,1,5:10.0,,Turnover by L. Thomas (step out of bounds),18,9
46,1,5:10.0,,C. Aldrich enters the game for L. Amundson,18,9
47,1,5:01.0,M. Gasol misses 2-pt jump shot from 5 ft,,18,9
48,1,4:59.0,,Defensive rebound by C. Aldrich,18,9
49,1,4:49.0,,J. Smith misses 2-pt jump shot from 4 ft,18,9
50,1,4:48.0,Defensive rebound by N. Calathes,,18,9
51,1,4:41.0,M. Gasol misses 2-pt layup from 2 ft,,18,9
52,1,4:39.0,Offensive rebound by M. Gasol,,18,9
53,1,4:35.0,M. Gasol makes 2-pt hook shot from 4 ft,,20,9
54,1,4:35.0,Shooting foul by C. Aldrich (drawn by M. Gasol),,20,9
55,1,4:35.0,M. Gasol makes free throw 1 of 1,,21,9
56,1,4:16.0,,L. Galloway misses 2-pt jump shot from 19 ft,21,9
57,1,4:14.0,Defensive rebound by Z. Randolph,,21,9
58,1,4:10.0,Turnover by Z. Randolph (bad pass),,21,9
59,1,3:55.0,,J. Smith makes 2-pt jump shot from 19 ft (assist by L. Galloway),21,11
60,1,3:36.0,Z. Randolph makes 2-pt layup from 1 ft (assist by M. Gasol),,23,11
61,1,3:22.0,,Turnover by C. Aldrich (bad pass; steal by T. Allen),23,11
62,1,3:09.0,M. Conley misses 2-pt layup from 1 ft,,23,11
63,1,3:08.0,,Defensive rebound by J. Smith,23,11
64,1,2:54.0,,L. Thomas misses 3-pt jump shot from 23 ft,23,11
65,1,2:52.0,Defensive rebound by M. Gasol,,23,11
66,1,2:44.0,Turnover by Z. Randolph (bad pass; steal by L. Thomas),,23,11
67,1,2:37.0,,Turnover by S. Larkin (bad pass; steal by T. Allen),23,11
68,1,2:32.0,N. Calathes makes 2-pt layup from 1 ft (assist by T. Allen),,25,11
69,1,2:16.0,,L. Galloway makes 2-pt jump shot from 15 ft,25,13
70,1,2:07.0,Memphis full timeout,,25,13
71,1,2:07.0,B. Udrih enters the game for Z. Randolph,,25,13
72,1,2:07.0,K. Koufos enters the game for M. Conley,,25,13
73,1,2:07.0,,R. Ledo enters the game for S. Larkin,25,13
74,1,2:01.0,M. Gasol misses 2-pt layup from 2 ft (block by C. Aldrich),,25,13
75,1,1:59.0,,Defensive rebound by L. Thomas,25,13
76,1,1:53.0,,L. Thomas makes 2-pt jump shot from 5 ft,25,15
77,1,1:53.0,,Shooting foul by K. Koufos (drawn by L. Thomas),25,15
78,1,1:53.0,,L. Thomas makes free throw 1 of 1,25,16
79,1,1:40.0,M. Gasol misses 2-pt jump shot from 19 ft,,25,16
80,1,1:39.0,,Defensive rebound by C. Aldrich,25,16
81,1,1:22.0,,J. Smith makes 2-pt jump shot from 18 ft (assist by C. Aldrich),25,18
82,1,1:11.0,B. Udrih makes 2-pt jump shot from 11 ft,,27,18
83,1,0:55.0,,J. Smith misses 3-pt jump shot from 24 ft,27,18
84,1,0:54.0,,Offensive rebound by L. Thomas,27,18
85,1,0:54.0,,L. Thomas makes 2-pt dunk at rim,27,20
86,1,0:38.0,M. Gasol misses 2-pt layup from 2 ft,,27,20
87,1,0:36.0,Offensive rebound by K. Koufos,,27,20
88,1,0:31.0,N. Calathes misses 2-pt jump shot from 10 ft,,27,20
89,1,0:29.0,,Defensive rebound by C. Aldrich,27,20
90,1,0:08.0,,J. Smith misses 2-pt jump shot from 20 ft,27,20
91,1,0:06.0,Defensive rebound by T. Allen,,27,20
92,1,0:00.0,N. Calathes makes 3-pt jump shot from 24 ft (assist by T. Allen),,30,20
93,2,11:48.0,,C. Aldrich makes 2-pt layup from 1 ft (assist by J. Smith),30,22
94,2,11:27.0,B. Udrih misses 2-pt jump shot from 17 ft,,30,22
95,2,11:25.0,,Defensive rebound by C. Aldrich,30,22
96,2,11:08.0,,R. Ledo misses 2-pt jump shot from 3 ft (block by J. Green),30,22
97,2,11:06.0,,Offensive rebound by R. Ledo,30,22
98,2,11:02.0,,Q. Acy misses 3-pt jump shot from 29 ft,30,22
99,2,11:01.0,,Offensive rebound by Team,30,22
100,2,11:01.0,,Turnover by Team (shot clock),30,22
101,2,10:54.0,N. Calathes misses 2-pt layup from 2 ft,,30,22
102,2,10:53.0,Offensive rebound by J. Green,,30,22
103,2,10:52.0,J. Green makes 2-pt layup from 1 ft,,32,22
104,2,10:35.0,,Shooting foul by K. Koufos (drawn by C. Aldrich),32,22
105,2,10:35.0,,C. Aldrich makes free throw 1 of 2,32,23
106,2,10:35.0,,C. Aldrich makes free throw 2 of 2,32,24
107,2,10:25.0,Turnover by K. Koufos (offensive goaltending),,32,24
108,2,10:02.0,,J. Smith misses 3-pt jump shot from 23 ft,32,24
109,2,10:00.0,Defensive rebound by B. Udrih,,32,24
110,2,9:43.0,K. Koufos misses 2-pt jump shot from 13 ft,,32,24
111,2,9:41.0,,Defensive rebound by C. Aldrich,32,24
112,2,9:28.0,,S. Larkin misses 3-pt jump shot from 25 ft,32,24
113,2,9:26.0,Defensive rebound by J. Green,,32,24
114,2,9:19.0,J. Green misses 2-pt jump shot from 17 ft,,32,24
115,2,9:17.0,,Defensive rebound by Q. Acy,32,24
116,2,9:02.0,,R. Ledo misses 2-pt jump shot from 19 ft,32,24
117,2,9:00.0,Defensive rebound by K. Koufos,,32,24
118,2,8:51.0,J. Green makes 2-pt dunk at rim (assist by V. Carter),,34,24
119,2,8:42.0,,New York full timeout,34,24
120,2,8:42.0,J. Green enters the game for N. Calathes,,34,24
