,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CHICAGO_ACTION,WASHINGTON_SCORE,CHICAGO_SCORE
0,1,11:40.0,,P. Gasol misses 2-pt jump shot from 14 ft,0,0
1,1,11:38.0,Defensive rebound by Team,,0,0
2,1,11:20.0,N. Hilário misses 2-pt layup from 2 ft,,0,0
3,1,11:19.0,Offensive rebound by Team,,0,0
4,1,11:02.0,P. Pierce misses 3-pt jump shot from 24 ft,,0,0
5,1,11:00.0,Offensive rebound by M. Gortat,,0,0
6,1,10:57.0,N. Hilário misses 2-pt layup from 1 ft (block by J. Noah),,0,0
7,1,10:55.0,,Defensive rebound by D. Rose,0,0
8,1,10:50.0,,D. Rose misses 2-pt layup from 2 ft,0,0
9,1,10:48.0,,Offensive rebound by J. Noah,0,0
10,1,10:48.0,,J. Noah makes 2-pt tip-in at rim,0,2
11,1,10:33.0,B. Beal makes 3-pt jump shot from 24 ft (assist by J. Wall),,3,2
12,1,10:12.0,,J. Butler misses 2-pt jump shot from 6 ft,3,2
13,1,10:11.0,Defensive rebound by M. Gortat,,3,2
14,1,9:55.0,J. Wall misses 2-pt jump shot from 20 ft,,3,2
15,1,9:54.0,Offensive rebound by J. Wall,,3,2
16,1,9:49.0,P. Pierce makes 2-pt jump shot from 19 ft,,5,2
17,1,9:27.0,,J. Butler makes 3-pt jump shot from 25 ft,5,5
18,1,9:12.0,Turnover by J. Wall (lost ball; steal by T. Snell),,5,5
19,1,9:08.0,,T. Snell makes 2-pt layup from 1 ft,5,7
20,1,8:48.0,Turnover by P. Pierce (bad pass),,5,7
21,1,8:32.0,,D. Rose makes 3-pt jump shot from 25 ft (assist by P. Gasol),5,10
22,1,8:25.0,Personal foul by P. Gasol (drawn by N. Hilário),,5,10
23,1,8:18.0,B. Beal makes 2-pt jump shot from 21 ft (assist by N. Hilário),,7,10
24,1,8:00.0,,T. Snell misses 2-pt jump shot from 19 ft,7,10
25,1,7:59.0,Defensive rebound by P. Pierce,,7,10
26,1,7:40.0,J. Wall misses 2-pt jump shot from 19 ft,,7,10
27,1,7:39.0,,Defensive rebound by J. Noah,7,10
28,1,7:32.0,,D. Rose makes 2-pt layup from 1 ft (assist by J. Noah),7,12
29,1,7:26.0,Shooting foul by D. Rose (drawn by P. Pierce),,7,12
30,1,7:26.0,P. Pierce makes free throw 1 of 2,,8,12
31,1,7:26.0,P. Pierce makes free throw 2 of 2,,9,12
32,1,7:05.0,,Turnover by D. Rose (step out of bounds),9,12
33,1,6:57.0,B. Beal makes 2-pt jump shot from 19 ft (assist by J. Wall),,11,12
34,1,6:42.0,,Turnover by P. Gasol (traveling),11,12
35,1,6:31.0,N. Hilário makes 2-pt layup from 1 ft (assist by P. Pierce),,13,12
36,1,6:09.0,,T. Snell makes 3-pt jump shot from 23 ft (assist by J. Butler),13,15
37,1,5:52.0,N. Hilário makes 2-pt jump shot from 11 ft (assist by B. Beal),,15,15
38,1,5:32.0,,P. Gasol misses 2-pt jump shot from 11 ft,15,15
39,1,5:31.0,Defensive rebound by P. Pierce,,15,15
40,1,5:22.0,M. Gortat misses 2-pt jump shot from 11 ft,,15,15
41,1,5:21.0,,Defensive rebound by P. Gasol,15,15
42,1,5:09.0,,Shooting foul by N. Hilário (drawn by P. Gasol),15,15
43,1,5:09.0,,Chicago full timeout,15,15
44,1,5:09.0,R. Butler enters the game for P. Pierce,,15,15
45,1,5:09.0,,P. Gasol misses free throw 1 of 2,15,15
46,1,5:09.0,,Offensive rebound by Team,15,15
47,1,5:09.0,,P. Gasol makes free throw 2 of 2,15,16
48,1,4:49.0,J. Wall makes 2-pt jump shot from 16 ft,,17,16
49,1,4:34.0,,J. Butler misses 2-pt jump shot from 11 ft,17,16
50,1,4:34.0,Defensive rebound by Team,,17,16
51,1,4:21.0,N. Hilário misses 2-pt jump shot from 20 ft,,17,16
52,1,4:20.0,,Defensive rebound by T. Snell,17,16
53,1,4:07.0,,D. Rose makes 3-pt jump shot from 24 ft (assist by J. Noah),17,19
54,1,3:47.0,J. Wall makes 2-pt jump shot from 11 ft (assist by B. Beal),,19,19
55,1,3:36.0,,D. Rose makes 2-pt layup from 1 ft,19,21
