,QUARTER,TIME_REMAINING,INDIANA_ACTION,MILWAUKEE_ACTION,INDIANA_SCORE,MILWAUKEE_SCORE
0,1,11:43.0,,K. Middleton misses 3-pt jump shot from 25 ft,0,0
1,1,11:42.0,,Offensive rebound by Z. Pachulia,0,0
2,1,11:30.0,,J. O'Bryant misses 2-pt jump shot from 16 ft,0,0
3,1,11:29.0,Defensive rebound by R. Hibbert,,0,0
4,1,11:05.0,R. Stuckey misses 3-pt jump shot from 25 ft,,0,0
5,1,11:04.0,,Defensive rebound by B. Knight,0,0
6,1,10:58.0,,B. Knight misses 2-pt layup at rim,0,0
7,1,10:56.0,Defensive rebound by Team,,0,0
8,1,10:43.0,R. Stuckey misses 2-pt jump shot from 10 ft,,0,0
9,1,10:42.0,,Defensive rebound by Z. Pachulia,0,0
10,1,10:29.0,,G. Antetokounmpo misses 2-pt jump shot from 16 ft,0,0
11,1,10:28.0,Defensive rebound by R. Stuckey,,0,0
12,1,10:20.0,S. Hill misses 2-pt jump shot from 6 ft (block by G. Antetokounmpo),,0,0
13,1,10:18.0,,Defensive rebound by Z. Pachulia,0,0
14,1,9:58.0,,B. Knight misses 3-pt jump shot from 25 ft,0,0
15,1,9:57.0,Defensive rebound by S. Hill,,0,0
16,1,9:38.0,R. Stuckey misses 2-pt layup at rim,,0,0
17,1,9:36.0,Offensive rebound by D. West,,0,0
18,1,9:21.0,R. Hibbert makes 2-pt hook shot from 9 ft (assist by D. West),,2,0
19,1,8:59.0,,Z. Pachulia misses 2-pt jump shot from 17 ft,2,0
20,1,8:58.0,Defensive rebound by S. Hill,,2,0
21,1,8:51.0,Turnover by D. West (bad pass; steal by K. Middleton),,2,0
22,1,8:38.0,,G. Antetokounmpo misses 3-pt jump shot from 23 ft,2,0
23,1,8:37.0,Defensive rebound by D. West,,2,0
24,1,8:34.0,S. Hill misses 2-pt layup from 1 ft (block by G. Antetokounmpo),,2,0
25,1,8:32.0,,Defensive rebound by Z. Pachulia,2,0
26,1,8:28.0,,Turnover by G. Antetokounmpo (lost ball),2,0
27,1,8:10.0,Turnover by D. West (bad pass; steal by K. Middleton),,2,0
28,1,8:00.0,,K. Middleton makes 3-pt jump shot from 25 ft (assist by B. Knight),2,3
29,1,7:37.0,D. West misses 2-pt jump shot from 13 ft,,2,3
30,1,7:36.0,,Defensive rebound by Z. Pachulia,2,3
31,1,7:29.0,,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by J. O'Bryant),2,5
32,1,7:14.0,Shooting block foul by G. Antetokounmpo (drawn by R. Hibbert),,2,5
33,1,7:14.0,R. Hibbert makes free throw 1 of 2,,3,5
34,1,7:14.0,C. Miles enters the game for R. Stuckey,,3,5
35,1,7:14.0,R. Hibbert makes free throw 2 of 2,,4,5
36,1,7:02.0,,J. O'Bryant misses 2-pt jump shot from 14 ft,4,5
37,1,7:02.0,,Offensive rebound by Team,4,5
38,1,6:59.0,,B. Knight misses 2-pt jump shot from 3 ft,4,5
39,1,6:58.0,Defensive rebound by R. Hibbert,,4,5
40,1,6:47.0,R. Hibbert makes 2-pt jump shot from 3 ft (assist by D. West),,6,5
41,1,6:38.0,,Z. Pachulia misses 2-pt jump shot from 15 ft,6,5
42,1,6:37.0,,Offensive rebound by Team,6,5
43,1,6:35.0,,Z. Pachulia makes 2-pt jump shot from 11 ft (assist by K. Middleton),6,7
44,1,6:15.0,D. Sloan makes 3-pt jump shot from 26 ft (assist by C. Miles),,9,7
45,1,5:58.0,,B. Knight makes 3-pt jump shot from 26 ft (assist by K. Middleton),9,10
46,1,5:42.0,C. Miles makes 3-pt jump shot from 26 ft (assist by S. Hill),,12,10
47,1,5:26.0,,B. Knight misses 2-pt jump shot from 10 ft,12,10
48,1,5:25.0,Defensive rebound by D. West,,12,10
49,1,5:10.0,D. West misses 2-pt jump shot from 6 ft,,12,10
50,1,5:09.0,,Defensive rebound by G. Antetokounmpo,12,10
51,1,4:58.0,,K. Middleton misses 2-pt jump shot from 16 ft,12,10
52,1,4:56.0,Defensive rebound by R. Hibbert,,12,10
53,1,4:42.0,D. West makes 2-pt jump shot from 17 ft (assist by D. Sloan),,14,10
54,1,4:41.0,,Milwaukee full timeout,14,10
55,1,4:41.0,L. Allen enters the game for R. Hibbert,,14,10
56,1,4:41.0,,J. Dudley enters the game for J. O'Bryant,14,10
57,1,4:27.0,,B. Knight makes 2-pt jump shot from 18 ft (assist by J. Dudley),14,12
58,1,4:03.0,S. Hill misses 3-pt jump shot from 23 ft,,14,12
59,1,4:02.0,,Defensive rebound by Z. Pachulia,14,12
60,1,3:48.0,,G. Antetokounmpo makes 2-pt jump shot from 17 ft (assist by B. Knight),14,14
61,1,3:32.0,L. Allen misses 2-pt jump shot from 15 ft,,14,14
62,1,3:30.0,,Defensive rebound by K. Middleton,14,14
63,1,3:22.0,,Z. Pachulia misses 2-pt layup at rim,14,14
64,1,3:20.0,Defensive rebound by D. Sloan,,14,14
65,1,3:12.0,Personal foul by K. Middleton (drawn by C. Miles),,14,14
66,1,3:12.0,,J. Henson enters the game for Z. Pachulia,14,14
67,1,3:12.0,,O. Mayo enters the game for G. Antetokounmpo,14,14
68,1,2:58.0,D. West misses 2-pt jump shot from 9 ft,,14,14
69,1,2:57.0,,Defensive rebound by K. Middleton,14,14
70,1,2:47.0,Indiana full timeout,,14,14
71,1,2:34.0,,B. Knight makes 2-pt jump shot from 18 ft,14,16
72,1,2:10.0,Shooting block foul by O. Mayo (drawn by S. Hill),,14,16
73,1,2:10.0,S. Hill makes free throw 1 of 2,,15,16
74,1,2:10.0,S. Hill makes free throw 2 of 2,,16,16
75,1,2:02.0,,Turnover by O. Mayo (step out of bounds),16,16
76,1,1:44.0,Turnover by C. Miles (bad pass; steal by J. Dudley),,16,16
77,1,1:41.0,,K. Middleton makes 2-pt layup at rim (assist by J. Dudley),16,18
78,1,1:39.0,,Violation by Team (delay of game),16,18
79,1,1:24.0,C. Miles makes 3-pt jump shot from 26 ft (assist by D. Sloan),,19,18
80,1,1:08.0,,O. Mayo misses 3-pt jump shot from 25 ft,19,18
81,1,1:06.0,Defensive rebound by D. West,,19,18
82,1,0:56.0,Personal foul by J. Henson (drawn by L. Allen),,19,18
83,1,0:56.0,R. Stuckey enters the game for S. Hill,,19,18
84,1,0:56.0,C. Copeland enters the game for D. West,,19,18
85,1,0:56.0,L. Scola enters the game for D. Sloan,,19,18
86,1,0:48.0,C. Miles makes 2-pt jump shot from 17 ft (assist by R. Stuckey),,21,18
87,1,0:38.0,,J. Dudley misses 3-pt jump shot from 25 ft,21,18
88,1,0:36.0,Defensive rebound by L. Allen,,21,18
89,1,0:28.0,L. Scola makes 2-pt layup at rim (assist by L. Allen),,23,18
90,1,0:15.0,,O. Mayo makes 3-pt jump shot from 23 ft (assist by B. Knight),23,21
91,1,0:03.0,Turnover by R. Stuckey (lost ball; steal by B. Knight),,23,21
92,1,0:00.0,,K. Middleton misses 3-pt jump shot from 40 ft,23,21
93,1,0:00.0,,Offensive rebound by Team,23,21
94,2,11:47.0,C. Copeland misses 3-pt jump shot from 23 ft,,23,21
95,2,11:46.0,,Defensive rebound by J. Henson,23,21
96,2,11:35.0,,O. Mayo makes 2-pt jump shot from 16 ft (assist by J. Bayless),23,23
97,2,11:20.0,L. Scola makes 2-pt layup at rim (assist by L. Allen),,25,23
98,2,11:10.0,,Turnover by O. Mayo (bad pass),25,23
99,2,10:52.0,L. Allen makes 2-pt jump shot from 14 ft (assist by R. Stuckey),,27,23
100,2,10:39.0,,O. Mayo misses 3-pt jump shot from 23 ft,27,23
101,2,10:38.0,,Offensive rebound by K. Marshall,27,23
102,2,10:32.0,,J. Henson makes 2-pt dunk at rim (assist by K. Marshall),27,25
103,2,10:15.0,C. Miles misses 3-pt jump shot from 25 ft,,27,25
104,2,10:14.0,,Defensive rebound by J. Dudley,27,25
105,2,10:03.0,,J. Henson makes 2-pt layup at rim (assist by J. Dudley),27,27
106,2,9:43.0,L. Allen misses 2-pt jump shot from 8 ft,,27,27
107,2,9:42.0,,Defensive rebound by J. Henson,27,27
108,2,9:32.0,,Turnover by J. Bayless (bad pass; steal by C. Copeland),27,27
109,2,9:26.0,C. Miles misses 2-pt jump shot from 3 ft,,27,27
110,2,9:26.0,Offensive rebound by Team,,27,27
111,2,9:26.0,,Loose ball foul by O. Mayo (drawn by C. Copeland),27,27
112,2,9:10.0,,Offensive charge foul by C. Copeland (drawn by O. Mayo),27,27
113,2,9:10.0,Turnover by C. Copeland (offensive foul),,27,27
114,2,8:59.0,,J. Henson makes 2-pt hook shot from 5 ft (assist by K. Marshall),27,29
115,2,8:46.0,C. Copeland misses 3-pt jump shot from 23 ft,,27,29
116,2,8:45.0,,Defensive rebound by K. Marshall,27,29
117,2,8:30.0,,J. Dudley makes 3-pt jump shot from 23 ft (assist by J. Henson),27,32
118,2,8:30.0,Indiana full timeout,,27,32
119,2,8:30.0,S. Hill enters the game for C. Copeland,,27,32
120,2,8:03.0,L. Scola makes 2-pt jump shot from 5 ft,,29,32
121,2,7:50.0,,Turnover by K. Marshall (bad pass; steal by S. Hill),29,32
122,2,7:40.0,L. Scola makes 2-pt layup at rim (assist by L. Allen),,31,32
123,2,7:21.0,,O. Mayo makes 2-pt layup from 2 ft,31,34
124,2,7:00.0,L. Scola misses 2-pt layup from 2 ft,,31,34
125,2,6:59.0,,Defensive rebound by J. Henson,31,34
126,2,6:48.0,,K. Marshall misses 3-pt jump shot from 23 ft,31,34
127,2,6:47.0,Defensive rebound by L. Scola,,31,34
128,2,6:38.0,C. Miles makes 3-pt jump shot from 28 ft (assist by S. Hill),,34,34
129,2,6:24.0,,O. Mayo misses 2-pt jump shot from 17 ft,34,34
130,2,6:23.0,Defensive rebound by C. Miles,,34,34
131,2,6:14.0,R. Stuckey makes 2-pt jump shot from 7 ft,,36,34
132,2,6:01.0,,K. Marshall makes 2-pt layup at rim,36,36
133,2,5:42.0,L. Allen misses 2-pt jump shot from 5 ft (block by J. Henson),,36,36
134,2,5:42.0,Offensive rebound by Team,,36,36
135,2,5:42.0,Official timeout,,36,36
136,2,5:42.0,R. Hibbert enters the game for L. Allen,,36,36
137,2,5:42.0,,B. Knight enters the game for J. Dudley,36,36
138,2,5:42.0,,K. Middleton enters the game for J. Henson,36,36
139,2,5:42.0,,Z. Pachulia enters the game for O. Mayo,36,36
140,2,5:42.0,,G. Antetokounmpo enters the game for K. Marshall,36,36
141,2,5:41.0,Turnover by S. Hill (bad pass; steal by B. Knight),,36,36
142,2,5:35.0,,Shooting foul by R. Hibbert (drawn by Z. Pachulia),36,36
143,2,5:35.0,,Z. Pachulia makes free throw 1 of 2,36,37
144,2,5:35.0,D. Sloan enters the game for C. Miles,,36,37
145,2,5:35.0,,Z. Pachulia makes free throw 2 of 2,36,38
146,2,5:20.0,R. Hibbert misses 2-pt jump shot from 6 ft (block by Z. Pachulia),,36,38
147,2,5:18.0,,Defensive rebound by K. Middleton,36,38
148,2,5:04.0,Offensive charge foul by B. Knight (drawn by R. Stuckey),,36,38
149,2,5:04.0,,Turnover by B. Knight (offensive foul),36,38
150,2,4:54.0,Turnover by L. Scola (bad pass; steal by J. Bayless),,36,38
151,2,4:51.0,,J. Bayless makes 2-pt layup at rim,36,40
152,2,4:33.0,,Violation by G. Antetokounmpo (def goaltending),36,40
153,2,4:33.0,L. Scola makes 2-pt layup at rim (assist by R. Stuckey),,38,40
154,2,4:20.0,,B. Knight makes 3-pt jump shot from 23 ft (assist by J. Bayless),38,43
155,2,4:00.0,S. Hill makes 2-pt layup from 2 ft (assist by D. Sloan),,40,43
156,2,3:49.0,,Personal foul by R. Stuckey (drawn by B. Knight),40,43
157,2,3:43.0,,Shooting foul by R. Stuckey (drawn by Z. Pachulia),40,43
158,2,3:43.0,,Z. Pachulia makes free throw 1 of 2,40,44
159,2,3:43.0,D. West enters the game for L. Scola,,40,44
160,2,3:43.0,,Z. Pachulia makes free throw 2 of 2,40,45
161,2,3:23.0,R. Hibbert makes 2-pt hook shot from 8 ft,,42,45
162,2,2:54.0,,Z. Pachulia misses 2-pt jump shot from 16 ft,42,45
163,2,2:54.0,,Offensive rebound by Team,42,45
164,2,2:54.0,,Turnover by Team (shot clock),42,45
165,2,2:54.0,,Milwaukee full timeout,42,45
166,2,2:54.0,C. Miles enters the game for R. Stuckey,,42,45
167,2,2:36.0,C. Miles misses 3-pt jump shot from 23 ft,,42,45
168,2,2:35.0,,Defensive rebound by G. Antetokounmpo,42,45
169,2,2:14.0,,K. Middleton misses 3-pt jump shot from 26 ft,42,45
170,2,2:13.0,Defensive rebound by D. Sloan,,42,45
171,2,1:58.0,C. Miles makes 2-pt jump shot from 10 ft (assist by D. Sloan),,44,45
172,2,1:42.0,,Z. Pachulia makes 2-pt jump shot from 5 ft (assist by J. Bayless),44,47
173,2,1:24.0,Turnover by R. Hibbert (lost ball; steal by Z. Pachulia),,44,47
174,2,1:19.0,,J. Bayless makes 2-pt layup from 1 ft (assist by B. Knight),44,49
175,2,1:01.0,R. Hibbert makes 2-pt jump shot from 18 ft (assist by S. Hill),,46,49
176,2,0:51.0,,B. Knight makes 2-pt jump shot from 14 ft (assist by J. Bayless),46,51
177,2,0:40.0,D. Sloan misses 2-pt layup at rim,,46,51
178,2,0:38.0,,Defensive rebound by Z. Pachulia,46,51
179,2,0:32.0,,J. Bayless misses 3-pt jump shot from 27 ft,46,51
180,2,0:31.0,,Offensive rebound by G. Antetokounmpo,46,51
181,2,0:08.0,,J. Bayless misses 2-pt jump shot from 6 ft,46,51
182,2,0:07.0,,Offensive rebound by Z. Pachulia,46,51
183,2,0:06.0,,Z. Pachulia makes 2-pt layup at rim,46,53
184,2,0:02.0,D. Sloan misses 2-pt jump shot from 18 ft,,46,53
185,2,0:01.0,,Defensive rebound by Z. Pachulia,46,53
186,3,11:48.0,Offensive foul by R. Hibbert (drawn by J. O'Bryant),,46,53
187,3,11:48.0,Turnover by R. Hibbert (offensive foul),,46,53
188,3,11:38.0,,J. O'Bryant misses 2-pt jump shot from 14 ft,46,53
189,3,11:36.0,Defensive rebound by R. Stuckey,,46,53
190,3,11:26.0,R. Hibbert misses 2-pt hook shot from 10 ft,,46,53
191,3,11:25.0,Offensive rebound by D. West,,46,53
192,3,11:23.0,D. West makes 2-pt layup at rim,,48,53
193,3,10:58.0,,G. Antetokounmpo misses 2-pt jump shot from 20 ft,48,53
194,3,10:57.0,,Offensive rebound by Z. Pachulia,48,53
195,3,10:41.0,,Z. Pachulia misses 2-pt jump shot from 15 ft,48,53
196,3,10:41.0,,Offensive rebound by Team,48,53
197,3,10:27.0,,Turnover by K. Middleton (bad pass; steal by S. Hill),48,53
198,3,10:26.0,Turnover by S. Hill (bad pass),,48,53
199,3,10:11.0,,Turnover by J. O'Bryant (lost ball; steal by D. Sloan),48,53
200,3,9:55.0,R. Hibbert makes 2-pt dunk at rim (assist by D. West),,50,53
201,3,9:43.0,,B. Knight makes 2-pt layup from 2 ft,50,55
202,3,9:14.0,S. Hill misses 2-pt hook shot from 5 ft (block by G. Antetokounmpo),,50,55
203,3,9:12.0,,Defensive rebound by K. Middleton,50,55
204,3,9:03.0,,K. Middleton misses 3-pt jump shot from 23 ft,50,55
205,3,9:02.0,Defensive rebound by R. Hibbert,,50,55
206,3,8:47.0,D. Sloan misses 3-pt jump shot from 26 ft,,50,55
207,3,8:46.0,Offensive rebound by R. Hibbert,,50,55
208,3,8:45.0,Personal foul by G. Antetokounmpo (drawn by R. Hibbert),,50,55
209,3,8:31.0,S. Hill misses 2-pt layup at rim,,50,55
210,3,8:30.0,Offensive rebound by R. Hibbert,,50,55
211,3,8:29.0,R. Hibbert makes 2-pt layup from 1 ft,,52,55
212,3,8:18.0,,Personal foul by R. Stuckey (drawn by Z. Pachulia),52,55
213,3,8:14.0,,K. Middleton makes 2-pt layup at rim (assist by Z. Pachulia),52,57
214,3,7:48.0,R. Hibbert misses 2-pt jump shot from 11 ft,,52,57
215,3,7:46.0,,Defensive rebound by Z. Pachulia,52,57
216,3,7:35.0,,B. Knight makes 2-pt jump shot from 18 ft,52,59
217,3,7:08.0,D. Sloan makes 2-pt layup at rim,,54,59
218,3,6:57.0,,B. Knight misses 2-pt jump shot from 15 ft,54,59
219,3,6:56.0,Defensive rebound by D. West,,54,59
220,3,6:41.0,Shooting foul by K. Middleton (drawn by R. Hibbert),,54,59
221,3,6:41.0,R. Hibbert makes free throw 1 of 2,,55,59
222,3,6:41.0,C. Miles enters the game for D. Sloan,,55,59
223,3,6:41.0,R. Hibbert makes free throw 2 of 2,,56,59
224,3,6:28.0,,K. Middleton makes 2-pt layup from 1 ft (assist by J. O'Bryant),56,61
225,3,6:16.0,Offensive foul by R. Hibbert (drawn by G. Antetokounmpo),,56,61
226,3,6:16.0,Turnover by R. Hibbert (offensive foul),,56,61
227,3,6:00.0,,J. O'Bryant misses 2-pt jump shot from 15 ft,56,61
228,3,5:59.0,Defensive rebound by C. Miles,,56,61
229,3,5:50.0,Def 3 sec tech foul by Z. Pachulia,,56,61
230,3,5:50.0,,Milwaukee full timeout,56,61
231,3,5:50.0,,J. Dudley enters the game for J. O'Bryant,56,61
232,3,5:50.0,,J. Henson enters the game for Z. Pachulia,56,61
233,3,5:50.0,C. Miles misses technical free throw,,56,61
234,3,5:50.0,Offensive rebound by Team,,56,61
235,3,5:38.0,R. Stuckey misses 2-pt jump shot from 19 ft,,56,61
236,3,5:37.0,Offensive rebound by D. West,,56,61
237,3,5:32.0,R. Stuckey makes 2-pt jump shot from 8 ft (assist by D. West),,58,61
238,3,5:19.0,,J. Henson makes 2-pt dunk at rim (assist by B. Knight),58,63
239,3,4:56.0,Turnover by D. West (bad pass; steal by B. Knight),,58,63
240,3,4:52.0,,B. Knight misses 2-pt layup from 1 ft,58,63
241,3,4:49.0,Defensive rebound by S. Hill,,58,63
242,3,4:39.0,C. Miles makes 3-pt jump shot from 24 ft (assist by R. Stuckey),,61,63
243,3,4:22.0,,Turnover by B. Knight (bad pass; steal by S. Hill),61,63
244,3,4:15.0,C. Miles misses 2-pt layup from 1 ft,,61,63
245,3,4:15.0,Offensive rebound by Team,,61,63
246,3,4:15.0,L. Allen enters the game for R. Hibbert,,61,63
247,3,4:12.0,S. Hill misses 2-pt jump shot from 16 ft,,61,63
248,3,4:11.0,,Defensive rebound by K. Middleton,61,63
249,3,4:07.0,,B. Knight makes 2-pt layup at rim (assist by K. Middleton),61,65
250,3,3:47.0,R. Stuckey misses 3-pt jump shot from 24 ft,,61,65
251,3,3:46.0,,Defensive rebound by K. Middleton,61,65
252,3,3:38.0,,G. Antetokounmpo misses 2-pt jump shot from 7 ft,61,65
253,3,3:37.0,Defensive rebound by L. Allen,,61,65
254,3,3:28.0,R. Stuckey misses 2-pt layup from 1 ft (block by J. Henson),,61,65
255,3,3:26.0,,Defensive rebound by K. Middleton,61,65
256,3,3:07.0,,J. Henson misses 2-pt hook shot from 6 ft,61,65
257,3,3:06.0,Defensive rebound by R. Stuckey,,61,65
258,3,2:56.0,D. West misses 2-pt jump shot from 15 ft,,61,65
259,3,2:55.0,Offensive rebound by L. Allen,,61,65
260,3,2:52.0,L. Allen misses 2-pt hook shot from 4 ft,,61,65
261,3,2:52.0,,Defensive rebound by Team,61,65
262,3,2:52.0,Indiana full timeout,,61,65
263,3,2:52.0,C. Copeland enters the game for S. Hill,,61,65
264,3,2:52.0,,J. Bayless enters the game for K. Middleton,61,65
265,3,2:52.0,,O. Mayo enters the game for B. Knight,61,65
266,3,2:37.0,,Turnover by G. Antetokounmpo (lost ball; steal by D. West),61,65
267,3,2:35.0,Personal foul by G. Antetokounmpo (drawn by R. Stuckey),,61,65
268,3,2:26.0,C. Miles misses 3-pt jump shot from 27 ft,,61,65
269,3,2:25.0,,Defensive rebound by J. Dudley,61,65
270,3,2:19.0,,Offensive foul by J. Henson (drawn by C. Copeland),61,65
271,3,2:19.0,,Turnover by J. Henson (offensive foul),61,65
272,3,2:04.0,D. West makes 2-pt hook shot from 4 ft (assist by L. Allen),,63,65
273,3,1:49.0,,J. Henson misses 2-pt hook shot from 5 ft,63,65
274,3,1:48.0,Defensive rebound by L. Allen,,63,65
275,3,1:35.0,D. West misses 2-pt jump shot from 6 ft,,63,65
276,3,1:34.0,,Defensive rebound by J. Henson,63,65
277,3,1:19.0,,O. Mayo misses 2-pt jump shot from 14 ft,63,65
278,3,1:17.0,,Offensive rebound by J. Henson,63,65
279,3,1:15.0,,Turnover by J. Henson (lost ball; steal by R. Stuckey),63,65
280,3,1:04.0,L. Allen misses 2-pt jump shot from 17 ft,,63,65
281,3,1:02.0,Offensive rebound by D. West,,63,65
282,3,0:52.0,L. Allen misses 2-pt hook shot from 3 ft,,63,65
283,3,0:51.0,,Defensive rebound by J. Henson,63,65
284,3,0:45.0,,J. Dudley makes 3-pt jump shot from 24 ft (assist by J. Bayless),63,68
285,3,0:28.0,R. Stuckey makes 2-pt jump shot from 9 ft,,65,68
286,3,0:27.0,,Technical foul by J. Dudley,65,68
287,3,0:27.0,R. Stuckey makes technical free throw,,66,68
288,3,0:02.0,,J. Bayless misses 2-pt layup at rim,66,68
289,3,0:01.0,,Offensive rebound by J. Henson,66,68
290,3,0:00.0,,J. Henson misses 2-pt tip-in at rim,66,68
291,3,0:00.0,Defensive rebound by L. Allen,,66,68
292,4,11:42.0,,Personal block foul by C. Miles (drawn by J. Bayless),66,68
293,4,11:33.0,,J. Bayless misses 2-pt jump shot from 16 ft,66,68
294,4,11:32.0,Defensive rebound by D. Sloan,,66,68
295,4,11:18.0,Turnover by L. Allen (lost ball; steal by J. Bayless),,66,68
296,4,11:11.0,,O. Mayo misses 3-pt jump shot from 25 ft,66,68
297,4,11:10.0,Defensive rebound by L. Scola,,66,68
298,4,10:48.0,L. Allen makes 2-pt hook shot at rim (assist by L. Scola),,68,68
299,4,10:28.0,,J. Henson makes 2-pt layup at rim (assist by K. Marshall),68,70
300,4,10:07.0,,Violation by J. Henson (def goaltending),68,70
301,4,10:07.0,L. Scola makes 2-pt jump shot from 5 ft (assist by L. Allen),,70,70
302,4,9:52.0,,J. Bayless makes 2-pt jump shot from 18 ft,70,72
303,4,9:38.0,D. Sloan makes 3-pt jump shot from 26 ft,,73,72
304,4,9:10.0,,J. Dudley misses 2-pt jump shot from 19 ft,73,72
305,4,9:09.0,Defensive rebound by D. Sloan,,73,72
306,4,8:55.0,C. Miles misses 2-pt jump shot from 18 ft,,73,72
307,4,8:54.0,,Defensive rebound by O. Mayo,73,72
308,4,8:49.0,,O. Mayo misses 2-pt layup from 1 ft (block by C. Miles),73,72
309,4,8:46.0,Defensive rebound by D. Sloan,,73,72
310,4,8:38.0,C. Miles makes 3-pt jump shot from 25 ft (assist by D. Sloan),,76,72
311,4,8:34.0,,O. Mayo makes 2-pt dunk at rim (assist by J. Dudley),76,74
312,4,8:07.0,D. Sloan misses 3-pt jump shot from 26 ft,,76,74
313,4,8:05.0,Offensive rebound by L. Scola,,76,74
314,4,8:04.0,L. Scola makes 2-pt layup at rim,,78,74
315,4,7:44.0,,J. Henson makes 2-pt dunk at rim (assist by K. Marshall),78,76
316,4,7:17.0,C. Miles makes 3-pt jump shot from 26 ft,,81,76
317,4,7:01.0,,Shooting foul by L. Allen (drawn by J. Henson),81,76
318,4,7:01.0,Official timeout,,81,76
319,4,7:01.0,,G. Antetokounmpo enters the game for J. Dudley,81,76
320,4,7:01.0,S. Hill enters the game for C. Miles,,81,76
321,4,7:01.0,,J. Henson misses free throw 1 of 2,81,76
322,4,7:01.0,,Offensive rebound by Team,81,76
323,4,7:01.0,,J. Henson makes free throw 2 of 2,81,77
324,4,6:37.0,L. Scola misses 2-pt layup at rim (block by G. Antetokounmpo),,81,77
325,4,6:34.0,,Defensive rebound by J. Henson,81,77
326,4,6:27.0,,Shooting foul by L. Allen (drawn by J. Henson),81,77
327,4,6:27.0,,J. Henson makes free throw 1 of 2,81,78
328,4,6:27.0,,J. Henson misses free throw 2 of 2,81,78
329,4,6:26.0,Defensive rebound by L. Scola,,81,78
330,4,6:11.0,L. Allen makes 2-pt jump shot from 3 ft (assist by D. Sloan),,83,78
331,4,5:51.0,,J. Bayless misses 2-pt jump shot from 3 ft (block by L. Allen),83,78
332,4,5:51.0,,Offensive rebound by J. Henson,83,78
333,4,5:51.0,Loose ball foul by L. Allen (drawn by J. Henson),,83,78
334,4,5:51.0,,Milwaukee full timeout,83,78
335,4,5:51.0,,B. Knight enters the game for K. Marshall,83,78
336,4,5:42.0,,G. Antetokounmpo misses 3-pt jump shot from 25 ft,83,78
337,4,5:41.0,Defensive rebound by D. Sloan,,83,78
338,4,5:24.0,Personal foul by J. Henson (drawn by L. Allen),,83,78
339,4,5:14.0,C. Copeland misses 3-pt jump shot from 26 ft,,83,78
340,4,5:12.0,,Defensive rebound by B. Knight,83,78
341,4,4:53.0,,B. Knight misses 2-pt jump shot from 16 ft,83,78
342,4,4:52.0,Defensive rebound by L. Scola,,83,78
343,4,4:40.0,D. Sloan misses 2-pt jump shot from 17 ft,,83,78
344,4,4:39.0,,Defensive rebound by J. Henson,83,78
345,4,4:29.0,,J. Bayless misses 3-pt jump shot from 26 ft,83,78
346,4,4:28.0,Defensive rebound by D. Sloan,,83,78
347,4,4:12.0,Shooting foul by G. Antetokounmpo (drawn by L. Scola),,83,78
348,4,4:12.0,L. Scola misses free throw 1 of 2,,83,78
349,4,4:12.0,Offensive rebound by Team,,83,78
350,4,4:12.0,R. Hibbert enters the game for L. Allen,,83,78
351,4,4:12.0,C. Miles enters the game for C. Copeland,,83,78
352,4,4:12.0,,Z. Pachulia enters the game for J. Henson,83,78
353,4,4:12.0,,K. Middleton enters the game for J. Bayless,83,78
354,4,4:12.0,L. Scola misses free throw 2 of 2,,83,78
355,4,4:11.0,,Defensive rebound by Z. Pachulia,83,78
356,4,4:05.0,,O. Mayo misses 2-pt layup at rim,83,78
357,4,4:03.0,Defensive rebound by S. Hill,,83,78
358,4,3:51.0,Personal foul by G. Antetokounmpo (drawn by R. Hibbert),,83,78
359,4,3:51.0,D. West enters the game for L. Scola,,83,78
360,4,3:39.0,D. Sloan misses 2-pt layup at rim,,83,78
361,4,3:38.0,Offensive rebound by R. Hibbert,,83,78
362,4,3:26.0,Turnover by D. West (bad pass),,83,78
363,4,3:12.0,,B. Knight misses 2-pt jump shot from 5 ft,83,78
364,4,3:11.0,Defensive rebound by C. Miles,,83,78
365,4,3:06.0,Indiana full timeout,,83,78
366,4,2:49.0,R. Hibbert misses 2-pt hook shot from 10 ft,,83,78
367,4,2:48.0,Offensive rebound by S. Hill,,83,78
368,4,2:32.0,Shooting foul by K. Middleton (drawn by R. Hibbert),,83,78
369,4,2:32.0,R. Hibbert makes free throw 1 of 2,,84,78
370,4,2:32.0,R. Hibbert makes free throw 2 of 2,,85,78
371,4,2:18.0,,Shooting block foul by R. Hibbert (drawn by G. Antetokounmpo),85,78
372,4,2:18.0,,G. Antetokounmpo makes free throw 1 of 2,85,79
373,4,2:18.0,,G. Antetokounmpo makes free throw 2 of 2,85,80
374,4,2:00.0,D. Sloan makes 2-pt layup at rim,,87,80
375,4,1:45.0,,G. Antetokounmpo misses 2-pt layup at rim,87,80
376,4,1:42.0,Defensive rebound by D. Sloan,,87,80
377,4,1:28.0,R. Hibbert misses 2-pt jump shot from 9 ft,,87,80
378,4,1:26.0,,Defensive rebound by Z. Pachulia,87,80
379,4,1:19.0,,Z. Pachulia misses 2-pt layup at rim (block by C. Miles),87,80
380,4,1:16.0,Defensive rebound by C. Miles,,87,80
381,4,0:57.0,D. Sloan misses 3-pt jump shot from 25 ft,,87,80
382,4,0:56.0,,Defensive rebound by G. Antetokounmpo,87,80
