,QUARTER,TIME_REMAINING,BOSTON_ACTION,WASHINGTON_ACTION,BOSTON_SCORE,WASHINGTON_SCORE
0,1,11:47.0,Turnover by M. Smart (bad pass; steal by N. Hilário),,0,0
1,1,11:39.0,,P. Pierce makes 2-pt jump shot from 14 ft (assist by J. Wall),0,2
2,1,11:23.0,J. Green makes 2-pt jump shot from 14 ft,,2,2
3,1,11:03.0,,Shooting foul by T. Zeller (drawn by M. Gortat),2,2
4,1,11:03.0,,M. Gortat misses free throw 1 of 2,2,2
5,1,11:03.0,,Offensive rebound by Team,2,2
6,1,11:03.0,,M. Gortat makes free throw 2 of 2,2,3
7,1,10:47.0,J. Green misses 3-pt jump shot from 25 ft,,2,3
8,1,10:46.0,Offensive rebound by T. Zeller,,2,3
9,1,10:43.0,T. Zeller misses 2-pt layup at rim,,2,3
10,1,10:43.0,,Defensive rebound by M. Gortat,2,3
11,1,10:36.0,,N. Hilário misses 2-pt jump shot from 16 ft,2,3
12,1,10:35.0,,Offensive rebound by B. Beal,2,3
13,1,10:30.0,,B. Beal misses 2-pt layup from 1 ft,2,3
14,1,10:29.0,Defensive rebound by J. Green,,2,3
15,1,10:23.0,Turnover by A. Bradley (bad pass; steal by B. Beal),,2,3
16,1,10:19.0,,Shooting foul by M. Smart (drawn by P. Pierce),2,3
17,1,10:19.0,,P. Pierce makes free throw 1 of 2,2,4
18,1,10:19.0,,P. Pierce misses free throw 2 of 2,2,4
19,1,10:17.0,Defensive rebound by J. Green,,2,4
20,1,10:01.0,Turnover by J. Sullinger (lost ball; steal by P. Pierce),,2,4
21,1,9:56.0,,P. Pierce makes 2-pt layup from 1 ft (assist by J. Wall),2,6
22,1,9:42.0,J. Green misses 2-pt jump shot from 21 ft,,2,6
23,1,9:41.0,,Defensive rebound by M. Gortat,2,6
24,1,9:30.0,,P. Pierce makes 3-pt jump shot from 26 ft (assist by J. Wall),2,9
25,1,9:09.0,J. Sullinger misses 2-pt jump shot from 3 ft (block by M. Gortat),,2,9
26,1,9:07.0,,Defensive rebound by P. Pierce,2,9
27,1,9:04.0,,B. Beal makes 2-pt layup from 1 ft (assist by P. Pierce),2,11
28,1,9:03.0,Boston full timeout,,2,11
29,1,8:56.0,,Violation by M. Gortat (kicked ball),2,11
30,1,8:49.0,Turnover by M. Smart (bad pass; steal by P. Pierce),,2,11
31,1,8:36.0,,M. Gortat makes 2-pt hook shot from 7 ft,2,13
32,1,8:24.0,Turnover by M. Smart (lost ball; steal by J. Wall),,2,13
33,1,8:17.0,,B. Beal misses 2-pt layup at rim,2,13
34,1,8:16.0,,Offensive rebound by M. Gortat,2,13
35,1,8:15.0,,M. Gortat makes 2-pt tip-in from 1 ft,2,15
36,1,7:59.0,A. Bradley misses 3-pt jump shot from 24 ft,,2,15
37,1,7:58.0,,Defensive rebound by M. Gortat,2,15
38,1,7:49.0,,J. Wall misses 3-pt jump shot from 23 ft,2,15
39,1,7:48.0,Defensive rebound by Team,,2,15
40,1,7:48.0,,Loose ball foul by J. Wall (drawn by A. Bradley),2,15
41,1,7:48.0,J. Nelson enters the game for M. Smart,,2,15
42,1,7:32.0,Offensive foul by T. Zeller (drawn by M. Gortat),,2,15
43,1,7:32.0,Turnover by T. Zeller (offensive foul),,2,15
44,1,7:09.0,,Turnover by J. Wall (lost ball; steal by A. Bradley),2,15
45,1,7:05.0,Shooting foul by P. Pierce (drawn by J. Green),,2,15
46,1,7:05.0,J. Green makes free throw 1 of 2,,3,15
47,1,7:05.0,J. Green makes free throw 2 of 2,,4,15
48,1,6:54.0,,Offensive foul by M. Gortat (drawn by J. Sullinger),4,15
49,1,6:54.0,,Turnover by M. Gortat (offensive foul),4,15
50,1,6:45.0,Turnover by A. Bradley (bad pass; steal by M. Gortat),,4,15
51,1,6:37.0,,Turnover by J. Wall (bad pass; steal by A. Bradley),4,15
52,1,6:30.0,T. Zeller misses 2-pt layup at rim,,4,15
53,1,6:29.0,,Defensive rebound by M. Gortat,4,15
54,1,6:17.0,,J. Wall misses 2-pt jump shot from 6 ft,4,15
55,1,6:17.0,Defensive rebound by Team,,4,15
56,1,6:17.0,,Loose ball foul by N. Hilário (drawn by J. Sullinger),4,15
57,1,6:01.0,J. Green makes 2-pt jump shot from 13 ft (assist by J. Nelson),,6,15
58,1,5:38.0,,P. Pierce makes 3-pt jump shot from 28 ft (assist by M. Gortat),6,18
59,1,5:18.0,J. Nelson misses 3-pt jump shot from 27 ft,,6,18
60,1,5:17.0,,Defensive rebound by N. Hilário,6,18
61,1,5:15.0,,K. Humphries enters the game for N. Hilário,6,18
62,1,5:15.0,K. Olynyk enters the game for T. Zeller,,6,18
63,1,5:01.0,,J. Wall misses 2-pt jump shot from 19 ft,6,18
64,1,5:00.0,,Offensive rebound by Team,6,18
65,1,5:00.0,E. Turner enters the game for A. Bradley,,6,18
66,1,4:49.0,,K. Humphries makes 2-pt jump shot from 17 ft (assist by P. Pierce),6,20
67,1,4:38.0,K. Olynyk makes 2-pt dunk at rim (assist by J. Nelson),,8,20
68,1,4:12.0,,K. Humphries makes 2-pt jump shot from 18 ft (assist by M. Gortat),8,22
69,1,3:52.0,J. Green makes 3-pt jump shot from 23 ft (assist by J. Sullinger),,11,22
70,1,3:33.0,,K. Humphries makes 2-pt layup at rim,11,24
71,1,3:22.0,Turnover by J. Nelson (bad pass; steal by B. Beal),,11,24
72,1,3:16.0,,J. Wall makes 2-pt layup from 1 ft (assist by B. Beal),11,26
73,1,2:53.0,K. Olynyk misses 2-pt jump shot from 11 ft,,11,26
74,1,2:52.0,,Defensive rebound by B. Beal,11,26
75,1,2:39.0,,K. Humphries misses 2-pt jump shot from 3 ft,11,26
76,1,2:38.0,,Offensive rebound by K. Humphries,11,26
77,1,2:38.0,,K. Humphries makes 2-pt jump shot from 3 ft,11,28
78,1,2:38.0,Boston full timeout,,11,28
79,1,2:38.0,,Washington full timeout,11,28
80,1,2:38.0,B. Bass enters the game for J. Sullinger,,11,28
81,1,2:38.0,,R. Butler enters the game for P. Pierce,11,28
82,1,2:24.0,Shooting foul by K. Humphries (drawn by K. Olynyk),,11,28
83,1,2:24.0,K. Olynyk makes free throw 1 of 2,,12,28
84,1,2:24.0,K. Olynyk misses free throw 2 of 2,,12,28
85,1,2:22.0,,Defensive rebound by R. Butler,12,28
86,1,1:56.0,,R. Butler misses 3-pt jump shot from 26 ft,12,28
87,1,1:54.0,Defensive rebound by J. Nelson,,12,28
88,1,1:38.0,J. Green misses 3-pt jump shot from 25 ft,,12,28
89,1,1:37.0,,Defensive rebound by M. Gortat,12,28
90,1,1:20.0,,K. Humphries misses 2-pt layup from 1 ft,12,28
