,QUARTER,TIME_REMAINING,INDIANA_ACTION,CLEVELAND_ACTION,INDIANA_SCORE,CLEVELAND_SCORE
0,1,11:42.0,,K. Love makes 2-pt jump shot from 14 ft,0,2
1,1,11:19.0,I. Mahinmi makes 2-pt hook shot from 10 ft (assist by R. Stuckey),,2,2
2,1,11:00.0,,L. James misses 2-pt jump shot from 15 ft,2,2
3,1,10:59.0,Defensive rebound by R. Stuckey,,2,2
4,1,10:53.0,R. Stuckey misses 2-pt layup at rim (block by S. Marion),,2,2
5,1,10:51.0,,Defensive rebound by T. Thompson,2,2
6,1,10:44.0,,K. Irving makes 2-pt jump shot from 21 ft,2,4
7,1,10:22.0,D. West misses 3-pt jump shot from 26 ft,,2,4
8,1,10:21.0,Offensive rebound by I. Mahinmi,,2,4
9,1,10:05.0,R. Stuckey misses 2-pt jump shot from 5 ft,,2,4
10,1,10:05.0,,Defensive rebound by Team,2,4
11,1,10:05.0,Loose ball foul by D. West (drawn by K. Love),,2,4
12,1,9:51.0,,L. James makes 2-pt layup from 1 ft (assist by K. Irving),2,6
13,1,9:42.0,Turnover by I. Mahinmi (bad pass; steal by K. Love),,2,6
14,1,9:37.0,,Shooting foul by I. Mahinmi (drawn by K. Love),2,6
15,1,9:37.0,,K. Love makes free throw 1 of 2,2,7
16,1,9:37.0,,K. Love makes free throw 2 of 2,2,8
17,1,9:17.0,D. West makes 2-pt jump shot from 8 ft,,4,8
18,1,9:06.0,,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),4,11
19,1,8:49.0,D. West misses 2-pt jump shot from 18 ft,,4,11
20,1,8:48.0,,Defensive rebound by S. Marion,4,11
21,1,8:39.0,,K. Love makes 2-pt layup from 1 ft (assist by L. James),4,13
22,1,8:38.0,Indiana full timeout,,4,13
23,1,8:24.0,R. Stuckey misses 2-pt jump shot from 18 ft,,4,13
24,1,8:23.0,,Defensive rebound by K. Irving,4,13
25,1,8:12.0,,K. Love makes 3-pt jump shot from 26 ft (assist by S. Marion),4,16
26,1,7:55.0,D. West misses 2-pt jump shot from 16 ft,,4,16
27,1,7:53.0,Offensive rebound by I. Mahinmi,,4,16
28,1,7:53.0,I. Mahinmi misses 2-pt tip-in from 2 ft,,4,16
29,1,7:47.0,Offensive rebound by I. Mahinmi,,4,16
30,1,7:46.0,D. Sloan misses 3-pt jump shot from 24 ft,,4,16
31,1,7:45.0,,Defensive rebound by L. James,4,16
32,1,7:37.0,,K. Irving makes 2-pt layup from 1 ft (assist by L. James),4,18
33,1,7:17.0,D. West makes 2-pt jump shot from 18 ft (assist by D. Sloan),,6,18
34,1,7:04.0,,K. Love misses 2-pt jump shot from 12 ft,6,18
