,QUARTER,TIME_REMAINING,BOSTON_ACTION,GOLDEN STATE_ACTION,BOSTON_SCORE,GOLDEN STATE_SCORE
0,1,11:41.0,,Shooting foul by E. Turner (drawn by K. Thompson),0,0
1,1,11:41.0,,K. Thompson makes free throw 1 of 2,0,1
2,1,11:41.0,,K. Thompson misses free throw 2 of 2,0,1
3,1,11:40.0,Defensive rebound by B. Bass,,0,1
4,1,11:26.0,A. Bradley makes 2-pt jump shot from 20 ft (assist by E. Turner),,2,1
5,1,11:15.0,,Turnover by S. Curry (lost ball; steal by J. Sullinger),2,1
6,1,11:05.0,A. Bradley misses 2-pt jump shot from 3 ft (block by D. Green),,2,1
7,1,11:03.0,,Defensive rebound by D. Green,2,1
8,1,10:58.0,,K. Thompson misses 3-pt jump shot from 23 ft,2,1
9,1,10:57.0,Defensive rebound by A. Bradley,,2,1
10,1,10:38.0,J. Crowder misses 2-pt jump shot from 17 ft,,2,1
11,1,10:37.0,,Defensive rebound by S. Curry,2,1
12,1,10:32.0,,H. Barnes makes 2-pt layup from 1 ft (assist by S. Curry),2,3
13,1,10:20.0,J. Crowder makes 3-pt jump shot from 23 ft (assist by J. Sullinger),,5,3
14,1,10:04.0,,H. Barnes makes 2-pt jump shot from 12 ft (assist by A. Bogut),5,5
15,1,9:47.0,J. Crowder misses 2-pt jump shot from 19 ft,,5,5
16,1,9:46.0,,Defensive rebound by D. Green,5,5
17,1,9:41.0,,D. Green makes 2-pt layup from 1 ft,5,7
18,1,9:25.0,A. Bradley misses 2-pt jump shot from 21 ft,,5,7
19,1,9:23.0,,Defensive rebound by A. Bogut,5,7
20,1,9:15.0,,A. Bogut makes 2-pt dunk at rim (assist by S. Curry),5,9
21,1,8:52.0,A. Bradley misses 3-pt jump shot from 23 ft,,5,9
22,1,8:51.0,,Defensive rebound by D. Green,5,9
23,1,8:44.0,,D. Green misses 3-pt jump shot from 25 ft,5,9
24,1,8:43.0,Defensive rebound by E. Turner,,5,9
25,1,8:33.0,E. Turner misses 2-pt jump shot from 16 ft,,5,9
26,1,8:32.0,,Defensive rebound by S. Curry,5,9
27,1,8:24.0,,D. Green misses 3-pt jump shot from 26 ft,5,9
28,1,8:22.0,Defensive rebound by E. Turner,,5,9
29,1,8:12.0,Turnover by B. Bass (traveling),,5,9
30,1,7:59.0,,S. Curry misses 3-pt jump shot from 29 ft,5,9
31,1,7:58.0,Defensive rebound by B. Bass,,5,9
32,1,7:46.0,A. Bradley misses 2-pt layup from 1 ft (block by A. Bogut),,5,9
33,1,7:46.0,Offensive rebound by Team,,5,9
34,1,7:40.0,B. Bass makes 2-pt jump shot from 10 ft,,7,9
35,1,7:29.0,,Turnover by A. Bogut (bad pass),7,9
36,1,7:19.0,Shooting foul by S. Curry (drawn by E. Turner),,7,9
37,1,7:19.0,E. Turner misses free throw 1 of 2,,7,9
38,1,7:19.0,Offensive rebound by Team,,7,9
39,1,7:19.0,E. Turner makes free throw 2 of 2,,8,9
40,1,7:07.0,,A. Bogut makes 2-pt hook shot from 6 ft (assist by D. Green),8,11
41,1,6:47.0,E. Turner makes 2-pt jump shot from 17 ft (assist by J. Sullinger),,10,11
42,1,6:36.0,,D. Green makes 2-pt layup from 2 ft (assist by K. Thompson),10,13
43,1,6:26.0,J. Sullinger makes 3-pt jump shot from 27 ft (assist by E. Turner),,13,13
44,1,6:12.0,,S. Curry makes 2-pt jump shot from 15 ft,13,15
45,1,5:59.0,J. Sullinger misses 3-pt jump shot from 27 ft,,13,15
46,1,5:58.0,Offensive rebound by E. Turner,,13,15
47,1,5:55.0,A. Bradley misses 3-pt jump shot from 27 ft,,13,15
48,1,5:54.0,,Defensive rebound by H. Barnes,13,15
49,1,5:46.0,,H. Barnes misses 3-pt jump shot from 26 ft,13,15
50,1,5:45.0,Defensive rebound by J. Crowder,,13,15
51,1,5:29.0,B. Bass misses 2-pt jump shot from 7 ft,,13,15
52,1,5:28.0,,Defensive rebound by A. Bogut,13,15
53,1,5:18.0,,K. Thompson makes 2-pt layup from 2 ft,13,17
54,1,5:16.0,Boston full timeout,,13,17
55,1,5:16.0,M. Thornton enters the game for B. Bass,,13,17
56,1,5:16.0,G. Wallace enters the game for J. Crowder,,13,17
57,1,5:16.0,,A. Iguodala enters the game for H. Barnes,13,17
58,1,5:01.0,J. Sullinger makes 2-pt jump shot from 18 ft,,15,17
59,1,4:40.0,,A. Iguodala makes 3-pt jump shot from 25 ft (assist by A. Bogut),15,20
60,1,4:20.0,M. Thornton misses 3-pt jump shot from 23 ft,,15,20
61,1,4:19.0,Offensive rebound by Team,,15,20
62,1,4:19.0,,Loose ball foul by K. Thompson (drawn by G. Wallace),15,20
63,1,4:04.0,J. Sullinger misses 3-pt jump shot from 25 ft,,15,20
64,1,4:03.0,,Defensive rebound by A. Iguodala,15,20
65,1,3:53.0,,Shooting foul by G. Wallace (drawn by K. Thompson),15,20
66,1,3:53.0,,K. Thompson makes free throw 1 of 2,15,21
67,1,3:53.0,,M. Speights enters the game for A. Bogut,15,21
68,1,3:53.0,,K. Thompson makes free throw 2 of 2,15,22
69,1,3:40.0,J. Sullinger makes 2-pt jump shot from 6 ft,,17,22
70,1,3:40.0,Shooting foul by M. Speights (drawn by J. Sullinger),,17,22
71,1,3:40.0,J. Sullinger misses free throw 1 of 1,,17,22
72,1,3:37.0,Offensive rebound by J. Sullinger,,17,22
73,1,3:32.0,E. Turner makes 2-pt jump shot from 17 ft,,19,22
74,1,3:19.0,,D. Green makes 3-pt jump shot from 25 ft (assist by S. Curry),19,25
75,1,3:03.0,Shooting foul by K. Thompson (drawn by E. Turner),,19,25
76,1,3:03.0,E. Turner makes free throw 1 of 2,,20,25
77,1,3:03.0,,S. Livingston enters the game for K. Thompson,20,25
78,1,3:03.0,E. Turner misses free throw 2 of 2,,20,25
79,1,3:02.0,,Defensive rebound by M. Speights,20,25
80,1,2:52.0,,D. Green misses 3-pt jump shot from 25 ft,20,25
81,1,2:51.0,Defensive rebound by A. Bradley,,20,25
82,1,2:35.0,,Golden State full timeout,20,25
83,1,2:35.0,T. Prince enters the game for A. Bradley,,20,25
84,1,2:35.0,,J. Holiday enters the game for S. Curry,20,25
85,1,2:28.0,J. Sullinger misses 2-pt layup from 2 ft,,20,25
86,1,2:27.0,,Defensive rebound by D. Green,20,25
87,1,2:08.0,,M. Speights misses 2-pt jump shot from 18 ft,20,25
88,1,2:07.0,Defensive rebound by G. Wallace,,20,25
89,1,1:51.0,Turnover by M. Thornton (bad pass; steal by D. Green),,20,25
90,1,1:36.0,,D. Green misses 3-pt jump shot from 25 ft,20,25
91,1,1:35.0,Defensive rebound by J. Sullinger,,20,25
92,1,1:29.0,Turnover by E. Turner (bad pass; steal by D. Green),,20,25
93,1,1:14.0,,M. Speights misses 2-pt jump shot from 18 ft,20,25
94,1,1:13.0,Defensive rebound by J. Sullinger,,20,25
95,1,1:08.0,E. Turner misses 2-pt layup from 1 ft,,20,25
96,1,1:07.0,,Defensive rebound by D. Green,20,25
97,1,0:54.0,,S. Livingston misses 2-pt jump shot from 11 ft,20,25
98,1,0:54.0,,Offensive rebound by Team,20,25
99,1,0:54.0,Loose ball foul by J. Sullinger (drawn by M. Speights),,20,25
100,1,0:54.0,T. Zeller enters the game for J. Sullinger,,20,25
101,1,0:54.0,P. Pressey enters the game for E. Turner,,20,25
102,1,0:54.0,,D. Lee enters the game for D. Green,20,25
103,1,0:50.0,,J. Holiday makes 2-pt jump shot from 16 ft (assist by S. Livingston),20,27
104,1,0:40.0,P. Pressey makes 2-pt layup from 2 ft,,22,27
105,1,0:40.0,Shooting foul by S. Livingston (drawn by P. Pressey),,22,27
106,1,0:40.0,,Violation by M. Speights (lane),22,27
107,1,0:40.0,P. Pressey makes free throw 1 of 1,,23,27
