,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,HOUSTON_ACTION,MINNESOTA_SCORE,HOUSTON_SCORE
0,1,11:45.0,A. Wiggins misses 2-pt jump shot from 8 ft (block by J. Harden),,0,0
1,1,11:43.0,,Defensive rebound by T. Ariza,0,0
2,1,11:38.0,,T. Ariza misses 2-pt layup from 2 ft,0,0
3,1,11:37.0,Defensive rebound by R. Rubio,,0,0
4,1,11:19.0,A. Payne makes 2-pt layup from 3 ft (assist by A. Wiggins),,2,0
5,1,11:08.0,,Turnover by T. Ariza (bad pass),2,0
6,1,10:51.0,N. Peković makes 2-pt hook shot from 4 ft,,4,0
7,1,10:40.0,,T. Ariza makes 3-pt jump shot from 26 ft (assist by J. Harden),4,3
8,1,10:20.0,A. Payne misses 2-pt layup from 1 ft,,4,3
9,1,10:19.0,Offensive rebound by N. Peković,,4,3
10,1,10:19.0,N. Peković makes 2-pt tip-in from 1 ft,,6,3
11,1,9:59.0,,J. Harden misses 2-pt jump shot from 16 ft,6,3
12,1,9:58.0,,Offensive rebound by T. Jones,6,3
13,1,9:58.0,,T. Jones misses 2-pt tip-in from 1 ft,6,3
14,1,9:54.0,Defensive rebound by A. Payne,,6,3
15,1,9:47.0,Turnover by R. Rubio (bad pass; steal by D. Motiejūnas),,6,3
16,1,9:27.0,,D. Motiejūnas makes 2-pt layup from 3 ft,6,5
17,1,9:09.0,A. Wiggins makes 2-pt jump shot from 22 ft,,8,5
18,1,9:02.0,,T. Jones makes 2-pt layup at rim (assist by J. Terry),8,7
19,1,8:44.0,A. Payne misses 2-pt jump shot from 7 ft (block by T. Jones),,8,7
20,1,8:42.0,Offensive rebound by A. Payne,,8,7
21,1,8:40.0,A. Payne makes 2-pt layup from 1 ft,,10,7
22,1,8:20.0,,Turnover by J. Harden (lost ball; steal by R. Rubio),10,7
23,1,8:14.0,A. Wiggins makes 2-pt layup from 1 ft (assist by K. Martin),,12,7
24,1,7:56.0,,D. Motiejūnas misses 3-pt jump shot from 25 ft,12,7
25,1,7:55.0,,Offensive rebound by T. Jones,12,7
26,1,7:54.0,,T. Jones makes 2-pt layup at rim,12,9
27,1,7:44.0,Turnover by K. Martin (traveling),,12,9
28,1,7:27.0,,J. Terry misses 3-pt jump shot from 22 ft,12,9
29,1,7:25.0,Defensive rebound by R. Rubio,,12,9
30,1,7:20.0,A. Wiggins makes 2-pt layup from 1 ft (assist by R. Rubio),,14,9
31,1,7:07.0,,Turnover by J. Terry (bad pass; steal by N. Peković),14,9
32,1,7:02.0,Shooting foul by J. Terry (drawn by R. Rubio),,14,9
33,1,7:02.0,,Houston full timeout,14,9
34,1,7:02.0,R. Rubio makes free throw 1 of 2,,15,9
35,1,7:02.0,R. Rubio makes free throw 2 of 2,,16,9
36,1,6:49.0,,J. Harden misses 3-pt jump shot from 23 ft,16,9
37,1,6:48.0,Defensive rebound by R. Rubio,,16,9
38,1,6:45.0,Turnover by R. Rubio (bad pass),,16,9
39,1,6:24.0,,D. Motiejūnas makes 2-pt hook shot from 9 ft (assist by J. Harden),16,11
40,1,6:24.0,,Shooting foul by N. Peković (drawn by D. Motiejūnas),16,11
41,1,6:24.0,,D. Motiejūnas makes free throw 1 of 1,16,12
42,1,6:12.0,K. Martin misses 2-pt jump shot from 12 ft,,16,12
43,1,6:10.0,Offensive rebound by A. Payne,,16,12
44,1,6:09.0,A. Payne makes 2-pt hook shot from 5 ft,,18,12
45,1,5:54.0,,D. Motiejūnas misses 2-pt layup at rim (block by A. Payne),18,12
46,1,5:52.0,Defensive rebound by N. Peković,,18,12
47,1,5:48.0,Turnover by K. Martin (bad pass; steal by T. Ariza),,18,12
48,1,5:39.0,,T. Jones makes 2-pt dunk at rim (assist by D. Motiejūnas),18,14
49,1,5:21.0,R. Rubio misses 3-pt jump shot from 24 ft,,18,14
50,1,5:20.0,Offensive rebound by Team,,18,14
51,1,5:20.0,,Loose ball foul by D. Motiejūnas (drawn by N. Peković),18,14
52,1,5:20.0,G. Dieng enters the game for N. Peković,,18,14
53,1,5:08.0,R. Rubio misses 3-pt jump shot from 25 ft,,18,14
54,1,5:06.0,,Defensive rebound by J. Harden,18,14
55,1,5:00.0,,J. Harden misses 2-pt layup from 2 ft (block by A. Wiggins),18,14
56,1,5:00.0,Defensive rebound by R. Rubio,,18,14
57,1,4:51.0,K. Martin misses 3-pt jump shot from 25 ft,,18,14
58,1,4:49.0,,Defensive rebound by T. Jones,18,14
59,1,4:41.0,,T. Ariza misses 3-pt jump shot from 25 ft,18,14
60,1,4:39.0,,Offensive rebound by T. Jones,18,14
61,1,4:39.0,,T. Jones misses 2-pt tip-in from 2 ft,18,14
62,1,4:36.0,,Offensive rebound by T. Jones,18,14
63,1,4:33.0,,J. Harden misses 3-pt jump shot from 24 ft,18,14
64,1,4:31.0,,Offensive rebound by T. Ariza,18,14
65,1,4:13.0,,J. Terry misses 3-pt jump shot from 23 ft,18,14
66,1,4:12.0,Defensive rebound by G. Dieng,,18,14
67,1,4:06.0,R. Rubio makes 2-pt jump shot from 18 ft,,20,14
68,1,3:54.0,,D. Motiejūnas makes 2-pt jump shot from 7 ft (assist by T. Ariza),20,16
69,1,3:36.0,G. Dieng misses 2-pt layup from 2 ft (block by D. Motiejūnas),,20,16
70,1,3:36.0,Offensive rebound by Team,,20,16
71,1,3:36.0,,C. Brewer enters the game for T. Ariza,20,16
72,1,3:36.0,,J. Smith enters the game for T. Jones,20,16
73,1,3:36.0,,P. Prigioni enters the game for J. Terry,20,16
74,1,3:36.0,C. Budinger enters the game for K. Martin,,20,16
75,1,3:31.0,C. Budinger misses 2-pt jump shot from 16 ft,,20,16
76,1,3:31.0,,Defensive rebound by Team,20,16
77,1,3:18.0,,C. Brewer misses 2-pt jump shot from 17 ft,20,16
78,1,3:16.0,,Offensive rebound by P. Prigioni,20,16
79,1,3:11.0,,Shooting foul by A. Wiggins (drawn by J. Harden),20,16
80,1,3:11.0,,J. Harden makes free throw 1 of 2,20,17
81,1,3:11.0,Minnesota full timeout,,20,17
82,1,3:11.0,,J. Dorsey enters the game for D. Motiejūnas,20,17
83,1,3:11.0,,J. Harden makes free throw 2 of 2,20,18
84,1,2:56.0,A. Payne misses 2-pt jump shot from 21 ft,,20,18
85,1,2:55.0,,Defensive rebound by J. Harden,20,18
86,1,2:48.0,,J. Harden misses 3-pt jump shot from 24 ft,20,18
87,1,2:48.0,,Offensive rebound by J. Dorsey,20,18
88,1,2:48.0,Loose ball foul by G. Dieng (drawn by J. Dorsey),,20,18
89,1,2:33.0,,J. Dorsey misses 2-pt hook shot from 4 ft (block by G. Dieng),20,18
90,1,2:30.0,,Offensive rebound by J. Smith,20,18
91,1,2:28.0,,J. Smith makes 2-pt jump shot from 5 ft,20,20
92,1,2:10.0,A. Wiggins makes 2-pt jump shot from 18 ft (assist by R. Rubio),,22,20
93,1,2:04.0,,Shooting foul by C. Budinger (drawn by C. Brewer),22,20
94,1,2:04.0,,C. Brewer misses free throw 1 of 2,22,20
95,1,2:04.0,,Offensive rebound by Team,22,20
96,1,2:04.0,,C. Brewer misses free throw 2 of 2,22,20
97,1,2:04.0,Defensive rebound by C. Budinger,,22,20
98,1,1:42.0,A. Wiggins misses 2-pt jump shot from 9 ft (block by J. Harden),,22,20
99,1,1:42.0,,Defensive rebound by J. Harden,22,20
100,1,1:39.0,,J. Dorsey makes 2-pt layup from 3 ft (assist by J. Harden),22,22
101,1,1:22.0,Shooting foul by J. Dorsey (drawn by C. Budinger),,22,22
102,1,1:22.0,C. Budinger misses free throw 1 of 2,,22,22
103,1,1:22.0,Offensive rebound by Team,,22,22
104,1,1:22.0,C. Budinger makes free throw 2 of 2,,23,22
105,1,1:06.0,,C. Brewer misses 3-pt jump shot from 25 ft,23,22
106,1,1:04.0,Defensive rebound by A. Wiggins,,23,22
107,1,1:01.0,Shooting foul by J. Smith (drawn by G. Dieng),,23,22
108,1,1:01.0,G. Dieng makes free throw 1 of 2,,24,22
109,1,1:01.0,Z. LaVine enters the game for R. Rubio,,24,22
110,1,1:01.0,G. Dieng makes free throw 2 of 2,,25,22
111,1,0:50.0,,J. Dorsey makes 2-pt dunk at rim (assist by J. Harden),25,24
112,1,0:40.0,A. Wiggins misses 3-pt jump shot from 25 ft,,25,24
113,1,0:38.0,,Defensive rebound by J. Dorsey,25,24
114,1,0:30.0,,J. Harden misses 3-pt jump shot from 27 ft,25,24
115,1,0:28.0,,Offensive rebound by J. Dorsey,25,24
116,1,0:26.0,,Shooting foul by G. Dieng (drawn by J. Harden),25,24
117,1,0:26.0,,J. Harden makes free throw 1 of 2,25,25
118,1,0:26.0,,T. Ariza enters the game for P. Prigioni,25,25
119,1,0:26.0,N. Peković enters the game for G. Dieng,,25,25
120,1,0:26.0,,J. Harden makes free throw 2 of 2,25,26
121,1,0:03.0,A. Payne misses 2-pt hook shot from 8 ft,,25,26
122,1,0:02.0,,Defensive rebound by J. Dorsey,25,26
123,2,11:47.0,,C. Brewer misses 2-pt jump shot from 7 ft,25,26
