,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,INDIANA_ACTION,SACRAMENTO_SCORE,INDIANA_SCORE
0,1,11:40.0,D. Cousins misses 2-pt jump shot from 22 ft,,0,0
1,1,11:39.0,,Defensive rebound by R. Hibbert,0,0
2,1,11:22.0,,R. Stuckey misses 2-pt layup from 2 ft,0,0
3,1,11:21.0,Defensive rebound by B. McLemore,,0,0
4,1,11:14.0,D. Collison misses 2-pt jump shot from 21 ft,,0,0
5,1,11:13.0,,Defensive rebound by D. West,0,0
6,1,10:59.0,,R. Hibbert misses 2-pt jump shot from 9 ft,0,0
7,1,10:58.0,Defensive rebound by D. Collison,,0,0
8,1,10:53.0,R. Gay misses 2-pt jump shot from 19 ft,,0,0
9,1,10:52.0,,Defensive rebound by R. Stuckey,0,0
10,1,10:32.0,,C. Watson makes 2-pt layup from 2 ft (assist by R. Hibbert),0,2
11,1,10:21.0,B. McLemore misses 2-pt jump shot from 20 ft,,0,2
12,1,10:20.0,,Defensive rebound by R. Hibbert,0,2
13,1,10:05.0,,S. Hill misses 3-pt jump shot from 25 ft,0,2
14,1,10:04.0,Defensive rebound by B. McLemore,,0,2
15,1,9:53.0,R. Gay misses 2-pt layup from 1 ft,,0,2
16,1,9:52.0,Offensive rebound by J. Thompson,,0,2
17,1,9:52.0,Shooting foul by R. Stuckey (drawn by J. Thompson),,0,2
18,1,9:52.0,J. Thompson makes free throw 1 of 2,,1,2
19,1,9:52.0,J. Thompson makes free throw 2 of 2,,2,2
20,1,9:39.0,,D. West makes 2-pt jump shot from 15 ft (assist by R. Stuckey),2,4
21,1,9:20.0,D. Cousins misses 2-pt jump shot from 15 ft,,2,4
22,1,9:19.0,Offensive rebound by J. Thompson,,2,4
23,1,9:15.0,D. Collison makes 3-pt jump shot from 25 ft,,5,4
24,1,9:06.0,,Personal block foul by D. Cousins (drawn by R. Hibbert),5,4
25,1,8:54.0,,D. West makes 2-pt jump shot from 18 ft (assist by R. Stuckey),5,6
26,1,8:34.0,Shooting foul by S. Hill (drawn by R. Gay),,5,6
27,1,8:34.0,R. Gay makes free throw 1 of 2,,6,6
28,1,8:34.0,R. Gay makes free throw 2 of 2,,7,6
29,1,8:23.0,,D. West misses 2-pt jump shot from 9 ft,7,6
30,1,8:22.0,Defensive rebound by D. Cousins,,7,6
31,1,8:15.0,Shooting foul by D. West (drawn by D. Cousins),,7,6
32,1,8:15.0,D. Cousins makes free throw 1 of 2,,8,6
33,1,8:15.0,D. Cousins makes free throw 2 of 2,,9,6
34,1,8:08.0,,R. Hibbert makes 2-pt dunk at rim (assist by D. West),9,8
35,1,7:45.0,D. Cousins makes 2-pt layup from 1 ft,,11,8
36,1,7:28.0,,D. West makes 2-pt jump shot from 18 ft (assist by C. Watson),11,10
37,1,7:10.0,D. Collison misses 2-pt jump shot from 17 ft,,11,10
38,1,7:09.0,,Defensive rebound by R. Hibbert,11,10
39,1,7:02.0,,Turnover by R. Stuckey (bad pass; steal by J. Thompson),11,10
40,1,6:57.0,R. Gay makes 2-pt dunk at rim (assist by J. Thompson),,13,10
41,1,6:44.0,Violation by J. Thompson (kicked ball),,13,10
42,1,6:30.0,,C. Watson misses 2-pt jump shot from 20 ft,13,10
43,1,6:29.0,,Offensive rebound by C. Watson,13,10
44,1,6:25.0,,R. Hibbert misses 2-pt jump shot from 7 ft,13,10
45,1,6:24.0,Defensive rebound by R. Gay,,13,10
46,1,6:15.0,J. Thompson makes 2-pt jump shot from 6 ft (assist by R. Gay),,15,10
47,1,6:09.0,,Indiana full timeout,15,10
48,1,6:09.0,,C. Miles enters the game for R. Stuckey,15,10
49,1,6:01.0,,Turnover by D. West (bad pass),15,10
50,1,5:48.0,Personal foul by C. Miles (drawn by D. Cousins),,15,10
51,1,5:48.0,,I. Mahinmi enters the game for R. Hibbert,15,10
52,1,5:44.0,D. Cousins misses 2-pt jump shot from 7 ft (block by C. Miles),,15,10
53,1,5:43.0,,Defensive rebound by S. Hill,15,10
54,1,5:38.0,,C. Watson misses 2-pt layup from 1 ft,15,10
55,1,5:38.0,,Offensive rebound by I. Mahinmi,15,10
56,1,5:38.0,,Turnover by I. Mahinmi (bad pass),15,10
57,1,5:28.0,D. Collison makes 2-pt jump shot from 18 ft,,17,10
58,1,5:15.0,,Turnover by C. Watson (bad pass; steal by D. Cousins),17,10
59,1,5:09.0,D. Collison makes 3-pt jump shot from 22 ft (assist by D. Cousins),,20,10
60,1,4:50.0,,Personal block foul by J. Thompson (drawn by C. Watson),20,10
61,1,4:50.0,,G. Hill enters the game for C. Watson,20,10
62,1,4:44.0,,C. Miles makes 2-pt jump shot from 7 ft (assist by D. West),20,12
63,1,4:31.0,J. Thompson makes 2-pt jump shot from 3 ft (assist by B. McLemore),,22,12
64,1,4:16.0,,Turnover by S. Hill (bad pass; steal by D. Cousins),22,12
65,1,4:10.0,R. Gay misses 3-pt jump shot from 26 ft,,22,12
66,1,4:08.0,,Defensive rebound by I. Mahinmi,22,12
67,1,3:44.0,,Turnover by Team (shot clock),22,12
68,1,3:44.0,,D. Rudež enters the game for S. Hill,22,12
69,1,3:28.0,B. McLemore makes 2-pt jump shot from 20 ft (assist by D. Collison),,24,12
70,1,3:11.0,,C. Miles misses 2-pt jump shot from 21 ft,24,12
71,1,3:10.0,Defensive rebound by D. Cousins,,24,12
72,1,2:58.0,R. Gay misses 2-pt jump shot from 3 ft,,24,12
73,1,2:57.0,,Defensive rebound by D. West,24,12
74,1,2:43.0,,D. Rudež misses 2-pt layup at rim,24,12
75,1,2:42.0,Defensive rebound by D. Cousins,,24,12
76,1,2:36.0,Personal foul by D. Rudež (drawn by D. Collison),,24,12
77,1,2:36.0,Sacramento full timeout,,24,12
78,1,2:36.0,D. Collison makes free throw 1 of 2,,25,12
79,1,2:36.0,D. Collison makes free throw 2 of 2,,26,12
80,1,2:30.0,,Turnover by D. Rudež (lost ball),26,12
81,1,2:20.0,Personal foul by D. Rudež (drawn by R. Gay),,26,12
82,1,2:20.0,R. Gay makes free throw 1 of 2,,27,12
83,1,2:20.0,,L. Scola enters the game for D. West,27,12
84,1,2:20.0,R. Gay makes free throw 2 of 2,,28,12
85,1,2:03.0,,C. Miles misses 3-pt jump shot from 25 ft,28,12
86,1,2:01.0,,Offensive rebound by I. Mahinmi,28,12
87,1,2:01.0,,I. Mahinmi misses 2-pt tip-in at rim,28,12
88,1,2:00.0,Defensive rebound by D. Collison,,28,12
89,1,1:53.0,R. Gay makes 2-pt jump shot from 6 ft,,30,12
90,1,1:39.0,,Shooting foul by J. Thompson (drawn by C. Miles),30,12
91,1,1:39.0,,C. Miles makes free throw 1 of 2,30,13
92,1,1:39.0,C. Landry enters the game for J. Thompson,,30,13
93,1,1:39.0,,C. Miles makes free throw 2 of 2,30,14
94,1,1:26.0,Personal foul by I. Mahinmi (drawn by D. Cousins),,30,14
95,1,1:26.0,D. Cousins makes free throw 1 of 2,,31,14
96,1,1:26.0,D. Cousins makes free throw 2 of 2,,32,14
97,1,1:07.0,,I. Mahinmi makes 2-pt dunk at rim (assist by D. Rudež),32,16
98,1,0:50.0,R. Gay misses 2-pt jump shot from 6 ft,,32,16
99,1,0:49.0,,Defensive rebound by G. Hill,32,16
100,1,0:42.0,,D. Rudež makes 3-pt jump shot from 26 ft (assist by G. Hill),32,19
101,1,0:30.0,D. Cousins misses 2-pt jump shot from 18 ft,,32,19
102,1,0:29.0,,Defensive rebound by L. Scola,32,19
103,1,0:20.0,,G. Hill makes 2-pt jump shot from 16 ft,32,21
104,1,0:02.0,D. Collison makes 2-pt jump shot from 18 ft,,34,21
105,2,11:47.0,,D. Rudež misses 3-pt jump shot from 26 ft,34,21
106,2,11:46.0,Defensive rebound by R. Gay,,34,21
107,2,11:31.0,R. Gay makes 2-pt jump shot from 16 ft (assist by N. Stauskas),,36,21
108,2,11:06.0,,C. Watson makes 2-pt jump shot from 15 ft (assist by I. Mahinmi),36,23
109,2,10:44.0,R. Gay makes 2-pt jump shot from 17 ft,,38,23
110,2,10:28.0,,L. Scola makes 2-pt jump shot from 18 ft (assist by C. Watson),38,25
111,2,10:19.0,D. Collison makes 2-pt jump shot from 21 ft,,40,25
112,2,10:06.0,,Personal foul by R. Gay (drawn by I. Mahinmi),40,25
113,2,10:06.0,R. Sessions enters the game for D. Collison,,40,25
114,2,9:56.0,,R. Stuckey misses 3-pt jump shot from 26 ft,40,25
115,2,9:55.0,Defensive rebound by J. Thompson,,40,25
116,2,9:40.0,R. Gay makes 2-pt jump shot from 9 ft,,42,25
117,2,9:34.0,,Indiana full timeout,42,25
118,2,9:34.0,,S. Hill enters the game for D. Rudež,42,25
119,2,9:25.0,,L. Scola misses 2-pt jump shot from 20 ft,42,25
120,2,9:24.0,Defensive rebound by R. Gay,,42,25
121,2,9:10.0,R. Gay makes 2-pt jump shot from 17 ft,,44,25
122,2,8:48.0,,R. Stuckey misses 2-pt jump shot from 9 ft,44,25
123,2,8:47.0,Defensive rebound by J. Thompson,,44,25
124,2,8:30.0,R. Sessions misses 3-pt jump shot from 23 ft,,44,25
125,2,8:29.0,,Defensive rebound by I. Mahinmi,44,25
126,2,8:14.0,,Turnover by R. Stuckey (bad pass; steal by R. Sessions),44,25
127,2,8:10.0,R. Sessions makes 2-pt layup from 1 ft,,46,25
128,2,8:04.0,,Indiana full timeout,46,25
129,2,8:04.0,,R. Hibbert enters the game for I. Mahinmi,46,25
130,2,8:04.0,O. Casspi enters the game for R. Gay,,46,25
131,2,8:04.0,D. Cousins enters the game for J. Thompson,,46,25
132,2,7:56.0,,L. Scola makes 2-pt jump shot from 6 ft (assist by C. Watson),46,27
133,2,7:56.0,,Shooting block foul by N. Stauskas (drawn by L. Scola),46,27
134,2,7:56.0,,L. Scola makes free throw 1 of 1,46,28
135,2,7:40.0,O. Casspi makes 3-pt jump shot from 22 ft (assist by R. Sessions),,49,28
136,2,7:27.0,,R. Stuckey makes 2-pt jump shot from 6 ft,49,30
137,2,7:11.0,Turnover by N. Stauskas (bad pass; steal by C. Watson),,49,30
