,QUARTER,TIME_REMAINING,ATLANTA_ACTION,BROOKLYN_ACTION,ATLANTA_SCORE,BROOKLYN_SCORE
0,1,11:35.0,P. Millsap misses 2-pt jump shot from 8 ft,,0,0
1,1,11:34.0,,Defensive rebound by Team,0,0
2,1,11:08.0,,J. Johnson misses 3-pt jump shot from 24 ft,0,0
3,1,11:07.0,Defensive rebound by P. Millsap,,0,0
4,1,10:51.0,J. Teague makes 2-pt layup from 2 ft (assist by D. Carroll),,2,0
5,1,10:40.0,,B. Lopez makes 2-pt layup from 2 ft (assist by J. Johnson),2,2
6,1,10:14.0,J. Teague misses 2-pt jump shot from 20 ft,,2,2
7,1,10:14.0,,Defensive rebound by J. Johnson,2,2
8,1,10:03.0,,B. Lopez misses 2-pt jump shot from 18 ft,2,2
9,1,10:02.0,,Offensive rebound by T. Young,2,2
10,1,9:46.0,,D. Williams misses 3-pt jump shot from 23 ft,2,2
11,1,9:45.0,Defensive rebound by K. Korver,,2,2
12,1,9:35.0,A. Horford misses 2-pt jump shot from 16 ft,,2,2
13,1,9:34.0,,Defensive rebound by B. Bogdanović,2,2
14,1,9:27.0,,Personal foul by P. Millsap (drawn by D. Williams),2,2
15,1,9:25.0,,B. Lopez makes 2-pt layup from 3 ft (assist by J. Johnson),2,4
16,1,9:25.0,,Shooting foul by A. Horford (drawn by B. Lopez),2,4
17,1,9:25.0,,B. Lopez misses free throw 1 of 1,2,4
18,1,9:23.0,Defensive rebound by P. Millsap,,2,4
19,1,9:14.0,Shooting foul by D. Williams (drawn by J. Teague),,2,4
20,1,9:14.0,J. Teague makes free throw 1 of 2,,3,4
21,1,9:14.0,J. Teague makes free throw 2 of 2,,4,4
22,1,8:59.0,,D. Williams makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),4,7
23,1,8:43.0,A. Horford makes 2-pt layup from 2 ft (assist by D. Carroll),,6,7
24,1,8:24.0,,T. Young makes 2-pt hook shot from 8 ft,6,9
25,1,8:11.0,D. Carroll makes 2-pt layup from 2 ft (assist by K. Korver),,8,9
26,1,8:00.0,,Turnover by J. Johnson (lost ball; steal by A. Horford),8,9
27,1,7:56.0,K. Korver makes 3-pt jump shot from 25 ft,,11,9
28,1,7:36.0,,D. Williams makes 3-pt jump shot from 23 ft (assist by T. Young),11,12
29,1,7:24.0,A. Horford misses 2-pt layup from 1 ft,,11,12
30,1,7:23.0,Offensive rebound by P. Millsap,,11,12
31,1,7:19.0,A. Horford makes 2-pt layup from 3 ft (assist by J. Teague),,13,12
32,1,7:08.0,,D. Williams misses 2-pt layup from 2 ft (block by P. Millsap),13,12
33,1,7:07.0,Defensive rebound by Team,,13,12
34,1,7:05.0,Personal foul by B. Bogdanović (drawn by D. Carroll),,13,12
35,1,6:58.0,A. Horford misses 2-pt jump shot from 19 ft,,13,12
36,1,6:57.0,,Defensive rebound by D. Williams,13,12
37,1,6:46.0,,T. Young misses 3-pt jump shot from 25 ft,13,12
38,1,6:45.0,Defensive rebound by K. Korver,,13,12
39,1,6:35.0,P. Millsap misses 2-pt layup from 4 ft,,13,12
40,1,6:34.0,,Defensive rebound by T. Young,13,12
41,1,6:22.0,,B. Bogdanović makes 2-pt jump shot from 7 ft,13,14
42,1,6:10.0,Turnover by J. Teague (lost ball; steal by T. Young),,13,14
43,1,6:02.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,13,14
44,1,6:01.0,Defensive rebound by P. Millsap,,13,14
45,1,5:41.0,D. Carroll makes 3-pt jump shot from 25 ft (assist by P. Millsap),,16,14
46,1,5:08.0,,B. Bogdanović misses 2-pt jump shot from 20 ft,16,14
47,1,5:07.0,Defensive rebound by A. Horford,,16,14
48,1,4:48.0,D. Carroll makes 2-pt layup from 1 ft (assist by P. Millsap),,18,14
49,1,4:46.0,,Brooklyn full timeout,18,14
50,1,4:46.0,P. Antić enters the game for A. Horford,,18,14
51,1,4:46.0,K. Bazemore enters the game for K. Korver,,18,14
52,1,4:29.0,,B. Lopez misses 2-pt jump shot from 7 ft,18,14
53,1,4:28.0,Defensive rebound by K. Bazemore,,18,14
54,1,4:09.0,P. Antić makes 3-pt jump shot from 23 ft (assist by J. Teague),,21,14
55,1,3:54.0,,J. Johnson misses 3-pt jump shot from 24 ft,21,14
56,1,3:53.0,Defensive rebound by K. Bazemore,,21,14
57,1,3:51.0,J. Teague misses 2-pt layup from 2 ft,,21,14
58,1,3:50.0,,Defensive rebound by J. Johnson,21,14
59,1,3:43.0,,B. Lopez misses 2-pt layup from 2 ft,21,14
60,1,3:42.0,,Offensive rebound by T. Young,21,14
61,1,3:41.0,,T. Young misses 2-pt tip-in from 2 ft,21,14
62,1,3:39.0,Defensive rebound by Team,,21,14
63,1,3:39.0,,Loose ball foul by B. Lopez (drawn by K. Bazemore),21,14
64,1,3:39.0,D. Schröder enters the game for J. Teague,,21,14
65,1,3:27.0,Turnover by Team (back court),,21,14
66,1,3:07.0,,D. Williams makes 2-pt jump shot from 9 ft (assist by B. Bogdanović),21,16
67,1,3:03.0,Atlanta full timeout,,21,16
68,1,3:03.0,,J. Jack enters the game for B. Bogdanović,21,16
69,1,2:54.0,Turnover by P. Millsap (lost ball; steal by B. Lopez),,21,16
70,1,2:33.0,,D. Williams makes 3-pt jump shot from 26 ft (assist by B. Lopez),21,19
71,1,2:18.0,P. Millsap makes 3-pt jump shot from 25 ft (assist by D. Schröder),,24,19
72,1,1:54.0,,B. Lopez makes 2-pt jump shot from 12 ft (assist by J. Johnson),24,21
73,1,1:40.0,Turnover by P. Antić (bad pass),,24,21
74,1,1:40.0,,A. Anderson enters the game for J. Johnson,24,21
75,1,1:40.0,K. Korver enters the game for D. Carroll,,24,21
76,1,1:40.0,A. Horford enters the game for P. Millsap,,24,21
77,1,1:28.0,,T. Young makes 2-pt hook shot from 10 ft (assist by D. Williams),24,23
78,1,1:13.0,Turnover by P. Antić (bad pass; steal by A. Anderson),,24,23
79,1,1:04.0,,D. Williams misses 2-pt jump shot from 18 ft,24,23
80,1,1:03.0,Defensive rebound by P. Antić,,24,23
81,1,0:53.0,A. Horford misses 2-pt jump shot from 15 ft,,24,23
82,1,0:51.0,,Defensive rebound by A. Anderson,24,23
83,1,0:34.0,,B. Lopez misses 2-pt jump shot from 10 ft,24,23
84,1,0:33.0,Defensive rebound by P. Antić,,24,23
85,1,0:28.0,Turnover by D. Schröder (bad pass; steal by J. Jack),,24,23
86,1,0:09.0,,B. Lopez makes 2-pt jump shot from 9 ft (assist by J. Jack),24,25
87,1,0:03.0,Personal foul by J. Jack (drawn by D. Schröder),,24,25
88,1,0:03.0,,M. Plumlee enters the game for B. Lopez,24,25
89,1,0:01.0,Turnover by A. Horford (bad pass; steal by J. Jack),,24,25
90,1,0:01.0,,J. Jack misses 3-pt jump shot from 55 ft (block by K. Bazemore),24,25
91,1,0:00.0,,Offensive rebound by Team,24,25
92,2,11:43.0,,Shooting foul by P. Antić (drawn by M. Plumlee),24,25
93,2,11:43.0,,M. Plumlee makes free throw 1 of 2,24,26
94,2,11:43.0,,B. Bogdanović enters the game for D. Williams,24,26
95,2,11:43.0,,M. Plumlee makes free throw 2 of 2,24,27
96,2,11:35.0,Offensive foul by A. Horford (drawn by J. Jack),,24,27
97,2,11:35.0,Turnover by A. Horford (offensive foul),,24,27
98,2,11:19.0,,A. Anderson makes 3-pt jump shot from 26 ft (assist by J. Johnson),24,30
99,2,11:01.0,D. Schröder misses 2-pt jump shot from 7 ft,,24,30
100,2,11:00.0,Offensive rebound by A. Horford,,24,30
101,2,10:57.0,D. Schröder misses 2-pt layup from 2 ft,,24,30
102,2,10:56.0,Offensive rebound by A. Horford,,24,30
103,2,10:52.0,K. Korver misses 3-pt jump shot from 25 ft,,24,30
104,2,10:51.0,,Defensive rebound by A. Anderson,24,30
105,2,10:36.0,,J. Jack makes 2-pt jump shot from 9 ft,24,32
106,2,10:35.0,Atlanta full timeout,,24,32
107,2,10:35.0,M. Scott enters the game for P. Antić,,24,32
108,2,10:35.0,P. Millsap enters the game for A. Horford,,24,32
109,2,10:21.0,Personal foul by A. Anderson (drawn by K. Korver),,24,32
110,2,10:15.0,D. Schröder makes 2-pt layup from 2 ft,,26,32
111,2,10:14.0,Violation by Team (delay of game),,26,32
112,2,9:53.0,,A. Anderson misses 2-pt layup from 1 ft,26,32
113,2,9:52.0,Defensive rebound by K. Korver,,26,32
114,2,9:47.0,Turnover by D. Schröder (bad pass; steal by M. Plumlee),,26,32
115,2,9:40.0,,Turnover by B. Bogdanović (offensive foul),26,32
116,2,9:40.0,Offensive charge foul by B. Bogdanović (drawn by K. Bazemore),,26,32
117,2,9:28.0,K. Korver makes 3-pt jump shot from 24 ft (assist by P. Millsap),,29,32
118,2,9:08.0,,J. Johnson misses 2-pt jump shot from 18 ft,29,32
119,2,9:07.0,Defensive rebound by K. Korver,,29,32
120,2,8:47.0,D. Schröder makes 2-pt layup from 2 ft,,31,32
121,2,8:36.0,,Turnover by J. Jack (bad pass; steal by P. Millsap),31,32
122,2,8:29.0,,B. Lopez enters the game for M. Plumlee,31,32
123,2,8:29.0,,D. Williams enters the game for B. Bogdanović,31,32
124,2,8:11.0,D. Schröder misses 2-pt jump shot from 9 ft (block by B. Lopez),,31,32
125,2,8:09.0,,Defensive rebound by J. Johnson,31,32
126,2,7:59.0,,B. Lopez makes 2-pt jump shot from 6 ft,31,34
127,2,7:53.0,K. Bazemore makes 2-pt layup from 1 ft (assist by D. Schröder),,33,34
128,2,7:34.0,,J. Johnson misses 2-pt layup from 3 ft (block by K. Bazemore),33,34
129,2,7:33.0,,Offensive rebound by Team,33,34
130,2,7:33.0,D. Carroll enters the game for K. Korver,,33,34
131,2,7:25.0,,Turnover by Team (shot clock),33,34
132,2,7:12.0,P. Millsap makes 2-pt layup from 2 ft (assist by D. Schröder),,35,34
133,2,7:03.0,,D. Williams makes 2-pt layup from 3 ft,35,36
134,2,6:53.0,K. Bazemore misses 3-pt jump shot from 24 ft,,35,36
135,2,6:52.0,,Defensive rebound by D. Williams,35,36
136,2,6:46.0,,J. Johnson makes 3-pt jump shot from 24 ft (assist by D. Williams),35,39
137,2,6:46.0,Atlanta full timeout,,35,39
138,2,6:46.0,J. Teague enters the game for D. Schröder,,35,39
139,2,6:26.0,M. Scott makes 2-pt dunk at rim (assist by J. Teague),,37,39
140,2,6:09.0,,Turnover by A. Anderson (bad pass; steal by P. Millsap),37,39
141,2,6:03.0,J. Teague misses 3-pt jump shot from 27 ft,,37,39
142,2,6:01.0,,Defensive rebound by B. Lopez,37,39
143,2,5:55.0,,J. Jack misses 3-pt jump shot from 26 ft,37,39
