,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,SACRAMENTO_ACTION,SAN ANTONIO_SCORE,SACRAMENTO_SCORE
0,1,11:41.0,,D. Cousins makes 2-pt layup from 1 ft,0,2
1,1,11:23.0,A. Baynes misses 2-pt layup from 2 ft,,0,2
2,1,11:22.0,,Defensive rebound by D. Cousins,0,2
3,1,11:15.0,,D. Collison misses 2-pt layup from 2 ft,0,2
4,1,11:13.0,Defensive rebound by T. Duncan,,0,2
5,1,10:57.0,A. Baynes misses 2-pt layup from 1 ft (block by R. Gay),,0,2
6,1,10:57.0,Offensive rebound by Team,,0,2
7,1,10:53.0,T. Duncan misses 2-pt jump shot from 19 ft,,0,2
8,1,10:51.0,,Defensive rebound by D. Cousins,0,2
9,1,10:41.0,,D. Cousins misses 2-pt jump shot from 20 ft,0,2
10,1,10:40.0,Defensive rebound by K. Leonard,,0,2
11,1,10:35.0,Turnover by K. Leonard (bad pass),,0,2
12,1,10:15.0,,D. Cousins misses 2-pt jump shot from 4 ft,0,2
13,1,10:13.0,,Offensive rebound by D. Cousins,0,2
14,1,10:13.0,,D. Cousins misses 2-pt tip-in from 3 ft,0,2
15,1,10:12.0,Defensive rebound by A. Baynes,,0,2
16,1,9:58.0,K. Leonard makes 2-pt jump shot from 18 ft (assist by A. Baynes),,2,2
17,1,9:42.0,,Personal foul by K. Leonard (drawn by D. Cousins),2,2
18,1,9:36.0,,B. McLemore misses 2-pt jump shot from 4 ft,2,2
19,1,9:35.0,Defensive rebound by Team,,2,2
20,1,9:17.0,T. Parker makes 2-pt jump shot from 18 ft,,4,2
21,1,9:04.0,,D. Collison makes 2-pt layup at rim,4,4
22,1,8:48.0,K. Leonard misses 3-pt jump shot from 24 ft,,4,4
23,1,8:46.0,,Defensive rebound by D. Cousins,4,4
24,1,8:37.0,,Turnover by R. Gay (bad pass; steal by T. Parker),4,4
25,1,8:29.0,T. Parker misses 2-pt jump shot from 18 ft,,4,4
26,1,8:28.0,,Defensive rebound by J. Thompson,4,4
27,1,8:18.0,,R. Gay makes 2-pt jump shot from 21 ft (assist by D. Collison),4,6
28,1,8:00.0,T. Duncan misses 2-pt jump shot from 10 ft,,4,6
29,1,7:59.0,,Defensive rebound by B. McLemore,4,6
30,1,7:53.0,,B. McLemore misses 2-pt layup from 1 ft (block by T. Duncan),4,6
31,1,7:53.0,,Offensive rebound by Team,4,6
32,1,7:51.0,,J. Thompson makes 2-pt jump shot from 20 ft (assist by R. Gay),4,8
33,1,7:26.0,D. Green makes 2-pt layup from 1 ft (assist by T. Duncan),,6,8
34,1,7:10.0,,Shooting foul by A. Baynes (drawn by D. Collison),6,8
35,1,7:10.0,,D. Collison makes free throw 1 of 2,6,9
36,1,7:10.0,,D. Collison makes free throw 2 of 2,6,10
37,1,6:56.0,,Violation by J. Thompson (kicked ball),6,10
38,1,6:56.0,M. Ginóbili enters the game for D. Green,,6,10
39,1,6:52.0,Shooting foul by B. McLemore (drawn by T. Duncan),,6,10
40,1,6:52.0,T. Duncan makes free throw 1 of 2,,7,10
41,1,6:52.0,T. Duncan makes free throw 2 of 2,,8,10
42,1,6:35.0,,D. Cousins makes 2-pt dunk at rim (assist by D. Collison),8,12
43,1,6:18.0,Turnover by A. Baynes (3 sec),,8,12
44,1,6:05.0,,R. Gay makes 2-pt jump shot from 19 ft (assist by J. Thompson),8,14
45,1,5:46.0,T. Duncan makes 2-pt jump shot from 17 ft (assist by K. Leonard),,10,14
46,1,5:33.0,,R. Gay makes 2-pt jump shot from 9 ft,10,16
47,1,5:33.0,San Antonio full timeout,,10,16
48,1,5:33.0,B. Diaw enters the game for T. Duncan,,10,16
49,1,5:17.0,K. Leonard misses 3-pt jump shot from 26 ft,,10,16
50,1,5:15.0,,Defensive rebound by J. Thompson,10,16
51,1,4:58.0,,B. McLemore misses 3-pt jump shot from 25 ft,10,16
52,1,4:57.0,Defensive rebound by A. Baynes,,10,16
53,1,4:41.0,K. Leonard makes 2-pt layup from 1 ft (assist by A. Baynes),,12,16
54,1,4:22.0,,B. McLemore makes 2-pt layup from 2 ft (assist by J. Thompson),12,18
55,1,4:02.0,B. Diaw makes 3-pt jump shot from 26 ft (assist by M. Ginóbili),,15,18
56,1,3:41.0,Offensive charge foul by D. Cousins (drawn by A. Baynes),,15,18
57,1,3:41.0,,Turnover by D. Cousins (offensive foul),15,18
58,1,3:41.0,C. Joseph enters the game for K. Leonard,,15,18
59,1,3:41.0,J. Ayres enters the game for A. Baynes,,15,18
60,1,3:41.0,D. Green enters the game for T. Parker,,15,18
61,1,3:41.0,,D. Williams enters the game for J. Thompson,15,18
62,1,3:29.0,M. Ginóbili misses 3-pt jump shot from 26 ft,,15,18
63,1,3:25.0,,Defensive rebound by D. Cousins,15,18
64,1,3:18.0,,Personal foul by J. Ayres (drawn by D. Cousins),15,18
65,1,3:18.0,,O. Casspi enters the game for R. Gay,15,18
66,1,3:08.0,,D. Cousins misses 2-pt jump shot from 18 ft,15,18
67,1,3:06.0,Defensive rebound by M. Ginóbili,,15,18
68,1,3:00.0,M. Ginóbili makes 2-pt hook shot from 9 ft,,17,18
69,1,3:00.0,Shooting foul by D. Cousins (drawn by M. Ginóbili),,17,18
70,1,3:00.0,,J. Thompson enters the game for D. Cousins,17,18
71,1,3:00.0,M. Ginóbili makes free throw 1 of 1,,18,18
72,1,2:48.0,,J. Thompson misses 2-pt jump shot from 19 ft,18,18
73,1,2:47.0,Defensive rebound by J. Ayres,,18,18
74,1,2:39.0,C. Joseph misses 2-pt jump shot from 3 ft,,18,18
75,1,2:37.0,Offensive rebound by J. Ayres,,18,18
76,1,2:37.0,J. Ayres misses 2-pt layup from 4 ft,,18,18
77,1,2:35.0,Offensive rebound by J. Ayres,,18,18
78,1,2:26.0,,Technical foul by D. Cousins,18,18
79,1,2:26.0,M. Ginóbili makes technical free throw,,19,18
80,1,2:21.0,Turnover by J. Ayres (offensive foul),,19,18
81,1,2:21.0,Offensive foul by J. Ayres (drawn by B. McLemore),,19,18
82,1,2:06.0,,Personal foul by B. Diaw (drawn by J. Thompson),19,18
83,1,2:01.0,,B. McLemore makes 2-pt jump shot from 18 ft (assist by J. Thompson),19,20
84,1,1:39.0,M. Ginóbili misses 3-pt jump shot from 26 ft,,19,20
85,1,1:38.0,,Defensive rebound by Team,19,20
86,1,1:18.0,,D. Williams makes 2-pt jump shot from 19 ft (assist by D. Collison),19,22
87,1,1:04.0,M. Ginóbili makes 2-pt jump shot from 8 ft (assist by C. Joseph),,21,22
88,1,0:49.0,,D. Collison misses 2-pt jump shot from 4 ft,21,22
89,1,0:48.0,Defensive rebound by C. Joseph,,21,22
90,1,0:28.0,D. Green misses 2-pt jump shot from 12 ft,,21,22
91,1,0:26.0,,Defensive rebound by Team,21,22
92,1,0:26.0,Loose ball foul by D. Green (drawn by D. Williams),,21,22
93,1,0:26.0,,D. Williams makes free throw 1 of 2,21,23
94,1,0:26.0,M. Bonner enters the game for J. Ayres,,21,23
95,1,0:26.0,,D. Williams misses free throw 2 of 2,21,23
96,1,0:26.0,Defensive rebound by B. Diaw,,21,23
97,1,0:02.0,D. Green makes 3-pt jump shot from 23 ft (assist by M. Ginóbili),,24,23
98,1,0:01.0,,B. McLemore misses 3-pt jump shot from 44 ft,24,23
99,1,0:00.0,,Offensive rebound by Team,24,23
100,2,11:41.0,Turnover by M. Ginóbili (bad pass),,24,23
101,2,11:25.0,,Turnover by J. Thompson (lost ball; steal by D. Green),24,23
102,2,11:10.0,B. Diaw makes 2-pt hook shot from 3 ft,,26,23
103,2,10:57.0,,D. Williams misses 3-pt jump shot from 26 ft,26,23
104,2,10:56.0,Defensive rebound by M. Ginóbili,,26,23
105,2,10:45.0,M. Ginóbili makes 2-pt layup at rim (assist by B. Diaw),,28,23
106,2,10:45.0,,Sacramento full timeout,28,23
107,2,10:45.0,,C. Landry enters the game for D. Williams,28,23
108,2,10:45.0,K. Leonard enters the game for M. Ginóbili,,28,23
109,2,10:33.0,,R. Sessions misses 2-pt jump shot from 8 ft,28,23
110,2,10:31.0,,Offensive rebound by Team,28,23
111,2,10:27.0,,N. Stauskas misses 3-pt jump shot from 24 ft,28,23
112,2,10:25.0,,Offensive rebound by O. Casspi,28,23
113,2,10:24.0,,O. Casspi makes 2-pt layup from 1 ft,28,25
114,2,10:06.0,Turnover by B. Diaw (lost ball),,28,25
115,2,10:06.0,,R. Gay enters the game for O. Casspi,28,25
116,2,9:55.0,,J. Thompson makes 2-pt dunk at rim (assist by R. Sessions),28,27
117,2,9:35.0,T. Duncan makes 2-pt jump shot from 15 ft,,30,27
118,2,9:20.0,,J. Thompson misses 2-pt jump shot from 7 ft,30,27
119,2,9:18.0,Defensive rebound by T. Duncan,,30,27
120,2,9:05.0,T. Parker misses 3-pt jump shot from 24 ft,,30,27
121,2,9:04.0,Offensive rebound by B. Diaw,,30,27
122,2,9:01.0,Turnover by B. Diaw (bad pass),,30,27
123,2,8:43.0,,Turnover by R. Gay (bad pass; steal by B. Diaw),30,27
124,2,8:38.0,B. Diaw makes 2-pt layup from 2 ft,,32,27
125,2,8:23.0,,R. Sessions misses 2-pt layup from 2 ft (block by T. Duncan),32,27
126,2,8:21.0,Defensive rebound by T. Parker,,32,27
127,2,8:17.0,D. Green makes 2-pt layup from 1 ft (assist by K. Leonard),,34,27
128,2,8:16.0,,Sacramento full timeout,34,27
129,2,8:16.0,,B. McLemore enters the game for N. Stauskas,34,27
130,2,7:57.0,,Personal foul by B. Diaw (drawn by C. Landry),34,27
131,2,7:57.0,,D. Collison enters the game for R. Sessions,34,27
132,2,7:57.0,M. Bonner enters the game for B. Diaw,,34,27
133,2,7:46.0,,R. Gay misses 3-pt jump shot from 26 ft,34,27
134,2,7:44.0,,Offensive rebound by B. McLemore,34,27
135,2,7:35.0,,D. Collison misses 2-pt jump shot from 10 ft,34,27
136,2,7:34.0,Defensive rebound by Team,,34,27
137,2,7:14.0,T. Duncan misses 2-pt hook shot from 9 ft,,34,27
138,2,7:12.0,,Defensive rebound by C. Landry,34,27
139,2,7:00.0,,R. Gay makes 2-pt layup from 1 ft,34,29
140,2,6:45.0,M. Bonner misses 2-pt jump shot from 8 ft,,34,29
141,2,6:43.0,,Defensive rebound by J. Thompson,34,29
142,2,6:38.0,,D. Collison makes 2-pt layup at rim,34,31
143,2,6:32.0,San Antonio full timeout,,34,31
144,2,6:32.0,C. Joseph enters the game for T. Parker,,34,31
145,2,6:08.0,M. Bonner misses 3-pt jump shot from 26 ft,,34,31
146,2,6:07.0,,Defensive rebound by J. Thompson,34,31
147,2,5:55.0,,C. Landry makes 2-pt jump shot from 3 ft (assist by J. Thompson),34,33
148,2,5:34.0,K. Leonard makes 2-pt jump shot from 16 ft,,36,33
149,2,5:16.0,,C. Landry misses 2-pt jump shot from 3 ft (block by M. Bonner),36,33
150,2,5:14.0,Defensive rebound by D. Green,,36,33
151,2,5:10.0,Offensive foul by K. Leonard (drawn by D. Collison),,36,33
152,2,5:10.0,Turnover by K. Leonard (offensive foul),,36,33
153,2,4:59.0,,C. Landry misses 2-pt jump shot from 3 ft (block by D. Green),36,33
154,2,4:59.0,,Offensive rebound by Team,36,33
155,2,4:54.0,,Personal foul by D. Green (drawn by J. Thompson),36,33
156,2,4:48.0,,R. Gay misses 2-pt jump shot from 8 ft,36,33
157,2,4:47.0,Defensive rebound by T. Duncan,,36,33
158,2,4:38.0,D. Green misses 3-pt jump shot from 26 ft,,36,33
159,2,4:36.0,,Defensive rebound by J. Thompson,36,33
160,2,4:31.0,,Shooting foul by M. Bonner (drawn by D. Collison),36,33
161,2,4:31.0,,D. Collison makes free throw 1 of 2,36,34
