,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,BROOKLYN_ACTION,OKLAHOMA CITY_SCORE,BROOKLYN_SCORE
0,1,11:46.0,,D. Williams makes 3-pt jump shot from 24 ft (assist by J. Johnson),0,3
1,1,11:22.0,S. Adams misses 2-pt hook shot from 14 ft,,0,3
2,1,11:21.0,Offensive rebound by S. Ibaka,,0,3
3,1,11:20.0,Personal foul by B. Lopez (drawn by S. Ibaka),,0,3
4,1,11:09.0,P. Jones makes 2-pt jump shot from 12 ft,,2,3
5,1,10:48.0,,Shooting foul by R. Jackson (drawn by D. Williams),2,3
6,1,10:48.0,,D. Williams makes free throw 1 of 2,2,4
7,1,10:48.0,,D. Williams makes free throw 2 of 2,2,5
8,1,10:27.0,S. Adams misses 2-pt jump shot from 17 ft,,2,5
9,1,10:26.0,,Defensive rebound by K. Garnett,2,5
10,1,10:20.0,,K. Garnett misses 2-pt jump shot from 19 ft,2,5
11,1,10:19.0,Defensive rebound by S. Adams,,2,5
12,1,10:15.0,Turnover by R. Jackson (bad pass),,2,5
13,1,9:58.0,,J. Johnson misses 2-pt jump shot from 19 ft,2,5
14,1,9:57.0,Defensive rebound by Team,,2,5
15,1,9:57.0,,Loose ball foul by B. Bogdanović (drawn by P. Jones),2,5
16,1,9:41.0,R. Jackson misses 2-pt jump shot from 9 ft,,2,5
17,1,9:40.0,Offensive rebound by S. Adams,,2,5
18,1,9:26.0,S. Ibaka makes 2-pt jump shot from 13 ft (assist by A. Roberson),,4,5
19,1,9:11.0,,Turnover by B. Lopez (offensive foul),4,5
20,1,9:11.0,Offensive charge foul by B. Lopez (drawn by A. Roberson),,4,5
21,1,9:11.0,,M. Plumlee enters the game for B. Lopez,4,5
22,1,8:49.0,S. Adams makes 2-pt hook shot from 7 ft (assist by R. Jackson),,6,5
23,1,8:33.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Williams),6,8
24,1,8:14.0,R. Jackson misses 2-pt layup from 1 ft,,6,8
25,1,8:13.0,Offensive rebound by S. Adams,,6,8
26,1,8:11.0,Shooting foul by M. Plumlee (drawn by S. Adams),,6,8
27,1,8:11.0,S. Adams misses free throw 1 of 2,,6,8
28,1,8:11.0,Offensive rebound by Team,,6,8
29,1,8:11.0,S. Adams misses free throw 2 of 2,,6,8
30,1,8:10.0,,Defensive rebound by K. Garnett,6,8
31,1,7:52.0,,J. Johnson makes 2-pt jump shot from 18 ft,6,10
32,1,7:38.0,Offensive foul by S. Adams (drawn by B. Bogdanović),,6,10
33,1,7:38.0,Turnover by S. Adams (offensive foul),,6,10
34,1,7:25.0,,J. Johnson makes 3-pt jump shot from 23 ft (assist by D. Williams),6,13
