,QUARTER,TIME_REMAINING,DALLAS_ACTION,MINNESOTA_ACTION,DALLAS_SCORE,MINNESOTA_SCORE
0,1,11:44.0,,Shooting foul by M. Ellis (drawn by A. Wiggins),0,0
1,1,11:44.0,,A. Wiggins makes free throw 1 of 2,0,1
2,1,11:44.0,,A. Wiggins misses free throw 2 of 2,0,1
3,1,11:44.0,Defensive rebound by C. Parsons,,0,1
4,1,11:20.0,R. Rondo makes 2-pt jump shot from 14 ft,,2,1
5,1,10:59.0,,T. Young misses 2-pt jump shot from 19 ft,2,1
6,1,10:58.0,,Offensive rebound by G. Dieng,2,1
7,1,10:54.0,,T. Young makes 2-pt dunk at rim (assist by G. Dieng),2,3
8,1,10:33.0,R. Rondo misses 2-pt jump shot from 19 ft,,2,3
9,1,10:32.0,,Defensive rebound by T. Young,2,3
10,1,10:20.0,,T. Young makes 2-pt jump shot from 6 ft (assist by M. Williams),2,5
11,1,10:03.0,Personal foul by G. Dieng (drawn by T. Chandler),,2,5
12,1,9:49.0,R. Rondo misses 2-pt jump shot from 18 ft,,2,5
13,1,9:48.0,,Defensive rebound by A. Wiggins,2,5
14,1,9:35.0,,T. Young misses 2-pt jump shot from 5 ft,2,5
15,1,9:34.0,Defensive rebound by T. Chandler,,2,5
16,1,9:24.0,D. Nowitzki misses 3-pt jump shot from 24 ft,,2,5
17,1,9:23.0,,Defensive rebound by R. Hummel,2,5
18,1,9:09.0,,A. Wiggins misses 2-pt jump shot from 7 ft,2,5
19,1,9:08.0,Defensive rebound by D. Nowitzki,,2,5
20,1,8:58.0,R. Rondo makes 2-pt jump shot from 6 ft,,4,5
21,1,8:46.0,,G. Dieng misses 2-pt layup from 1 ft,4,5
22,1,8:45.0,,Offensive rebound by R. Hummel,4,5
23,1,8:44.0,,R. Hummel makes 2-pt layup at rim,4,7
24,1,8:15.0,M. Ellis misses 2-pt jump shot from 7 ft,,4,7
25,1,8:14.0,,Defensive rebound by G. Dieng,4,7
26,1,8:02.0,,M. Williams misses 2-pt jump shot from 21 ft,4,7
27,1,8:00.0,,Offensive rebound by T. Young,4,7
28,1,8:00.0,,T. Young misses 2-pt tip-in at rim,4,7
29,1,7:58.0,Defensive rebound by T. Chandler,,4,7
30,1,7:44.0,Turnover by D. Nowitzki (bad pass; steal by M. Williams),,4,7
31,1,7:40.0,,T. Young makes 2-pt dunk at rim (assist by M. Williams),4,9
32,1,7:32.0,Personal foul by A. Wiggins (drawn by M. Ellis),,4,9
33,1,7:21.0,D. Nowitzki makes 2-pt jump shot from 14 ft,,6,9
34,1,7:02.0,,T. Young misses 2-pt jump shot from 6 ft,6,9
35,1,7:01.0,Defensive rebound by D. Nowitzki,,6,9
36,1,6:51.0,R. Rondo makes 3-pt jump shot from 22 ft (assist by C. Parsons),,9,9
37,1,6:29.0,,A. Wiggins misses 2-pt jump shot from 7 ft,9,9
38,1,6:28.0,Defensive rebound by D. Nowitzki,,9,9
39,1,6:23.0,C. Parsons makes 2-pt layup from 2 ft (assist by M. Ellis),,11,9
40,1,6:01.0,,T. Young makes 2-pt layup from 1 ft (assist by M. Williams),11,11
41,1,5:48.0,M. Ellis makes 2-pt jump shot from 8 ft,,13,11
42,1,5:30.0,,M. Williams misses 3-pt jump shot from 25 ft,13,11
43,1,5:29.0,Defensive rebound by D. Nowitzki,,13,11
44,1,5:19.0,C. Parsons makes 2-pt jump shot from 19 ft,,15,11
