,QUARTER,TIME_REMAINING,DETROIT_ACTION,NEW YORK_ACTION,DETROIT_SCORE,NEW YORK_SCORE
0,1,11:35.0,,C. Aldrich misses 2-pt jump shot from 11 ft,0,0
1,1,11:33.0,,Offensive rebound by J. Smith,0,0
2,1,11:31.0,,Turnover by J. Smith (bad pass; steal by G. Monroe),0,0
3,1,11:15.0,A. Drummond makes 2-pt hook shot from 4 ft (assist by B. Jennings),,2,0
4,1,11:00.0,,J. Smith makes 2-pt jump shot from 18 ft (assist by P. Prigioni),2,2
5,1,10:39.0,G. Monroe misses 2-pt layup from 2 ft (block by C. Aldrich),,2,2
6,1,10:38.0,Offensive rebound by Team,,2,2
7,1,10:30.0,B. Jennings makes 3-pt jump shot from 24 ft,,5,2
8,1,10:20.0,,Turnover by C. Aldrich (bad pass; steal by B. Jennings),5,2
9,1,10:18.0,Turnover by B. Jennings (bad pass),,5,2
10,1,10:01.0,,J. Calderón misses 2-pt jump shot from 15 ft,5,2
11,1,9:59.0,Defensive rebound by G. Monroe,,5,2
12,1,9:55.0,B. Jennings misses 3-pt jump shot from 23 ft,,5,2
13,1,9:53.0,,Defensive rebound by J. Smith,5,2
14,1,9:41.0,,P. Prigioni misses 2-pt layup from 1 ft (block by A. Drummond),5,2
15,1,9:39.0,Defensive rebound by K. Caldwell-Pope,,5,2
16,1,9:36.0,G. Monroe makes 2-pt dunk at rim (assist by K. Caldwell-Pope),,7,2
17,1,9:18.0,,C. Aldrich misses 2-pt jump shot from 4 ft,7,2
18,1,9:16.0,Defensive rebound by A. Drummond,,7,2
19,1,9:13.0,Turnover by A. Drummond (bad pass; steal by J. Smith),,7,2
20,1,9:08.0,,P. Prigioni makes 3-pt jump shot from 23 ft (assist by J. Smith),7,5
21,1,8:50.0,K. Singler misses 2-pt jump shot from 17 ft,,7,5
22,1,8:48.0,,Defensive rebound by P. Prigioni,7,5
23,1,8:33.0,,C. Aldrich misses 2-pt hook shot from 4 ft,7,5
24,1,8:31.0,,Offensive rebound by C. Aldrich,7,5
25,1,8:18.0,,J. Smith makes 2-pt jump shot from 20 ft (assist by J. Calderón),7,7
26,1,8:05.0,K. Singler misses 3-pt jump shot from 24 ft,,7,7
27,1,8:03.0,,Defensive rebound by J. Smith,7,7
28,1,7:58.0,,Turnover by J. Smith (bad pass; steal by A. Drummond),7,7
29,1,7:51.0,Personal foul by J. Smith (drawn by G. Monroe),,7,7
30,1,7:51.0,,A. Bargnani enters the game for C. Aldrich,7,7
31,1,7:51.0,,S. Larkin enters the game for P. Prigioni,7,7
32,1,7:40.0,Shooting foul by J. Smith (drawn by A. Drummond),,7,7
33,1,7:40.0,A. Drummond misses free throw 1 of 2,,7,7
34,1,7:40.0,Offensive rebound by Team,,7,7
35,1,7:40.0,,Q. Acy enters the game for J. Smith,7,7
36,1,7:40.0,A. Drummond misses free throw 2 of 2,,7,7
37,1,7:39.0,,Defensive rebound by S. Larkin,7,7
38,1,7:19.0,,Shooting foul by G. Monroe (drawn by A. Bargnani),7,7
39,1,7:19.0,,A. Bargnani misses free throw 1 of 2,7,7
40,1,7:19.0,,Offensive rebound by Team,7,7
41,1,7:19.0,,A. Bargnani misses free throw 2 of 2,7,7
42,1,7:17.0,Defensive rebound by K. Caldwell-Pope,,7,7
43,1,7:05.0,K. Caldwell-Pope misses 2-pt jump shot from 5 ft,,7,7
44,1,7:03.0,Offensive rebound by G. Monroe,,7,7
45,1,7:02.0,G. Monroe misses 2-pt layup from 2 ft,,7,7
46,1,7:01.0,,Defensive rebound by J. Calderón,7,7
47,1,6:54.0,,Turnover by J. Calderón (bad pass; steal by A. Drummond),7,7
48,1,6:50.0,B. Jennings makes 2-pt dunk at rim (assist by A. Drummond),,9,7
49,1,6:19.0,,J. Smith makes 2-pt jump shot from 17 ft,9,9
50,1,6:04.0,Shooting foul by Q. Acy (drawn by G. Monroe),,9,9
51,1,6:04.0,G. Monroe makes free throw 1 of 2,,10,9
52,1,6:04.0,,C. Aldrich enters the game for A. Bargnani,10,9
53,1,6:04.0,G. Monroe makes free throw 2 of 2,,11,9
54,1,5:50.0,,Q. Acy misses 2-pt jump shot from 5 ft,11,9
55,1,5:48.0,Defensive rebound by G. Monroe,,11,9
56,1,5:39.0,B. Jennings misses 3-pt jump shot from 24 ft,,11,9
57,1,5:37.0,,Defensive rebound by J. Smith,11,9
58,1,5:19.0,,J. Smith makes 2-pt jump shot from 13 ft,11,11
59,1,5:04.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,11,11
60,1,5:02.0,,Defensive rebound by Team,11,11
61,1,5:01.0,,New York full timeout,11,11
62,1,5:01.0,J. Jerebko enters the game for A. Drummond,,11,11
63,1,4:46.0,,C. Aldrich makes 2-pt dunk at rim (assist by J. Smith),11,13
64,1,4:30.0,G. Monroe makes 2-pt hook shot from 3 ft (assist by K. Caldwell-Pope),,13,13
65,1,4:15.0,,J. Smith misses 2-pt jump shot from 19 ft,13,13
66,1,4:13.0,,Offensive rebound by C. Aldrich,13,13
67,1,3:57.0,,S. Larkin makes 2-pt jump shot from 3 ft (assist by C. Aldrich),13,15
68,1,3:38.0,B. Jennings makes 2-pt layup from 1 ft (assist by K. Singler),,15,15
69,1,3:13.0,,T. Wear enters the game for J. Calderón,15,15
70,1,3:13.0,,Q. Acy misses 2-pt jump shot from 5 ft,15,15
71,1,3:12.0,,Offensive rebound by Team,15,15
72,1,3:12.0,,Turnover by Team (shot clock),15,15
73,1,2:59.0,K. Caldwell-Pope makes 2-pt jump shot from 18 ft (assist by K. Singler),,17,15
74,1,2:53.0,,Personal foul by J. Jerebko (drawn by Q. Acy),17,15
75,1,2:53.0,Detroit full timeout,,17,15
76,1,2:53.0,C. Butler enters the game for K. Singler,,17,15
77,1,2:53.0,J. Meeks enters the game for K. Caldwell-Pope,,17,15
78,1,2:47.0,,J. Smith misses 2-pt dunk at rim,17,15
79,1,2:45.0,Defensive rebound by J. Jerebko,,17,15
80,1,2:25.0,C. Butler makes 3-pt jump shot from 24 ft (assist by G. Monroe),,20,15
81,1,2:18.0,,S. Larkin misses 2-pt layup from 1 ft,20,15
82,1,2:16.0,Defensive rebound by B. Jennings,,20,15
83,1,1:58.0,G. Monroe makes 2-pt layup from 1 ft (assist by B. Jennings),,22,15
84,1,1:44.0,,Turnover by C. Aldrich (bad pass; steal by J. Jerebko),22,15
85,1,1:36.0,B. Jennings misses 2-pt layup from 1 ft (block by C. Aldrich),,22,15
86,1,1:33.0,,Defensive rebound by Q. Acy,22,15
87,1,1:27.0,,S. Larkin makes 3-pt jump shot from 24 ft (assist by J. Smith),22,18
88,1,1:11.0,G. Monroe misses 2-pt jump shot from 12 ft,,22,18
89,1,1:09.0,Offensive rebound by G. Monroe,,22,18
90,1,1:07.0,B. Jennings misses 2-pt layup from 2 ft,,22,18
91,1,1:05.0,,Defensive rebound by C. Aldrich,22,18
92,1,1:00.0,,T. Wear misses 2-pt jump shot from 21 ft,22,18
93,1,0:58.0,Defensive rebound by G. Monroe,,22,18
94,1,0:51.0,J. Meeks misses 3-pt jump shot from 24 ft,,22,18
95,1,0:49.0,Offensive rebound by B. Jennings,,22,18
96,1,0:49.0,B. Jennings makes 2-pt layup at rim,,24,18
97,1,0:35.0,,J. Smith misses 2-pt layup from 1 ft,24,18
98,1,0:34.0,,Offensive rebound by Q. Acy,24,18
99,1,0:34.0,,Q. Acy makes 2-pt dunk at rim,24,20
100,1,0:25.0,G. Monroe misses 2-pt layup from 1 ft,,24,20
101,1,0:24.0,,Defensive rebound by C. Aldrich,24,20
102,1,0:03.0,,Q. Acy misses 3-pt jump shot from 23 ft,24,20
103,1,0:02.0,,Offensive rebound by T. Wear,24,20
104,1,0:01.0,,T. Wear misses 2-pt layup from 2 ft,24,20
105,1,0:00.0,Defensive rebound by C. Butler,,24,20
106,2,11:47.0,J. Meeks makes 3-pt jump shot from 24 ft (assist by D. Augustin),,27,20
107,2,11:30.0,,T. Wear makes 2-pt jump shot from 14 ft,27,22
108,2,11:13.0,Shooting foul by C. Aldrich (drawn by A. Drummond),,27,22
109,2,11:13.0,A. Drummond misses free throw 1 of 2,,27,22
110,2,11:13.0,Offensive rebound by Team,,27,22
111,2,11:13.0,A. Drummond misses free throw 2 of 2,,27,22
112,2,11:12.0,,Defensive rebound by Q. Acy,27,22
113,2,10:55.0,,Turnover by T. Wear (bad pass; steal by J. Meeks),27,22
114,2,10:53.0,Personal foul by P. Prigioni (drawn by J. Meeks),,27,22
115,2,10:41.0,C. Butler makes 2-pt jump shot from 19 ft,,29,22
116,2,10:30.0,,T. Wear makes 3-pt jump shot from 24 ft (assist by P. Prigioni),29,25
117,2,10:16.0,A. Drummond misses 2-pt layup from 1 ft,,29,25
118,2,10:15.0,,Defensive rebound by Q. Acy,29,25
119,2,10:02.0,,T. Wear misses 3-pt jump shot from 24 ft,29,25
120,2,10:00.0,Defensive rebound by Team,,29,25
121,2,9:43.0,Turnover by C. Butler (lost ball),,29,25
122,2,9:28.0,,Q. Acy makes 2-pt jump shot from 14 ft (assist by P. Prigioni),29,27
123,2,9:09.0,J. Meeks makes 2-pt layup from 2 ft (assist by J. Jerebko),,31,27
124,2,9:07.0,,Turnover by C. Aldrich (bad pass; steal by A. Drummond),31,27
125,2,8:56.0,Turnover by D. Augustin (bad pass; steal by Q. Acy),,31,27
126,2,8:55.0,,New York full timeout,31,27
127,2,8:55.0,Official timeout,,31,27
128,2,8:33.0,,Q. Acy misses 2-pt jump shot from 20 ft,31,27
129,2,8:31.0,Defensive rebound by A. Drummond,,31,27
130,2,8:10.0,J. Meeks misses 2-pt jump shot from 20 ft,,31,27
131,2,8:06.0,Offensive rebound by A. Drummond,,31,27
132,2,8:06.0,A. Drummond makes 2-pt tip-in from 1 ft,,33,27
133,2,7:55.0,,Q. Acy misses 2-pt jump shot from 11 ft,33,27
134,2,7:53.0,Defensive rebound by J. Meeks,,33,27
135,2,7:37.0,J. Jerebko makes 2-pt jump shot from 9 ft (assist by D. Augustin),,35,27
136,2,7:14.0,,C. Aldrich misses 2-pt hook shot from 10 ft,35,27
137,2,7:13.0,,Offensive rebound by Team,35,27
138,2,7:13.0,,Personal foul by C. Butler (drawn by Q. Acy),35,27
139,2,7:13.0,,J. Calderón enters the game for C. Aldrich,35,27
140,2,7:13.0,,J. Smith enters the game for S. Larkin,35,27
141,2,7:13.0,,J. Smith enters the game for T. Wear,35,27
142,2,7:13.0,K. Caldwell-Pope enters the game for C. Butler,,35,27
143,2,7:04.0,,J. Smith misses 2-pt jump shot from 10 ft,35,27
144,2,7:03.0,,Offensive rebound by J. Smith,35,27
145,2,7:02.0,,J. Smith misses 2-pt jump shot from 3 ft,35,27
146,2,7:01.0,Defensive rebound by Team,,35,27
147,2,6:51.0,D. Augustin misses 3-pt jump shot from 25 ft,,35,27
148,2,6:49.0,,Defensive rebound by J. Smith,35,27
149,2,6:44.0,,J. Smith misses 2-pt layup from 1 ft,35,27
150,2,6:42.0,Defensive rebound by A. Drummond,,35,27
151,2,6:36.0,Shooting foul by J. Smith (drawn by J. Jerebko),,35,27
152,2,6:36.0,J. Jerebko makes free throw 1 of 2,,36,27
