,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,CHICAGO_ACTION,OKLAHOMA CITY_SCORE,CHICAGO_SCORE
0,1,11:52.0,S. Ibaka makes 2-pt jump shot from 18 ft (assist by A. Roberson),,2,0
1,1,11:38.0,,P. Gasol misses 2-pt jump shot from 22 ft,2,0
2,1,11:37.0,Defensive rebound by A. Roberson,,2,0
3,1,11:27.0,S. Ibaka makes 2-pt jump shot from 21 ft (assist by R. Westbrook),,4,0
4,1,11:08.0,Violation by S. Ibaka (kicked ball),,4,0
5,1,11:00.0,,M. Dunleavy makes 2-pt jump shot from 7 ft (assist by T. Snell),4,2
6,1,10:44.0,E. Freedom misses 2-pt jump shot from 18 ft,,4,2
7,1,10:43.0,,Defensive rebound by J. Noah,4,2
8,1,10:32.0,,T. Snell makes 2-pt layup from 1 ft (assist by J. Noah),4,4
9,1,10:13.0,R. Westbrook misses 2-pt jump shot from 17 ft,,4,4
10,1,10:12.0,,Defensive rebound by A. Brooks,4,4
11,1,10:05.0,,Shooting foul by A. Roberson (drawn by A. Brooks),4,4
12,1,10:05.0,,A. Brooks makes free throw 1 of 2,4,5
13,1,10:05.0,,A. Brooks makes free throw 2 of 2,4,6
14,1,9:54.0,S. Ibaka misses 2-pt jump shot from 21 ft,,4,6
15,1,9:53.0,,Defensive rebound by P. Gasol,4,6
16,1,9:42.0,,P. Gasol makes 2-pt jump shot from 15 ft (assist by A. Brooks),4,8
17,1,9:23.0,K. Singler misses 2-pt hook shot from 13 ft,,4,8
18,1,9:22.0,,Defensive rebound by P. Gasol,4,8
19,1,9:14.0,,Turnover by T. Snell (lost ball; steal by K. Singler),4,8
20,1,9:10.0,A. Roberson makes 2-pt dunk at rim (assist by R. Westbrook),,6,8
21,1,8:53.0,,Turnover by M. Dunleavy (bad pass; steal by R. Westbrook),6,8
22,1,8:53.0,Turnover by R. Westbrook (step out of bounds),,6,8
23,1,8:38.0,,P. Gasol misses 2-pt jump shot from 7 ft,6,8
24,1,8:36.0,,Offensive rebound by J. Noah,6,8
25,1,8:34.0,,J. Noah misses 2-pt layup from 2 ft (block by S. Ibaka),6,8
26,1,8:33.0,,Offensive rebound by J. Noah,6,8
27,1,8:30.0,,Turnover by M. Dunleavy (back court),6,8
28,1,8:16.0,S. Ibaka misses 2-pt jump shot from 20 ft,,6,8
29,1,8:15.0,,Defensive rebound by M. Dunleavy,6,8
30,1,8:06.0,,M. Dunleavy misses 2-pt jump shot from 17 ft,6,8
31,1,8:06.0,,Offensive rebound by Team,6,8
32,1,8:06.0,Loose ball foul by S. Ibaka (drawn by J. Noah),,6,8
33,1,8:00.0,,Turnover by A. Brooks (lost ball; steal by E. Freedom),6,8
34,1,7:55.0,R. Westbrook makes 2-pt layup from 1 ft,,8,8
35,1,7:38.0,,J. Noah misses 2-pt layup from 1 ft,8,8
36,1,7:37.0,Defensive rebound by S. Ibaka,,8,8
37,1,7:31.0,K. Singler makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,11,8
38,1,7:21.0,,Personal foul by E. Freedom (drawn by P. Gasol),11,8
39,1,7:09.0,,P. Gasol makes 2-pt jump shot from 18 ft (assist by A. Brooks),11,10
40,1,6:44.0,S. Ibaka makes 2-pt hook shot from 6 ft,,13,10
41,1,6:30.0,,M. Dunleavy makes 2-pt layup from 2 ft (assist by J. Noah),13,12
42,1,6:15.0,R. Westbrook makes 2-pt jump shot from 6 ft,,15,12
43,1,6:15.0,Shooting foul by A. Brooks (drawn by R. Westbrook),,15,12
44,1,6:15.0,R. Westbrook makes free throw 1 of 1,,16,12
45,1,5:56.0,,P. Gasol misses 2-pt jump shot from 6 ft (block by E. Freedom),16,12
46,1,5:56.0,Defensive rebound by Team,,16,12
47,1,5:56.0,,Chicago full timeout,16,12
48,1,5:53.0,Clear path foul by T. Snell,,16,12
49,1,5:53.0,R. Westbrook makes clear path free throw 1 of 2,,17,12
50,1,5:53.0,R. Westbrook makes clear path free throw 2 of 2,,18,12
51,1,5:32.0,E. Freedom makes 2-pt jump shot from 12 ft (assist by R. Westbrook),,20,12
52,1,5:15.0,,M. Dunleavy misses 2-pt hook shot from 3 ft,20,12
53,1,5:13.0,Defensive rebound by R. Westbrook,,20,12
54,1,5:06.0,E. Freedom misses 2-pt layup from 1 ft,,20,12
55,1,5:04.0,,Defensive rebound by J. Noah,20,12
56,1,4:51.0,,P. Gasol makes 2-pt hook shot from 7 ft,20,14
57,1,4:31.0,Shooting foul by M. Dunleavy (drawn by S. Ibaka),,20,14
58,1,4:31.0,S. Ibaka misses free throw 1 of 2,,20,14
59,1,4:31.0,Offensive rebound by Team,,20,14
60,1,4:31.0,,N. Mirotić enters the game for J. Noah,20,14
61,1,4:31.0,,D. McDermott enters the game for M. Dunleavy,20,14
62,1,4:31.0,D. Waiters enters the game for K. Singler,,20,14
63,1,4:31.0,S. Ibaka makes free throw 2 of 2,,21,14
64,1,4:13.0,,N. Mirotić misses 2-pt layup from 1 ft,21,14
65,1,4:12.0,Defensive rebound by E. Freedom,,21,14
66,1,4:04.0,Shooting foul by D. McDermott (drawn by R. Westbrook),,21,14
67,1,4:04.0,R. Westbrook makes free throw 1 of 2,,22,14
68,1,4:04.0,R. Westbrook makes free throw 2 of 2,,23,14
69,1,3:42.0,,Turnover by P. Gasol (lost ball; steal by A. Roberson),23,14
70,1,3:35.0,D. Waiters misses 3-pt jump shot from 22 ft,,23,14
71,1,3:34.0,,Defensive rebound by Team,23,14
72,1,3:34.0,Loose ball foul by R. Westbrook (drawn by P. Gasol),,23,14
73,1,3:34.0,N. Collison enters the game for E. Freedom,,23,14
74,1,3:23.0,,A. Brooks misses 3-pt jump shot from 25 ft,23,14
75,1,3:21.0,Defensive rebound by A. Roberson,,23,14
76,1,3:03.0,R. Westbrook misses 2-pt jump shot from 18 ft,,23,14
77,1,3:02.0,,Defensive rebound by A. Brooks,23,14
78,1,2:44.0,,P. Gasol makes 2-pt dunk at rim,23,16
79,1,2:37.0,Oklahoma City full timeout,,23,16
80,1,2:37.0,,K. Hinrich enters the game for A. Brooks,23,16
81,1,2:37.0,A. Morrow enters the game for A. Roberson,,23,16
82,1,2:29.0,Shooting foul by P. Gasol (drawn by R. Westbrook),,23,16
83,1,2:29.0,R. Westbrook misses free throw 1 of 2,,23,16
84,1,2:29.0,Offensive rebound by Team,,23,16
85,1,2:29.0,R. Westbrook makes free throw 2 of 2,,24,16
86,1,2:18.0,,Personal foul by N. Collison (drawn by P. Gasol),24,16
87,1,2:18.0,,P. Gasol makes free throw 1 of 2,24,17
88,1,2:18.0,,P. Gasol makes free throw 2 of 2,24,18
89,1,2:08.0,D. Waiters misses 2-pt jump shot from 3 ft (block by N. Mirotić),,24,18
90,1,2:08.0,Offensive rebound by Team,,24,18
91,1,2:04.0,A. Morrow makes 2-pt jump shot from 19 ft (assist by D. Waiters),,26,18
92,1,1:47.0,,T. Snell misses 2-pt jump shot from 12 ft,26,18
93,1,1:46.0,Defensive rebound by A. Morrow,,26,18
94,1,1:29.0,Turnover by S. Ibaka (3 sec),,26,18
95,1,1:29.0,D. Augustin enters the game for R. Westbrook,,26,18
96,1,1:12.0,,D. McDermott misses 3-pt jump shot from 24 ft,26,18
97,1,1:11.0,Defensive rebound by S. Ibaka,,26,18
98,1,1:00.0,S. Ibaka makes 2-pt jump shot from 18 ft (assist by D. Augustin),,28,18
99,1,0:47.0,,P. Gasol misses 2-pt jump shot from 11 ft,28,18
100,1,0:46.0,Defensive rebound by A. Morrow,,28,18
101,1,0:37.0,A. Morrow misses 3-pt jump shot from 26 ft,,28,18
102,1,0:35.0,Offensive rebound by S. Ibaka,,28,18
103,1,0:34.0,S. Ibaka makes 2-pt jump shot from 16 ft,,30,18
