,QUARTER,TIME_REMAINING,PHOENIX_ACTION,CHARLOTTE_ACTION,PHOENIX_SCORE,CHARLOTTE_SCORE
0,1,11:43.0,M. Morris makes 2-pt jump shot from 12 ft (assist by G. Dragić),,2,0
1,1,11:18.0,,A. Jefferson makes 2-pt layup at rim (assist by M. Kidd-Gilchrist),2,2
2,1,10:56.0,A. Len misses 2-pt jump shot from 7 ft,,2,2
3,1,10:55.0,,Defensive rebound by C. Zeller,2,2
4,1,10:48.0,,K. Walker misses 2-pt layup at rim,2,2
5,1,10:48.0,Defensive rebound by Team,,2,2
6,1,10:30.0,E. Bledsoe misses 2-pt jump shot from 4 ft,,2,2
7,1,10:28.0,Offensive rebound by A. Len,,2,2
8,1,10:28.0,A. Len makes 2-pt layup at rim,,4,2
9,1,10:12.0,,M. Kidd-Gilchrist misses 2-pt layup from 1 ft,4,2
10,1,10:11.0,Defensive rebound by P. Tucker,,4,2
11,1,10:05.0,G. Dragić makes 2-pt layup at rim (assist by P. Tucker),,6,2
12,1,9:54.0,,Shooting foul by A. Len (drawn by A. Jefferson),6,2
13,1,9:54.0,,A. Jefferson makes free throw 1 of 2,6,3
14,1,9:54.0,,A. Jefferson makes free throw 2 of 2,6,4
15,1,9:42.0,G. Dragić makes 2-pt jump shot from 16 ft,,8,4
16,1,9:28.0,,C. Zeller makes 2-pt layup from 1 ft (assist by K. Walker),8,6
17,1,9:11.0,G. Dragić misses 3-pt jump shot from 25 ft,,8,6
18,1,9:10.0,,Defensive rebound by C. Zeller,8,6
19,1,9:01.0,,L. Stephenson misses 2-pt jump shot from 17 ft,8,6
20,1,8:58.0,Defensive rebound by M. Morris,,8,6
21,1,8:42.0,Turnover by E. Bledsoe (lost ball; steal by M. Kidd-Gilchrist),,8,6
22,1,8:38.0,,L. Stephenson makes 2-pt layup from 1 ft (assist by C. Zeller),8,8
23,1,8:38.0,,Shooting foul by M. Morris (drawn by L. Stephenson),8,8
24,1,8:38.0,,L. Stephenson makes free throw 1 of 1,8,9
25,1,8:19.0,E. Bledsoe misses 3-pt jump shot from 23 ft,,8,9
26,1,8:18.0,,Defensive rebound by L. Stephenson,8,9
27,1,8:12.0,,M. Kidd-Gilchrist misses 2-pt layup from 1 ft,8,9
28,1,8:12.0,,Offensive rebound by C. Zeller,8,9
29,1,8:04.0,,Turnover by A. Jefferson (lost ball; steal by A. Len),8,9
30,1,7:54.0,G. Dragić makes 2-pt layup at rim,,10,9
31,1,7:42.0,,A. Jefferson makes 2-pt layup from 1 ft (assist by K. Walker),10,11
32,1,7:22.0,M. Morris misses 2-pt jump shot from 16 ft,,10,11
33,1,7:21.0,,Defensive rebound by K. Walker,10,11
34,1,7:11.0,,K. Walker makes 3-pt jump shot from 26 ft,10,14
35,1,6:50.0,G. Dragić misses 2-pt layup from 1 ft,,10,14
36,1,6:49.0,,Defensive rebound by L. Stephenson,10,14
37,1,6:38.0,,A. Jefferson misses 2-pt jump shot from 16 ft,10,14
38,1,6:37.0,Defensive rebound by E. Bledsoe,,10,14
39,1,6:26.0,E. Bledsoe makes 2-pt jump shot from 17 ft,,12,14
40,1,6:12.0,,K. Walker makes 3-pt jump shot from 25 ft (assist by C. Zeller),12,17
41,1,5:53.0,,Charlotte full timeout,12,17
42,1,5:49.0,E. Bledsoe makes 2-pt layup from 1 ft (assist by G. Dragić),,14,17
43,1,5:27.0,,K. Walker misses 2-pt jump shot from 16 ft,14,17
44,1,5:26.0,Defensive rebound by A. Len,,14,17
45,1,5:16.0,E. Bledsoe misses 2-pt jump shot from 18 ft,,14,17
46,1,5:15.0,,Defensive rebound by A. Jefferson,14,17
47,1,4:59.0,,A. Jefferson makes 2-pt jump shot from 6 ft,14,19
48,1,4:39.0,P. Tucker misses 2-pt jump shot from 17 ft,,14,19
49,1,4:38.0,,Defensive rebound by A. Jefferson,14,19
50,1,4:27.0,,A. Jefferson makes 2-pt jump shot from 15 ft (assist by L. Stephenson),14,21
51,1,4:12.0,E. Bledsoe misses 2-pt jump shot from 17 ft,,14,21
52,1,4:10.0,,Defensive rebound by A. Jefferson,14,21
53,1,3:58.0,,M. Kidd-Gilchrist makes 2-pt dunk at rim (assist by A. Jefferson),14,23
54,1,3:37.0,A. Len makes 2-pt jump shot from 13 ft (assist by P. Tucker),,16,23
55,1,3:22.0,,A. Jefferson misses 2-pt hook shot from 8 ft,16,23
56,1,3:20.0,Defensive rebound by M. Morris,,16,23
57,1,3:16.0,Shooting foul by K. Walker (drawn by E. Bledsoe),,16,23
58,1,3:16.0,E. Bledsoe makes free throw 1 of 2,,17,23
59,1,3:16.0,M. Plumlee enters the game for A. Len,,17,23
60,1,3:16.0,M. Morris enters the game for P. Tucker,,17,23
61,1,3:16.0,,M. Williams enters the game for C. Zeller,17,23
62,1,3:16.0,,G. Henderson enters the game for M. Kidd-Gilchrist,17,23
63,1,3:16.0,E. Bledsoe makes free throw 2 of 2,,18,23
64,1,3:02.0,,A. Jefferson makes 2-pt jump shot from 5 ft (assist by L. Stephenson),18,25
65,1,2:45.0,E. Bledsoe makes 2-pt layup at rim (assist by G. Dragić),,20,25
66,1,2:32.0,,A. Jefferson makes 2-pt layup from 1 ft (assist by G. Henderson),20,27
67,1,2:28.0,,G. Neal enters the game for L. Stephenson,20,27
68,1,2:28.0,Phoenix full timeout,,20,27
69,1,2:28.0,I. Thomas enters the game for E. Bledsoe,,20,27
70,1,2:20.0,M. Morris misses 2-pt layup at rim (block by G. Henderson),,20,27
71,1,2:19.0,Offensive rebound by M. Morris,,20,27
72,1,2:19.0,M. Morris misses 2-pt layup at rim,,20,27
73,1,2:18.0,,Defensive rebound by Team,20,27
74,1,2:02.0,,A. Jefferson makes 2-pt jump shot from 15 ft (assist by G. Neal),20,29
75,1,1:42.0,M. Morris makes 2-pt dunk at rim (assist by G. Dragić),,22,29
76,1,1:24.0,,A. Jefferson makes 2-pt jump shot from 17 ft,22,31
77,1,1:07.0,M. Plumlee makes 2-pt hook shot from 6 ft,,24,31
78,1,0:48.0,,G. Neal misses 3-pt jump shot from 25 ft,24,31
79,1,0:46.0,Defensive rebound by M. Morris,,24,31
80,1,0:30.0,G. Dragić makes 3-pt jump shot from 22 ft (assist by M. Morris),,27,31
81,1,0:09.0,,M. Williams misses 3-pt jump shot from 25 ft,27,31
82,1,0:07.0,Defensive rebound by I. Thomas,,27,31
83,1,0:05.0,Personal foul by A. Jefferson (drawn by I. Thomas),,27,31
84,1,0:02.0,G. Dragić misses 3-pt jump shot from 22 ft,,27,31
85,1,0:00.0,Offensive rebound by Team,,27,31
