,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,ORLANDO_ACTION,BROOKLYN_SCORE,ORLANDO_SCORE
0,1,11:42.0,Turnover by J. Jack (bad pass; steal by E. Payton),,0,0
1,1,11:33.0,,N. Vučević misses 2-pt layup from 2 ft,0,0
2,1,11:32.0,,Offensive rebound by N. Vučević,0,0
3,1,11:32.0,,N. Vučević makes 2-pt tip-in from 2 ft,0,2
4,1,11:07.0,Turnover by J. Jack (lost ball; steal by E. Payton),,0,2
5,1,11:02.0,,V. Oladipo makes 2-pt layup from 1 ft (assist by E. Payton),0,4
6,1,10:45.0,Turnover by K. Garnett (back court),,0,4
7,1,10:21.0,,E. Payton misses 2-pt jump shot from 13 ft,0,4
8,1,10:20.0,,Offensive rebound by N. Vučević,0,4
9,1,10:20.0,,N. Vučević misses 2-pt tip-in from 2 ft,0,4
10,1,10:18.0,,Offensive rebound by E. Payton,0,4
11,1,10:13.0,,E. Payton misses 2-pt layup at rim,0,4
12,1,10:11.0,Defensive rebound by K. Garnett,,0,4
13,1,10:03.0,Turnover by M. Plumlee (lost ball; steal by N. Vučević),,0,4
14,1,9:51.0,,Shooting foul by M. Plumlee (drawn by N. Vučević),0,4
15,1,9:51.0,,N. Vučević misses free throw 1 of 2,0,4
16,1,9:51.0,,Offensive rebound by Team,0,4
17,1,9:51.0,,N. Vučević makes free throw 2 of 2,0,5
18,1,9:39.0,K. Garnett makes 2-pt jump shot from 20 ft (assist by J. Johnson),,2,5
19,1,9:17.0,,K. O'Quinn misses 2-pt layup from 1 ft,2,5
20,1,9:15.0,Defensive rebound by M. Plumlee,,2,5
21,1,9:00.0,J. Jack makes 2-pt jump shot from 19 ft,,4,5
22,1,8:50.0,,Orlando full timeout,4,5
23,1,8:25.0,,N. Vučević makes 2-pt jump shot from 15 ft (assist by K. O'Quinn),4,7
24,1,8:05.0,J. Johnson makes 2-pt jump shot from 15 ft (assist by S. Karasev),,6,7
25,1,7:56.0,,Turnover by K. O'Quinn (bad pass),6,7
26,1,7:45.0,K. Garnett makes 2-pt jump shot from 18 ft (assist by J. Johnson),,8,7
27,1,7:28.0,,K. O'Quinn misses 3-pt jump shot from 24 ft,8,7
28,1,7:27.0,Defensive rebound by K. Garnett,,8,7
29,1,7:17.0,K. Garnett misses 2-pt jump shot from 20 ft,,8,7
30,1,7:16.0,,Defensive rebound by V. Oladipo,8,7
31,1,7:11.0,,V. Oladipo makes 2-pt layup from 2 ft,8,9
32,1,6:47.0,S. Karasev makes 2-pt jump shot from 15 ft (assist by K. Garnett),,10,9
33,1,6:32.0,,Shooting foul by M. Plumlee (drawn by T. Harris),10,9
34,1,6:32.0,,T. Harris makes free throw 1 of 2,10,10
35,1,6:32.0,B. Lopez enters the game for K. Garnett,,10,10
36,1,6:32.0,,T. Harris makes free throw 2 of 2,10,11
37,1,6:13.0,Turnover by J. Jack (bad pass; steal by V. Oladipo),,10,11
38,1,6:03.0,,T. Harris makes 2-pt layup from 2 ft (assist by V. Oladipo),10,13
39,1,5:59.0,Brooklyn full timeout,,10,13
40,1,5:59.0,M. Teletović enters the game for M. Plumlee,,10,13
41,1,5:41.0,J. Johnson misses 3-pt jump shot from 26 ft,,10,13
42,1,5:40.0,Offensive rebound by B. Lopez,,10,13
43,1,5:37.0,B. Lopez makes 2-pt hook shot from 4 ft,,12,13
44,1,5:19.0,,V. Oladipo misses 2-pt layup from 2 ft,12,13
45,1,5:17.0,Defensive rebound by S. Karasev,,12,13
46,1,5:08.0,S. Karasev makes 3-pt jump shot from 23 ft (assist by J. Jack),,15,13
47,1,4:47.0,,N. Vučević makes 2-pt hook shot from 8 ft (assist by E. Payton),15,15
48,1,4:27.0,J. Johnson misses 3-pt jump shot from 23 ft,,15,15
49,1,4:26.0,,Defensive rebound by V. Oladipo,15,15
50,1,4:17.0,,T. Harris makes 3-pt jump shot from 22 ft (assist by E. Payton),15,18
