,QUARTER,TIME_REMAINING,DALLAS_ACTION,NEW ORLEANS_ACTION,DALLAS_SCORE,NEW ORLEANS_SCORE
0,1,11:42.0,,D. Cunningham makes 2-pt jump shot from 20 ft (assist by E. Gordon),0,2
1,1,11:25.0,M. Ellis makes 2-pt jump shot from 12 ft (assist by R. Rondo),,2,2
2,1,11:06.0,,Turnover by E. Gordon (lost ball; steal by M. Ellis),2,2
3,1,10:59.0,R. Rondo misses 2-pt layup from 2 ft,,2,2
4,1,10:58.0,,Defensive rebound by Ö. Aşık,2,2
5,1,10:51.0,,A. Davis makes 2-pt jump shot from 3 ft (assist by T. Evans),2,4
6,1,10:31.0,Personal foul by D. Cunningham (drawn by C. Parsons),,2,4
7,1,10:19.0,M. Ellis misses 3-pt jump shot from 27 ft,,2,4
8,1,10:17.0,,Defensive rebound by E. Gordon,2,4
9,1,10:06.0,,Personal block foul by M. Ellis (drawn by T. Evans),2,4
10,1,9:55.0,,A. Davis misses 2-pt jump shot from 17 ft,2,4
11,1,9:52.0,Defensive rebound by M. Ellis,,2,4
12,1,9:44.0,R. Rondo makes 2-pt layup from 2 ft,,4,4
13,1,9:20.0,,T. Evans makes 2-pt jump shot from 14 ft (assist by D. Cunningham),4,6
14,1,8:59.0,D. Nowitzki misses 2-pt jump shot from 14 ft,,4,6
15,1,8:58.0,,Defensive rebound by Ö. Aşık,4,6
16,1,8:49.0,,A. Davis misses 2-pt jump shot from 14 ft,4,6
17,1,8:48.0,Defensive rebound by R. Rondo,,4,6
18,1,8:37.0,R. Rondo makes 2-pt layup from 2 ft,,6,6
19,1,8:15.0,,T. Evans makes 2-pt layup from 1 ft (assist by A. Davis),6,8
20,1,8:01.0,Turnover by C. Parsons (lost ball; steal by T. Evans),,6,8
21,1,7:56.0,,T. Evans makes 2-pt layup from 1 ft,6,10
22,1,7:56.0,,Shooting foul by D. Nowitzki (drawn by T. Evans),6,10
23,1,7:56.0,,T. Evans makes free throw 1 of 1,6,11
24,1,7:32.0,R. Rondo misses 2-pt layup from 2 ft,,6,11
25,1,7:31.0,,Defensive rebound by Ö. Aşık,6,11
26,1,7:25.0,,T. Evans misses 2-pt layup from 1 ft,6,11
27,1,7:24.0,,Offensive rebound by A. Davis,6,11
28,1,7:24.0,,A. Davis makes 2-pt layup from 2 ft,6,13
29,1,7:24.0,,Shooting foul by D. Nowitzki (drawn by A. Davis),6,13
30,1,7:24.0,A. Aminu enters the game for D. Nowitzki,,6,13
31,1,7:24.0,,A. Davis makes free throw 1 of 1,6,14
32,1,7:02.0,Shooting foul by Ö. Aşık (drawn by T. Chandler),,6,14
33,1,7:02.0,T. Chandler makes free throw 1 of 2,,7,14
34,1,7:02.0,D. Harris enters the game for R. Rondo,,7,14
35,1,7:02.0,T. Chandler makes free throw 2 of 2,,8,14
36,1,6:49.0,,Shooting foul by A. Aminu (drawn by A. Davis),8,14
37,1,6:49.0,,A. Davis makes free throw 1 of 2,8,15
38,1,6:49.0,,A. Davis makes free throw 2 of 2,8,16
39,1,6:32.0,M. Ellis misses 2-pt jump shot from 3 ft,,8,16
40,1,6:31.0,,Defensive rebound by Ö. Aşık,8,16
41,1,6:15.0,,Turnover by A. Davis (bad pass),8,16
42,1,5:59.0,Turnover by M. Ellis (bad pass; steal by Ö. Aşık),,8,16
43,1,5:54.0,,A. Davis makes 2-pt dunk at rim (assist by T. Evans),8,18
44,1,5:53.0,Dallas full timeout,,8,18
45,1,5:31.0,M. Ellis misses 2-pt jump shot from 15 ft,,8,18
46,1,5:30.0,,Defensive rebound by Ö. Aşık,8,18
47,1,5:16.0,,Ö. Aşık misses 2-pt layup from 2 ft (block by T. Chandler),8,18
48,1,5:15.0,Defensive rebound by T. Chandler,,8,18
49,1,5:12.0,D. Harris misses 2-pt layup from 2 ft,,8,18
50,1,5:11.0,Offensive rebound by M. Ellis,,8,18
51,1,5:11.0,M. Ellis makes 2-pt tip-in from 2 ft,,10,18
52,1,4:47.0,,D. Cunningham misses 2-pt jump shot from 21 ft,10,18
53,1,4:46.0,Defensive rebound by M. Ellis,,10,18
54,1,4:41.0,M. Ellis makes 2-pt layup from 2 ft,,12,18
55,1,4:21.0,,A. Davis misses 2-pt layup from 2 ft,12,18
56,1,4:20.0,,Offensive rebound by A. Davis,12,18
57,1,4:18.0,,A. Davis misses 2-pt layup from 2 ft,12,18
58,1,4:16.0,Defensive rebound by T. Chandler,,12,18
59,1,4:10.0,D. Harris misses 3-pt jump shot from 27 ft,,12,18
60,1,4:08.0,,Defensive rebound by Ö. Aşık,12,18
61,1,4:04.0,,New Orleans full timeout,12,18
62,1,4:04.0,,R. Anderson enters the game for E. Gordon,12,18
63,1,4:04.0,,Q. Pondexter enters the game for Ö. Aşık,12,18
64,1,3:58.0,,T. Evans makes 2-pt layup from 1 ft (assist by A. Davis),12,20
65,1,3:46.0,M. Ellis makes 2-pt jump shot from 19 ft,,14,20
66,1,3:26.0,,T. Evans misses 2-pt layup from 1 ft,14,20
67,1,3:25.0,Defensive rebound by T. Chandler,,14,20
68,1,3:08.0,C. Parsons makes 2-pt jump shot from 7 ft,,16,20
