,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,NEW YORK_ACTION,SACRAMENTO_SCORE,NEW YORK_SCORE
0,1,11:45.0,Turnover by R. Gay (lost ball),,0,0
1,1,11:24.0,,L. Amundson misses 2-pt jump shot from 14 ft,0,0
2,1,11:23.0,Defensive rebound by B. McLemore,,0,0
3,1,11:17.0,D. Cousins makes 2-pt layup from 1 ft (assist by B. McLemore),,2,0
4,1,11:17.0,Shooting foul by L. Amundson (drawn by D. Cousins),,2,0
5,1,11:17.0,D. Cousins makes free throw 1 of 1,,3,0
6,1,11:02.0,,T. Hardaway misses 3-pt jump shot from 26 ft,3,0
7,1,11:01.0,Defensive rebound by J. Thompson,,3,0
8,1,10:53.0,Turnover by R. McCallum (bad pass),,3,0
9,1,10:39.0,,A. Bargnani misses 2-pt jump shot from 18 ft,3,0
10,1,10:38.0,,Offensive rebound by C. Early,3,0
11,1,10:26.0,,C. Early misses 3-pt jump shot from 25 ft,3,0
12,1,10:25.0,Defensive rebound by Team,,3,0
13,1,10:16.0,Personal foul by L. Galloway (drawn by D. Cousins),,3,0
14,1,10:10.0,B. McLemore misses 3-pt jump shot from 26 ft,,3,0
15,1,10:09.0,,Defensive rebound by T. Hardaway,3,0
16,1,10:01.0,,Turnover by T. Hardaway (lost ball; steal by J. Thompson),3,0
17,1,9:57.0,Shooting foul by T. Hardaway (drawn by B. McLemore),,3,0
18,1,9:57.0,B. McLemore misses free throw 1 of 2,,3,0
19,1,9:57.0,Offensive rebound by Team,,3,0
20,1,9:57.0,B. McLemore makes free throw 2 of 2,,4,0
21,1,9:46.0,,L. Galloway misses 2-pt layup from 1 ft (block by D. Cousins),4,0
22,1,9:45.0,Defensive rebound by D. Cousins,,4,0
23,1,9:38.0,J. Thompson misses 2-pt layup from 1 ft,,4,0
24,1,9:37.0,Offensive rebound by Team,,4,0
25,1,9:26.0,J. Thompson misses 2-pt jump shot from 19 ft,,4,0
26,1,9:25.0,,Defensive rebound by L. Amundson,4,0
27,1,9:12.0,,L. Amundson makes 2-pt layup from 1 ft (assist by T. Hardaway),4,2
28,1,8:59.0,Shooting foul by T. Hardaway (drawn by B. McLemore),,4,2
29,1,8:59.0,B. McLemore makes 2-pt layup from 2 ft (assist by R. McCallum),,6,2
30,1,8:59.0,B. McLemore makes free throw 1 of 1,,7,2
31,1,8:33.0,,L. Amundson makes 2-pt layup from 1 ft (assist by A. Bargnani),7,4
32,1,8:20.0,D. Cousins makes 3-pt jump shot from 26 ft (assist by R. Gay),,10,4
33,1,8:02.0,,Shooting foul by J. Thompson (drawn by A. Bargnani),10,4
34,1,8:02.0,,A. Bargnani makes free throw 1 of 2,10,5
35,1,8:02.0,,S. Larkin enters the game for T. Hardaway,10,5
36,1,8:02.0,,A. Bargnani misses free throw 2 of 2,10,5
37,1,8:01.0,Defensive rebound by D. Cousins,,10,5
38,1,7:47.0,R. Gay makes 2-pt jump shot from 8 ft (assist by R. McCallum),,12,5
39,1,7:35.0,,L. Galloway makes 2-pt jump shot from 22 ft (assist by A. Bargnani),12,7
40,1,7:24.0,R. Gay makes 2-pt jump shot from 4 ft,,14,7
41,1,7:24.0,Shooting foul by C. Early (drawn by R. Gay),,14,7
42,1,7:24.0,,New York full timeout,14,7
43,1,7:24.0,,C. Aldrich enters the game for C. Early,14,7
44,1,7:24.0,,A. Shved enters the game for A. Bargnani,14,7
45,1,7:24.0,,L. Thomas enters the game for L. Galloway,14,7
46,1,7:24.0,,J. Smith enters the game for L. Amundson,14,7
47,1,7:24.0,R. Gay makes free throw 1 of 1,,15,7
48,1,7:11.0,,J. Smith misses 3-pt jump shot from 23 ft,15,7
49,1,7:10.0,,Offensive rebound by Team,15,7
50,1,7:10.0,Loose ball foul by J. Thompson (drawn by C. Aldrich),,15,7
51,1,7:10.0,D. Williams enters the game for J. Thompson,,15,7
52,1,7:04.0,,J. Smith makes 2-pt jump shot from 21 ft (assist by S. Larkin),15,9
53,1,6:48.0,B. McLemore misses 2-pt jump shot from 18 ft,,15,9
54,1,6:47.0,,Defensive rebound by S. Larkin,15,9
55,1,6:42.0,,Shooting foul by D. Cousins (drawn by J. Smith),15,9
56,1,6:42.0,,J. Smith misses free throw 1 of 2,15,9
57,1,6:42.0,,Offensive rebound by Team,15,9
58,1,6:42.0,,J. Smith makes free throw 2 of 2,15,10
59,1,6:28.0,B. McLemore makes 3-pt jump shot from 25 ft (assist by D. Cousins),,18,10
60,1,6:06.0,,L. Thomas misses 3-pt jump shot from 23 ft,18,10
61,1,6:05.0,Defensive rebound by R. McCallum,,18,10
62,1,5:58.0,R. Gay misses 2-pt layup from 2 ft,,18,10
63,1,5:57.0,,Defensive rebound by J. Smith,18,10
64,1,5:44.0,,Personal foul by R. Gay (drawn by A. Shved),18,10
65,1,5:33.0,,Turnover by A. Shved (bad pass),18,10
66,1,5:20.0,R. McCallum misses 2-pt jump shot from 16 ft,,18,10
67,1,5:19.0,Offensive rebound by R. Gay,,18,10
68,1,5:16.0,R. Gay misses 2-pt layup from 3 ft (block by C. Aldrich),,18,10
