,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CHARLOTTE_ACTION,PHILADELPHIA_SCORE,CHARLOTTE_SCORE
0,1,11:41.0,,J. Taylor misses 2-pt jump shot from 7 ft (block by J. Grant),0,0
1,1,11:39.0,,Offensive rebound by J. Taylor,0,0
2,1,11:39.0,,Turnover by M. Williams (step out of bounds),0,0
3,1,11:15.0,I. Smith misses 2-pt jump shot from 6 ft,,0,0
4,1,11:14.0,,Defensive rebound by B. Biyombo,0,0
5,1,11:08.0,,G. Henderson misses 2-pt layup from 2 ft (block by J. Grant),0,0
6,1,11:06.0,Defensive rebound by F. Aldemir,,0,0
7,1,10:59.0,N. Noel makes 2-pt dunk at rim (assist by I. Smith),,2,0
8,1,10:39.0,,K. Walker misses 2-pt jump shot from 10 ft,2,0
9,1,10:38.0,,Offensive rebound by B. Biyombo,2,0
10,1,10:37.0,,Shooting foul by R. Covington (drawn by B. Biyombo),2,0
11,1,10:37.0,,B. Biyombo makes free throw 1 of 2,2,1
12,1,10:37.0,,B. Biyombo misses free throw 2 of 2,2,1
13,1,10:37.0,Defensive rebound by R. Covington,,2,1
14,1,10:26.0,I. Smith misses 2-pt layup from 1 ft,,2,1
15,1,10:25.0,,Defensive rebound by B. Biyombo,2,1
16,1,10:11.0,,M. Williams misses 3-pt jump shot from 24 ft,2,1
17,1,10:10.0,Defensive rebound by F. Aldemir,,2,1
18,1,10:04.0,R. Covington misses 3-pt jump shot from 29 ft,,2,1
19,1,10:03.0,,Defensive rebound by Team,2,1
20,1,9:38.0,,Turnover by Team (shot clock),2,1
21,1,9:19.0,N. Noel misses 2-pt jump shot from 7 ft,,2,1
22,1,9:16.0,,Defensive rebound by M. Williams,2,1
23,1,9:08.0,,M. Williams misses 2-pt jump shot from 5 ft (block by N. Noel),2,1
24,1,9:06.0,Defensive rebound by I. Smith,,2,1
25,1,8:56.0,Turnover by N. Noel (bad pass),,2,1
26,1,8:46.0,,Turnover by K. Walker (lost ball; steal by N. Noel),2,1
27,1,8:40.0,Turnover by R. Covington (bad pass; steal by J. Taylor),,2,1
28,1,8:36.0,,K. Walker makes 2-pt layup from 1 ft,2,3
29,1,8:36.0,,Shooting foul by F. Aldemir (drawn by K. Walker),2,3
30,1,8:36.0,,K. Walker makes free throw 1 of 1,2,4
31,1,8:17.0,Turnover by N. Noel (bad pass; steal by M. Williams),,2,4
32,1,8:10.0,,G. Henderson misses 2-pt jump shot from 18 ft,2,4
33,1,8:09.0,Defensive rebound by F. Aldemir,,2,4
34,1,8:01.0,,Violation by B. Biyombo (def goaltending),2,4
35,1,8:01.0,I. Smith makes 2-pt layup at rim,,4,4
36,1,7:49.0,,Personal foul by I. Smith (drawn by G. Henderson),4,4
37,1,7:42.0,,G. Henderson misses 2-pt layup from 1 ft,4,4
38,1,7:41.0,Defensive rebound by N. Noel,,4,4
39,1,7:35.0,J. Grant makes 2-pt dunk at rim (assist by I. Smith),,6,4
40,1,7:20.0,,K. Walker makes 2-pt jump shot from 17 ft,6,6
41,1,7:09.0,I. Smith misses 3-pt jump shot from 26 ft,,6,6
42,1,7:08.0,Offensive rebound by N. Noel,,6,6
43,1,7:03.0,I. Smith misses 2-pt layup from 2 ft,,6,6
44,1,7:01.0,,Defensive rebound by M. Williams,6,6
45,1,6:45.0,,K. Walker misses 2-pt jump shot from 9 ft,6,6
46,1,6:43.0,Defensive rebound by I. Smith,,6,6
47,1,6:38.0,R. Covington misses 3-pt jump shot from 26 ft,,6,6
48,1,6:35.0,,Defensive rebound by K. Walker,6,6
49,1,6:18.0,,K. Walker makes 2-pt jump shot from 17 ft,6,8
50,1,6:17.0,Philadelphia full timeout,,6,8
51,1,5:59.0,J. Grant makes 3-pt jump shot from 23 ft (assist by I. Smith),,9,8
52,1,5:33.0,,K. Walker misses 2-pt layup at rim (block by J. Grant),9,8
53,1,5:31.0,Defensive rebound by J. Grant,,9,8
54,1,5:21.0,R. Covington misses 3-pt jump shot from 26 ft,,9,8
55,1,5:19.0,,Defensive rebound by J. Taylor,9,8
56,1,5:12.0,,G. Henderson misses 2-pt jump shot from 13 ft,9,8
57,1,5:10.0,,Offensive rebound by B. Biyombo,9,8
58,1,5:08.0,,B. Biyombo misses 2-pt layup at rim,9,8
59,1,5:07.0,Defensive rebound by I. Smith,,9,8
60,1,4:56.0,F. Aldemir misses 2-pt jump shot from 16 ft,,9,8
61,1,4:54.0,,Defensive rebound by K. Walker,9,8
62,1,4:50.0,,J. Taylor makes 2-pt dunk at rim (assist by K. Walker),9,10
63,1,4:50.0,,Shooting foul by R. Covington (drawn by J. Taylor),9,10
64,1,4:50.0,G. Robinson enters the game for J. Grant,,9,10
65,1,4:50.0,H. Sims enters the game for N. Noel,,9,10
66,1,4:50.0,L. Mbah a Moute enters the game for F. Aldemir,,9,10
67,1,4:50.0,H. Thompson enters the game for R. Covington,,9,10
68,1,4:50.0,,J. Taylor makes free throw 1 of 1,9,11
69,1,4:27.0,G. Robinson makes 2-pt jump shot from 18 ft,,11,11
70,1,4:16.0,,Turnover by J. Taylor (bad pass),11,11
71,1,3:54.0,G. Robinson misses 3-pt jump shot from 26 ft,,11,11
72,1,3:53.0,,Defensive rebound by B. Biyombo,11,11
73,1,3:41.0,,M. Williams misses 2-pt layup at rim,11,11
74,1,3:39.0,,Offensive rebound by M. Williams,11,11
75,1,3:39.0,,M. Williams makes 2-pt tip-in at rim,11,13
76,1,3:13.0,I. Smith misses 2-pt layup from 2 ft,,11,13
77,1,3:12.0,Offensive rebound by H. Sims,,11,13
78,1,3:09.0,H. Sims makes 2-pt layup at rim,,13,13
79,1,2:59.0,,Charlotte full timeout,13,13
80,1,2:59.0,,M. Williams enters the game for M. Williams,13,13
81,1,2:59.0,,P. Hairston enters the game for G. Henderson,13,13
82,1,2:59.0,,N. Vonleh enters the game for K. Walker,13,13
83,1,2:59.0,J. Sampson enters the game for I. Smith,,13,13
84,1,2:48.0,,B. Biyombo makes 2-pt dunk at rim (assist by J. Taylor),13,15
85,1,2:28.0,L. Mbah a Moute misses 2-pt layup from 1 ft (block by B. Biyombo),,13,15
86,1,2:27.0,,Defensive rebound by N. Vonleh,13,15
87,1,2:18.0,,M. Williams misses 3-pt jump shot from 26 ft,13,15
88,1,2:18.0,,Offensive rebound by N. Vonleh,13,15
89,1,2:14.0,,N. Vonleh misses 2-pt layup from 1 ft (block by H. Sims),13,15
90,1,2:10.0,,Offensive rebound by J. Taylor,13,15
91,1,2:04.0,,M. Williams makes 2-pt jump shot from 19 ft,13,17
92,1,1:49.0,L. Mbah a Moute misses 3-pt jump shot from 27 ft,,13,17
93,1,1:48.0,,Defensive rebound by Team,13,17
94,1,1:37.0,,Personal foul by J. Sampson (drawn by M. Williams),13,17
95,1,1:37.0,,M. Williams makes free throw 1 of 2,13,18
96,1,1:37.0,,M. Williams makes free throw 2 of 2,13,19
97,1,1:19.0,Turnover by H. Sims (bad pass),,13,19
98,1,1:09.0,,Turnover by M. Williams (bad pass),13,19
99,1,0:54.0,H. Thompson makes 3-pt jump shot from 26 ft (assist by J. Sampson),,16,19
100,1,0:45.0,,M. Williams misses 3-pt jump shot from 27 ft,16,19
101,1,0:44.0,Defensive rebound by L. Mbah a Moute,,16,19
102,1,0:33.0,H. Sims misses 2-pt jump shot from 18 ft,,16,19
103,1,0:32.0,,Defensive rebound by N. Vonleh,16,19
104,1,0:23.0,,P. Hairston misses 2-pt jump shot from 17 ft,16,19
105,1,0:21.0,Defensive rebound by Team,,16,19
106,1,0:01.0,H. Sims misses 2-pt layup from 1 ft (block by B. Biyombo),,16,19
107,1,0:00.0,Offensive rebound by Team,,16,19
108,2,11:49.0,Shooting foul by L. Stephenson (drawn by H. Thompson),,16,19
109,2,11:49.0,H. Thompson makes free throw 1 of 3,,17,19
110,2,11:49.0,H. Thompson makes free throw 2 of 3,,18,19
111,2,11:49.0,H. Thompson makes free throw 3 of 3,,19,19
112,2,11:27.0,,P. Hairston misses 3-pt jump shot from 26 ft,19,19
113,2,11:24.0,Defensive rebound by G. Robinson,,19,19
114,2,11:19.0,J. Sampson misses 3-pt jump shot from 27 ft,,19,19
115,2,11:16.0,Offensive rebound by H. Sims,,19,19
116,2,11:05.0,J. Sampson makes 2-pt layup from 2 ft,,21,19
117,2,10:53.0,,Turnover by L. Stephenson (traveling),21,19
118,2,10:33.0,H. Thompson misses 3-pt jump shot from 26 ft,,21,19
119,2,10:31.0,,Defensive rebound by N. Vonleh,21,19
120,2,10:15.0,,L. Stephenson misses 2-pt jump shot from 20 ft,21,19
121,2,10:12.0,Defensive rebound by J. Sampson,,21,19
122,2,10:05.0,Shooting foul by N. Vonleh (drawn by L. Mbah a Moute),,21,19
123,2,10:05.0,L. Mbah a Moute makes free throw 1 of 2,,22,19
124,2,10:05.0,N. Noel enters the game for H. Sims,,22,19
