,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,ATLANTA_ACTION,CLEVELAND_SCORE,ATLANTA_SCORE
0,1,11:37.0,,K. Korver misses 3-pt jump shot from 23 ft,0,0
1,1,11:36.0,Defensive rebound by K. Irving,,0,0
2,1,11:19.0,K. Love misses 2-pt jump shot from 16 ft,,0,0
3,1,11:18.0,,Defensive rebound by D. Carroll,0,0
4,1,11:02.0,,P. Millsap misses 2-pt jump shot from 8 ft,0,0
5,1,11:01.0,Defensive rebound by T. Thompson,,0,0
6,1,10:52.0,K. Irving misses 2-pt layup from 1 ft,,0,0
7,1,10:52.0,Offensive rebound by T. Thompson,,0,0
8,1,10:41.0,M. Dellavedova misses 3-pt jump shot from 22 ft,,0,0
9,1,10:40.0,,Defensive rebound by K. Korver,0,0
10,1,10:34.0,,P. Antić makes 3-pt jump shot from 24 ft (assist by J. Teague),0,3
11,1,10:06.0,Turnover by Team (shot clock),,0,3
12,1,9:55.0,,Turnover by K. Korver (bad pass),0,3
13,1,9:36.0,Turnover by T. Thompson (3 sec),,0,3
14,1,9:14.0,,D. Carroll makes 2-pt jump shot from 6 ft (assist by P. Antić),0,5
15,1,9:02.0,K. Love misses 2-pt jump shot from 21 ft,,0,5
16,1,9:01.0,,Defensive rebound by D. Carroll,0,5
17,1,8:53.0,,P. Millsap misses 2-pt jump shot from 13 ft,0,5
18,1,8:52.0,Defensive rebound by T. Thompson,,0,5
19,1,8:44.0,Shooting foul by D. Carroll (drawn by K. Irving),,0,5
20,1,8:44.0,K. Irving makes 3-pt jump shot from 24 ft,,3,5
21,1,8:44.0,K. Irving makes free throw 1 of 1,,4,5
22,1,8:36.0,,Personal foul by M. Miller (drawn by P. Antić),4,5
23,1,8:28.0,,P. Antić misses 3-pt jump shot from 24 ft,4,5
24,1,8:27.0,Defensive rebound by M. Miller,,4,5
25,1,8:21.0,T. Thompson makes 2-pt dunk at rim (assist by K. Irving),,6,5
26,1,7:57.0,,P. Millsap misses 2-pt jump shot from 10 ft,6,5
27,1,7:55.0,Defensive rebound by Team,,6,5
28,1,7:43.0,T. Thompson misses 2-pt jump shot from 4 ft,,6,5
29,1,7:43.0,Offensive rebound by K. Irving,,6,5
30,1,7:43.0,K. Irving makes 2-pt layup at rim,,8,5
31,1,7:43.0,Shooting foul by D. Carroll (drawn by K. Irving),,8,5
32,1,7:43.0,,T. Sefolosha enters the game for D. Carroll,8,5
33,1,7:43.0,K. Irving makes free throw 1 of 1,,9,5
34,1,7:34.0,,T. Sefolosha misses 3-pt jump shot from 23 ft,9,5
35,1,7:33.0,Defensive rebound by Team,,9,5
36,1,7:18.0,M. Dellavedova makes 3-pt jump shot from 24 ft (assist by M. Miller),,12,5
37,1,7:17.0,,Atlanta full timeout,12,5
38,1,7:00.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by P. Millsap),12,8
39,1,6:43.0,Shooting foul by P. Millsap (drawn by K. Love),,12,8
40,1,6:43.0,K. Love makes free throw 1 of 2,,13,8
41,1,6:43.0,K. Love makes free throw 2 of 2,,14,8
42,1,6:34.0,,Personal foul by M. Dellavedova (drawn by K. Korver),14,8
43,1,6:31.0,,J. Teague makes 2-pt layup from 2 ft (assist by T. Sefolosha),14,10
44,1,6:14.0,Turnover by K. Irving (lost ball),,14,10
45,1,5:52.0,,P. Antić makes 2-pt layup from 2 ft (assist by J. Teague),14,12
46,1,5:36.0,K. Love misses 2-pt jump shot from 23 ft,,14,12
47,1,5:34.0,,Defensive rebound by K. Korver,14,12
48,1,5:22.0,,P. Millsap makes 2-pt layup from 1 ft (assist by J. Teague),14,14
49,1,5:15.0,Cleveland full timeout,,14,14
50,1,5:15.0,,E. Brand enters the game for P. Antić,14,14
51,1,5:15.0,D. Waiters enters the game for M. Dellavedova,,14,14
52,1,5:06.0,K. Irving makes 2-pt layup from 1 ft,,16,14
53,1,4:42.0,,P. Millsap misses 2-pt jump shot from 12 ft,16,14
54,1,4:42.0,Defensive rebound by Team,,16,14
55,1,4:42.0,J. Harris enters the game for M. Miller,,16,14
56,1,4:30.0,D. Waiters makes 3-pt jump shot from 22 ft (assist by K. Irving),,19,14
57,1,4:20.0,,J. Teague misses 3-pt jump shot from 23 ft,19,14
58,1,4:18.0,Defensive rebound by K. Love,,19,14
59,1,4:08.0,J. Harris makes 3-pt jump shot from 24 ft (assist by K. Irving),,22,14
60,1,3:56.0,,J. Teague makes 3-pt jump shot from 24 ft,22,17
61,1,3:40.0,T. Thompson makes 2-pt dunk at rim (assist by K. Irving),,24,17
62,1,3:23.0,,E. Brand misses 2-pt jump shot from 16 ft,24,17
63,1,3:22.0,Defensive rebound by K. Love,,24,17
64,1,3:14.0,K. Irving misses 3-pt jump shot from 25 ft,,24,17
65,1,3:13.0,,Defensive rebound by K. Korver,24,17
66,1,3:06.0,,Shooting foul by D. Waiters (drawn by J. Teague),24,17
67,1,3:06.0,,J. Teague makes free throw 1 of 2,24,18
68,1,3:06.0,,M. Scott enters the game for P. Millsap,24,18
69,1,3:06.0,,D. Schröder enters the game for K. Korver,24,18
70,1,3:06.0,L. Amundson enters the game for K. Love,,24,18
71,1,3:06.0,,J. Teague misses free throw 2 of 2,24,18
72,1,3:05.0,Defensive rebound by J. Harris,,24,18
73,1,2:41.0,T. Thompson misses 2-pt jump shot from 16 ft,,24,18
74,1,2:39.0,,Defensive rebound by T. Sefolosha,24,18
75,1,2:32.0,,J. Teague makes 2-pt jump shot from 8 ft,24,20
76,1,2:10.0,J. Harris misses 3-pt jump shot from 22 ft,,24,20
77,1,2:09.0,Offensive rebound by L. Amundson,,24,20
78,1,2:02.0,Turnover by K. Irving (lost ball; steal by M. Scott),,24,20
79,1,1:58.0,,Turnover by T. Sefolosha (traveling),24,20
80,1,1:43.0,D. Waiters misses 2-pt jump shot from 17 ft,,24,20
81,1,1:41.0,,Defensive rebound by J. Teague,24,20
82,1,1:25.0,M. Dellavedova enters the game for K. Irving,,24,20
83,1,1:20.0,,Shooting foul by M. Dellavedova (drawn by J. Teague),24,20
84,1,1:20.0,,J. Teague makes free throw 1 of 2,24,21
85,1,1:20.0,A. Price enters the game for M. Dellavedova,,24,21
86,1,1:20.0,,J. Teague misses free throw 2 of 2,24,21
87,1,1:19.0,Defensive rebound by L. Amundson,,24,21
88,1,1:03.0,T. Thompson misses 2-pt jump shot from 14 ft,,24,21
89,1,1:02.0,Offensive rebound by L. Amundson,,24,21
90,1,0:59.0,J. Harris misses 2-pt jump shot from 13 ft,,24,21
91,1,0:58.0,Offensive rebound by T. Thompson,,24,21
