,QUARTER,TIME_REMAINING,TORONTO_ACTION,ORLANDO_ACTION,TORONTO_SCORE,ORLANDO_SCORE
0,1,11:43.0,D. DeRozan makes 2-pt jump shot from 19 ft (assist by K. Lowry),,2,0
1,1,11:19.0,,V. Oladipo misses 2-pt jump shot from 18 ft,2,0
2,1,11:17.0,Defensive rebound by T. Hansbrough,,2,0
3,1,11:07.0,T. Hansbrough misses 2-pt layup at rim,,2,0
4,1,11:04.0,,Defensive rebound by T. Harris,2,0
5,1,11:00.0,,Offensive foul by D. Dedmon (drawn by D. DeRozan),2,0
6,1,11:00.0,,Turnover by D. Dedmon (offensive foul),2,0
7,1,10:49.0,D. DeRozan misses 2-pt jump shot from 19 ft,,2,0
8,1,10:46.0,Offensive rebound by J. Valančiūnas,,2,0
9,1,10:41.0,K. Lowry misses 3-pt jump shot from 25 ft,,2,0
10,1,10:40.0,,Defensive rebound by D. Dedmon,2,0
11,1,10:35.0,,E. Payton misses 2-pt jump shot from 6 ft,2,0
12,1,10:34.0,Defensive rebound by J. Valančiūnas,,2,0
13,1,10:31.0,Turnover by K. Lowry (bad pass; steal by V. Oladipo),,2,0
14,1,10:19.0,,T. Harris misses 2-pt layup from 1 ft,2,0
15,1,10:17.0,Defensive rebound by J. Valančiūnas,,2,0
16,1,10:08.0,Turnover by T. Ross (bad pass; steal by T. Harris),,2,0
17,1,10:03.0,,V. Oladipo makes 2-pt layup at rim (assist by E. Payton),2,2
18,1,9:40.0,,Offensive charge foul by J. Valančiūnas (drawn by D. Dedmon),2,2
19,1,9:40.0,Turnover by J. Valančiūnas (offensive foul),,2,2
20,1,9:25.0,,Turnover by D. Dedmon (3 sec),2,2
21,1,9:11.0,Shooting foul by E. Payton (drawn by D. DeRozan),,2,2
22,1,9:11.0,D. DeRozan makes free throw 1 of 2,,3,2
23,1,9:11.0,D. DeRozan makes free throw 2 of 2,,4,2
24,1,9:04.0,,Personal foul by K. Lowry (drawn by E. Payton),4,2
25,1,8:59.0,,Turnover by N. Vučević (offensive foul),4,2
26,1,8:59.0,,Offensive foul by N. Vučević (drawn by T. Ross),4,2
27,1,8:39.0,T. Hansbrough misses 2-pt layup from 1 ft,,4,2
28,1,8:38.0,,Defensive rebound by D. Dedmon,4,2
29,1,8:19.0,,T. Harris misses 2-pt jump shot from 4 ft,4,2
30,1,8:18.0,Defensive rebound by J. Valančiūnas,,4,2
31,1,8:14.0,Turnover by J. Valančiūnas (bad pass; steal by E. Payton),,4,2
32,1,8:11.0,,T. Harris makes 2-pt layup at rim (assist by E. Payton),4,4
33,1,7:58.0,D. DeRozan makes 2-pt dunk at rim,,6,4
34,1,7:38.0,,N. Vučević misses 2-pt jump shot from 19 ft,6,4
35,1,7:37.0,Defensive rebound by J. Valančiūnas,,6,4
36,1,7:26.0,T. Ross makes 2-pt jump shot from 11 ft,,8,4
37,1,7:03.0,,N. Vučević misses 2-pt jump shot from 11 ft,8,4
38,1,7:02.0,Defensive rebound by J. Valančiūnas,,8,4
39,1,6:52.0,Offensive foul by J. Valančiūnas (drawn by T. Harris),,8,4
40,1,6:52.0,Turnover by J. Valančiūnas (offensive foul),,8,4
41,1,6:52.0,P. Patterson enters the game for J. Valančiūnas,,8,4
42,1,6:36.0,,E. Payton makes 2-pt jump shot from 4 ft,8,6
43,1,6:12.0,P. Patterson makes 3-pt jump shot from 24 ft (assist by T. Hansbrough),,11,6
44,1,5:52.0,,E. Payton misses 2-pt layup at rim,11,6
45,1,5:50.0,,Offensive rebound by D. Dedmon,11,6
46,1,5:48.0,,Turnover by D. Dedmon (lost ball; steal by P. Patterson),11,6
47,1,5:39.0,P. Patterson misses 3-pt jump shot from 25 ft,,11,6
48,1,5:38.0,,Defensive rebound by V. Oladipo,11,6
49,1,5:27.0,,Orlando full timeout,11,6
50,1,5:27.0,G. Vásquez enters the game for K. Lowry,,11,6
51,1,5:27.0,,A. Gordon enters the game for D. Dedmon,11,6
52,1,5:13.0,,V. Oladipo misses 2-pt jump shot from 19 ft,11,6
53,1,5:13.0,,Offensive rebound by Team,11,6
54,1,5:13.0,,Turnover by Team (shot clock),11,6
55,1,4:57.0,T. Ross makes 3-pt jump shot from 23 ft (assist by P. Patterson),,14,6
56,1,4:40.0,,N. Vučević makes 2-pt hook shot from 8 ft,14,8
57,1,4:21.0,T. Hansbrough misses 2-pt layup at rim,,14,8
58,1,4:19.0,Offensive rebound by T. Hansbrough,,14,8
59,1,4:19.0,T. Hansbrough misses 2-pt layup from 1 ft (block by N. Vučević),,14,8
60,1,4:19.0,Offensive rebound by Team,,14,8
61,1,4:15.0,D. DeRozan misses 2-pt jump shot from 17 ft,,14,8
62,1,4:14.0,,Defensive rebound by N. Vučević,14,8
63,1,4:02.0,,T. Harris misses 3-pt jump shot from 26 ft,14,8
64,1,4:00.0,Defensive rebound by T. Hansbrough,,14,8
