,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MEMPHIS_ACTION,CHICAGO_SCORE,MEMPHIS_SCORE
0,1,11:36.0,,Z. Randolph misses 2-pt jump shot from 15 ft,0,0
1,1,11:35.0,Defensive rebound by J. Butler,,0,0
2,1,11:16.0,K. Hinrich makes 2-pt jump shot from 22 ft (assist by J. Butler),,2,0
3,1,10:56.0,,C. Lee makes 2-pt jump shot from 17 ft,2,2
4,1,10:33.0,J. Noah makes 2-pt jump shot from 20 ft (assist by K. Hinrich),,4,2
5,1,10:20.0,,M. Gasol misses 2-pt jump shot from 18 ft,4,2
6,1,10:19.0,Defensive rebound by M. Dunleavy,,4,2
7,1,10:01.0,P. Gasol misses 2-pt jump shot from 13 ft,,4,2
8,1,10:01.0,,Defensive rebound by Team,4,2
9,1,10:01.0,Loose ball foul by J. Noah (drawn by Z. Randolph),,4,2
10,1,9:45.0,,T. Prince misses 2-pt jump shot from 6 ft,4,2
11,1,9:44.0,,Offensive rebound by T. Prince,4,2
12,1,9:42.0,,T. Prince misses 2-pt layup at rim,4,2
13,1,9:41.0,,Offensive rebound by Z. Randolph,4,2
14,1,9:41.0,,Z. Randolph misses 2-pt tip-in at rim,4,2
15,1,9:38.0,,Offensive rebound by M. Gasol,4,2
16,1,9:31.0,,M. Gasol misses 2-pt jump shot from 12 ft,4,2
17,1,9:30.0,Defensive rebound by J. Butler,,4,2
18,1,9:19.0,J. Noah makes 2-pt jump shot from 20 ft (assist by K. Hinrich),,6,2
19,1,9:00.0,,M. Conley makes 2-pt jump shot from 21 ft (assist by M. Gasol),6,4
20,1,8:41.0,J. Butler misses 3-pt jump shot from 25 ft,,6,4
21,1,8:40.0,,Defensive rebound by Z. Randolph,6,4
22,1,8:33.0,,M. Conley misses 3-pt jump shot from 25 ft,6,4
23,1,8:31.0,Defensive rebound by J. Noah,,6,4
24,1,8:16.0,K. Hinrich misses 2-pt jump shot from 20 ft,,6,4
25,1,8:15.0,,Defensive rebound by Z. Randolph,6,4
26,1,8:00.0,,Z. Randolph misses 2-pt layup from 1 ft,6,4
27,1,7:59.0,,Offensive rebound by Z. Randolph,6,4
28,1,7:59.0,,Z. Randolph makes 2-pt tip-in from 1 ft,6,6
29,1,7:39.0,P. Gasol makes 2-pt layup from 2 ft,,8,6
30,1,7:20.0,,Z. Randolph misses 2-pt jump shot from 3 ft,8,6
31,1,7:19.0,Defensive rebound by P. Gasol,,8,6
32,1,7:17.0,Personal foul by M. Conley (drawn by P. Gasol),,8,6
33,1,7:01.0,Shooting foul by Z. Randolph (drawn by K. Hinrich),,8,6
34,1,7:01.0,K. Hinrich makes free throw 1 of 2,,9,6
35,1,7:01.0,K. Hinrich misses free throw 2 of 2,,9,6
36,1,7:01.0,,Defensive rebound by M. Gasol,9,6
37,1,6:39.0,,T. Prince makes 2-pt jump shot from 14 ft (assist by C. Lee),9,8
38,1,6:22.0,P. Gasol makes 2-pt hook shot from 4 ft (assist by K. Hinrich),,11,8
39,1,6:11.0,,M. Gasol misses 2-pt jump shot from 11 ft,11,8
40,1,6:07.0,Defensive rebound by P. Gasol,,11,8
41,1,5:45.0,K. Hinrich misses 2-pt jump shot from 5 ft,,11,8
42,1,5:44.0,,Defensive rebound by M. Gasol,11,8
43,1,5:36.0,,M. Conley makes 2-pt layup from 2 ft,11,10
44,1,5:13.0,J. Butler misses 2-pt layup at rim,,11,10
45,1,5:09.0,,Defensive rebound by Z. Randolph,11,10
46,1,5:07.0,,M. Conley misses 2-pt layup from 1 ft (block by P. Gasol),11,10
47,1,5:04.0,,Offensive rebound by M. Gasol,11,10
48,1,5:00.0,,M. Gasol misses 2-pt jump shot from 5 ft,11,10
49,1,4:58.0,,Offensive rebound by Z. Randolph,11,10
50,1,4:50.0,,Turnover by M. Conley (bad pass; steal by J. Butler),11,10
51,1,4:46.0,J. Butler makes 2-pt layup at rim,,13,10
52,1,4:24.0,,T. Prince makes 2-pt jump shot from 19 ft (assist by Z. Randolph),13,12
53,1,3:57.0,K. Hinrich misses 2-pt jump shot from 16 ft,,13,12
54,1,3:56.0,Offensive rebound by P. Gasol,,13,12
55,1,3:52.0,K. Hinrich misses 3-pt jump shot from 23 ft,,13,12
56,1,3:51.0,,Defensive rebound by Z. Randolph,13,12
57,1,3:37.0,,M. Gasol makes 2-pt jump shot from 6 ft,13,14
58,1,3:25.0,Personal foul by M. Gasol (drawn by P. Gasol),,13,14
59,1,3:25.0,,Memphis full timeout,13,14
60,1,3:25.0,A. Brooks enters the game for K. Hinrich,,13,14
61,1,3:25.0,,B. Udrih enters the game for M. Conley,13,14
62,1,3:10.0,J. Butler misses 2-pt jump shot from 16 ft,,13,14
63,1,3:09.0,,Defensive rebound by M. Gasol,13,14
64,1,2:55.0,,C. Lee misses 3-pt jump shot from 24 ft,13,14
65,1,2:54.0,Defensive rebound by P. Gasol,,13,14
66,1,2:36.0,J. Noah misses 2-pt jump shot from 19 ft,,13,14
67,1,2:35.0,Offensive rebound by J. Butler,,13,14
68,1,2:29.0,Turnover by J. Noah (bad pass; steal by C. Lee),,13,14
69,1,2:12.0,,M. Gasol misses 2-pt jump shot from 17 ft,13,14
70,1,2:12.0,Defensive rebound by J. Noah,,13,14
71,1,2:02.0,Turnover by A. Brooks (bad pass; steal by M. Gasol),,13,14
72,1,1:54.0,,Shooting foul by P. Gasol (drawn by T. Prince),13,14
73,1,1:54.0,Chicago full timeout,,13,14
74,1,1:54.0,N. Mirotić enters the game for J. Noah,,13,14
75,1,1:54.0,,Q. Pondexter enters the game for Z. Randolph,13,14
76,1,1:54.0,,J. Leuer enters the game for C. Lee,13,14
77,1,1:54.0,,T. Prince makes free throw 1 of 2,13,15
78,1,1:54.0,,T. Prince makes free throw 2 of 2,13,16
79,1,1:38.0,Turnover by A. Brooks (bad pass),,13,16
80,1,1:25.0,,B. Udrih misses 2-pt jump shot from 16 ft,13,16
81,1,1:23.0,Defensive rebound by N. Mirotić,,13,16
82,1,1:09.0,M. Dunleavy makes 3-pt jump shot from 25 ft (assist by N. Mirotić),,16,16
83,1,1:01.0,,Personal foul by A. Brooks (drawn by B. Udrih),16,16
84,1,1:01.0,,B. Udrih makes free throw 1 of 2,16,17
85,1,1:01.0,,V. Carter enters the game for T. Prince,16,17
86,1,1:01.0,,B. Udrih makes free throw 2 of 2,16,18
87,1,0:42.0,P. Gasol misses 2-pt layup from 2 ft (block by M. Gasol),,16,18
88,1,0:41.0,Offensive rebound by J. Butler,,16,18
89,1,0:39.0,J. Butler makes 2-pt layup at rim,,18,18
90,1,0:32.0,,B. Udrih makes 2-pt jump shot from 16 ft,18,20
91,1,0:20.0,N. Mirotić misses 2-pt jump shot from 13 ft,,18,20
92,1,0:18.0,Offensive rebound by P. Gasol,,18,20
93,1,0:17.0,N. Mirotić makes 2-pt layup from 2 ft (assist by P. Gasol),,20,20
94,1,0:00.0,,V. Carter makes 2-pt jump shot from 21 ft (assist by J. Leuer),20,22
95,2,11:51.0,M. Dunleavy misses 3-pt jump shot from 26 ft,,20,22
96,2,11:50.0,,Defensive rebound by Q. Pondexter,20,22
97,2,11:42.0,,Personal foul by M. Dunleavy (drawn by V. Carter),20,22
98,2,11:42.0,T. Snell enters the game for M. Dunleavy,,20,22
99,2,11:36.0,,B. Udrih misses 2-pt jump shot from 8 ft,20,22
100,2,11:34.0,Defensive rebound by N. Mirotić,,20,22
101,2,11:27.0,Turnover by A. Brooks (bad pass; steal by B. Udrih),,20,22
102,2,11:14.0,,J. Leuer misses 2-pt hook shot from 7 ft,20,22
103,2,11:12.0,Defensive rebound by N. Mirotić,,20,22
104,2,10:58.0,T. Snell misses 3-pt jump shot from 25 ft,,20,22
105,2,10:57.0,Offensive rebound by J. Butler,,20,22
106,2,10:57.0,Shooting foul by V. Carter (drawn by J. Butler),,20,22
107,2,10:57.0,J. Butler makes free throw 1 of 2,,21,22
108,2,10:57.0,J. Butler makes free throw 2 of 2,,22,22
109,2,10:45.0,,V. Carter makes 2-pt dunk at rim,22,24
110,2,10:28.0,Shooting block foul by J. Leuer (drawn by J. Butler),,22,24
111,2,10:28.0,J. Butler makes free throw 1 of 2,,23,24
112,2,10:28.0,J. Butler makes free throw 2 of 2,,24,24
113,2,10:14.0,,V. Carter misses 2-pt jump shot from 19 ft,24,24
114,2,10:13.0,Defensive rebound by J. Butler,,24,24
115,2,10:04.0,J. Butler makes 2-pt jump shot from 19 ft (assist by J. Noah),,26,24
116,2,9:42.0,,Shooting foul by T. Snell (drawn by B. Udrih),26,24
117,2,9:42.0,,B. Udrih makes free throw 1 of 2,26,25
118,2,9:42.0,K. Hinrich enters the game for J. Butler,,26,25
119,2,9:42.0,,B. Udrih makes free throw 2 of 2,26,26
120,2,9:31.0,A. Brooks makes 2-pt jump shot from 6 ft,,28,26
