,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MIAMI_ACTION,OKLAHOMA CITY_SCORE,MIAMI_SCORE
0,1,11:38.0,R. Westbrook misses 2-pt jump shot from 12 ft,,0,0
1,1,11:37.0,,Defensive rebound by C. Bosh,0,0
2,1,11:23.0,,H. Whiteside makes 2-pt dunk at rim (assist by M. Chalmers),0,2
3,1,11:03.0,K. Durant misses 2-pt jump shot from 18 ft,,0,2
4,1,11:02.0,,Defensive rebound by C. Bosh,0,2
5,1,10:51.0,,H. Whiteside makes 2-pt jump shot from 3 ft (assist by D. Wade),0,4
6,1,10:35.0,Turnover by A. Roberson (bad pass; steal by C. Bosh),,0,4
7,1,10:25.0,,D. Wade misses 2-pt jump shot from 12 ft,0,4
8,1,10:24.0,Defensive rebound by K. Durant,,0,4
9,1,10:14.0,K. Durant makes 2-pt jump shot from 17 ft,,2,4
10,1,9:47.0,,Turnover by L. Deng (bad pass; steal by R. Westbrook),2,4
11,1,9:44.0,Turnover by S. Ibaka (lost ball),,2,4
12,1,9:39.0,,Turnover by M. Chalmers (bad pass; steal by A. Roberson),2,4
13,1,9:37.0,A. Roberson misses 2-pt layup from 1 ft,,2,4
14,1,9:36.0,Offensive rebound by R. Westbrook,,2,4
15,1,9:34.0,R. Westbrook makes 2-pt layup at rim,,4,4
16,1,9:10.0,,Turnover by D. Wade (bad pass; steal by R. Westbrook),4,4
17,1,9:05.0,S. Ibaka makes 2-pt dunk at rim (assist by K. Durant),,6,4
18,1,8:52.0,,Turnover by M. Chalmers (lost ball; steal by A. Roberson),6,4
19,1,8:52.0,Personal foul by M. Chalmers (drawn by A. Roberson),,6,4
20,1,8:39.0,S. Adams misses 2-pt layup from 1 ft,,6,4
21,1,8:38.0,,Defensive rebound by H. Whiteside,6,4
22,1,8:26.0,,Turnover by H. Whiteside (bad pass),6,4
23,1,8:26.0,,Loose ball foul by C. Bosh (drawn by S. Ibaka),6,4
24,1,8:17.0,S. Ibaka misses 2-pt jump shot from 20 ft,,6,4
25,1,8:16.0,,Defensive rebound by Team,6,4
26,1,8:16.0,Loose ball foul by S. Adams (drawn by H. Whiteside),,6,4
27,1,8:03.0,,L. Deng misses 2-pt jump shot from 19 ft,6,4
28,1,8:02.0,Defensive rebound by A. Roberson,,6,4
29,1,7:45.0,S. Ibaka misses 3-pt jump shot from 23 ft,,6,4
30,1,7:44.0,,Defensive rebound by L. Deng,6,4
31,1,7:32.0,,C. Bosh makes 2-pt jump shot from 16 ft,6,6
32,1,7:27.0,,Violation by L. Deng (kicked ball),6,6
33,1,7:20.0,K. Durant misses 3-pt jump shot from 24 ft,,6,6
34,1,7:19.0,,Defensive rebound by D. Wade,6,6
35,1,7:06.0,,H. Whiteside makes 2-pt dunk at rim (assist by D. Wade),6,8
36,1,6:41.0,R. Westbrook misses 2-pt jump shot from 16 ft,,6,8
37,1,6:40.0,Offensive rebound by R. Westbrook,,6,8
38,1,6:37.0,R. Westbrook misses 3-pt jump shot from 22 ft,,6,8
39,1,6:36.0,,Defensive rebound by Team,6,8
40,1,6:36.0,Loose ball foul by A. Roberson (drawn by H. Whiteside),,6,8
41,1,6:25.0,,Shooting foul by A. Roberson (drawn by D. Wade),6,8
42,1,6:25.0,,D. Wade misses free throw 1 of 2,6,8
43,1,6:25.0,,Offensive rebound by Team,6,8
44,1,6:25.0,D. Waiters enters the game for A. Roberson,,6,8
45,1,6:25.0,,D. Wade makes free throw 2 of 2,6,9
46,1,6:04.0,S. Adams makes 2-pt jump shot from 4 ft (assist by K. Durant),,8,9
