,QUARTER,TIME_REMAINING,MIAMI_ACTION,CHARLOTTE_ACTION,MIAMI_SCORE,CHARLOTTE_SCORE
0,1,11:47.0,D. Wade makes 2-pt jump shot from 17 ft,,2,0
1,1,11:28.0,,G. Henderson misses 2-pt jump shot from 18 ft,2,0
2,1,11:26.0,Defensive rebound by C. Bosh,,2,0
3,1,11:13.0,D. Wade misses 2-pt jump shot from 3 ft,,2,0
4,1,11:13.0,,Defensive rebound by Team,2,0
5,1,10:50.0,,K. Walker misses 3-pt jump shot from 25 ft,2,0
6,1,10:48.0,Defensive rebound by D. Granger,,2,0
7,1,10:37.0,C. Bosh misses 2-pt jump shot from 16 ft,,2,0
8,1,10:35.0,,Defensive rebound by M. Kidd-Gilchrist,2,0
9,1,10:28.0,,M. Kidd-Gilchrist misses 2-pt layup from 1 ft,2,0
10,1,10:28.0,,Offensive rebound by M. Kidd-Gilchrist,2,0
11,1,10:28.0,,Shooting foul by M. Chalmers (drawn by M. Kidd-Gilchrist),2,0
12,1,10:28.0,,M. Kidd-Gilchrist misses free throw 1 of 2,2,0
13,1,10:28.0,,Offensive rebound by Team,2,0
14,1,10:28.0,,M. Kidd-Gilchrist makes free throw 2 of 2,2,1
15,1,10:11.0,C. Andersen misses 2-pt layup from 1 ft (block by B. Biyombo),,2,1
16,1,10:09.0,Offensive rebound by M. Chalmers,,2,1
17,1,10:09.0,Shooting block foul by K. Walker (drawn by M. Chalmers),,2,1
18,1,10:09.0,M. Chalmers makes free throw 1 of 2,,3,1
19,1,10:09.0,M. Chalmers makes free throw 2 of 2,,4,1
20,1,9:54.0,,G. Henderson misses 2-pt jump shot from 14 ft,4,1
21,1,9:52.0,,Offensive rebound by B. Biyombo,4,1
22,1,9:52.0,,B. Biyombo misses 2-pt tip-in at rim,4,1
23,1,9:49.0,,Offensive rebound by M. Kidd-Gilchrist,4,1
24,1,9:46.0,,G. Henderson makes 2-pt layup from 1 ft (assist by M. Kidd-Gilchrist),4,3
25,1,9:24.0,C. Bosh misses 2-pt layup from 1 ft,,4,3
26,1,9:22.0,,Defensive rebound by G. Henderson,4,3
27,1,9:10.0,,Personal foul by C. Andersen (drawn by G. Henderson),4,3
28,1,9:05.0,,C. Zeller misses 2-pt jump shot from 18 ft,4,3
29,1,9:03.0,,Offensive rebound by B. Biyombo,4,3
30,1,8:58.0,,C. Zeller misses 2-pt jump shot from 14 ft,4,3
31,1,8:56.0,,Offensive rebound by Team,4,3
32,1,8:53.0,,K. Walker misses 2-pt jump shot from 17 ft,4,3
33,1,8:52.0,Defensive rebound by C. Bosh,,4,3
34,1,8:39.0,D. Granger misses 2-pt hook shot from 6 ft,,4,3
35,1,8:38.0,,Defensive rebound by G. Henderson,4,3
36,1,8:27.0,,Turnover by M. Kidd-Gilchrist (traveling),4,3
37,1,8:08.0,C. Andersen makes 2-pt dunk at rim (assist by M. Chalmers),,6,3
38,1,7:57.0,,G. Henderson makes 3-pt jump shot from 25 ft (assist by C. Zeller),6,6
39,1,7:40.0,M. Chalmers misses 2-pt layup from 1 ft,,6,6
40,1,7:39.0,,Defensive rebound by K. Walker,6,6
41,1,7:27.0,,K. Walker misses 2-pt jump shot from 18 ft,6,6
42,1,7:24.0,,Offensive rebound by C. Zeller,6,6
43,1,7:19.0,,K. Walker makes 2-pt layup at rim (assist by C. Zeller),6,8
44,1,6:56.0,S. Napier enters the game for M. Chalmers,,6,8
45,1,6:56.0,U. Haslem enters the game for C. Andersen,,6,8
46,1,6:53.0,D. Wade makes 2-pt jump shot from 15 ft (assist by S. Napier),,8,8
47,1,6:36.0,,G. Henderson misses 3-pt jump shot from 25 ft,8,8
48,1,6:35.0,Defensive rebound by C. Bosh,,8,8
49,1,6:22.0,,Offensive charge foul by C. Bosh (drawn by C. Zeller),8,8
50,1,6:22.0,Turnover by C. Bosh (offensive foul),,8,8
51,1,6:22.0,,B. Roberts enters the game for K. Walker,8,8
52,1,5:56.0,,G. Henderson misses 2-pt layup from 2 ft (block by C. Bosh),8,8
53,1,5:54.0,,Offensive rebound by B. Biyombo,8,8
54,1,5:54.0,,B. Biyombo makes 2-pt layup at rim,8,10
55,1,5:46.0,Miami full timeout,,8,10
56,1,5:40.0,D. Wade makes 2-pt jump shot from 5 ft,,10,10
57,1,5:40.0,Shooting foul by B. Biyombo (drawn by D. Wade),,10,10
58,1,5:40.0,D. Wade makes free throw 1 of 1,,11,10
59,1,5:21.0,,C. Zeller makes 2-pt layup from 1 ft (assist by B. Roberts),11,12
60,1,5:21.0,,Shooting foul by U. Haslem (drawn by C. Zeller),11,12
61,1,5:21.0,,L. Stephenson enters the game for G. Henderson,11,12
62,1,5:21.0,,C. Zeller makes free throw 1 of 1,11,13
63,1,5:11.0,C. Bosh misses 2-pt jump shot from 12 ft,,11,13
64,1,5:10.0,,Defensive rebound by C. Zeller,11,13
65,1,4:55.0,,Personal foul by D. Granger (drawn by B. Roberts),11,13
66,1,4:55.0,,M. Williams enters the game for C. Zeller,11,13
67,1,4:47.0,,M. Williams makes 2-pt jump shot from 19 ft (assist by L. Stephenson),11,15
68,1,4:26.0,S. Napier misses 3-pt jump shot from 25 ft,,11,15
69,1,4:25.0,,Defensive rebound by M. Kidd-Gilchrist,11,15
70,1,4:19.0,,M. Kidd-Gilchrist misses 2-pt layup at rim (block by D. Granger),11,15
71,1,4:17.0,Defensive rebound by S. Napier,,11,15
72,1,4:09.0,C. Bosh misses 3-pt jump shot from 25 ft,,11,15
73,1,4:08.0,,Defensive rebound by M. Kidd-Gilchrist,11,15
74,1,3:54.0,,L. Stephenson misses 2-pt layup from 1 ft,11,15
75,1,3:52.0,Defensive rebound by D. Wade,,11,15
76,1,3:43.0,U. Haslem misses 2-pt layup from 2 ft (block by B. Roberts),,11,15
77,1,3:42.0,Offensive rebound by D. Wade,,11,15
78,1,3:39.0,D. Wade misses 2-pt layup at rim,,11,15
79,1,3:38.0,,Defensive rebound by B. Biyombo,11,15
80,1,3:33.0,,A. Jefferson enters the game for B. Biyombo,11,15
81,1,3:33.0,S. Williams enters the game for C. Bosh,,11,15
82,1,3:33.0,M. Chalmers enters the game for D. Wade,,11,15
83,1,3:27.0,,M. Williams misses 2-pt jump shot from 17 ft,11,15
84,1,3:25.0,,Offensive rebound by M. Kidd-Gilchrist,11,15
85,1,3:19.0,,L. Stephenson makes 2-pt layup from 1 ft (assist by B. Roberts),11,17
86,1,2:56.0,Turnover by S. Napier (bad pass),,11,17
87,1,2:56.0,,Charlotte full timeout,11,17
88,1,2:56.0,,G. Neal enters the game for M. Kidd-Gilchrist,11,17
89,1,2:36.0,,L. Stephenson makes 2-pt layup from 2 ft (assist by A. Jefferson),11,19
90,1,2:21.0,M. Chalmers makes 2-pt jump shot from 11 ft,,13,19
91,1,2:02.0,,A. Jefferson makes 2-pt layup from 1 ft (assist by L. Stephenson),13,21
92,1,1:47.0,Shooting foul by A. Jefferson (drawn by M. Chalmers),,13,21
