,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CLEVELAND_ACTION,PHILADELPHIA_SCORE,CLEVELAND_SCORE
0,1,11:40.0,I. Smith misses 3-pt jump shot from 23 ft,,0,0
1,1,11:39.0,,Defensive rebound by J. Smith,0,0
2,1,11:23.0,,K. Love makes 2-pt hook shot from 7 ft (assist by L. James),0,2
3,1,11:23.0,,Shooting foul by N. Noel (drawn by K. Love),0,2
4,1,11:23.0,,K. Love misses free throw 1 of 1,0,2
5,1,11:22.0,Defensive rebound by N. Noel,,0,2
6,1,11:07.0,I. Smith misses 2-pt jump shot from 8 ft,,0,2
7,1,11:05.0,Offensive rebound by F. Aldemir,,0,2
8,1,11:05.0,F. Aldemir makes 2-pt tip-in at rim,,2,2
9,1,10:47.0,,K. Love misses 3-pt jump shot from 24 ft,2,2
10,1,10:46.0,,Offensive rebound by T. Mozgov,2,2
11,1,10:39.0,,Turnover by T. Mozgov (step out of bounds),2,2
12,1,10:26.0,,Violation by J. Smith (kicked ball),2,2
13,1,10:19.0,I. Smith misses 2-pt layup at rim,,2,2
14,1,10:18.0,,Defensive rebound by K. Irving,2,2
15,1,10:02.0,,L. James misses 2-pt layup from 1 ft,2,2
16,1,10:00.0,Defensive rebound by F. Aldemir,,2,2
17,1,9:54.0,R. Covington makes 3-pt jump shot from 25 ft,,5,2
18,1,9:42.0,,Personal foul by F. Aldemir (drawn by T. Mozgov),5,2
19,1,9:30.0,,J. Smith makes 3-pt jump shot from 23 ft (assist by K. Irving),5,5
20,1,9:06.0,Turnover by J. Grant (bad pass),,5,5
21,1,8:54.0,,Turnover by L. James (bad pass; steal by I. Smith),5,5
22,1,8:50.0,N. Noel makes 2-pt dunk at rim (assist by I. Smith),,7,5
23,1,8:33.0,,K. Irving makes 2-pt jump shot from 18 ft,7,7
24,1,8:19.0,N. Noel misses 2-pt layup at rim,,7,7
25,1,8:18.0,Offensive rebound by Team,,7,7
26,1,8:18.0,Turnover by N. Noel (traveling),,7,7
27,1,8:00.0,,L. James misses 2-pt hook shot from 10 ft,7,7
28,1,7:59.0,,Offensive rebound by K. Love,7,7
29,1,7:55.0,,J. Smith misses 3-pt jump shot from 25 ft,7,7
30,1,7:54.0,Defensive rebound by F. Aldemir,,7,7
31,1,7:47.0,N. Noel misses 2-pt jump shot from 13 ft,,7,7
32,1,7:46.0,,Defensive rebound by K. Love,7,7
33,1,7:36.0,,Personal foul by N. Noel (drawn by K. Irving),7,7
34,1,7:28.0,,L. James makes 2-pt dunk at rim,7,9
35,1,7:16.0,N. Noel makes 2-pt dunk at rim (assist by I. Smith),,9,9
36,1,7:00.0,,L. James makes 2-pt dunk at rim,9,11
37,1,6:42.0,N. Noel makes 2-pt jump shot from 14 ft,,11,11
38,1,6:20.0,,J. Smith makes 3-pt jump shot from 23 ft,11,14
39,1,6:08.0,I. Smith makes 2-pt jump shot from 8 ft,,13,14
40,1,5:53.0,,K. Irving makes 2-pt jump shot from 14 ft,13,16
41,1,5:52.0,Philadelphia full timeout,,13,16
42,1,5:35.0,R. Covington misses 3-pt jump shot from 28 ft,,13,16
43,1,5:34.0,Offensive rebound by I. Smith,,13,16
44,1,5:31.0,I. Smith misses 2-pt jump shot from 4 ft,,13,16
45,1,5:29.0,,Defensive rebound by K. Love,13,16
46,1,5:20.0,L. Mbah a Moute enters the game for J. Grant,,13,16
47,1,5:20.0,,I. Shumpert enters the game for L. James,13,16
48,1,5:13.0,,Turnover by K. Irving (lost ball; steal by F. Aldemir),13,16
49,1,5:06.0,R. Covington makes 3-pt jump shot from 24 ft (assist by I. Smith),,16,16
50,1,4:48.0,,K. Irving misses 2-pt jump shot from 6 ft,16,16
51,1,4:46.0,,Offensive rebound by K. Love,16,16
52,1,4:41.0,,T. Mozgov misses 2-pt jump shot from 4 ft,16,16
53,1,4:36.0,Defensive rebound by R. Covington,,16,16
54,1,4:27.0,R. Covington misses 2-pt jump shot from 6 ft (block by K. Love),,16,16
55,1,4:24.0,Offensive rebound by F. Aldemir,,16,16
56,1,4:11.0,L. Mbah a Moute makes 2-pt layup from 1 ft,,18,16
57,1,3:43.0,,I. Shumpert misses 2-pt jump shot from 19 ft,18,16
58,1,3:42.0,Defensive rebound by R. Covington,,18,16
59,1,3:28.0,Turnover by I. Smith (bad pass; steal by I. Shumpert),,18,16
60,1,3:19.0,,Turnover by K. Love (lost ball; steal by R. Covington),18,16
61,1,3:11.0,I. Smith makes 2-pt layup from 2 ft (assist by R. Covington),,20,16
62,1,2:43.0,,I. Shumpert misses 2-pt jump shot from 4 ft,20,16
63,1,2:41.0,,Offensive rebound by T. Mozgov,20,16
64,1,2:41.0,,T. Mozgov makes 2-pt dunk at rim,20,18
65,1,2:38.0,Turnover by I. Smith (bad pass),,20,18
66,1,2:38.0,,Cleveland full timeout,20,18
67,1,2:38.0,J. Sampson enters the game for N. Noel,,20,18
68,1,2:38.0,H. Thompson enters the game for F. Aldemir,,20,18
69,1,2:38.0,I. Canaan enters the game for R. Covington,,20,18
70,1,2:38.0,H. Sims enters the game for I. Smith,,20,18
71,1,2:38.0,,T. Thompson enters the game for T. Mozgov,20,18
72,1,2:19.0,,Turnover by K. Love (lost ball; steal by L. Mbah a Moute),20,18
73,1,2:11.0,L. Mbah a Moute misses 3-pt jump shot from 25 ft,,20,18
74,1,2:10.0,,Defensive rebound by T. Thompson,20,18
75,1,2:04.0,,I. Shumpert makes 3-pt jump shot from 28 ft (assist by K. Irving),20,21
76,1,1:46.0,L. Mbah a Moute misses 2-pt layup from 1 ft,,20,21
77,1,1:45.0,,Defensive rebound by K. Love,20,21
78,1,1:37.0,,J. Smith misses 2-pt jump shot from 19 ft,20,21
79,1,1:35.0,,Offensive rebound by T. Thompson,20,21
80,1,1:35.0,,T. Thompson misses 2-pt tip-in at rim,20,21
81,1,1:33.0,Defensive rebound by L. Mbah a Moute,,20,21
82,1,1:21.0,L. Mbah a Moute misses 3-pt jump shot from 25 ft,,20,21
83,1,1:20.0,,Defensive rebound by Team,20,21
84,1,1:19.0,,M. Dellavedova enters the game for K. Irving,20,21
85,1,1:19.0,,L. James enters the game for J. Smith,20,21
86,1,1:00.0,,K. Love misses 2-pt layup at rim,20,21
87,1,1:00.0,,Offensive rebound by K. Love,20,21
88,1,1:00.0,,K. Love makes 2-pt tip-in at rim,20,23
89,1,0:45.0,L. Mbah a Moute misses 2-pt jump shot from 17 ft,,20,23
90,1,0:44.0,,Defensive rebound by M. Dellavedova,20,23
91,1,0:37.0,,I. Shumpert makes 3-pt jump shot from 26 ft (assist by L. James),20,26
92,1,0:22.0,I. Canaan misses 2-pt jump shot from 18 ft,,20,26
93,1,0:21.0,,Defensive rebound by T. Thompson,20,26
94,1,0:00.0,,I. Shumpert misses 2-pt jump shot from 19 ft,20,26
95,1,0:00.0,,Offensive rebound by Team,20,26
96,2,11:44.0,,L. James misses 2-pt jump shot from 14 ft,20,26
97,2,11:43.0,Defensive rebound by J. Sampson,,20,26
98,2,11:32.0,J. Sampson makes 2-pt dunk at rim (assist by I. Canaan),,22,26
99,2,11:15.0,,I. Shumpert misses 2-pt layup from 3 ft,22,26
100,2,11:13.0,Defensive rebound by L. Mbah a Moute,,22,26
101,2,11:09.0,Turnover by I. Canaan (lost ball; steal by I. Shumpert),,22,26
102,2,11:04.0,,Turnover by T. Thompson (bad pass; steal by L. Mbah a Moute),22,26
103,2,10:59.0,I. Canaan misses 3-pt jump shot from 28 ft,,22,26
104,2,10:58.0,,Defensive rebound by L. James,22,26
105,2,10:40.0,,Shooting foul by I. Canaan (drawn by L. James),22,26
106,2,10:40.0,,L. James misses free throw 1 of 2,22,26
107,2,10:40.0,,Offensive rebound by Team,22,26
108,2,10:40.0,,L. James makes free throw 2 of 2,22,27
109,2,10:26.0,J. Sampson misses 2-pt jump shot from 4 ft,,22,27
110,2,10:26.0,,Defensive rebound by Team,22,27
111,2,10:13.0,,T. Thompson makes 2-pt dunk at rim (assist by M. Dellavedova),22,29
112,2,9:56.0,Shooting foul by J. Jones (drawn by L. Mbah a Moute),,22,29
113,2,9:56.0,L. Mbah a Moute makes free throw 1 of 2,,23,29
114,2,9:56.0,L. Mbah a Moute makes free throw 2 of 2,,24,29
115,2,9:37.0,,J. Jones misses 3-pt jump shot from 25 ft,24,29
116,2,9:35.0,Defensive rebound by L. Mbah a Moute,,24,29
117,2,9:27.0,J. Sampson misses 2-pt jump shot from 5 ft,,24,29
118,2,9:26.0,,Defensive rebound by T. Thompson,24,29
119,2,9:21.0,,T. Thompson makes 2-pt dunk at rim (assist by M. Dellavedova),24,31
120,2,9:21.0,Philadelphia full timeout,,24,31
121,2,9:21.0,F. Aldemir enters the game for H. Sims,,24,31
122,2,9:08.0,I. Canaan makes 2-pt layup at rim,,26,31
123,2,8:54.0,,Shooting foul by H. Thompson (drawn by L. James),26,31
124,2,8:54.0,,L. James makes free throw 1 of 2,26,32
125,2,8:54.0,N. Noel enters the game for L. Mbah a Moute,,26,32
126,2,8:54.0,,L. James misses free throw 2 of 2,26,32
127,2,8:53.0,Defensive rebound by H. Thompson,,26,32
128,2,8:33.0,H. Thompson makes 3-pt jump shot from 23 ft (assist by I. Canaan),,29,32
129,2,8:09.0,,L. James makes 3-pt jump shot from 22 ft,29,35
130,2,7:52.0,H. Thompson makes 2-pt jump shot from 6 ft (assist by N. Noel),,31,35
131,2,7:46.0,,Personal foul by J. Sampson (drawn by J. Jones),31,35
