,QUARTER,TIME_REMAINING,DALLAS_ACTION,CLEVELAND_ACTION,DALLAS_SCORE,CLEVELAND_SCORE
0,1,11:45.0,,T. Thompson misses 2-pt layup at rim,0,0
1,1,11:43.0,Defensive rebound by R. Rondo,,0,0
2,1,11:26.0,D. Nowitzki makes 2-pt jump shot from 14 ft,,2,0
3,1,11:07.0,,Turnover by K. Love (bad pass),2,0
4,1,10:52.0,M. Ellis makes 2-pt layup at rim (assist by D. Nowitzki),,4,0
5,1,10:40.0,,K. Irving misses 2-pt jump shot from 18 ft,4,0
6,1,10:39.0,Defensive rebound by D. Nowitzki,,4,0
7,1,10:28.0,M. Ellis misses 2-pt layup at rim,,4,0
8,1,10:25.0,,Defensive rebound by K. Irving,4,0
9,1,10:12.0,,M. Dellavedova makes 3-pt jump shot from 24 ft (assist by K. Love),4,3
10,1,9:51.0,D. Nowitzki makes 2-pt jump shot from 15 ft,,6,3
11,1,9:30.0,,M. Dellavedova misses 2-pt jump shot from 20 ft,6,3
12,1,9:29.0,,Offensive rebound by K. Love,6,3
13,1,9:25.0,,K. Love misses 2-pt layup at rim (block by D. Nowitzki),6,3
14,1,9:24.0,,Offensive rebound by K. Love,6,3
15,1,9:24.0,,K. Love makes 2-pt layup at rim,6,5
16,1,9:03.0,D. Nowitzki misses 2-pt jump shot from 10 ft,,6,5
17,1,9:02.0,,Defensive rebound by K. Irving,6,5
18,1,8:55.0,,M. Miller misses 3-pt jump shot from 24 ft,6,5
19,1,8:53.0,Defensive rebound by M. Ellis,,6,5
20,1,8:44.0,C. Parsons misses 3-pt jump shot from 24 ft,,6,5
21,1,8:43.0,Offensive rebound by C. Parsons,,6,5
22,1,8:23.0,C. Parsons misses 2-pt jump shot from 17 ft,,6,5
23,1,8:23.0,,Defensive rebound by Team,6,5
24,1,8:09.0,,T. Thompson makes 2-pt dunk at rim (assist by K. Irving),6,7
25,1,7:44.0,Shooting foul by M. Miller (drawn by T. Chandler),,6,7
26,1,7:44.0,T. Chandler makes free throw 1 of 2,,7,7
27,1,7:44.0,R. Jefferson enters the game for D. Nowitzki,,7,7
28,1,7:44.0,T. Chandler makes free throw 2 of 2,,8,7
29,1,7:29.0,,M. Dellavedova misses 2-pt jump shot from 13 ft,8,7
30,1,7:26.0,,Offensive rebound by K. Love,8,7
31,1,7:25.0,,K. Love makes 2-pt dunk at rim,8,9
32,1,7:10.0,R. Rondo misses 3-pt jump shot from 24 ft,,8,9
33,1,7:10.0,Offensive rebound by T. Chandler,,8,9
34,1,6:56.0,M. Ellis misses 3-pt jump shot from 27 ft,,8,9
35,1,6:55.0,,Defensive rebound by K. Love,8,9
36,1,6:46.0,,K. Love misses 3-pt jump shot from 25 ft,8,9
37,1,6:45.0,Defensive rebound by T. Chandler,,8,9
38,1,6:32.0,M. Ellis makes 2-pt layup at rim (assist by T. Chandler),,10,9
39,1,6:16.0,,Personal foul by R. Jefferson (drawn by T. Thompson),10,9
40,1,6:16.0,D. Harris enters the game for R. Rondo,,10,9
41,1,6:09.0,,K. Love makes 2-pt hook shot from 10 ft,10,11
42,1,5:55.0,C. Parsons makes 2-pt layup at rim (assist by R. Jefferson),,12,11
43,1,5:45.0,,Turnover by K. Irving (lost ball),12,11
44,1,5:45.0,,Cleveland full timeout,12,11
45,1,5:45.0,,D. Waiters enters the game for M. Dellavedova,12,11
46,1,5:31.0,C. Parsons makes 3-pt jump shot from 25 ft (assist by M. Ellis),,15,11
47,1,5:07.0,,K. Love makes 2-pt layup at rim (assist by M. Miller),15,13
48,1,4:57.0,T. Chandler makes 2-pt layup at rim (assist by M. Ellis),,17,13
49,1,4:41.0,,D. Waiters misses 2-pt jump shot from 6 ft,17,13
50,1,4:38.0,,Offensive rebound by T. Thompson,17,13
51,1,4:35.0,,K. Love makes 2-pt jump shot from 20 ft (assist by T. Thompson),17,15
52,1,4:19.0,M. Ellis misses 2-pt jump shot from 13 ft,,17,15
53,1,4:18.0,Offensive rebound by Team,,17,15
54,1,4:18.0,G. Smith enters the game for T. Chandler,,17,15
55,1,4:18.0,,S. Marion enters the game for M. Miller,17,15
56,1,4:13.0,C. Parsons misses 3-pt jump shot from 22 ft,,17,15
57,1,4:12.0,,Defensive rebound by K. Love,17,15
58,1,4:02.0,,K. Irving misses 2-pt jump shot from 16 ft,17,15
59,1,4:01.0,Defensive rebound by R. Jefferson,,17,15
60,1,3:50.0,Turnover by D. Harris (bad pass; steal by K. Irving),,17,15
61,1,3:44.0,,K. Irving misses 2-pt layup from 1 ft (block by D. Harris),17,15
62,1,3:42.0,,Offensive rebound by Team,17,15
63,1,3:32.0,,K. Irving makes 2-pt layup from 1 ft (assist by D. Waiters),17,17
64,1,3:14.0,Shooting foul by S. Marion (drawn by M. Ellis),,17,17
65,1,3:14.0,M. Ellis makes free throw 1 of 2,,18,17
66,1,3:14.0,,M. Dellavedova enters the game for K. Love,18,17
67,1,3:14.0,M. Ellis makes free throw 2 of 2,,19,17
