,QUARTER,TIME_REMAINING,CHICAGO_ACTION,NEW ORLEANS_ACTION,CHICAGO_SCORE,NEW ORLEANS_SCORE
0,1,11:44.0,P. Gasol misses 2-pt jump shot from 17 ft,,0,0
1,1,11:42.0,,Defensive rebound by A. Davis,0,0
2,1,11:29.0,,Personal foul by J. Noah (drawn by A. Davis),0,0
3,1,11:20.0,,Ö. Aşık misses 2-pt jump shot from 3 ft (block by P. Gasol),0,0
4,1,11:19.0,,Offensive rebound by D. Cunningham,0,0
5,1,11:14.0,,A. Davis misses 2-pt jump shot from 21 ft,0,0
6,1,11:13.0,Defensive rebound by J. Butler,,0,0
7,1,11:02.0,J. Butler misses 2-pt jump shot from 17 ft,,0,0
8,1,11:00.0,,Defensive rebound by E. Gordon,0,0
9,1,10:52.0,,T. Evans misses 2-pt layup from 1 ft,0,0
10,1,10:50.0,,Offensive rebound by Ö. Aşık,0,0
11,1,10:48.0,,Ö. Aşık misses 2-pt jump shot from 3 ft,0,0
12,1,10:48.0,,Offensive rebound by A. Davis,0,0
13,1,10:47.0,,A. Davis misses 2-pt tip-in at rim,0,0
14,1,10:47.0,Defensive rebound by P. Gasol,,0,0
15,1,10:42.0,J. Butler misses 3-pt jump shot from 23 ft,,0,0
16,1,10:39.0,,Defensive rebound by T. Evans,0,0
17,1,10:30.0,,A. Davis misses 2-pt jump shot from 6 ft,0,0
18,1,10:29.0,Defensive rebound by K. Hinrich,,0,0
19,1,10:14.0,D. Rose makes 3-pt jump shot from 25 ft (assist by P. Gasol),,3,0
20,1,9:53.0,,E. Gordon misses 2-pt jump shot from 9 ft,3,0
21,1,9:52.0,Defensive rebound by J. Noah,,3,0
22,1,9:40.0,D. Rose makes 2-pt layup from 1 ft,,5,0
23,1,9:13.0,,A. Davis misses 2-pt jump shot from 17 ft,5,0
24,1,9:11.0,Defensive rebound by P. Gasol,,5,0
25,1,9:00.0,Turnover by P. Gasol (bad pass; steal by D. Cunningham),,5,0
26,1,8:56.0,,Turnover by T. Evans (lost ball; steal by K. Hinrich),5,0
27,1,8:38.0,P. Gasol misses 2-pt jump shot from 5 ft,,5,0
28,1,8:37.0,,Defensive rebound by Ö. Aşık,5,0
29,1,8:31.0,,T. Evans makes 2-pt layup from 2 ft,5,2
30,1,8:10.0,J. Butler misses 2-pt layup at rim (block by D. Cunningham),,5,2
31,1,8:09.0,,Defensive rebound by Ö. Aşık,5,2
32,1,7:58.0,,A. Davis misses 2-pt jump shot from 7 ft,5,2
33,1,7:57.0,Defensive rebound by P. Gasol,,5,2
34,1,7:47.0,J. Noah misses 2-pt jump shot from 17 ft,,5,2
35,1,7:45.0,,Defensive rebound by E. Gordon,5,2
36,1,7:37.0,,Ö. Aşık makes 2-pt layup from 1 ft (assist by E. Gordon),5,4
37,1,7:12.0,D. Rose misses 2-pt jump shot from 18 ft,,5,4
38,1,7:11.0,,Defensive rebound by A. Davis,5,4
39,1,7:00.0,,E. Gordon misses 3-pt jump shot from 24 ft,5,4
40,1,6:58.0,Defensive rebound by J. Noah,,5,4
41,1,6:47.0,Turnover by D. Rose (bad pass; steal by A. Davis),,5,4
42,1,6:41.0,,T. Evans makes 2-pt layup from 1 ft (assist by Ö. Aşık),5,6
43,1,6:30.0,K. Hinrich misses 3-pt jump shot from 24 ft,,5,6
44,1,6:25.0,Offensive rebound by P. Gasol,,5,6
45,1,6:25.0,P. Gasol makes 2-pt layup from 2 ft,,7,6
46,1,6:10.0,,Ö. Aşık makes 2-pt dunk at rim (assist by E. Gordon),7,8
47,1,5:45.0,J. Butler misses 3-pt jump shot from 26 ft,,7,8
48,1,5:40.0,Offensive rebound by P. Gasol,,7,8
49,1,5:40.0,P. Gasol misses 2-pt layup from 2 ft,,7,8
50,1,5:40.0,Offensive rebound by Team,,7,8
51,1,5:40.0,,New Orleans full timeout,7,8
52,1,5:30.0,J. Butler misses 2-pt jump shot from 10 ft,,7,8
53,1,5:29.0,,Defensive rebound by T. Evans,7,8
54,1,5:12.0,,A. Davis makes 2-pt jump shot from 12 ft,7,10
55,1,4:54.0,P. Gasol misses 2-pt jump shot from 18 ft,,7,10
56,1,4:52.0,,Defensive rebound by A. Davis,7,10
57,1,4:46.0,,A. Davis misses 2-pt layup from 2 ft,7,10
58,1,4:44.0,Defensive rebound by K. Hinrich,,7,10
59,1,4:40.0,Turnover by J. Butler (bad pass; steal by D. Cunningham),,7,10
60,1,4:34.0,,T. Evans makes 2-pt layup from 1 ft (assist by D. Cunningham),7,12
61,1,4:21.0,D. Rose makes 2-pt jump shot from 19 ft,,9,12
62,1,3:53.0,,T. Evans makes 2-pt layup from 2 ft,9,14
63,1,3:32.0,K. Hinrich makes 2-pt jump shot from 22 ft (assist by J. Butler),,11,14
64,1,3:15.0,,Turnover by E. Gordon (bad pass),11,14
65,1,3:15.0,,R. Anderson enters the game for Ö. Aşık,11,14
66,1,3:15.0,,Q. Pondexter enters the game for D. Cunningham,11,14
67,1,3:15.0,T. Gibson enters the game for J. Noah,,11,14
68,1,3:03.0,K. Hinrich misses 2-pt layup from 2 ft (block by T. Evans),,11,14
69,1,3:03.0,Offensive rebound by Team,,11,14
70,1,3:03.0,,J. Fredette enters the game for T. Evans,11,14
71,1,3:01.0,D. Rose misses 2-pt jump shot from 15 ft,,11,14
72,1,2:58.0,,Defensive rebound by J. Fredette,11,14
73,1,2:42.0,,A. Davis makes 2-pt layup from 2 ft,11,16
74,1,2:16.0,P. Gasol misses 2-pt jump shot from 4 ft,,11,16
75,1,2:15.0,Offensive rebound by P. Gasol,,11,16
76,1,2:13.0,P. Gasol makes 2-pt layup from 2 ft,,13,16
77,1,2:06.0,,New Orleans full timeout,13,16
78,1,2:06.0,Chicago full timeout,,13,16
79,1,2:06.0,A. Brooks enters the game for D. Rose,,13,16
80,1,2:06.0,T. Snell enters the game for K. Hinrich,,13,16
81,1,1:58.0,,A. Davis makes 2-pt layup from 2 ft,13,18
82,1,1:35.0,Shooting foul by Q. Pondexter (drawn by J. Butler),,13,18
83,1,1:35.0,J. Butler makes free throw 1 of 2,,14,18
84,1,1:35.0,,A. Ajinça enters the game for A. Davis,14,18
85,1,1:35.0,J. Butler makes free throw 2 of 2,,15,18
86,1,1:20.0,,A. Ajinça makes 2-pt layup from 1 ft (assist by E. Gordon),15,20
87,1,1:04.0,P. Gasol makes 2-pt hook shot from 5 ft,,17,20
88,1,0:47.0,,E. Gordon misses 2-pt jump shot from 5 ft,17,20
89,1,0:47.0,Defensive rebound by Team,,17,20
90,1,0:47.0,,Loose ball foul by A. Ajinça (drawn by P. Gasol),17,20
91,1,0:47.0,P. Gasol makes free throw 1 of 2,,18,20
92,1,0:47.0,P. Gasol misses free throw 2 of 2,,18,20
93,1,0:46.0,,Defensive rebound by R. Anderson,18,20
94,1,0:34.0,,A. Ajinça misses 2-pt jump shot from 9 ft,18,20
95,1,0:33.0,,Offensive rebound by A. Ajinça,18,20
96,1,0:19.0,,R. Anderson misses 3-pt jump shot from 26 ft,18,20
97,1,0:18.0,Defensive rebound by P. Gasol,,18,20
98,1,0:00.0,A. Brooks misses 2-pt jump shot from 20 ft,,18,20
99,1,0:00.0,Offensive rebound by Team,,18,20
100,2,11:46.0,,R. Anderson misses 2-pt jump shot from 8 ft (block by T. Gibson),18,20
101,2,11:44.0,,Offensive rebound by R. Anderson,18,20
102,2,11:44.0,,Shooting foul by T. Snell (drawn by R. Anderson),18,20
103,2,11:44.0,,R. Anderson makes free throw 1 of 2,18,21
104,2,11:44.0,,R. Anderson makes free throw 2 of 2,18,22
105,2,11:30.0,Turnover by A. Brooks (lost ball; steal by J. Fredette),,18,22
106,2,11:23.0,,E. Gordon misses 2-pt layup from 2 ft,18,22
107,2,11:22.0,,Offensive rebound by R. Anderson,18,22
108,2,11:07.0,,Q. Pondexter misses 3-pt jump shot from 25 ft,18,22
109,2,11:06.0,Defensive rebound by J. Noah,,18,22
110,2,11:01.0,A. Brooks misses 3-pt jump shot from 24 ft,,18,22
111,2,10:59.0,,Defensive rebound by R. Anderson,18,22
112,2,10:41.0,,Q. Pondexter makes 2-pt layup from 2 ft,18,24
113,2,10:17.0,T. Snell makes 3-pt jump shot from 26 ft (assist by J. Butler),,21,24
114,2,10:03.0,,R. Anderson misses 2-pt jump shot from 6 ft,21,24
115,2,9:57.0,Defensive rebound by J. Noah,,21,24
116,2,9:57.0,,T. Evans enters the game for E. Gordon,21,24
117,2,9:48.0,Turnover by A. Brooks (bad pass; steal by T. Evans),,21,24
118,2,9:31.0,,J. Fredette misses 2-pt jump shot from 17 ft,21,24
119,2,9:30.0,Defensive rebound by T. Gibson,,21,24
120,2,9:21.0,J. Butler misses 2-pt layup at rim (block by Q. Pondexter),,21,24
121,2,9:20.0,Offensive rebound by J. Butler,,21,24
122,2,9:15.0,T. Snell makes 3-pt jump shot from 23 ft (assist by J. Butler),,24,24
123,2,8:49.0,,R. Anderson misses 2-pt jump shot from 4 ft,24,24
124,2,8:48.0,,Offensive rebound by R. Anderson,24,24
125,2,8:48.0,Loose ball foul by J. Butler (drawn by R. Anderson),,24,24
126,2,8:48.0,Official timeout,,24,24
127,2,8:48.0,D. Rose enters the game for J. Butler,,24,24
128,2,8:48.0,,Ö. Aşık enters the game for A. Ajinça,24,24
