,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,LA LAKERS_ACTION,CHARLOTTE_SCORE,LA LAKERS_SCORE
0,1,11:46.0,A. Jefferson misses 2-pt jump shot from 8 ft,,0,0
1,1,11:45.0,,Defensive rebound by J. Hill,0,0
2,1,11:30.0,,Turnover by C. Boozer (lost ball; steal by M. Williams),0,0
3,1,11:19.0,M. Kidd-Gilchrist makes 2-pt jump shot from 11 ft,,2,0
4,1,11:09.0,,W. Johnson misses 2-pt jump shot from 21 ft,2,0
5,1,11:07.0,Defensive rebound by M. Kidd-Gilchrist,,2,0
6,1,10:59.0,Turnover by L. Stephenson (bad pass; steal by J. Lin),,2,0
7,1,10:53.0,,J. Hill makes 2-pt layup at rim (assist by J. Lin),2,2
8,1,10:35.0,A. Jefferson makes 2-pt hook shot from 2 ft,,4,2
9,1,10:27.0,,Offensive foul by J. Hill (drawn by M. Kidd-Gilchrist),4,2
10,1,10:27.0,,Turnover by J. Hill (offensive foul),4,2
11,1,10:13.0,A. Jefferson misses 2-pt jump shot from 10 ft,,4,2
12,1,10:11.0,,Defensive rebound by K. Bryant,4,2
13,1,10:04.0,,J. Lin misses 3-pt jump shot from 24 ft,4,2
14,1,10:03.0,Defensive rebound by A. Jefferson,,4,2
15,1,9:56.0,M. Kidd-Gilchrist misses 2-pt layup from 1 ft,,4,2
16,1,9:55.0,,Defensive rebound by Team,4,2
17,1,9:55.0,Loose ball foul by M. Kidd-Gilchrist (drawn by J. Hill),,4,2
18,1,9:43.0,,J. Hill misses 2-pt jump shot from 17 ft,4,2
19,1,9:41.0,Defensive rebound by K. Walker,,4,2
20,1,9:28.0,L. Stephenson makes 2-pt jump shot from 19 ft (assist by A. Jefferson),,6,2
21,1,9:07.0,,W. Johnson misses 2-pt jump shot from 14 ft,6,2
22,1,9:06.0,Defensive rebound by A. Jefferson,,6,2
23,1,8:52.0,A. Jefferson misses 2-pt jump shot from 4 ft,,6,2
24,1,8:50.0,,Defensive rebound by K. Bryant,6,2
25,1,8:44.0,,K. Bryant misses 2-pt jump shot from 20 ft,6,2
26,1,8:43.0,Defensive rebound by M. Williams,,6,2
27,1,8:31.0,L. Stephenson misses 2-pt layup from 2 ft,,6,2
28,1,8:29.0,Offensive rebound by K. Walker,,6,2
29,1,8:13.0,M. Kidd-Gilchrist misses 2-pt layup at rim,,6,2
30,1,8:12.0,,Defensive rebound by K. Bryant,6,2
31,1,8:06.0,,K. Bryant misses 3-pt jump shot from 25 ft,6,2
32,1,8:04.0,Defensive rebound by A. Jefferson,,6,2
33,1,7:40.0,L. Stephenson misses 3-pt jump shot from 25 ft,,6,2
34,1,7:38.0,Offensive rebound by M. Williams,,6,2
35,1,7:33.0,M. Williams makes 3-pt jump shot from 24 ft,,9,2
36,1,7:14.0,,K. Bryant makes 2-pt jump shot from 20 ft (assist by J. Hill),9,4
37,1,6:50.0,A. Jefferson makes 2-pt jump shot from 3 ft,,11,4
38,1,6:35.0,,J. Lin makes 2-pt layup at rim,11,6
39,1,6:22.0,Shooting foul by W. Johnson (drawn by A. Jefferson),,11,6
40,1,6:22.0,A. Jefferson misses free throw 1 of 2,,11,6
41,1,6:22.0,Offensive rebound by Team,,11,6
42,1,6:22.0,A. Jefferson makes free throw 2 of 2,,12,6
43,1,6:13.0,,J. Hill misses 2-pt jump shot from 12 ft,12,6
44,1,6:13.0,Defensive rebound by Team,,12,6
45,1,6:12.0,,Loose ball foul by C. Boozer (drawn by M. Williams),12,6
46,1,6:04.0,M. Williams makes 3-pt jump shot from 24 ft (assist by K. Walker),,15,6
47,1,5:53.0,,LA Lakers full timeout,15,6
48,1,5:40.0,,C. Boozer makes 2-pt jump shot from 4 ft (assist by J. Hill),15,8
49,1,5:22.0,A. Jefferson misses 2-pt jump shot from 10 ft,,15,8
50,1,5:21.0,,Defensive rebound by C. Boozer,15,8
51,1,5:04.0,,C. Boozer misses 2-pt jump shot from 15 ft,15,8
52,1,5:03.0,Defensive rebound by L. Stephenson,,15,8
53,1,4:54.0,L. Stephenson misses 2-pt jump shot from 18 ft,,15,8
54,1,4:53.0,,Defensive rebound by J. Hill,15,8
55,1,4:40.0,,C. Boozer makes 2-pt jump shot from 8 ft,15,10
56,1,4:25.0,A. Jefferson makes 2-pt jump shot from 11 ft,,17,10
57,1,4:01.0,,J. Lin makes 2-pt layup at rim (assist by J. Hill),17,12
58,1,3:39.0,K. Walker misses 2-pt layup at rim,,17,12
59,1,3:36.0,,Defensive rebound by J. Lin,17,12
60,1,3:31.0,,J. Lin misses 2-pt jump shot from 3 ft,17,12
61,1,3:31.0,,Offensive rebound by J. Lin,17,12
62,1,3:25.0,,J. Hill makes 2-pt jump shot from 16 ft (assist by J. Lin),17,14
63,1,3:21.0,Charlotte full timeout,,17,14
64,1,3:21.0,,R. Price enters the game for J. Hill,17,14
65,1,3:21.0,,E. Davis enters the game for J. Lin,17,14
66,1,3:21.0,P. Hairston enters the game for M. Kidd-Gilchrist,,17,14
67,1,3:21.0,C. Zeller enters the game for M. Williams,,17,14
68,1,3:21.0,J. Maxiell enters the game for A. Jefferson,,17,14
69,1,3:10.0,J. Maxiell makes 2-pt layup at rim (assist by L. Stephenson),,19,14
70,1,2:56.0,,K. Bryant misses 3-pt jump shot from 24 ft,19,14
71,1,2:54.0,Defensive rebound by P. Hairston,,19,14
72,1,2:42.0,L. Stephenson misses 2-pt jump shot from 8 ft,,19,14
73,1,2:41.0,,Defensive rebound by E. Davis,19,14
