,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,BOSTON_ACTION,CLEVELAND_SCORE,BOSTON_SCORE
0,1,11:46.0,Shooting foul by A. Bradley (drawn by K. Love),,0,0
1,1,11:46.0,K. Love makes free throw 1 of 2,,1,0
2,1,11:46.0,K. Love makes free throw 2 of 2,,2,0
3,1,11:36.0,,R. Rondo misses 2-pt jump shot from 4 ft,2,0
4,1,11:35.0,,Offensive rebound by J. Sullinger,2,0
5,1,11:33.0,,J. Sullinger misses 2-pt layup at rim,2,0
6,1,11:33.0,,Offensive rebound by J. Sullinger,2,0
7,1,11:27.0,,J. Sullinger makes 2-pt layup from 1 ft,2,2
8,1,11:21.0,L. James misses 2-pt jump shot from 4 ft (block by K. Olynyk),,2,2
9,1,11:19.0,,Defensive rebound by K. Olynyk,2,2
10,1,11:14.0,,Turnover by J. Green (bad pass; steal by S. Marion),2,2
11,1,11:07.0,L. James makes 3-pt jump shot from 24 ft (assist by K. Irving),,5,2
12,1,10:53.0,,K. Olynyk makes 2-pt jump shot from 4 ft,5,4
13,1,10:39.0,Turnover by K. Love (bad pass; steal by R. Rondo),,5,4
14,1,10:34.0,,K. Olynyk makes 2-pt layup from 1 ft (assist by R. Rondo),5,6
15,1,10:13.0,K. Love misses 3-pt jump shot from 23 ft,,5,6
16,1,10:11.0,Offensive rebound by Team,,5,6
17,1,10:01.0,A. Varejão misses 2-pt jump shot from 13 ft,,5,6
18,1,9:59.0,,Defensive rebound by A. Bradley,5,6
19,1,9:48.0,,J. Sullinger misses 2-pt hook shot from 7 ft,5,6
20,1,9:46.0,,Offensive rebound by K. Olynyk,5,6
21,1,9:40.0,,J. Green misses 3-pt jump shot from 23 ft,5,6
22,1,9:39.0,Defensive rebound by K. Love,,5,6
23,1,9:36.0,L. James makes 2-pt dunk at rim (assist by K. Love),,7,6
24,1,9:25.0,,R. Rondo misses 2-pt jump shot from 21 ft,7,6
25,1,9:24.0,Defensive rebound by K. Love,,7,6
26,1,9:11.0,K. Love misses 2-pt hook shot from 7 ft,,7,6
27,1,9:10.0,,Defensive rebound by Team,7,6
28,1,9:10.0,Loose ball foul by K. Love (drawn by K. Olynyk),,7,6
29,1,9:02.0,,R. Rondo makes 2-pt layup from 1 ft,7,8
30,1,8:47.0,L. James misses 3-pt jump shot from 24 ft,,7,8
31,1,8:46.0,,Defensive rebound by J. Sullinger,7,8
32,1,8:36.0,,A. Bradley misses 3-pt jump shot from 25 ft,7,8
33,1,8:35.0,Defensive rebound by K. Love,,7,8
34,1,8:27.0,S. Marion makes 2-pt layup from 2 ft (assist by A. Varejão),,9,8
35,1,8:16.0,,J. Green makes 2-pt dunk at rim (assist by J. Sullinger),9,10
36,1,7:52.0,A. Varejão misses 2-pt hook shot from 7 ft,,9,10
37,1,7:51.0,,Defensive rebound by J. Sullinger,9,10
38,1,7:39.0,,J. Sullinger makes 3-pt jump shot from 22 ft (assist by R. Rondo),9,13
39,1,7:20.0,K. Love misses 2-pt jump shot from 22 ft,,9,13
40,1,7:18.0,,Defensive rebound by R. Rondo,9,13
41,1,7:13.0,,R. Rondo misses 2-pt layup from 1 ft (block by K. Irving),9,13
42,1,7:12.0,Defensive rebound by K. Love,,9,13
43,1,7:06.0,A. Varejão misses 2-pt jump shot from 3 ft,,9,13
44,1,7:05.0,,Defensive rebound by J. Green,9,13
45,1,6:56.0,,K. Olynyk misses 3-pt jump shot from 24 ft,9,13
46,1,6:55.0,Defensive rebound by K. Love,,9,13
47,1,6:50.0,A. Varejão makes 2-pt layup from 1 ft (assist by K. Love),,11,13
48,1,6:43.0,,Shooting block foul by A. Varejão (drawn by J. Green),11,13
