,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DETROIT_ACTION,LA LAKERS_SCORE,DETROIT_SCORE
0,1,11:46.0,,A. Drummond makes 2-pt dunk at rim (assist by B. Jennings),0,2
1,1,11:24.0,K. Bryant misses 2-pt jump shot from 17 ft,,0,2
2,1,11:22.0,,Defensive rebound by A. Drummond,0,2
3,1,11:12.0,,J. Smith makes 2-pt layup at rim (assist by B. Jennings),0,4
4,1,10:51.0,C. Boozer makes 2-pt jump shot from 17 ft (assist by J. Lin),,2,4
5,1,10:42.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,2,4
6,1,10:41.0,Defensive rebound by J. Hill,,2,4
7,1,10:24.0,C. Boozer makes 2-pt layup at rim (assist by W. Johnson),,4,4
8,1,10:09.0,,K. Singler makes 2-pt layup at rim (assist by J. Smith),4,6
9,1,9:50.0,Turnover by W. Johnson (lost ball),,4,6
10,1,9:36.0,,K. Caldwell-Pope makes 2-pt jump shot from 15 ft (assist by K. Singler),4,8
11,1,9:20.0,C. Boozer misses 2-pt jump shot from 7 ft,,4,8
12,1,9:17.0,Offensive rebound by J. Hill,,4,8
13,1,9:12.0,W. Johnson misses 2-pt jump shot from 19 ft,,4,8
14,1,9:11.0,,Defensive rebound by K. Caldwell-Pope,4,8
15,1,9:03.0,,Turnover by B. Jennings (bad pass; steal by K. Bryant),4,8
16,1,8:59.0,Turnover by K. Bryant (bad pass),,4,8
17,1,8:49.0,,Turnover by B. Jennings (bad pass; steal by W. Johnson),4,8
18,1,8:39.0,Turnover by K. Bryant (bad pass; steal by J. Smith),,4,8
19,1,8:33.0,,K. Caldwell-Pope misses 2-pt layup from 2 ft (block by W. Johnson),4,8
20,1,8:30.0,Defensive rebound by J. Lin,,4,8
21,1,8:27.0,C. Boozer makes 2-pt layup at rim (assist by K. Bryant),,6,8
22,1,8:17.0,,Offensive foul by A. Drummond (drawn by J. Lin),6,8
23,1,8:17.0,,Turnover by A. Drummond (offensive foul),6,8
24,1,8:07.0,J. Lin makes 3-pt jump shot from 26 ft (assist by K. Bryant),,9,8
25,1,7:45.0,,A. Drummond misses 2-pt layup at rim,9,8
26,1,7:44.0,Defensive rebound by J. Hill,,9,8
27,1,7:29.0,J. Lin misses 3-pt jump shot from 25 ft,,9,8
28,1,7:28.0,Offensive rebound by W. Johnson,,9,8
29,1,7:22.0,J. Hill makes 2-pt jump shot from 19 ft,,11,8
30,1,6:56.0,,B. Jennings misses 2-pt jump shot from 20 ft,11,8
31,1,6:55.0,Defensive rebound by W. Johnson,,11,8
32,1,6:41.0,C. Boozer makes 2-pt jump shot from 9 ft,,13,8
33,1,6:22.0,,Personal foul by K. Bryant (drawn by K. Caldwell-Pope),13,8
34,1,6:12.0,,B. Jennings makes 2-pt layup at rim (assist by J. Smith),13,10
35,1,5:56.0,C. Boozer misses 2-pt jump shot from 6 ft (block by A. Drummond),,13,10
36,1,5:54.0,,Defensive rebound by J. Smith,13,10
37,1,5:50.0,,Personal foul by W. Johnson (drawn by K. Caldwell-Pope),13,10
38,1,5:50.0,,Detroit full timeout,13,10
39,1,5:50.0,E. Davis enters the game for W. Johnson,,13,10
40,1,5:50.0,N. Young enters the game for C. Boozer,,13,10
41,1,5:41.0,,B. Jennings misses 2-pt jump shot from 8 ft,13,10
42,1,5:39.0,Defensive rebound by E. Davis,,13,10
43,1,5:23.0,N. Young misses 3-pt jump shot from 23 ft,,13,10
44,1,5:22.0,Offensive rebound by J. Hill,,13,10
45,1,5:18.0,J. Hill misses 2-pt jump shot from 5 ft (block by J. Smith),,13,10
46,1,5:16.0,Offensive rebound by J. Lin,,13,10
47,1,5:13.0,Turnover by K. Bryant (bad pass; steal by J. Smith),,13,10
48,1,5:07.0,,B. Jennings makes 2-pt layup at rim (assist by J. Smith),13,12
49,1,4:48.0,K. Bryant misses 2-pt layup from 1 ft (block by A. Drummond),,13,12
50,1,4:47.0,,Defensive rebound by K. Singler,13,12
51,1,4:41.0,,K. Singler misses 3-pt jump shot from 26 ft,13,12
52,1,4:40.0,,Offensive rebound by A. Drummond,13,12
53,1,4:39.0,,A. Drummond makes 2-pt layup at rim,13,14
54,1,4:16.0,N. Young makes 3-pt jump shot from 25 ft (assist by J. Hill),,16,14
55,1,3:52.0,,J. Smith makes 2-pt hook shot from 5 ft,16,16
56,1,3:40.0,J. Hill misses 2-pt jump shot from 12 ft,,16,16
57,1,3:39.0,,Defensive rebound by A. Drummond,16,16
58,1,3:32.0,,Turnover by J. Smith (bad pass; steal by J. Hill),16,16
59,1,3:28.0,,G. Monroe enters the game for J. Smith,16,16
60,1,3:18.0,N. Young misses 2-pt jump shot from 17 ft,,16,16
61,1,3:17.0,,Defensive rebound by K. Caldwell-Pope,16,16
62,1,3:09.0,,Shooting foul by J. Hill (drawn by A. Drummond),16,16
63,1,3:09.0,,A. Drummond misses free throw 1 of 2,16,16
64,1,3:09.0,,Offensive rebound by Team,16,16
65,1,3:09.0,R. Price enters the game for J. Lin,,16,16
66,1,3:09.0,R. Sacre enters the game for J. Hill,,16,16
67,1,3:09.0,,C. Martin enters the game for K. Caldwell-Pope,16,16
68,1,3:09.0,,A. Drummond makes free throw 2 of 2,16,17
69,1,2:53.0,R. Sacre misses 2-pt layup at rim,,16,17
70,1,2:52.0,,Defensive rebound by A. Drummond,16,17
71,1,2:36.0,,G. Monroe misses 2-pt layup at rim,16,17
72,1,2:35.0,Defensive rebound by K. Bryant,,16,17
73,1,2:28.0,K. Bryant misses 2-pt jump shot from 6 ft,,16,17
74,1,2:26.0,,Defensive rebound by G. Monroe,16,17
75,1,2:21.0,,B. Jennings misses 2-pt jump shot from 5 ft,16,17
76,1,2:21.0,,Offensive rebound by Team,16,17
77,1,2:21.0,,Personal foul by K. Bryant (drawn by A. Drummond),16,17
78,1,2:21.0,LA Lakers full timeout,,16,17
79,1,2:21.0,W. Ellington enters the game for K. Bryant,,16,17
80,1,2:21.0,,C. Butler enters the game for K. Singler,16,17
81,1,2:09.0,,C. Martin misses 3-pt jump shot from 25 ft,16,17
82,1,2:08.0,Defensive rebound by E. Davis,,16,17
83,1,1:52.0,N. Young misses 2-pt jump shot from 18 ft,,16,17
84,1,1:51.0,,Defensive rebound by G. Monroe,16,17
85,1,1:39.0,,C. Butler makes 2-pt jump shot from 19 ft,16,19
86,1,1:25.0,W. Ellington misses 2-pt jump shot from 21 ft,,16,19
87,1,1:24.0,,Defensive rebound by G. Monroe,16,19
88,1,1:14.0,,G. Monroe misses 2-pt layup at rim,16,19
89,1,1:13.0,Defensive rebound by E. Davis,,16,19
90,1,0:59.0,,Offensive charge foul by E. Davis (drawn by G. Monroe),16,19
91,1,0:59.0,Turnover by E. Davis (offensive foul),,16,19
92,1,0:35.0,,G. Monroe misses 2-pt layup at rim,16,19
93,1,0:34.0,Defensive rebound by E. Davis,,16,19
94,1,0:17.0,N. Young makes 2-pt jump shot from 18 ft,,18,19
95,1,0:17.0,Shooting foul by C. Butler (drawn by N. Young),,18,19
96,1,0:17.0,N. Young makes free throw 1 of 1,,19,19
97,1,0:01.0,,B. Jennings misses 2-pt jump shot from 15 ft,19,19
98,1,0:00.0,,Offensive rebound by Team,19,19
99,2,11:44.0,W. Ellington makes 2-pt jump shot from 16 ft,,21,19
100,2,11:37.0,,Detroit full timeout,21,19
101,2,11:24.0,,C. Martin misses 2-pt jump shot from 15 ft,21,19
102,2,11:23.0,Defensive rebound by E. Davis,,21,19
103,2,11:08.0,R. Sacre misses 2-pt jump shot from 14 ft,,21,19
104,2,11:07.0,,Defensive rebound by C. Butler,21,19
105,2,11:01.0,,C. Martin misses 2-pt jump shot from 3 ft (block by N. Young),21,19
106,2,11:01.0,,Offensive rebound by Team,21,19
107,2,10:56.0,,Turnover by C. Martin (step out of bounds),21,19
108,2,10:45.0,W. Ellington makes 2-pt jump shot from 16 ft,,23,19
109,2,10:21.0,,J. Smith misses 2-pt jump shot from 19 ft,23,19
110,2,10:20.0,Defensive rebound by W. Ellington,,23,19
111,2,10:08.0,R. Sacre misses 2-pt jump shot from 10 ft,,23,19
112,2,10:06.0,,Defensive rebound by J. Smith,23,19
113,2,9:58.0,,D. Augustin misses 2-pt jump shot from 13 ft,23,19
114,2,9:57.0,Defensive rebound by W. Ellington,,23,19
115,2,9:50.0,Shooting foul by C. Martin (drawn by N. Young),,23,19
