,QUARTER,TIME_REMAINING,BOSTON_ACTION,PORTLAND_ACTION,BOSTON_SCORE,PORTLAND_SCORE
0,1,11:49.0,A. Bradley misses 2-pt jump shot from 21 ft,,0,0
1,1,11:48.0,,Defensive rebound by W. Matthews,0,0
2,1,11:37.0,,D. Lillard misses 2-pt jump shot from 14 ft,0,0
3,1,11:36.0,Defensive rebound by Team,,0,0
4,1,11:18.0,B. Bass makes 2-pt jump shot from 16 ft,,2,0
5,1,10:59.0,,C. Kaman misses 2-pt jump shot from 18 ft,2,0
6,1,10:58.0,Defensive rebound by J. Crowder,,2,0
7,1,10:44.0,J. Crowder misses 2-pt jump shot from 21 ft,,2,0
8,1,10:43.0,,Defensive rebound by T. Robinson,2,0
9,1,10:32.0,,T. Robinson makes 2-pt layup from 2 ft (assist by D. Lillard),2,2
10,1,10:32.0,,Shooting foul by J. Crowder (drawn by T. Robinson),2,2
11,1,10:32.0,,T. Robinson misses free throw 1 of 1,2,2
12,1,10:31.0,Defensive rebound by B. Bass,,2,2
13,1,10:15.0,B. Bass makes 2-pt jump shot from 14 ft (assist by A. Bradley),,4,2
14,1,9:56.0,,C. Kaman makes 2-pt jump shot from 18 ft (assist by D. Lillard),4,4
15,1,9:27.0,J. Sullinger misses 3-pt jump shot from 24 ft,,4,4
16,1,9:24.0,,Defensive rebound by D. Lillard,4,4
17,1,9:18.0,,D. Lillard makes 2-pt jump shot from 12 ft,4,6
18,1,8:54.0,J. Sullinger makes 2-pt hook shot from 3 ft (assist by E. Turner),,6,6
19,1,8:38.0,,C. Kaman misses 2-pt jump shot from 3 ft,6,6
20,1,8:37.0,Defensive rebound by A. Bradley,,6,6
21,1,8:28.0,Personal foul by D. Lillard (drawn by A. Bradley),,6,6
22,1,8:22.0,J. Crowder misses 2-pt jump shot from 4 ft,,6,6
23,1,8:21.0,,Defensive rebound by C. Kaman,6,6
24,1,8:16.0,,Personal foul by J. Crowder (drawn by N. Batum),6,6
25,1,8:16.0,T. Zeller enters the game for B. Bass,,6,6
26,1,8:11.0,,C. Kaman makes 2-pt jump shot from 15 ft (assist by D. Lillard),6,8
27,1,7:50.0,A. Bradley misses 2-pt jump shot from 20 ft,,6,8
28,1,7:48.0,,Defensive rebound by D. Lillard,6,8
29,1,7:40.0,,T. Robinson makes 2-pt jump shot from 20 ft (assist by N. Batum),6,10
30,1,7:19.0,E. Turner makes 2-pt jump shot from 18 ft,,8,10
31,1,6:56.0,,W. Matthews misses 2-pt jump shot from 17 ft,8,10
32,1,6:55.0,Defensive rebound by J. Crowder,,8,10
33,1,6:51.0,A. Bradley misses 2-pt layup from 1 ft,,8,10
34,1,6:48.0,,Defensive rebound by T. Robinson,8,10
35,1,6:46.0,,Personal foul by J. Sullinger (drawn by D. Lillard),8,10
36,1,6:40.0,,Turnover by T. Robinson (bad pass; steal by T. Zeller),8,10
37,1,6:29.0,Turnover by A. Bradley (bad pass; steal by T. Robinson),,8,10
38,1,6:29.0,,Personal foul by A. Bradley (drawn by C. Kaman),8,10
39,1,6:29.0,M. Smart enters the game for J. Crowder,,8,10
40,1,6:22.0,,W. Matthews misses 3-pt jump shot from 24 ft,8,10
41,1,6:20.0,,Offensive rebound by T. Robinson,8,10
42,1,6:17.0,,C. Kaman makes 2-pt hook shot from 3 ft (assist by T. Robinson),8,12
43,1,6:05.0,T. Zeller makes 2-pt layup from 2 ft (assist by E. Turner),,10,12
44,1,6:05.0,Shooting foul by C. Kaman (drawn by T. Zeller),,10,12
45,1,6:05.0,T. Zeller makes free throw 1 of 1,,11,12
46,1,5:47.0,,N. Batum misses 3-pt jump shot from 26 ft,11,12
47,1,5:46.0,Defensive rebound by T. Zeller,,11,12
48,1,5:36.0,Turnover by E. Turner (bad pass; steal by W. Matthews),,11,12
49,1,5:24.0,,Turnover by C. Kaman (traveling),11,12
50,1,5:24.0,,Portland full timeout,11,12
51,1,5:24.0,,M. Leonard enters the game for C. Kaman,11,12
52,1,5:24.0,,S. Blake enters the game for W. Matthews,11,12
53,1,5:24.0,,V. Claver enters the game for T. Robinson,11,12
54,1,5:08.0,J. Sullinger makes 2-pt jump shot from 19 ft (assist by A. Bradley),,13,12
55,1,4:53.0,,N. Batum misses 2-pt jump shot from 8 ft,13,12
56,1,4:52.0,Defensive rebound by E. Turner,,13,12
57,1,4:45.0,Shooting foul by D. Lillard (drawn by A. Bradley),,13,12
58,1,4:45.0,A. Bradley misses free throw 1 of 2,,13,12
59,1,4:45.0,Offensive rebound by Team,,13,12
60,1,4:45.0,K. Olynyk enters the game for J. Sullinger,,13,12
61,1,4:45.0,,C. McCollum enters the game for D. Lillard,13,12
62,1,4:45.0,A. Bradley makes free throw 2 of 2,,14,12
63,1,4:31.0,,N. Batum misses 2-pt jump shot from 19 ft,14,12
64,1,4:29.0,Defensive rebound by M. Smart,,14,12
65,1,4:17.0,M. Smart misses 3-pt jump shot from 24 ft,,14,12
66,1,4:15.0,,Defensive rebound by M. Leonard,14,12
67,1,3:52.0,,V. Claver makes 3-pt jump shot from 24 ft (assist by N. Batum),14,15
68,1,3:28.0,A. Bradley makes 3-pt jump shot from 24 ft (assist by E. Turner),,17,15
69,1,3:07.0,,N. Batum misses 3-pt jump shot from 24 ft,17,15
70,1,3:04.0,Defensive rebound by K. Olynyk,,17,15
71,1,2:59.0,T. Zeller makes 2-pt dunk at rim (assist by E. Turner),,19,15
72,1,2:34.0,,M. Leonard makes 2-pt jump shot from 14 ft (assist by S. Blake),19,17
