,QUARTER,TIME_REMAINING,CHICAGO_ACTION,OKLAHOMA CITY_ACTION,CHICAGO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:46.0,,Turnover by E. Freedom (lost ball),0,0
1,1,11:29.0,Personal foul by R. Westbrook (drawn by P. Gasol),,0,0
2,1,11:20.0,M. Dunleavy misses 3-pt jump shot from 24 ft,,0,0
3,1,11:19.0,,Defensive rebound by R. Westbrook,0,0
4,1,11:13.0,,R. Westbrook misses 2-pt jump shot from 13 ft,0,0
5,1,11:13.0,,Offensive rebound by E. Freedom,0,0
6,1,11:11.0,,E. Freedom misses 2-pt layup from 1 ft,0,0
7,1,11:10.0,Defensive rebound by M. Dunleavy,,0,0
8,1,10:52.0,P. Gasol misses 2-pt jump shot from 11 ft,,0,0
9,1,10:51.0,,Defensive rebound by R. Westbrook,0,0
10,1,10:44.0,,D. Waiters misses 2-pt jump shot from 5 ft,0,0
11,1,10:43.0,,Offensive rebound by E. Freedom,0,0
12,1,10:43.0,,E. Freedom misses 2-pt tip-in from 3 ft,0,0
13,1,10:41.0,,Offensive rebound by S. Adams,0,0
14,1,10:40.0,,S. Adams makes 2-pt layup from 1 ft,0,2
15,1,10:26.0,P. Gasol makes 2-pt hook shot from 4 ft (assist by J. Noah),,2,2
16,1,10:05.0,,R. Westbrook misses 3-pt jump shot from 24 ft,2,2
17,1,10:04.0,Defensive rebound by A. Brooks,,2,2
18,1,9:52.0,T. Snell misses 3-pt jump shot from 24 ft,,2,2
19,1,9:51.0,,Defensive rebound by D. Waiters,2,2
20,1,9:44.0,,D. Waiters misses 2-pt jump shot from 12 ft,2,2
21,1,9:43.0,,Offensive rebound by S. Adams,2,2
22,1,9:43.0,,S. Adams misses 2-pt tip-in from 1 ft,2,2
23,1,9:41.0,,Offensive rebound by R. Westbrook,2,2
24,1,9:30.0,,A. Roberson misses 2-pt jump shot from 5 ft (block by P. Gasol),2,2
25,1,9:27.0,Defensive rebound by T. Snell,,2,2
26,1,9:18.0,P. Gasol makes 2-pt jump shot from 19 ft (assist by J. Noah),,4,2
27,1,8:58.0,,E. Freedom misses 2-pt hook shot from 4 ft,4,2
28,1,8:57.0,,Offensive rebound by S. Adams,4,2
29,1,8:51.0,,D. Waiters misses 3-pt jump shot from 25 ft,4,2
30,1,8:51.0,,Offensive rebound by Team,4,2
31,1,8:51.0,,Turnover by Team (shot clock),4,2
32,1,8:39.0,Personal foul by A. Roberson (drawn by P. Gasol),,4,2
33,1,8:29.0,T. Snell misses 2-pt jump shot from 4 ft,,4,2
34,1,8:28.0,,Defensive rebound by R. Westbrook,4,2
35,1,8:23.0,,R. Westbrook misses 2-pt jump shot from 5 ft,4,2
36,1,8:21.0,Defensive rebound by Team,,4,2
37,1,8:12.0,J. Noah makes 2-pt jump shot from 4 ft,,6,2
38,1,8:12.0,Shooting foul by E. Freedom (drawn by J. Noah),,6,2
39,1,8:12.0,J. Noah makes free throw 1 of 1,,7,2
40,1,7:57.0,,A. Roberson makes 2-pt layup from 1 ft,7,4
41,1,7:38.0,T. Snell misses 3-pt jump shot from 22 ft,,7,4
42,1,7:38.0,,Defensive rebound by Team,7,4
43,1,7:21.0,,S. Adams misses 2-pt dunk at rim,7,4
44,1,7:19.0,Defensive rebound by M. Dunleavy,,7,4
45,1,7:10.0,A. Brooks misses 2-pt jump shot from 3 ft,,7,4
46,1,7:08.0,,Defensive rebound by A. Roberson,7,4
47,1,7:03.0,,Personal foul by M. Dunleavy (drawn by D. Waiters),7,4
48,1,7:03.0,,D. Waiters makes free throw 1 of 2,7,5
49,1,7:03.0,,D. Waiters makes free throw 2 of 2,7,6
50,1,6:52.0,P. Gasol misses 2-pt jump shot from 16 ft,,7,6
51,1,6:51.0,,Defensive rebound by E. Freedom,7,6
52,1,6:46.0,,R. Westbrook misses 2-pt jump shot from 17 ft,7,6
53,1,6:45.0,Defensive rebound by Team,,7,6
54,1,6:28.0,P. Gasol makes 2-pt hook shot from 5 ft (assist by J. Noah),,9,6
55,1,6:13.0,,D. Waiters misses 3-pt jump shot from 23 ft,9,6
56,1,6:12.0,Defensive rebound by Team,,9,6
57,1,5:59.0,Turnover by J. Noah (lost ball; steal by E. Freedom),,9,6
58,1,5:53.0,,D. Waiters makes 2-pt layup from 1 ft (assist by A. Roberson),9,8
59,1,5:36.0,P. Gasol makes 2-pt jump shot from 11 ft,,11,8
60,1,5:24.0,,D. Waiters makes 2-pt layup from 2 ft (assist by R. Westbrook),11,10
61,1,5:24.0,,Shooting foul by J. Noah (drawn by D. Waiters),11,10
62,1,5:24.0,,Oklahoma City full timeout,11,10
63,1,5:24.0,,D. Waiters misses free throw 1 of 1,11,10
64,1,5:23.0,Defensive rebound by M. Dunleavy,,11,10
65,1,4:57.0,A. Brooks misses 3-pt jump shot from 24 ft,,11,10
66,1,4:56.0,Offensive rebound by P. Gasol,,11,10
67,1,4:45.0,M. Dunleavy misses 3-pt jump shot from 22 ft,,11,10
68,1,4:44.0,,Defensive rebound by E. Freedom,11,10
69,1,4:29.0,,D. Waiters misses 2-pt jump shot from 15 ft,11,10
70,1,4:28.0,Defensive rebound by T. Snell,,11,10
71,1,4:08.0,T. Snell misses 3-pt jump shot from 25 ft,,11,10
72,1,4:07.0,,Defensive rebound by R. Westbrook,11,10
73,1,3:51.0,,R. Westbrook misses 3-pt jump shot from 24 ft,11,10
74,1,3:50.0,Defensive rebound by P. Gasol,,11,10
75,1,3:36.0,A. Brooks misses 3-pt jump shot from 24 ft,,11,10
76,1,3:34.0,Offensive rebound by M. Dunleavy,,11,10
77,1,3:34.0,M. Dunleavy misses 2-pt layup at rim,,11,10
78,1,3:33.0,,Defensive rebound by R. Westbrook,11,10
79,1,3:26.0,,D. Waiters misses 3-pt jump shot from 22 ft,11,10
80,1,3:25.0,Defensive rebound by P. Gasol,,11,10
81,1,3:04.0,P. Gasol misses 2-pt jump shot from 4 ft,,11,10
82,1,3:03.0,,Defensive rebound by S. Adams,11,10
83,1,2:50.0,,S. Adams misses 2-pt jump shot from 6 ft,11,10
84,1,2:49.0,,Offensive rebound by E. Freedom,11,10
85,1,2:48.0,Chicago full timeout,,11,10
86,1,2:48.0,,A. Morrow enters the game for D. Waiters,11,10
87,1,2:48.0,,D. Augustin enters the game for A. Roberson,11,10
88,1,2:48.0,N. Mirotić enters the game for J. Noah,,11,10
89,1,2:48.0,K. Hinrich enters the game for A. Brooks,,11,10
90,1,2:33.0,,R. Westbrook misses 3-pt jump shot from 24 ft,11,10
91,1,2:32.0,Defensive rebound by K. Hinrich,,11,10
92,1,2:07.0,P. Gasol misses 2-pt layup from 1 ft,,11,10
93,1,2:06.0,,Defensive rebound by E. Freedom,11,10
94,1,2:02.0,,Shooting foul by K. Hinrich (drawn by S. Adams),11,10
95,1,2:02.0,,S. Adams makes free throw 1 of 2,11,11
96,1,2:02.0,D. McDermott enters the game for M. Dunleavy,,11,11
97,1,2:02.0,,S. Adams misses free throw 2 of 2,11,11
98,1,2:01.0,,Offensive rebound by E. Freedom,11,11
99,1,2:00.0,,E. Freedom makes 2-pt layup from 2 ft,11,13
100,1,1:41.0,Turnover by P. Gasol (lost ball),,11,13
101,1,1:31.0,,E. Freedom misses 2-pt jump shot from 18 ft,11,13
102,1,1:30.0,Defensive rebound by N. Mirotić,,11,13
103,1,1:21.0,T. Snell misses 2-pt jump shot from 17 ft,,11,13
104,1,1:20.0,,Defensive rebound by E. Freedom,11,13
105,1,1:08.0,,S. Adams misses 2-pt layup from 2 ft,11,13
106,1,1:07.0,,Offensive rebound by E. Freedom,11,13
107,1,1:05.0,,E. Freedom misses 2-pt layup from 2 ft (block by N. Mirotić),11,13
108,1,1:04.0,,Offensive rebound by E. Freedom,11,13
109,1,1:03.0,,Shooting foul by P. Gasol (drawn by E. Freedom),11,13
110,1,1:03.0,,E. Freedom makes free throw 1 of 2,11,14
111,1,1:03.0,,N. Collison enters the game for S. Adams,11,14
