,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,INDIANA_ACTION,CLEVELAND_SCORE,INDIANA_SCORE
0,1,11:47.0,Personal foul by D. West (drawn by K. Love),,0,0
1,1,11:43.0,T. Mozgov makes 2-pt jump shot from 19 ft (assist by L. James),,2,0
2,1,11:18.0,,C. Miles misses 3-pt jump shot from 25 ft,2,0
3,1,11:17.0,Defensive rebound by K. Irving,,2,0
4,1,10:58.0,L. James makes 2-pt jump shot from 3 ft,,4,0
5,1,10:44.0,,R. Hibbert makes 2-pt hook shot from 5 ft (assist by C. Miles),4,2
6,1,10:26.0,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),,7,2
7,1,10:14.0,,D. West makes 2-pt jump shot from 19 ft (assist by G. Hill),7,4
8,1,9:49.0,K. Irving makes 2-pt jump shot from 18 ft (assist by T. Mozgov),,9,4
9,1,9:33.0,,R. Hibbert makes 2-pt jump shot from 17 ft (assist by C. Miles),9,6
10,1,9:16.0,K. Irving misses 3-pt jump shot from 24 ft,,9,6
11,1,9:15.0,,Defensive rebound by S. Hill,9,6
12,1,9:09.0,,C. Miles misses 3-pt jump shot from 24 ft,9,6
13,1,9:08.0,Defensive rebound by L. James,,9,6
14,1,8:59.0,L. James makes 2-pt layup from 1 ft,,11,6
15,1,8:48.0,,D. West makes 2-pt jump shot from 19 ft (assist by G. Hill),11,8
16,1,8:26.0,K. Love makes 2-pt layup from 3 ft,,13,8
17,1,8:13.0,,D. West makes 2-pt layup from 1 ft (assist by S. Hill),13,10
18,1,7:56.0,L. James makes 2-pt layup from 2 ft,,15,10
19,1,7:35.0,,R. Hibbert misses 2-pt jump shot from 16 ft,15,10
20,1,7:34.0,Defensive rebound by L. James,,15,10
21,1,7:26.0,L. James misses 2-pt layup from 2 ft,,15,10
22,1,7:25.0,,Defensive rebound by R. Hibbert,15,10
23,1,7:20.0,,Shooting foul by T. Mozgov (drawn by G. Hill),15,10
24,1,7:20.0,,G. Hill makes free throw 1 of 2,15,11
25,1,7:20.0,,G. Hill makes free throw 2 of 2,15,12
26,1,7:04.0,T. Mozgov makes 2-pt dunk from 1 ft (assist by K. Irving),,17,12
27,1,6:49.0,,D. West misses 2-pt jump shot from 18 ft,17,12
28,1,6:48.0,Defensive rebound by L. James,,17,12
29,1,6:41.0,K. Love misses 2-pt hook shot from 4 ft,,17,12
30,1,6:39.0,,Defensive rebound by D. West,17,12
31,1,6:31.0,,G. Hill misses 2-pt layup from 2 ft,17,12
32,1,6:29.0,Defensive rebound by L. James,,17,12
33,1,6:26.0,K. Irving makes 2-pt layup from 1 ft (assist by L. James),,19,12
34,1,6:26.0,,Indiana full timeout,19,12
35,1,6:17.0,,C. Miles makes 3-pt jump shot from 23 ft (assist by D. West),19,15
36,1,5:54.0,Turnover by L. James (bad pass; steal by S. Hill),,19,15
37,1,5:31.0,,C. Miles misses 3-pt jump shot from 26 ft,19,15
38,1,5:30.0,,Offensive rebound by D. West,19,15
39,1,5:30.0,,D. West makes 2-pt layup from 2 ft,19,17
40,1,5:13.0,L. James misses 3-pt jump shot from 25 ft,,19,17
41,1,5:12.0,,Defensive rebound by D. West,19,17
