,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,PORTLAND_ACTION,LA CLIPPERS_SCORE,PORTLAND_SCORE
0,1,11:37.0,B. Griffin misses 2-pt jump shot from 17 ft,,0,0
1,1,11:34.0,Offensive rebound by D. Jordan,,0,0
2,1,11:31.0,C. Paul misses 3-pt jump shot from 26 ft,,0,0
3,1,11:30.0,,Defensive rebound by L. Aldridge,0,0
4,1,11:18.0,,C. Kaman makes 2-pt layup from 2 ft (assist by D. Lillard),0,2
5,1,11:13.0,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),,2,2
6,1,10:53.0,,L. Aldridge misses 3-pt jump shot from 25 ft,2,2
7,1,10:51.0,Defensive rebound by M. Barnes,,2,2
8,1,10:43.0,C. Paul misses 2-pt jump shot from 16 ft,,2,2
9,1,10:41.0,Offensive rebound by B. Griffin,,2,2
10,1,10:41.0,B. Griffin misses 2-pt tip-in from 1 ft,,2,2
11,1,10:39.0,Offensive rebound by D. Jordan,,2,2
12,1,10:39.0,D. Jordan makes 2-pt tip-in at rim,,4,2
13,1,10:14.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by D. Lillard),4,4
14,1,10:08.0,D. Jordan makes 2-pt dunk at rim (assist by M. Barnes),,6,4
15,1,9:45.0,,L. Aldridge misses 2-pt jump shot from 18 ft,6,4
16,1,9:44.0,Defensive rebound by J. Redick,,6,4
17,1,9:33.0,Personal foul by W. Matthews (drawn by J. Redick),,6,4
18,1,9:28.0,B. Griffin misses 2-pt layup from 2 ft (block by L. Aldridge),,6,4
19,1,9:26.0,,Defensive rebound by L. Aldridge,6,4
20,1,9:08.0,,L. Aldridge makes 2-pt jump shot from 4 ft,6,6
21,1,8:57.0,J. Redick makes 2-pt jump shot from 4 ft (assist by B. Griffin),,8,6
22,1,8:40.0,,Turnover by N. Batum (bad pass),8,6
23,1,8:34.0,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),,10,6
24,1,8:13.0,,L. Aldridge misses 2-pt jump shot from 21 ft,10,6
25,1,8:12.0,Defensive rebound by D. Jordan,,10,6
26,1,7:58.0,J. Redick misses 2-pt jump shot from 9 ft,,10,6
27,1,7:57.0,,Defensive rebound by W. Matthews,10,6
28,1,7:52.0,,W. Matthews misses 2-pt jump shot from 17 ft,10,6
29,1,7:48.0,Defensive rebound by D. Jordan,,10,6
30,1,7:44.0,Turnover by B. Griffin (lost ball; steal by W. Matthews),,10,6
31,1,7:35.0,,Turnover by L. Aldridge (lost ball; steal by J. Redick),10,6
32,1,7:24.0,B. Griffin makes 2-pt jump shot from 18 ft (assist by C. Paul),,12,6
33,1,7:02.0,,Personal foul by D. Jordan (drawn by C. Kaman),12,6
34,1,6:51.0,,Shooting foul by M. Barnes (drawn by L. Aldridge),12,6
35,1,6:51.0,,L. Aldridge makes free throw 1 of 2,12,7
36,1,6:51.0,,L. Aldridge makes free throw 2 of 2,12,8
37,1,6:39.0,B. Griffin makes 2-pt jump shot from 16 ft (assist by C. Paul),,14,8
38,1,6:21.0,,W. Matthews makes 2-pt layup from 1 ft (assist by N. Batum),14,10
39,1,6:03.0,B. Griffin misses 2-pt jump shot from 16 ft,,14,10
40,1,6:02.0,,Defensive rebound by C. Kaman,14,10
41,1,5:48.0,,L. Aldridge misses 2-pt layup from 1 ft,14,10
42,1,5:47.0,Defensive rebound by D. Jordan,,14,10
43,1,5:40.0,C. Paul makes 2-pt jump shot from 15 ft,,16,10
44,1,5:39.0,,Portland full timeout,16,10
45,1,5:39.0,,M. Leonard enters the game for C. Kaman,16,10
46,1,5:39.0,,C. McCollum enters the game for W. Matthews,16,10
47,1,5:21.0,,M. Leonard makes 2-pt jump shot from 16 ft (assist by N. Batum),16,12
48,1,5:05.0,J. Redick misses 2-pt jump shot from 16 ft,,16,12
49,1,5:05.0,,Defensive rebound by N. Batum,16,12
50,1,4:53.0,,C. McCollum misses 3-pt jump shot from 25 ft,16,12
51,1,4:52.0,Defensive rebound by D. Jordan,,16,12
52,1,4:43.0,J. Redick misses 2-pt jump shot from 17 ft,,16,12
53,1,4:41.0,,Defensive rebound by D. Lillard,16,12
54,1,4:34.0,,D. Lillard makes 3-pt jump shot from 25 ft,16,15
55,1,4:10.0,C. Paul makes 2-pt jump shot from 18 ft,,18,15
56,1,3:59.0,,D. Lillard misses 3-pt jump shot from 26 ft,18,15
57,1,3:58.0,Defensive rebound by D. Jordan,,18,15
58,1,3:54.0,J. Crawford enters the game for J. Redick,,18,15
59,1,3:52.0,B. Griffin makes 2-pt jump shot from 20 ft (assist by C. Paul),,20,15
60,1,3:38.0,,Personal block foul by B. Griffin (drawn by D. Lillard),20,15
61,1,3:31.0,,D. Lillard misses 3-pt jump shot from 27 ft,20,15
62,1,3:30.0,Defensive rebound by D. Jordan,,20,15
63,1,3:17.0,Turnover by B. Griffin (bad pass; steal by N. Batum),,20,15
64,1,3:09.0,,L. Aldridge makes 2-pt jump shot from 16 ft (assist by C. McCollum),20,17
65,1,2:54.0,Personal foul by C. McCollum (drawn by J. Crawford),,20,17
66,1,2:54.0,LA Clippers full timeout,,20,17
67,1,2:54.0,S. Hawes enters the game for D. Jordan,,20,17
68,1,2:54.0,,S. Blake enters the game for D. Lillard,20,17
69,1,2:54.0,,W. Matthews enters the game for N. Batum,20,17
70,1,2:45.0,J. Crawford misses 3-pt jump shot from 26 ft,,20,17
71,1,2:44.0,,Defensive rebound by Team,20,17
72,1,2:24.0,,C. McCollum misses 2-pt jump shot from 16 ft,20,17
73,1,2:23.0,Defensive rebound by Team,,20,17
74,1,2:22.0,J. Redick enters the game for C. Paul,,20,17
75,1,2:07.0,J. Crawford makes 3-pt jump shot from 26 ft (assist by J. Redick),,23,17
76,1,1:49.0,,W. Matthews misses 3-pt jump shot from 24 ft,23,17
77,1,1:48.0,Defensive rebound by B. Griffin,,23,17
78,1,1:40.0,J. Crawford misses 2-pt jump shot from 13 ft,,23,17
79,1,1:39.0,,Defensive rebound by M. Leonard,23,17
80,1,1:32.0,,Turnover by S. Blake (bad pass; steal by M. Barnes),23,17
81,1,1:27.0,G. Davis enters the game for B. Griffin,,23,17
82,1,1:18.0,J. Redick makes 2-pt jump shot from 18 ft (assist by J. Crawford),,25,17
83,1,1:00.0,,L. Aldridge makes 2-pt layup from 1 ft,25,19
84,1,0:49.0,J. Crawford makes 2-pt jump shot from 16 ft,,27,19
85,1,0:32.0,,L. Aldridge misses 2-pt jump shot from 15 ft,27,19
86,1,0:31.0,Defensive rebound by M. Barnes,,27,19
87,1,0:25.0,J. Crawford misses 2-pt jump shot from 14 ft,,27,19
88,1,0:22.0,,Defensive rebound by S. Blake,27,19
89,1,0:02.0,,L. Aldridge makes 2-pt jump shot from 16 ft (assist by C. McCollum),27,21
90,2,11:35.0,,C. Kaman makes 2-pt jump shot from 14 ft (assist by S. Blake),27,23
91,2,11:13.0,S. Hawes misses 3-pt jump shot from 26 ft,,27,23
92,2,11:11.0,,Defensive rebound by C. Kaman,27,23
93,2,11:01.0,,M. Leonard misses 2-pt jump shot from 19 ft,27,23
94,2,11:00.0,Defensive rebound by J. Crawford,,27,23
95,2,10:51.0,J. Crawford misses 3-pt jump shot from 24 ft,,27,23
96,2,10:50.0,,Defensive rebound by Team,27,23
97,2,10:50.0,,Personal foul by G. Davis (drawn by M. Leonard),27,23
98,2,10:50.0,C. Paul enters the game for M. Barnes,,27,23
99,2,10:31.0,,S. Blake misses 3-pt jump shot from 25 ft,27,23
100,2,10:30.0,,Offensive rebound by C. Kaman,27,23
101,2,10:27.0,,C. Kaman misses 2-pt layup from 1 ft (block by S. Hawes),27,23
102,2,10:24.0,Defensive rebound by G. Davis,,27,23
103,2,10:18.0,C. Paul makes 2-pt jump shot from 17 ft,,29,23
104,2,10:03.0,,Personal foul by G. Davis (drawn by W. Matthews),29,23
105,2,10:03.0,,D. Lillard enters the game for C. McCollum,29,23
106,2,9:57.0,,W. Matthews misses 2-pt layup from 1 ft,29,23
107,2,9:55.0,,Offensive rebound by C. Kaman,29,23
108,2,9:55.0,,C. Kaman misses 2-pt tip-in at rim,29,23
109,2,9:54.0,Defensive rebound by S. Hawes,,29,23
110,2,9:48.0,J. Crawford misses 3-pt jump shot from 23 ft,,29,23
111,2,9:46.0,,Defensive rebound by Team,29,23
112,2,9:30.0,,M. Leonard makes 2-pt jump shot from 19 ft (assist by D. Lillard),29,25
113,2,9:07.0,C. Paul misses 2-pt jump shot from 20 ft,,29,25
114,2,9:06.0,,Defensive rebound by M. Leonard,29,25
115,2,8:56.0,,C. Kaman makes 2-pt layup from 1 ft (assist by S. Blake),29,27
116,2,8:56.0,,Shooting foul by G. Davis (drawn by C. Kaman),29,27
117,2,8:56.0,Official timeout,,29,27
118,2,8:56.0,D. Jordan enters the game for G. Davis,,29,27
119,2,8:56.0,,C. Kaman makes free throw 1 of 1,29,28
120,2,8:46.0,J. Crawford misses 2-pt jump shot from 6 ft,,29,28
121,2,8:43.0,Offensive rebound by D. Jordan,,29,28
122,2,8:43.0,D. Jordan makes 2-pt layup from 1 ft,,31,28
123,2,8:19.0,,M. Leonard misses 2-pt jump shot from 14 ft,31,28
124,2,8:17.0,Defensive rebound by C. Paul,,31,28
125,2,8:14.0,Personal foul by W. Matthews (drawn by D. Jordan),,31,28
126,2,8:14.0,,N. Batum enters the game for W. Matthews,31,28
127,2,8:01.0,J. Crawford makes 2-pt jump shot from 20 ft,,33,28
