,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,UTAH_ACTION,GOLDEN STATE_SCORE,UTAH_SCORE
0,1,11:38.0,,T. Burke misses 3-pt jump shot from 24 ft,0,0
1,1,11:36.0,Defensive rebound by H. Barnes,,0,0
2,1,11:25.0,K. Thompson misses 2-pt jump shot from 19 ft,,0,0
3,1,11:23.0,,Defensive rebound by E. Freedom,0,0
4,1,11:07.0,,G. Hayward makes 2-pt jump shot from 12 ft,0,2
5,1,10:56.0,D. Green misses 2-pt jump shot from 5 ft (block by D. Favors),,0,2
6,1,10:54.0,,Defensive rebound by D. Favors,0,2
7,1,10:47.0,,T. Burke makes 3-pt jump shot from 24 ft (assist by G. Hayward),0,5
8,1,10:38.0,D. Green makes 2-pt jump shot from 19 ft (assist by S. Curry),,2,5
9,1,10:23.0,Violation by D. Green (kicked ball),,2,5
10,1,10:14.0,,T. Burke misses 3-pt jump shot from 22 ft,2,5
11,1,10:13.0,Defensive rebound by Team,,2,5
12,1,10:05.0,Turnover by D. Green (lost ball; steal by J. Ingles),,2,5
13,1,9:51.0,,D. Favors misses 2-pt jump shot from 12 ft,2,5
14,1,9:50.0,Defensive rebound by A. Bogut,,2,5
15,1,9:40.0,K. Thompson makes 2-pt layup from 1 ft,,4,5
16,1,9:24.0,,E. Freedom misses 2-pt jump shot from 18 ft,4,5
17,1,9:22.0,Defensive rebound by S. Curry,,4,5
18,1,9:18.0,D. Green makes 2-pt layup from 1 ft (assist by S. Curry),,6,5
19,1,9:18.0,,Utah full timeout,6,5
20,1,9:01.0,,Turnover by E. Freedom (step out of bounds),6,5
21,1,8:49.0,K. Thompson misses 2-pt jump shot from 4 ft (block by G. Hayward),,6,5
22,1,8:49.0,Offensive rebound by Team,,6,5
23,1,8:44.0,Turnover by A. Bogut (bad pass; steal by G. Hayward),,6,5
24,1,8:34.0,,J. Ingles misses 3-pt jump shot from 24 ft,6,5
25,1,8:32.0,Defensive rebound by A. Bogut,,6,5
26,1,8:25.0,H. Barnes makes 2-pt jump shot from 19 ft (assist by S. Curry),,8,5
27,1,8:06.0,,T. Burke makes 2-pt jump shot from 17 ft,8,7
28,1,7:50.0,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),,11,7
29,1,7:32.0,,D. Favors misses 2-pt jump shot from 15 ft,11,7
30,1,7:31.0,,Offensive rebound by E. Freedom,11,7
31,1,7:31.0,,E. Freedom makes 2-pt tip-in from 1 ft,11,9
32,1,7:20.0,S. Curry misses 3-pt jump shot from 25 ft,,11,9
33,1,7:19.0,,Defensive rebound by J. Ingles,11,9
34,1,6:59.0,,J. Ingles misses 3-pt jump shot from 23 ft,11,9
35,1,6:58.0,Defensive rebound by K. Thompson,,11,9
36,1,6:43.0,A. Bogut makes 2-pt dunk at rim (assist by K. Thompson),,13,9
37,1,6:22.0,,D. Favors misses 2-pt dunk at rim (block by A. Bogut),13,9
38,1,6:20.0,Defensive rebound by H. Barnes,,13,9
39,1,6:19.0,Personal foul by J. Ingles (drawn by H. Barnes),,13,9
40,1,6:19.0,,E. Millsap enters the game for J. Ingles,13,9
41,1,6:13.0,Turnover by S. Curry (bad pass; steal by T. Burke),,13,9
42,1,6:07.0,,Shooting foul by A. Bogut (drawn by D. Favors),13,9
43,1,6:07.0,,D. Favors misses free throw 1 of 2,13,9
44,1,6:07.0,,Offensive rebound by Team,13,9
45,1,6:07.0,,R. Gobert enters the game for E. Freedom,13,9
46,1,6:07.0,,D. Favors makes free throw 2 of 2,13,10
47,1,5:43.0,A. Bogut misses 2-pt layup from 2 ft (block by R. Gobert),,13,10
48,1,5:42.0,Offensive rebound by A. Bogut,,13,10
49,1,5:42.0,Turnover by Team (shot clock),,13,10
50,1,5:42.0,,Utah full timeout,13,10
51,1,5:42.0,M. Speights enters the game for A. Bogut,,13,10
52,1,5:27.0,,E. Millsap makes 2-pt dunk at rim,13,12
53,1,5:13.0,S. Curry makes 2-pt jump shot from 17 ft,,15,12
54,1,4:54.0,,R. Gobert misses 2-pt jump shot from 1 ft (block by D. Green),15,12
55,1,4:54.0,,Offensive rebound by R. Gobert,15,12
56,1,4:54.0,,R. Gobert makes 2-pt layup from 1 ft,15,14
57,1,4:54.0,,Shooting foul by S. Curry (drawn by R. Gobert),15,14
58,1,4:54.0,A. Iguodala enters the game for H. Barnes,,15,14
59,1,4:54.0,,R. Gobert makes free throw 1 of 1,15,15
60,1,4:42.0,D. Green misses 2-pt jump shot from 18 ft,,15,15
61,1,4:40.0,,Defensive rebound by E. Millsap,15,15
62,1,4:27.0,,D. Favors makes 2-pt layup from 2 ft,15,17
63,1,4:15.0,M. Speights misses 2-pt jump shot from 18 ft,,15,17
64,1,4:13.0,,Defensive rebound by G. Hayward,15,17
65,1,3:59.0,,D. Favors makes 2-pt jump shot from 2 ft,15,19
66,1,3:43.0,K. Thompson makes 3-pt jump shot from 24 ft,,18,19
67,1,3:27.0,,T. Burke makes 2-pt jump shot from 20 ft,18,21
68,1,3:16.0,Personal foul by E. Millsap (drawn by A. Iguodala),,18,21
69,1,3:10.0,Shooting foul by R. Gobert (drawn by M. Speights),,18,21
70,1,3:10.0,M. Speights misses free throw 1 of 2,,18,21
71,1,3:10.0,Offensive rebound by Team,,18,21
72,1,3:10.0,D. Lee enters the game for D. Green,,18,21
73,1,3:10.0,L. Barbosa enters the game for S. Curry,,18,21
74,1,3:10.0,,D. Exum enters the game for T. Burke,18,21
75,1,3:10.0,M. Speights makes free throw 2 of 2,,19,21
76,1,2:54.0,,G. Hayward makes 3-pt jump shot from 24 ft (assist by D. Exum),19,24
77,1,2:37.0,Turnover by A. Iguodala (lost ball),,19,24
78,1,2:37.0,Golden State full timeout,,19,24
79,1,2:28.0,,Personal foul by L. Barbosa (drawn by D. Favors),19,24
80,1,2:13.0,,E. Millsap misses 2-pt jump shot from 19 ft,19,24
81,1,2:13.0,,Offensive rebound by Team,19,24
82,1,2:13.0,,Turnover by Team (shot clock),19,24
83,1,1:57.0,D. Lee makes 2-pt layup from 1 ft (assist by K. Thompson),,21,24
84,1,1:36.0,,R. Gobert misses 2-pt dunk at rim,21,24
85,1,1:35.0,Defensive rebound by D. Lee,,21,24
86,1,1:29.0,A. Iguodala makes 2-pt layup from 1 ft (assist by L. Barbosa),,23,24
87,1,1:20.0,,D. Favors makes 2-pt dunk at rim (assist by R. Gobert),23,26
88,1,1:03.0,L. Barbosa misses 3-pt jump shot from 23 ft,,23,26
89,1,1:02.0,,Defensive rebound by Team,23,26
90,1,1:02.0,J. Holiday enters the game for K. Thompson,,23,26
91,1,1:02.0,,I. Clark enters the game for D. Exum,23,26
92,1,0:41.0,,E. Millsap misses 2-pt jump shot from 8 ft (block by D. Lee),23,26
93,1,0:39.0,Defensive rebound by A. Iguodala,,23,26
94,1,0:34.0,A. Iguodala misses 2-pt layup from 2 ft,,23,26
95,1,0:30.0,,Defensive rebound by D. Favors,23,26
96,1,0:12.0,,Turnover by G. Hayward (lost ball; steal by J. Holiday),23,26
97,1,0:08.0,L. Barbosa makes 2-pt layup from 2 ft (assist by D. Lee),,25,26
98,1,0:08.0,Shooting foul by E. Millsap (drawn by L. Barbosa),,25,26
99,1,0:08.0,,J. Ingles enters the game for I. Clark,25,26
100,1,0:08.0,,D. Exum enters the game for E. Millsap,25,26
101,1,0:08.0,L. Barbosa misses free throw 1 of 1,,25,26
102,1,0:08.0,,Defensive rebound by D. Favors,25,26
103,1,0:01.0,,G. Hayward misses 2-pt jump shot from 13 ft,25,26
104,1,0:00.0,,Offensive rebound by Team,25,26
105,2,11:54.0,M. Speights misses 2-pt jump shot from 16 ft,,25,26
106,2,11:53.0,,Defensive rebound by D. Exum,25,26
107,2,11:34.0,,E. Freedom makes 3-pt jump shot from 23 ft (assist by T. Burke),25,29
108,2,11:16.0,M. Speights makes 2-pt jump shot from 18 ft (assist by D. Lee),,27,29
109,2,10:58.0,,Turnover by J. Ingles (bad pass; steal by J. Holiday),27,29
110,2,10:54.0,J. Holiday makes 2-pt dunk at rim,,29,29
111,2,10:36.0,,D. Exum misses 3-pt jump shot from 23 ft,29,29
112,2,10:34.0,,Offensive rebound by Team,29,29
113,2,10:20.0,,T. Burke misses 3-pt jump shot from 25 ft,29,29
114,2,10:18.0,,Offensive rebound by E. Freedom,29,29
115,2,10:15.0,,E. Freedom makes 2-pt jump shot from 2 ft,29,31
116,2,10:01.0,L. Barbosa misses 2-pt jump shot from 18 ft,,29,31
117,2,10:00.0,Offensive rebound by M. Speights,,29,31
118,2,9:57.0,Turnover by M. Speights (lost ball; steal by R. Gobert),,29,31
119,2,9:52.0,,E. Freedom makes 2-pt layup at rim (assist by T. Burke),29,33
120,2,9:37.0,J. Holiday misses 3-pt jump shot from 24 ft,,29,33
121,2,9:36.0,,Defensive rebound by E. Freedom,29,33
122,2,9:20.0,,E. Freedom misses 2-pt jump shot from 14 ft,29,33
123,2,9:18.0,Defensive rebound by D. Lee,,29,33
124,2,9:06.0,M. Speights makes 2-pt jump shot from 15 ft (assist by A. Iguodala),,31,33
125,2,8:52.0,,Turnover by T. Burke (bad pass; steal by D. Lee),31,33
126,2,8:45.0,J. Holiday makes 2-pt layup from 3 ft (assist by L. Barbosa),,33,33
127,2,8:23.0,,Shooting foul by M. Speights (drawn by J. Ingles),33,33
128,2,8:23.0,Official timeout,,33,33
129,2,8:23.0,A. Bogut enters the game for M. Speights,,33,33
130,2,8:23.0,S. Curry enters the game for J. Holiday,,33,33
131,2,8:23.0,,J. Ingles makes free throw 1 of 2,33,34
132,2,8:23.0,,J. Ingles makes free throw 2 of 2,33,35
133,2,8:05.0,Turnover by L. Barbosa (step out of bounds),,33,35
134,2,7:51.0,,Shooting foul by A. Bogut (drawn by R. Gobert),33,35
135,2,7:51.0,,R. Gobert makes free throw 1 of 2,33,36
136,2,7:51.0,,E. Millsap enters the game for T. Burke,33,36
137,2,7:51.0,,R. Gobert makes free throw 2 of 2,33,37
138,2,7:31.0,D. Lee misses 2-pt hook shot from 7 ft,,33,37
139,2,7:29.0,,Defensive rebound by E. Freedom,33,37
140,2,7:08.0,,J. Ingles makes 3-pt jump shot from 24 ft (assist by R. Gobert),33,40
141,2,6:57.0,S. Curry misses 3-pt jump shot from 24 ft,,33,40
142,2,6:56.0,,Defensive rebound by J. Ingles,33,40
143,2,6:51.0,,Turnover by J. Ingles (bad pass),33,40
144,2,6:40.0,L. Barbosa makes 2-pt layup at rim,,35,40
145,2,6:29.0,,E. Freedom misses 2-pt hook shot from 6 ft,35,40
146,2,6:28.0,Defensive rebound by A. Bogut,,35,40
147,2,6:19.0,Golden State full timeout,,35,40
148,2,6:16.0,D. Lee makes 2-pt dunk at rim (assist by A. Iguodala),,37,40
149,2,5:49.0,,R. Gobert makes 2-pt dunk at rim (assist by J. Ingles),37,42
150,2,5:31.0,S. Curry makes 2-pt layup from 1 ft (assist by A. Iguodala),,39,42
151,2,5:25.0,,Utah full timeout,39,42
152,2,5:25.0,,T. Burke enters the game for D. Exum,39,42
153,2,5:25.0,,G. Hayward enters the game for E. Millsap,39,42
154,2,5:25.0,,D. Favors enters the game for R. Gobert,39,42
155,2,5:25.0,H. Barnes enters the game for A. Iguodala,,39,42
156,2,5:25.0,K. Thompson enters the game for L. Barbosa,,39,42
157,2,5:15.0,,E. Freedom misses 2-pt layup from 1 ft,39,42
158,2,5:14.0,Defensive rebound by A. Bogut,,39,42
159,2,4:52.0,S. Curry makes 2-pt layup from 2 ft (assist by D. Lee),,41,42
160,2,4:30.0,,T. Burke misses 3-pt jump shot from 27 ft,41,42
161,2,4:28.0,Defensive rebound by D. Lee,,41,42
162,2,4:22.0,Turnover by S. Curry (bad pass; steal by E. Freedom),,41,42
163,2,4:15.0,,J. Ingles makes 3-pt jump shot from 24 ft (assist by T. Burke),41,45
164,2,4:03.0,Personal foul by G. Hayward (drawn by K. Thompson),,41,45
165,2,4:03.0,D. Green enters the game for D. Lee,,41,45
166,2,4:03.0,,E. Millsap enters the game for J. Ingles,41,45
167,2,4:01.0,Personal foul by T. Burke (drawn by S. Curry),,41,45
168,2,3:46.0,D. Green misses 3-pt jump shot from 24 ft,,41,45
169,2,3:45.0,,Defensive rebound by D. Favors,41,45
170,2,3:28.0,,Offensive foul by E. Freedom (drawn by H. Barnes),41,45
171,2,3:28.0,,Turnover by E. Freedom (offensive foul),41,45
172,2,3:10.0,Personal foul by T. Burke (drawn by S. Curry),,41,45
173,2,3:10.0,,D. Exum enters the game for T. Burke,41,45
174,2,3:10.0,Golden State full timeout,,41,45
175,2,2:57.0,S. Curry makes 3-pt jump shot from 25 ft (assist by K. Thompson),,44,45
176,2,2:38.0,,G. Hayward makes 2-pt jump shot from 16 ft,44,47
177,2,2:29.0,S. Curry misses 3-pt jump shot from 25 ft,,44,47
178,2,2:28.0,,Defensive rebound by E. Freedom,44,47
179,2,2:07.0,,E. Freedom makes 2-pt layup from 2 ft,44,49
180,2,1:58.0,D. Green makes 3-pt jump shot from 24 ft (assist by S. Curry),,47,49
181,2,1:37.0,,G. Hayward misses 3-pt jump shot from 25 ft,47,49
182,2,1:35.0,,Offensive rebound by D. Favors,47,49
183,2,1:32.0,,D. Favors makes 2-pt dunk at rim,47,51
184,2,1:26.0,D. Green makes 2-pt layup from 1 ft (assist by S. Curry),,49,51
185,2,1:06.0,,G. Hayward makes 2-pt jump shot from 19 ft,49,53
186,2,0:55.0,A. Bogut makes 2-pt dunk at rim (assist by S. Curry),,51,53
187,2,0:38.0,,Personal foul by K. Thompson (drawn by G. Hayward),51,53
188,2,0:38.0,M. Speights enters the game for A. Bogut,,51,53
189,2,0:32.0,,Turnover by G. Hayward (lost ball; steal by D. Green),51,53
190,2,0:25.0,H. Barnes makes 2-pt layup from 1 ft (assist by S. Curry),,53,53
191,2,0:02.0,,D. Exum misses 3-pt jump shot from 22 ft,53,53
192,2,0:02.0,,Offensive rebound by E. Freedom,53,53
193,2,0:01.0,,E. Freedom misses 2-pt layup from 2 ft,53,53
194,2,0:01.0,,Offensive rebound by Team,53,53
195,2,0:01.0,,Turnover by Team (shot clock),53,53
196,2,0:00.0,S. Curry misses 3-pt jump shot from 78 ft,,53,53
197,2,0:00.0,Offensive rebound by Team,,53,53
