,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,LA CLIPPERS_ACTION,BROOKLYN_SCORE,LA CLIPPERS_SCORE
0,1,11:45.0,,J. Redick makes 2-pt jump shot from 21 ft (assist by C. Paul),0,2
1,1,11:20.0,J. Johnson misses 3-pt jump shot from 27 ft,,0,2
2,1,11:17.0,,Defensive rebound by B. Griffin,0,2
3,1,11:09.0,,Shooting foul by B. Lopez (drawn by D. Jordan),0,2
4,1,11:09.0,,D. Jordan misses free throw 1 of 2,0,2
5,1,11:09.0,,Offensive rebound by Team,0,2
6,1,11:09.0,,D. Jordan misses free throw 2 of 2,0,2
7,1,11:08.0,Defensive rebound by J. Johnson,,0,2
8,1,10:43.0,Turnover by M. Plumlee (offensive goaltending),,0,2
9,1,10:28.0,,B. Griffin misses 2-pt layup from 1 ft,0,2
10,1,10:27.0,,Offensive rebound by B. Griffin,0,2
11,1,10:25.0,,B. Griffin makes 2-pt layup at rim,0,4
12,1,10:12.0,J. Jack misses 2-pt jump shot from 13 ft (block by D. Jordan),,0,4
13,1,10:10.0,,Defensive rebound by C. Paul,0,4
14,1,10:05.0,,D. Jordan makes 2-pt layup from 1 ft (assist by C. Paul),0,6
15,1,9:39.0,M. Plumlee makes 2-pt layup at rim,,2,6
16,1,9:32.0,,B. Griffin makes 2-pt dunk at rim (assist by M. Barnes),2,8
17,1,9:23.0,Brooklyn full timeout,,2,8
18,1,9:14.0,J. Jack makes 2-pt jump shot from 20 ft,,4,8
19,1,8:52.0,,B. Griffin misses 2-pt hook shot from 5 ft,4,8
20,1,8:51.0,,Offensive rebound by Team,4,8
21,1,8:37.0,,J. Redick misses 3-pt jump shot from 23 ft,4,8
22,1,8:36.0,,Offensive rebound by D. Jordan,4,8
23,1,8:36.0,Loose ball foul by M. Plumlee (drawn by D. Jordan),,4,8
24,1,8:27.0,,C. Paul misses 2-pt jump shot from 16 ft,4,8
25,1,8:26.0,Defensive rebound by B. Lopez,,4,8
26,1,8:20.0,M. Plumlee makes 2-pt layup at rim (assist by J. Jack),,6,8
27,1,8:04.0,,B. Griffin makes 2-pt dunk at rim (assist by J. Redick),6,10
28,1,7:38.0,B. Lopez makes 2-pt jump shot from 6 ft,,8,10
29,1,7:24.0,,Turnover by J. Redick (bad pass; steal by J. Johnson),8,10
30,1,7:19.0,M. Plumlee makes 2-pt dunk at rim (assist by J. Johnson),,10,10
31,1,7:17.0,Violation by Team (delay of game),,10,10
32,1,7:07.0,,D. Jordan makes 2-pt dunk at rim (assist by J. Redick),10,12
