,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MILWAUKEE_ACTION,OKLAHOMA CITY_SCORE,MILWAUKEE_SCORE
0,1,11:38.0,S. Adams misses 2-pt hook shot from 5 ft,,0,0
1,1,11:37.0,,Defensive rebound by L. Sanders,0,0
2,1,11:20.0,,J. Dudley misses 3-pt jump shot from 23 ft,0,0
3,1,11:19.0,Defensive rebound by S. Adams,,0,0
4,1,11:01.0,R. Jackson misses 2-pt jump shot from 13 ft,,0,0
5,1,11:00.0,Offensive rebound by S. Adams,,0,0
6,1,10:55.0,Personal foul by L. Sanders (drawn by S. Adams),,0,0
7,1,10:47.0,Turnover by L. Thomas (traveling),,0,0
8,1,10:38.0,,L. Sanders misses 2-pt hook shot from 4 ft,0,0
9,1,10:37.0,Defensive rebound by S. Adams,,0,0
10,1,10:19.0,S. Ibaka misses 2-pt jump shot from 14 ft,,0,0
11,1,10:19.0,,Defensive rebound by Team,0,0
12,1,10:05.0,,Turnover by E. İlyasova (traveling),0,0
13,1,9:52.0,S. Ibaka makes 3-pt jump shot from 27 ft (assist by J. Lamb),,3,0
14,1,9:35.0,,J. Parker makes 2-pt layup at rim (assist by L. Sanders),3,2
15,1,9:13.0,L. Thomas misses 2-pt jump shot from 16 ft,,3,2
16,1,9:12.0,,Defensive rebound by E. İlyasova,3,2
17,1,9:05.0,,L. Sanders makes 2-pt dunk at rim (assist by B. Knight),3,4
18,1,8:49.0,L. Thomas misses 2-pt layup from 2 ft,,3,4
19,1,8:47.0,,Defensive rebound by L. Sanders,3,4
20,1,8:39.0,,Turnover by B. Knight (bad pass; steal by J. Lamb),3,4
21,1,8:31.0,L. Thomas misses 2-pt jump shot from 15 ft,,3,4
22,1,8:29.0,,Defensive rebound by E. İlyasova,3,4
23,1,8:17.0,,Turnover by B. Knight (bad pass; steal by R. Jackson),3,4
24,1,8:11.0,R. Jackson makes 2-pt layup at rim,,5,4
25,1,7:56.0,,E. İlyasova misses 3-pt jump shot from 24 ft,5,4
26,1,7:55.0,Defensive rebound by J. Lamb,,5,4
27,1,7:48.0,Offensive foul by S. Ibaka (drawn by E. İlyasova),,5,4
28,1,7:48.0,Turnover by S. Ibaka (offensive foul),,5,4
29,1,7:48.0,,Z. Pachulia enters the game for L. Sanders,5,4
30,1,7:38.0,,B. Knight makes 2-pt layup at rim (assist by Z. Pachulia),5,6
31,1,7:22.0,Turnover by J. Lamb (bad pass; steal by Z. Pachulia),,5,6
32,1,7:09.0,,Z. Pachulia misses 2-pt jump shot from 14 ft,5,6
33,1,7:08.0,Defensive rebound by S. Adams,,5,6
34,1,7:02.0,J. Lamb misses 2-pt jump shot from 5 ft (block by Z. Pachulia),,5,6
35,1,7:02.0,Offensive rebound by Team,,5,6
36,1,7:00.0,J. Lamb misses 2-pt jump shot from 14 ft,,5,6
37,1,6:58.0,,Defensive rebound by E. İlyasova,5,6
38,1,6:49.0,,B. Knight misses 2-pt jump shot from 16 ft,5,6
39,1,6:47.0,Defensive rebound by S. Ibaka,,5,6
40,1,6:43.0,Offensive foul by S. Adams (drawn by Z. Pachulia),,5,6
41,1,6:43.0,Turnover by S. Adams (offensive foul),,5,6
42,1,6:31.0,,J. Dudley misses 2-pt jump shot from 16 ft,5,6
43,1,6:30.0,Defensive rebound by Team,,5,6
44,1,6:18.0,S. Ibaka makes 2-pt jump shot from 17 ft (assist by R. Jackson),,7,6
45,1,6:01.0,,Turnover by J. Parker (traveling),7,6
46,1,6:01.0,K. Perkins enters the game for S. Adams,,7,6
47,1,6:01.0,A. Morrow enters the game for J. Lamb,,7,6
