,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MILWAUKEE_ACTION,SAN ANTONIO_SCORE,MILWAUKEE_SCORE
0,1,11:36.0,,G. Antetokounmpo makes 2-pt jump shot from 19 ft (assist by E. İlyasova),0,2
1,1,11:18.0,Turnover by T. Splitter (lost ball; steal by K. Middleton),,0,2
2,1,11:11.0,,E. İlyasova misses 2-pt layup from 1 ft,0,2
3,1,11:09.0,,Offensive rebound by Z. Pachulia,0,2
4,1,11:09.0,,Z. Pachulia misses 2-pt layup at rim,0,2
5,1,11:08.0,,Offensive rebound by Z. Pachulia,0,2
6,1,11:07.0,,Z. Pachulia misses 2-pt layup at rim (block by T. Duncan),0,2
7,1,11:05.0,Defensive rebound by T. Parker,,0,2
8,1,10:57.0,T. Duncan misses 2-pt jump shot from 19 ft,,0,2
9,1,10:55.0,,Defensive rebound by K. Middleton,0,2
10,1,10:42.0,,E. İlyasova misses 2-pt layup from 1 ft (block by K. Leonard),0,2
11,1,10:39.0,,Offensive rebound by E. İlyasova,0,2
12,1,10:38.0,,E. İlyasova makes 2-pt layup from 1 ft,0,4
13,1,10:23.0,Shooting foul by E. İlyasova (drawn by D. Green),,0,4
14,1,10:23.0,D. Green makes free throw 1 of 2,,1,4
15,1,10:23.0,D. Green makes free throw 2 of 2,,2,4
16,1,10:14.0,,Z. Pachulia makes 2-pt jump shot from 10 ft (assist by K. Middleton),2,6
17,1,9:58.0,D. Green misses 2-pt jump shot from 10 ft,,2,6
18,1,9:56.0,,Defensive rebound by Z. Pachulia,2,6
19,1,9:47.0,,Turnover by G. Antetokounmpo (bad pass; steal by T. Splitter),2,6
20,1,9:37.0,Shooting foul by K. Middleton (drawn by K. Leonard),,2,6
21,1,9:37.0,K. Leonard makes free throw 1 of 2,,3,6
22,1,9:37.0,K. Leonard makes free throw 2 of 2,,4,6
23,1,9:25.0,,Turnover by M. Carter-Williams (bad pass; steal by K. Leonard),4,6
24,1,9:14.0,D. Green misses 2-pt jump shot from 18 ft,,4,6
25,1,9:12.0,,Defensive rebound by Z. Pachulia,4,6
26,1,9:08.0,,Shooting foul by K. Leonard (drawn by G. Antetokounmpo),4,6
27,1,9:08.0,,G. Antetokounmpo makes free throw 1 of 2,4,7
28,1,9:08.0,,G. Antetokounmpo makes free throw 2 of 2,4,8
29,1,8:43.0,T. Parker misses 2-pt jump shot from 10 ft (block by M. Carter-Williams),,4,8
30,1,8:41.0,,Defensive rebound by G. Antetokounmpo,4,8
31,1,8:30.0,,E. İlyasova misses 3-pt jump shot from 27 ft,4,8
32,1,8:29.0,Defensive rebound by T. Splitter,,4,8
33,1,8:12.0,K. Leonard makes 3-pt jump shot from 23 ft (assist by T. Duncan),,7,8
34,1,8:01.0,,Shooting foul by T. Parker (drawn by M. Carter-Williams),7,8
35,1,8:01.0,,M. Carter-Williams makes free throw 1 of 2,7,9
36,1,8:01.0,,M. Carter-Williams makes free throw 2 of 2,7,10
37,1,7:41.0,Turnover by T. Splitter (lost ball; steal by E. İlyasova),,7,10
38,1,7:35.0,,Z. Pachulia makes 2-pt jump shot from 12 ft (assist by M. Carter-Williams),7,12
39,1,7:18.0,T. Parker makes 2-pt jump shot from 13 ft,,9,12
40,1,7:07.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by M. Carter-Williams),9,14
41,1,6:43.0,T. Parker makes 2-pt jump shot from 9 ft (assist by K. Leonard),,11,14
42,1,6:29.0,,K. Middleton makes 2-pt jump shot from 15 ft (assist by M. Carter-Williams),11,16
43,1,6:29.0,San Antonio full timeout,,11,16
44,1,6:29.0,B. Diaw enters the game for T. Splitter,,11,16
45,1,6:29.0,M. Belinelli enters the game for D. Green,,11,16
46,1,6:29.0,,J. Bayless enters the game for K. Middleton,11,16
47,1,6:10.0,K. Leonard misses 2-pt jump shot from 13 ft,,11,16
48,1,6:09.0,,Defensive rebound by Z. Pachulia,11,16
49,1,5:50.0,,Z. Pachulia makes 2-pt layup at rim (assist by J. Bayless),11,18
50,1,5:31.0,T. Parker makes 3-pt jump shot from 24 ft (assist by T. Duncan),,14,18
51,1,5:17.0,,E. İlyasova makes 2-pt layup at rim,14,20
52,1,5:17.0,,Shooting foul by T. Parker (drawn by E. İlyasova),14,20
53,1,5:17.0,J. Ayres enters the game for T. Parker,,14,20
54,1,5:17.0,P. Mills enters the game for T. Duncan,,14,20
55,1,5:17.0,,E. İlyasova misses free throw 1 of 1,14,20
56,1,5:15.0,Defensive rebound by Team,,14,20
57,1,4:52.0,K. Leonard makes 3-pt jump shot from 23 ft (assist by B. Diaw),,17,20
58,1,4:31.0,,G. Antetokounmpo misses 2-pt jump shot from 17 ft,17,20
59,1,4:30.0,,Offensive rebound by Z. Pachulia,17,20
60,1,4:29.0,,Shooting foul by J. Ayres (drawn by Z. Pachulia),17,20
61,1,4:29.0,,Z. Pachulia makes free throw 1 of 2,17,21
62,1,4:29.0,,Z. Pachulia misses free throw 2 of 2,17,21
63,1,4:29.0,Defensive rebound by K. Leonard,,17,21
64,1,4:09.0,Shooting foul by M. Carter-Williams (drawn by J. Ayres),,17,21
65,1,4:09.0,J. Ayres misses free throw 1 of 2,,17,21
66,1,4:09.0,Offensive rebound by Team,,17,21
67,1,4:09.0,,J. Henson enters the game for Z. Pachulia,17,21
68,1,4:09.0,J. Ayres makes free throw 2 of 2,,18,21
69,1,3:56.0,,E. İlyasova misses 3-pt jump shot from 24 ft,18,21
70,1,3:55.0,Defensive rebound by B. Diaw,,18,21
71,1,3:40.0,M. Belinelli misses 3-pt jump shot from 25 ft,,18,21
72,1,3:39.0,Offensive rebound by Team,,18,21
73,1,3:22.0,B. Diaw makes 2-pt layup at rim (assist by M. Belinelli),,20,21
74,1,3:09.0,,E. İlyasova misses 3-pt jump shot from 22 ft,20,21
75,1,3:08.0,Defensive rebound by J. Ayres,,20,21
76,1,3:00.0,Shooting foul by M. Carter-Williams (drawn by M. Belinelli),,20,21
77,1,3:00.0,,Milwaukee full timeout,20,21
78,1,3:00.0,,T. Ennis enters the game for M. Carter-Williams,20,21
79,1,3:00.0,,K. Middleton enters the game for E. İlyasova,20,21
80,1,3:00.0,M. Belinelli makes free throw 1 of 2,,21,21
81,1,3:00.0,D. Green enters the game for K. Leonard,,21,21
82,1,3:00.0,M. Belinelli makes free throw 2 of 2,,22,21
83,1,2:39.0,,T. Ennis misses 3-pt jump shot from 24 ft,22,21
84,1,2:38.0,,Offensive rebound by J. Henson,22,21
85,1,2:33.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by J. Henson),22,23
86,1,2:21.0,M. Belinelli misses 2-pt jump shot from 6 ft,,22,23
87,1,2:21.0,Offensive rebound by Team,,22,23
88,1,2:21.0,,Loose ball foul by K. Middleton (drawn by J. Ayres),22,23
89,1,2:21.0,J. Ayres makes free throw 1 of 2,,23,23
90,1,2:21.0,,C. Johnson enters the game for K. Middleton,23,23
91,1,2:21.0,J. Ayres misses free throw 2 of 2,,23,23
