,QUARTER,TIME_REMAINING,MIAMI_ACTION,ORLANDO_ACTION,MIAMI_SCORE,ORLANDO_SCORE
0,1,11:45.0,,T. Harris misses 2-pt jump shot from 6 ft,0,0
1,1,11:44.0,Defensive rebound by H. Whiteside,,0,0
2,1,11:23.0,H. Whiteside misses 2-pt hook shot from 7 ft,,0,0
3,1,11:22.0,Offensive rebound by L. Deng,,0,0
4,1,11:20.0,L. Deng makes 2-pt layup from 1 ft,,2,0
5,1,10:58.0,,V. Oladipo misses 3-pt jump shot from 23 ft,2,0
6,1,10:57.0,,Offensive rebound by C. Frye,2,0
7,1,10:57.0,,Shooting foul by U. Haslem (drawn by C. Frye),2,0
8,1,10:57.0,,C. Frye makes free throw 1 of 2,2,1
9,1,10:57.0,,C. Frye makes free throw 2 of 2,2,2
10,1,10:42.0,H. Whiteside makes 2-pt hook shot from 6 ft,,4,2
11,1,10:28.0,Violation by H. Whiteside (def goaltending),,4,2
12,1,10:28.0,,V. Oladipo makes 2-pt layup from 1 ft (assist by E. Payton),4,4
13,1,10:12.0,D. Wade misses 2-pt layup from 1 ft,,4,4
14,1,10:10.0,,Defensive rebound by V. Oladipo,4,4
15,1,10:02.0,,C. Frye misses 3-pt jump shot from 25 ft,4,4
16,1,10:01.0,Defensive rebound by L. Deng,,4,4
17,1,9:54.0,U. Haslem makes 2-pt jump shot from 17 ft (assist by G. Dragić),,6,4
18,1,9:38.0,,T. Harris makes 3-pt jump shot from 25 ft (assist by E. Payton),6,7
19,1,9:10.0,G. Dragić misses 3-pt jump shot from 27 ft,,6,7
20,1,9:08.0,,Defensive rebound by V. Oladipo,6,7
21,1,8:58.0,,T. Harris makes 2-pt dunk at rim (assist by V. Oladipo),6,9
22,1,8:44.0,G. Dragić makes 2-pt jump shot from 14 ft,,8,9
23,1,8:29.0,,E. Payton misses 2-pt jump shot from 6 ft,8,9
24,1,8:27.0,,Offensive rebound by V. Oladipo,8,9
25,1,8:27.0,,V. Oladipo makes 2-pt tip-in at rim,8,11
26,1,8:07.0,U. Haslem misses 2-pt jump shot from 17 ft,,8,11
27,1,8:06.0,,Defensive rebound by N. Vučević,8,11
28,1,8:00.0,,Turnover by E. Payton (bad pass),8,11
29,1,7:39.0,D. Wade misses 2-pt layup at rim,,8,11
30,1,7:37.0,,Defensive rebound by V. Oladipo,8,11
