,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,NEW ORLEANS_ACTION,GOLDEN STATE_SCORE,NEW ORLEANS_SCORE
0,1,11:36.0,H. Barnes misses 2-pt jump shot from 13 ft,,0,0
1,1,11:35.0,,Defensive rebound by Q. Pondexter,0,0
2,1,11:20.0,,T. Evans misses 2-pt layup from 2 ft (block by H. Barnes),0,0
3,1,11:18.0,Defensive rebound by D. Green,,0,0
4,1,11:07.0,Turnover by S. Curry (lost ball; steal by Ö. Aşık),,0,0
5,1,10:52.0,,A. Davis makes 2-pt jump shot from 19 ft (assist by E. Gordon),0,2
6,1,10:44.0,D. Green makes 2-pt layup from 1 ft (assist by S. Curry),,2,2
7,1,10:22.0,,E. Gordon makes 2-pt jump shot from 15 ft (assist by Ö. Aşık),2,4
8,1,10:04.0,D. Green makes 3-pt jump shot from 26 ft (assist by S. Curry),,5,4
9,1,9:41.0,,E. Gordon makes 2-pt jump shot from 17 ft,5,6
10,1,9:24.0,S. Curry misses 2-pt jump shot from 14 ft,,5,6
11,1,9:23.0,,Defensive rebound by T. Evans,5,6
12,1,9:10.0,,Ö. Aşık makes 2-pt hook shot from 3 ft,5,8
13,1,9:10.0,,Shooting foul by A. Bogut (drawn by Ö. Aşık),5,8
14,1,9:10.0,,Ö. Aşık makes free throw 1 of 1,5,9
15,1,8:58.0,S. Curry misses 2-pt jump shot from 20 ft,,5,9
16,1,8:57.0,,Defensive rebound by A. Davis,5,9
17,1,8:39.0,,Ö. Aşık misses 2-pt layup from 2 ft,5,9
18,1,8:38.0,Defensive rebound by A. Bogut,,5,9
19,1,8:22.0,D. Green makes 2-pt layup from 2 ft,,7,9
20,1,8:01.0,,Turnover by A. Davis (lost ball; steal by K. Thompson),7,9
21,1,7:53.0,S. Curry makes 3-pt jump shot from 27 ft (assist by D. Green),,10,9
22,1,7:28.0,,E. Gordon misses 3-pt jump shot from 25 ft,10,9
23,1,7:27.0,Defensive rebound by H. Barnes,,10,9
24,1,7:08.0,D. Green makes 3-pt jump shot from 26 ft (assist by A. Bogut),,13,9
25,1,6:47.0,,A. Davis makes 2-pt jump shot from 13 ft (assist by T. Evans),13,11
26,1,6:37.0,S. Curry makes 2-pt layup from 2 ft,,15,11
27,1,6:18.0,,A. Davis misses 2-pt jump shot from 5 ft,15,11
28,1,6:17.0,,Offensive rebound by A. Davis,15,11
29,1,6:17.0,,Shooting foul by A. Bogut (drawn by A. Davis),15,11
30,1,6:17.0,,A. Davis makes free throw 1 of 2,15,12
31,1,6:17.0,F. Ezeli enters the game for A. Bogut,,15,12
32,1,6:17.0,,A. Davis makes free throw 2 of 2,15,13
33,1,6:06.0,D. Green misses 3-pt jump shot from 25 ft,,15,13
34,1,6:03.0,,Defensive rebound by T. Evans,15,13
35,1,5:54.0,,A. Davis misses 2-pt jump shot from 14 ft,15,13
36,1,5:52.0,Defensive rebound by F. Ezeli,,15,13
37,1,5:35.0,K. Thompson misses 2-pt jump shot from 20 ft,,15,13
38,1,5:32.0,,Defensive rebound by A. Davis,15,13
39,1,5:27.0,,New Orleans full timeout,15,13
40,1,5:27.0,A. Iguodala enters the game for H. Barnes,,15,13
41,1,5:18.0,,E. Gordon makes 2-pt jump shot from 12 ft,15,15
42,1,5:01.0,K. Thompson makes 2-pt jump shot from 18 ft (assist by A. Iguodala),,17,15
43,1,4:42.0,,E. Gordon misses 3-pt jump shot from 25 ft,17,15
44,1,4:39.0,,Offensive rebound by A. Davis,17,15
45,1,4:31.0,,A. Davis makes 2-pt jump shot from 4 ft (assist by E. Gordon),17,17
